,Feci_Vecpac-WT_3297REP_01032024,Feci_Vecpac-WT_3302_29022024,Feci_Vecpac-WT_3307_29022024,Feci_Vecpac-WT_3319_29022024,Feci_Vecpac-WT_3329_29022024,Feci_Vecpac-WT_3337_29022024,Feci_Vecpac-WT_3353_29022024,Feci_Vecpac-WT_3354_29022024,Feci_Vecpac-WT_3369_29022024,Feci_Vecpac-WT_3673_28022024,Feci_Vecpac-WT_3674_28022024,Feci_Vecpac-WT_3675_28022024,Feci_Vecpac-WT_3677_28022024,Feci_Vecpac-WT_3678_28022024,Feci_Vecpac-WT_3679_29022024,Feci_Vecpac-WT_3680_29022024,Feci_Vecpac-WT_3681_29022024,Feci_Vecpac-WT_3687_29022024,Feci_Vecpac-WT_3688_29022024
Label,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"1,2-Benzenedicarboxylic acid", 1.36095448, 0.70958638,-0.36191510,-0.32607367,-0.34390986,-0.58003790,-0.55009446, 0.11624688,-0.34277745,-0.47399702,-0.35466223, 3.94836876, 0.59118837, 2.02895167,-0.47197363, 0.75898927,-0.64605777,-0.57463891,-0.66736118
10-Heptadecenoic acid,-0.80229829, 0.63506085,-0.80229534,-0.79475461,-0.80229678,-0.80230189, 1.85637297, 0.55240301,-0.76987299, 1.34152897, 1.02484209, 0.01473338, 1.25210115, 1.46728576, 1.44844077,-0.80229966,-0.80230052, 1.34993489, 1.37665202
3-Aminobutanoic acid, 2.431985744, 0.449671614,-0.463629979, 0.908047058, 0.610526203,-0.465930271,-0.463902431,-0.466699867,-0.462647601,-0.463879968,-0.462883771,-0.460536470, 0.962625482,-0.464224246,-0.465670803, 0.663838547,-0.465450270, 0.679586754,-0.465359629
3-Hydroxypicolinic acid, 2.5809551405, 3.2316062254,-1.1657101897, 1.2165835801, 2.2708410998, 0.0705922873, 1.4714544738,-1.1927839913, 1.3913435711, 1.2436425507, 1.3903850485, 0.4472832950, 2.0188114707, 2.5713879586, 1.1836536219, 0.6813066646, 1.1286461465, 0.6914421057, 0.2654179807
4-Pentenoic acid,-0.670651169, 0.770229595, 0.626514518,-0.298255438, 1.238811839, 0.124977713,-0.088829933,-0.419224753,-0.272637357, 0.815497995, 1.161603029,-0.112271989, 1.072021618, 0.019539187, 0.499646382, 0.222429009, 0.230956267, 0.464333475, 0.522047195
Acetohydroxamic acid,-0.813737345,-0.281198030,-0.542979250,-0.301150124, 0.866843491,-0.400965554,-0.374552932,-0.820356296,-0.165629255,-0.087279098,-0.352733387,-0.366828783,-0.034344575, 2.892987694,-0.401511250,-0.815307393, 0.523666551,-0.814499174,-0.706058091
Argininosuccinic acid, 1.101479477, 0.094820424,-0.562700399,-0.565416303, 0.261903765, 0.261725950,-0.563538828,-0.572147498,-0.559677286, 0.199438107,-0.560404061, 0.665711783,-0.561856587, 0.180702687,-0.568980715, 0.311769345, 0.093611877,-0.566611590, 0.103195142
Butyl caprylate, 0.282541964,-0.273516153,-0.038793288,-0.538345232,-0.536732681, 0.325451296, 0.628043249,-0.024639565, 0.121611527, 0.137619274, 0.304106599, 0.037989037,-0.106028334,-0.537114982,-0.543288213,-0.088419118, 0.259725594,-0.540002808,-0.541960269
Deoxyglucose, 2.82739793, 0.05479949,-0.06527274,-0.12453466,-0.49744661,-0.19984885, 0.29539617,-0.49758037,-0.37000449,-0.49743333,-0.49738138,-0.49725899, 0.67706144,-0.15315001,-0.49752671, 0.27008897,-0.49751521, 0.30879560,-0.49751048
Dodecanedioic acid,-0.260674305,-0.261188577,-0.260193871,-0.260602757,-0.260427691,-0.261259599,-0.260320098,-0.261616154,-0.259738734,-0.260309691,-0.259848152,-0.258760645,-0.260066833,-0.260469195,-0.261139387,-0.260897716,-0.261037214,-0.260782710,-0.260995220
Erythritol, 0.39539677, 6.05659577,-0.71194427, 0.68982695,-0.71194726, 1.49016376,-0.71194588, 1.22028430, 1.10296752,-0.05877655, 1.22639207,-0.71192591,-0.32481821,-0.17758827,-0.71195638,-0.54796990, 0.64592284,-0.71195181,-0.67287484
Ethanamine,-1.1387582755, 0.0170318291, 0.8825320468,-0.4358421884,-0.1352459424,-0.6189473486,-0.5038660204, 1.3312290487, 0.6617914905, 0.0042602507,-0.5699714064, 1.3597858518, 0.5244953447, 0.3183325447,-0.2327569789, 0.2322328506,-0.9329707303,-0.0581140247,-0.5021087701
L-Asparagine,-0.75533351, 1.83850643,-0.75519975,-0.75531359, 0.60595117, 0.30047600, 0.86667188, 0.63526459, 1.44450175, 1.12893103, 0.77578564,-0.75480072, 0.48866551, 1.52012851, 0.60369684, 0.79412832,-0.75543455,-0.75536369,-0.73346372
L-Glutamine, 0.708594663, 0.301505439,-1.018896033, 2.435079991,-1.019418768, 0.973947251, 0.049980265,-1.022075726,-0.953198650, 0.694291038,-1.018123134, 1.149648272,-1.018612023, 0.042278882, 2.358904410,-1.020469568, 1.112903631, 0.484770456, 0.802655709
L-Hydroxyproline, 0.71604553, 0.20898216, 0.62918510,-0.43246844,-1.30587629, 0.26063233, 0.86570892, 4.20825375, 1.40698499, 0.12536652, 1.37922649, 0.04752742,-0.60600384,-0.57789165,-0.01400760, 0.09836458,-0.10812306,-0.47454391,-0.41598256
L-Lysine,-0.42949062, 3.70703893,-0.39547397,-0.34995394,-0.78141318,-0.78154936, 1.52636375,-0.61149635,-0.59239365, 1.32689876, 0.59827286,-0.18665326,-0.22872581, 2.06692859, 4.64381295,-0.63869756,-0.54984332, 0.22825817,-0.33275016
L-Norvaline, 5.726046250, 0.935406403,-0.494741242,-0.545346506,-0.565741035,-0.395358331, 0.727999289,-0.746914882,-0.642207623,-0.520325595, 0.088440453,-0.739562643,-1.059928802,-0.594634221, 0.625110916,-0.513896117,-0.266550210,-0.525211966, 0.291824205
L-Serine, 2.341925817, 1.643895189, 1.045399042, 1.986286598, 4.835421520,-0.002057625, 1.407291388, 0.698741613, 0.367214061,-0.322027961,-1.083396278, 0.085106430,-0.944068854,-0.456875484,-0.279245981, 0.585822693, 0.709569554,-0.483627343,-0.781467049
N-Acetylglucosamine,-0.2890619456,-0.5698986049,-0.0223904531, 1.9744922477, 0.9888044103,-0.0072548995, 2.9775787824,-0.7363684146, 0.0345681026,-0.8232312759,-1.0734415652,-0.6217650692,-0.9249018581,-0.0663209569,-0.4059900084, 1.2539901442, 0.4164410377,-0.8657351269,-1.0442750548
Niacinamide,-1.070539703, 0.567830270,-1.060385515, 0.932312662,-0.086495876, 0.753358918, 2.814184810,-1.090446110,-1.050765992, 0.842030625, 2.634087512, 0.844933594, 3.662863042, 0.339280146, 1.549973278,-1.075261601, 1.162652003, 0.481569175, 2.070295500
N-Methyl-alpha-aminoisobutyric acid,-0.867987905, 2.699185201,-0.174303904, 0.899847603,-0.865379409, 0.008677965, 2.712221436,-0.877950086,-0.160306053, 0.700413455, 1.381583888,-0.847746623, 0.933048762, 1.955035990, 1.133615267,-0.870350983, 0.082675530,-0.084706778, 1.211471547
Phloroglucinol, 0.39503396, 0.60358836, 0.38504857, 1.54318736, 0.62030987, 0.01690852, 3.53293503, 0.51483782, 0.48137357, 1.08199248, 0.33720316, 0.67241030, 0.68928286, 1.84511773, 0.24228077, 1.65054553, 0.89716697, 0.32356179, 0.01555976
Thr-Leu,-0.07668884, 0.73277576,-0.79248962, 0.04366243,-0.85332715, 0.06287487, 2.20685456,-0.43016303,-0.43172174, 1.66982812, 4.11581610,-0.85317117, 4.35072297, 2.47028875, 1.63490129,-0.84927894, 0.86428412, 0.52881661, 2.58928744
Xanthine,-0.34271890,-0.34465424,-0.34091089,-0.34244964,-0.34179082,-0.34492152,-0.34138592,-0.34626333,-0.33919809,-0.34134676, 0.92480240,-0.33551728,-0.34043282,-0.34194701, 0.24997368,-0.34355965,-0.34408462,-0.34312685,-0.34392659
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",-0.22830312,-0.22929821, 5.05744964,-0.22816468,-0.22782594,-0.22943564, 2.31041061,-0.23012555,-0.22649284,-0.22759761,-0.22670456,-0.22460029, 0.74785360,-0.22790625,-0.22920303,-0.22873541, 1.17036865,-0.22851288,-0.22892408
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",-0.326900858,-0.314246290,-0.122006392,-0.273257657, 1.149310948, 0.794255555, 1.841759080, 1.572530507, 1.023210339,-1.406108918,-0.433022478,-0.499930650,-0.287071241, 1.495678952, 0.754046010, 1.793338926, 0.287783932,-0.253937820,-1.407698279
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl",-0.21496052,-0.21659989,-0.21342901,-0.21473244,-0.21417437,-0.21682629,-0.21383139,-0.21796290,-0.21197815,-0.21379822,-0.21232694,-0.20886023,-0.21302405,-0.21430668,-0.21644309,-0.21567270,-0.21611739,-0.21530609,-0.21598352
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",-0.221225868,-1.006075610,-1.373898831, 2.750318268,-0.352220628, 0.682110083, 1.275790082,-0.792307184,-0.789995221,-1.374358560,-1.372526559, 1.645687121, 1.033613419,-1.374991685, 1.505582851, 0.052560456, 2.211339733, 0.797805205,-1.377079649
1-(2-Methoxy-1-methylethoxy)-2-propanol,-0.13894079,-0.13965771,-0.13827104,-0.13884105,-0.13859699,-0.13975672,-0.13844700,-0.14025378,-0.13763655,-0.13843250,-0.13778908,-0.13627304,-0.13809394,-0.13865485,-0.13958914,-0.13925224,-0.13944670,-0.13909191,-0.13938816
"1,1'-Biphenyl, 2,2',5,5'-tetramethyl",-0.34502106,-0.34790163,-0.34233002,-0.34462030,-0.34363971,-0.34829944,-0.34303705,-0.35029660,-0.33978068,-0.34297876,-0.34039356,-0.33430215,-0.34161845,-0.34387219,-0.34762610,-0.34627244,-0.34705380,-0.34562826,-0.34681859
"1,2,4,5-Cyclohexanetetrol",-0.63922713, 0.86151612, 1.62615825, 2.14340417,-0.63809590,-0.64191189,-0.63760237, 1.34904211, 0.66097248, 0.73758764, 2.26302051,-0.63044910, 7.93915705,-0.63828628,-0.64136047,-0.64025192,-0.64089180,-0.63972438,-0.64069917
"1,2,4-Butanetriol",-0.15189914,-0.15199331,-0.15181117,-0.15188604,-0.15185398,-0.15200632,-0.15183428,-0.15207161,-0.15172783,-0.15183238,-0.15174786,-0.15154873,-0.15178791,-0.15186158,-0.15198430,-0.15194005,-0.15196559,-0.15191899,-0.15195790
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-0.270210494,-0.270212275,-0.270208831, 1.311397539,-0.270209640,-0.260264982, 0.244811147,-0.270213756,-0.251801773,-0.270209232,-0.263160638,-0.270203868,-0.270208391,-0.270209784,-0.265350033,-0.270211268,-0.270211751,-0.258701323,-0.270211606
"1,4-Butanediol",-0.26791317,-0.27071473,-0.26529594,-0.26752340,-0.26656971,-0.12375919,-0.08967027,-0.27304400,-0.26281653,-0.26592689,-0.26341260, 0.11302482,-0.26460389,-0.26679581,-0.27044676, 1.56920261, 0.46318274,-0.02542637,-0.26966139
"1,5-Anhydroglucitol", 2.410586974, 0.645710758, 1.542608745,-0.448900664, 0.629904980, 0.185596902, 1.142062485,-0.728048296,-0.584851027,-0.056357545,-0.008493623,-0.642469904,-0.126192521, 0.076878907, 0.710444231,-0.673186702, 2.357264450, 1.688522254, 0.099220442
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",-0.178250518,-0.262098953,-0.224867818,-0.261876893,-0.261810534,-0.262125874,-0.261769750,-0.262261029,-0.261549380,-0.261765805,-0.213542453,-0.115448219,-0.254932466,-0.240684853,-0.002538306,-0.230453575, 0.113667339,-0.256230689,-0.262025659
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,-0.56803211,-0.13991422, 0.15950226,-0.15753569, 0.06181857,-0.56898893,-0.56745307,-0.56957182,-0.56650267,-0.56743605,-0.56668154, 0.36912477,-0.56703904,-0.27348326,-0.56879241, 0.11387597,-0.56862539,-0.01329676, 0.96500678
11-Methyldodecanol, 1.196236972,-0.236595514,-0.052195203,-0.204541607,-0.241437724,-0.206745900, 0.034912195, 0.391467745, 0.029976885,-0.118506855, 0.058275899, 0.492117049, 0.096015440,-0.042106139,-0.374343621,-0.053893580,-0.221880042,-0.218626691,-0.148615807
12-Oxooctadecanoate, 2.272414449,-0.582390431,-1.124943619, 0.340589101, 3.202915454,-0.132911707, 0.351000224, 1.960638541, 1.885522941,-0.021750142,-0.773617156,-0.322863103, 0.150017941, 1.523367376, 0.027455253,-0.901527789, 0.513113331,-0.152467968,-0.341892388
13-Docosenamide, 0.0772302941,-0.4132141540, 0.3033722305,-0.2240272423, 1.6759288631,-0.2224755127,-0.1119669217, 0.0647471567,-0.1014074846,-0.3036819046,-0.4399772943,-0.0500416429,-0.4179895853,-0.3807572561,-0.2186926802, 0.3814423103,-0.2314566977,-0.2577428415,-0.7453815083
17-alpha-Hydroxypregnenolone,-0.25420417,-0.25424563,-0.21076321,-0.25419840,-0.25418429,-0.25425136,-0.25417562,-0.25428010, 7.20454326,-0.25417478,-0.25413757,-0.25404990,-0.25415520,-0.25418764, 3.92040497,-0.25422218,-0.25423343,-0.21276440,-0.25423004
18-Methyl-nonadecanol,-0.36011306, 0.96507144,-0.35913107, 1.32553715,-0.35960899,-0.36130937,-0.35938907,-0.36203816,-0.35820079,-0.35936780,-0.35842443,-0.35620161,-0.35887141,-0.35969382,-0.36106367,-0.36056970,-0.36085483,-0.36033463,-0.36076899
1-Deoxypentitol, 0.58577066,-0.48450525,-0.47880597,-0.48114873, 3.26336806,-0.48491218, 0.50186812,-0.48695510, 0.72633920,-0.47946958,-0.28636642, 2.24823010,-0.47807809,-0.48038347, 1.36146486,-0.48283873,-0.48363800,-0.48217979,-0.48339739
