,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
Label,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",-0.30981526,-0.30981121,-0.30981297,-0.30980522,-0.30981664,-0.30981558,-0.30981826,-0.30981510,-0.30981301,-0.30981494,-0.30981625,-0.30981744,-0.30982084,-0.30982241,-0.30981947,-0.30981627,-0.30982100,-0.30981400,-0.30982022
(6S)-5-Methyltetrahydrofolic acid,-0.2248541,-0.2242401,-0.2245076,-0.2233334,-0.2250621,-0.2249027,-0.2253084,-0.2248291,-0.2245130,-0.2248055,-0.2250036,-0.2251841,-0.2256992,-0.2259368,-0.2254909,-0.2250066,-0.2257226,-0.2246633, 2.1045206
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol", 2.05960055, 3.27413961, 1.23277483, 4.18477080, 1.00760769, 1.43965279, 1.32402563, 1.93042849, 0.68803682, 3.37211759, 0.68412861, 1.43278637, 0.40587252, 0.81142529, 0.97236943,-0.78877370, 1.68920229, 0.58983998, 1.74490952
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-", 0.001915365, 0.281572934, 0.445451440, 0.576687789, 0.053236073, 0.817437064, 0.839105709, 0.623396978, 0.603387349, 0.791153851, 0.545369491, 0.596751538, 0.691924338, 0.220902580, 0.249651724, 1.172570149, 0.151087877, 0.735773082, 0.537110951
(CH3)2C=NC2H558, 1.07926517, 1.78493920, 0.94086724, 2.55694747, 1.13965520, 0.67407369, 0.65812559, 0.69972250, 1.20733535, 0.90153297, 0.80871032, 0.63736725, 0.30494080, 0.13463903, 0.44256762, 0.95927010, 0.31978038, 1.12048637, 0.60635766
(pm)-alpha-Tocopherol acetate,-0.19841678,-0.19841678,-0.19841067,-0.19835254,-0.19841679,-0.19841678,-0.19839570,-0.19841678,-0.19841678,-0.19841678,-0.19841679,-0.19841679,-0.19841679,-0.19841680,-0.19841679,-0.19841679,-0.19841679,-0.19841678,-0.19841679
(pm)-N-Propylamphetamine, 1.539248e+00,-4.748045e-01,-4.822434e-01, 8.756210e-01,-4.976644e-01, 3.605571e-01,-5.045137e-01,-4.911840e-01,-4.823928e-01,-4.905276e-01,-4.960368e-01, 8.887362e-01, 6.365819e-01, 5.800406e-01, 7.641069e-01, 1.060201e+00,-5.160334e-01,-4.865732e-01, 5.382581e-01
(pm)-Norketamine, 2.84333194,-1.56577520, 0.20865380,-1.56555636,-1.56597357,-0.58673518, 0.61400403, 1.34791752, 1.12908334, 1.50370378, 0.53964388, 2.50198418, 0.56935605, 0.75027144, 1.08121359, 2.43834200, 0.93758199, 2.09547770, 0.96404107
(pm)-Phenylpropanolamine,-0.181306029,-0.151671936, 0.581586876, 0.035728138,-0.455457817, 0.301763170,-1.055601260, 0.689446730, 0.366861050, 1.395491590, 0.682905195, 0.592871750,-0.418350161, 0.065118976,-0.277028844,-1.053759393, 0.407893429, 0.686328033,-0.062467486
"(R*,S*)-2,3-Dihydroxybutanoic acid", 2.4782666, 3.2121215, 1.9617341, 3.8066552, 2.5322484, 1.7355381, 1.5107119,-0.5680732,-0.5680658,-0.5680727,-0.5680773,-0.5680816,-0.5680936,-0.5680992,-0.5680888,-0.5680774,-0.5680942, 0.3498460,-0.5680914
"(S,S)-(-)-Hydrobenzoin",-0.298610716,-0.364372801,-0.700518530,-0.419945428,-0.394667103, 0.239492811, 0.729511257,-0.182968264, 0.496226592, 0.988022058, 1.306099386,-0.385163394,-0.124797403,-0.242317715,-0.096435524,-0.703043742,-0.528212650,-0.471160795, 0.587409865
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ", 1.688144681, 0.612740696, 0.433489237, 0.580671630, 0.082527971, 1.194470916, 2.377508919,-0.347519327, 0.351893019,-0.195022691, 2.818770650, 0.123206312, 0.802683025, 0.415298293, 0.388140412, 0.721794120,-0.027107389, 0.278357299, 0.019215904
"1-(2,4-Dimethoxyphenyl)-propan-2-one", 1.27981291, 1.61481445, 0.90858421, 2.13846754, 1.11372056, 1.03632867, 1.00105431, 0.96690669, 1.48863249, 1.10695530, 1.60286293, 1.22108700, 1.28301409, 0.54486048, 0.85204178, 1.25436240, 0.69567548, 1.49713913, 0.94087804
1-(3-Methylphenyl)piperazine, 0.75312780,-0.99430311, 0.74880630,-0.96844951, 0.57569668, 1.27613592, 0.53138829, 0.32228944, 0.60788550, 0.38648910, 1.57367529, 0.27234045, 0.16325986,-1.04267968, 0.35942371, 0.66308913,-1.03657081, 2.30806537, 0.32841673
1-(4-Hydroxybenzylidene)acetone, 3.69483902,-0.53622445,-0.53803990, 1.54706774,-0.54180342,-0.54072175, 1.61514539, 3.48075409,-0.53807637, 1.35721378,-0.54140619, 0.81256587, 1.02985462,-0.54774063,-0.54471416,-0.54142687,-0.54628639,-0.53909660,-0.54548758
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-0.39846746,-0.68374753,-0.75981467,-0.67236638,-0.52540418,-0.69806399,-0.77537811, 2.94840074,-0.77635752, 3.67632423,-0.72476341,-0.77640640, 2.01569437,-0.77646123,-0.77642875,-0.77639348, 1.41391359,-0.77636847,-0.77643705
1-Aminocyclopropanecarboxylic acid,-0.36839419,-0.34559351,-0.35583887,-0.34022724,-0.36004586,-0.39860649,-0.40178644,-0.37797993,-0.36418033,-0.38895587,-0.38503181,-0.36950671,-0.37876090,-0.38225226,-0.38828972,-0.37309427,-0.39010062,-0.37310876,-0.38476150
"1-Butanamine, N,N-diethyl-", 0.680920300, 1.025792977, 0.344345717, 1.604531201, 0.538532284, 0.165673769, 0.153357445, 0.119492684, 0.364847617, 0.227595966, 0.093658088, 0.005666019,-0.221067647,-0.306991418,-0.122476531, 0.200824779,-0.178241172, 0.276232259, 0.071820515
"1-Cyclohexanone, 3-butyl-3-methyl-",-0.42108263,-0.42107189,-0.42107657,-0.42105603,-0.42108627,-0.42108348,-0.42109057,-0.42108219,-0.42107666,-0.42108178,-0.42108524,-0.42108840,-0.42109741,-0.42110156,-0.42109377, 2.02917971, 2.87556920, 4.02524723, 1.51916677
1-Cyclopentylethanol,-0.02910297, 0.89276416,-0.60718591, 1.36178416, 0.49541610, 0.20750448,-0.08628470, 0.32088085, 0.47765829, 0.37220636, 0.19035352,-0.25073966, 0.02598869,-0.11724353, 0.11294627, 0.45225824,-0.01376245, 0.53790967, 0.23018646
"1-Decanol, 2-methyl-",-0.34981636,-0.34977902,-0.34979529,-0.34972386,-0.34982901,-0.34981932,-0.33011398,-0.34981484,-0.34979561,-0.34981340,-0.34982545,-0.34983643,-0.34986776,-0.34988222,-0.34985510,-0.34982564,-0.34986919,-0.34980475,-0.34986203
"1-Decene, 8-methyl-",-0.39661051,-0.37752169,-0.39660355,-0.39657995, 4.29877429,-0.33858060,-0.35507899, 2.79486354, 0.50491508,-0.39660953,-0.39661351,-0.39661714,-0.39662749,-0.35862823,-0.34305917,-0.39661357,-0.39662795,-0.39660667,-0.39662559
1-Deoxypentitol,-0.413403877, 1.211053312, 0.534309069, 0.965564262, 0.907923983,-0.718272078, 0.363340064, 0.896846622, 1.227951954,-0.718225361, 1.554937193, 0.980691820,-0.718654700,-0.718768847,-0.082770112, 1.117248470, 0.145754098,-0.038072238, 0.534506317
1-Hexadecanol,-0.31509109,-0.31371181,-0.31431267,-0.31167483,-0.31555829,-0.31520029,-0.31611153,-0.31503484,-0.31432474,-0.31498182,-0.31542682,-0.31583238,-0.31698955,-0.31752334,-0.31652166,-0.31543366,-0.31704203, 0.34174195,-0.31677765
1-Hexanol, 1.91102489,-0.70974638,-1.04968346, 1.65685038, 0.52224821, 0.43547027,-1.05527813,-0.72139931,-1.04972100, 1.30884926, 0.56014082, 0.46557402,-0.24216012, 0.46956868,-0.62852969, 3.86045811,-0.25001834, 1.74425981, 1.03645586
1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.27503427,-0.48197364, 0.49451106,-0.48196581,-0.48198074, 0.45043633, 4.15357319, 2.82806568, 1.78171773,-0.17050818, 0.83439097, 1.84097567, 1.90795824, 2.94440070, 2.34114042, 2.89502738, 1.13814627, 3.13775433, 4.67629942
