node1,node2
Mrps5,Pentanedioic acid
Dnajc21,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal"
Dnajc21,Aceturic acid
Plgrkt,Glycolic acid
Serbp1,2-Furoic acid
Serbp1,"3,5-Dimethylphenol"
Serbp1,Isopropylamine
Serbp1,Oxalic acid
Ankrd12,Benzoic Acid
Ddit4,"2-Cyclohexen-1-one, 3-methyl-"
Ddit4,L-Tyrosine
Gm15408,N-Ethylamphetamine
Smyd2,m-Toluic acid
Atf6b,Azelaic acid
Msh2,N-Isobutyrylglycine
Ibtk,"1-Octanol, 2-butyl-"
Cast,Nonanoic acid
Lrguk,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether"
Emd,"3,4-Methylenedioxyamphetamine"
Emd,3-Heptanol
Birc2,"1-Octanol, 2-butyl-"
Birc2,N-Ethylamphetamine
Abtb2,"2(5H)-Furanone, 4-(hydroxymethyl)"
Sptan1,Azelaic acid
Psma4,Salsoline
Gm15675,m-Toluic acid
Ro60,Oleamide
Telo2,8-Methylnonanoic acid
Copg1,Nonanoic acid
Slc29a4,"3,4,5-Trimethoxyamphetamine"
Arhgap5,Nonanoic acid
Tmem259,Azelaic acid
Stat3,Triethyl citrate
Krt23,"(2,5-Dimethoxyphenyl)acetone"
Krt23,L-Glutamine
Nek8,Aconitic acid
Ccdc59,Aceturic acid
Amfr,Azelaic acid
Suz12,"Benzoic acid, methyl ester"
Nup214,6-Methyluracil
Acacb,Azelaic acid
Zfp358,Azelaic acid
Btg1,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]"
Igfbp2,Azelaic acid
Uros,"2-Cyclohexen-1-one, 3-methyl-"
Ripply3,Salsoline
Gm20052,"2-(Ethylamino)ethanol, N-acetyl"
Pdlim1,"Cyclohexanone, 3,3,5-trimethyl"
Pdlim1,Diethylamine
Plscr2,"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester"
Gpatch2l,L-Valine
Mrps24,2-Butenedioic acid
Gpaa1,Azelaic acid
Npepps,Benzoic Acid
Rmnd5b,Aconitic acid
Gpr65,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine"
Gpr65,Glycolic acid
Mfge8,Azelaic acid
Ikbke,"Hymexazole, tert-butyldimethylsilyl ether"
Hk1,Azelaic acid
Plcb4,Benzoic Acid
Tceanc,Leucylglycine
Nol8,Oleamide
Adprh,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether"
Hook2,"3,5-Dimethylphenol"
Hook2,Isopropylamine
Psmd3,Azelaic acid
Recql5,"5-Chlorovaleric acid, nonyl ester"
Lrrc8a,Monocaproin
Armcx2,Phenol
Afg3l1,m-Toluic acid
Cmc4,m-Toluic acid
Samd14,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-"
Samd14,N-Ethylamphetamine
Gpsm3,L-Tyrosine
Pi4ka,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine"
Pi4ka,Nonanoic acid
Adamts15,"Cyclohexanone, 3,3,5-trimethyl"
Asb8,3-Heptanol
Asb8,"Cyclohexanone, 3,3,5-trimethyl"
Cltb,Benzenepropanoic acid
Itch,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine"
Ppp4c,Synephrine
Emc3,Azelaic acid
Wbp4,Stearic acid
Adrb3,Adenine
Adrb3,Aniline
Adrb3,Cycloheptanol
Setx,"Benzoic acid, methyl ester"
Tgfbr1,Palmitic Acid
Ahcyl2,Mevalonolactone
Evi5,"Benzoic acid, methyl ester"
Chi3l1,Salsoline
Col9a2,Salsoline
Uqcc5,Frangulin
Rlbp1,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-"
Clpp,Glycolic acid
Myof,Benzyl alcohol
Myof,Ketamine
Lrrc8c,Oxalic acid
Cep57,Oleamide
Zfp654,Aceturic acid
Imp3,DL-p-Hydroxyphenyllactic acid
Bcl7a,Salsoline
G2e3,6-Methyluracil
G2e3,"Kojic acid, bis(tert-butyldimethylsilyl) ether"
Slc22a17,"2,2'-Bipyridine"
Slc22a17,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate"
Cxxc4,"2',5'-Dimethoxypropiophenone"
Cxxc4,Aceturic acid
Cxxc4,Cyclooctylamine
Strada,Leucylglycine
Hip1,Stearic acid
