node1,node2
"(2,5-Dimethoxyphenyl)acetone-F",1-Octadecanol-F
"(2,5-Dimethoxyphenyl)acetone-F","2'-Hydroxy-2,4,4',5-tetramethoxychalcone-F"
"(2,5-Dimethoxyphenyl)acetone-F",2-Methyl-3-pentanol-F
"(2,5-Dimethoxyphenyl)acetone-F",2-Naphthol-F
"(2,5-Dimethoxyphenyl)acetone-F",2-Propyl-1-pentanol-F
"(2,5-Dimethoxyphenyl)acetone-F",3-Buten-2-one-F
"(2,5-Dimethoxyphenyl)acetone-F","6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)-F"
"(2,5-Dimethoxyphenyl)acetone-F",Adenine-F
"(2,5-Dimethoxyphenyl)acetone-F",Benzophenone-F
"(2,5-Dimethoxyphenyl)acetone-F",Butachlor ESA-F
"(2,5-Dimethoxyphenyl)acetone-F",Curcumin-F
"(2,5-Dimethoxyphenyl)acetone-F",Cycloheptanol-F
"(2,5-Dimethoxyphenyl)acetone-F","Cytosine, N-(tert-butyldimethylsilyl)--F"
"(2,5-Dimethoxyphenyl)acetone-F",Diethylamine-F
"(2,5-Dimethoxyphenyl)acetone-F","Dodecanoic acid, 1-methylethyl ester-F"
"(2,5-Dimethoxyphenyl)acetone-F","D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy--F"
"(2,5-Dimethoxyphenyl)acetone-F",Frangulin-F
"(2,5-Dimethoxyphenyl)acetone-F",Hexacosanoic acid-F
"(2,5-Dimethoxyphenyl)acetone-F",Isobutanol-F
"(2,5-Dimethoxyphenyl)acetone-F",L-Glutamine-F
"(2,5-Dimethoxyphenyl)acetone-F",L-Tryptophan-F
"(2,5-Dimethoxyphenyl)acetone-F",m-Toluic acid-F
"(2,5-Dimethoxyphenyl)acetone-F","Naringenin 4',7-dimethylether-F"
"(2,5-Dimethoxyphenyl)acetone-F",N-Caffeoyl-O-methyltyramine-F
"(2,5-Dimethoxyphenyl)acetone-F",N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine-F
"(2,5-Dimethoxyphenyl)acetone-F","Propanoic acid, dimethyl(isopropyl)silyl ester-F"
"(2,5-Dimethoxyphenyl)acetone-F",Propylene glycol-F
"(2,5-Dimethoxyphenyl)acetone-F",Tetrahydro-solasodine triacetate-F
"(2,5-Dimethoxyphenyl)acetone-F",Triethyl citrate-F
"(2,5-Dimethoxyphenyl)acetone-F",Yangonin-F
