node1,node2
Comt-T,"1-Heptanol, 2-propyl--F"
Comt-T,"3,3-Dimethylacrylic acid-F"
Comt-T,"4,5-Dihydro-1H-pyrazole-F"
Comt-T,Niacinamide-F
Comt-T,Sulindac-F
Tpd52l2-T,"3,3-Dimethylacrylic acid-F"
Tpd52l2-T,3-Hydroxymethyl-2-trimethylsilyloxypentane-F
Tpd52l2-T,L-Threonine-F
Tpd52l2-T,Luciferin-F
Tpd52l2-T,N-Isobutyrylglycine-F
Tpd52l2-T,Octadecanoic acid-F
Tpd52l2-T,Sulindac-F
Dlg3-T,Chlorobenzilate-F
Dlg3-T,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester-F"
Heatr6-T,"1-Heptanol, 2-propyl--F"
Heatr6-T,"2-Butene-1,4-diol-F"
Heatr6-T,2-Cyanobenzaldehyde-F
Heatr6-T,5-Nitroso-8-quinolinol-F
Heatr6-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Heatr6-T,L-Ornithine-F
Heatr6-T,Octadecanoic acid-F
Cfp-T,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]-F"
Cfp-T,"3,3-Dimethylacrylic acid-F"
Cfp-T,"4,5-Dihydro-1H-pyrazole-F"
Cfp-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Cfp-T,Benzeneacetic acid-F
Cfp-T,Tyr-Val-F
Tulp3-T,"1-Heptanol, 2-propyl--F"
Tulp3-T,"2-Butene-1,4-diol-F"
Tulp3-T,2-Ethylhexanoic acid-F
Tulp3-T,"3,3-Dimethylacrylic acid-F"
Tulp3-T,5-Nitroso-8-quinolinol-F
Tulp3-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Tulp3-T,Chlorobenzilate-F
Tulp3-T,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester-F"
Tulp3-T,Trimethylolpropane-F
Tulp3-T,Tyr-Val-F
Ddt-T,"1-Heptanol, 2-propyl--F"
Ddt-T,Chlorobenzilate-F
Ddt-T,L-Glutamic acid-F
Ddt-T,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester-F"
Folh1-T,"1-Heptanol, 2-propyl--F"
Folh1-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Folh1-T,"3,3-Dimethylacrylic acid-F"
Folh1-T,"4,5-Dihydro-1H-pyrazole-F"
Folh1-T,5-Nitroso-8-quinolinol-F
Folh1-T,Adipoyl-L-carnitine-F
Folh1-T,alpha-Hydroxyisobutyric acid-F
Folh1-T,Octanoic acid-F
Folh1-T,Urea-F
Ppm1j-T,"1,2-Bis(trimethylsiloxy)cyclohexene-F"
Ppm1j-T,"1-Heptanol, 2-propyl--F"
Ppm1j-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Ppm1j-T,Octadecanoic acid-F
Ppm1j-T,Oleamide-F
Ppm1j-T,Sulindac-F
Ccdc97-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Ccdc97-T,Benzeneacetic acid-F
Ccdc97-T,Cholesterol-F
Ccdc97-T,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester-F"
Ccdc97-T,L-Threonine-F
Ccdc97-T,Luciferin-F
Ccdc97-T,Octanoic acid-F
Ccdc97-T,"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl--F"
Ccdc97-T,Tyr-Val-F
Shh-T,"2-Butene-1,4-diol-F"
Shh-T,3-Hydroxymethyl-2-trimethylsilyloxypentane-F
Shh-T,Aceturic acid-F
Shh-T,Benzeneacetic acid-F
Shh-T,Octadecanoic acid-F
Shh-T,Picolinic acid-F
Shh-T,Trimethylolpropane-F
Plekha3-T,"1-Heptanol, 2-propyl--F"
Plekha3-T,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-F"
Plekha3-T,"3,3-Dimethylacrylic acid-F"
Plekha3-T,"4,5-Dihydro-1H-pyrazole-F"
Plekha3-T,Tyr-Val-F
Kdelr1-T,Chlorobenzilate-F
Atg4d-T,"1,2-Bis(trimethylsiloxy)cyclohexene-F"
Atg4d-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Atg4d-T,Benzeneacetic acid-F
Atg4d-T,Cholesterol-F
Atg4d-T,L-Serine-F
Atg4d-T,Octadecanoic acid-F
Atg4d-T,Octanoic acid-F
Arrdc2-T,"3,3-Dimethylacrylic acid-F"
Arrdc2-T,Benzeneacetic acid-F
Arrdc2-T,L-Glutamic acid-F
Arrdc2-T,Lupinine-F
Arrdc2-T,Tyr-Val-F
Pnkp-T,"2-Butene-1,4-diol-F"
Pnkp-T,"4,5-Dihydro-1H-pyrazole-F"
Pnkp-T,Chlorobenzilate-F
Grk5-T,"1,2-Bis(trimethylsiloxy)cyclohexene-F"
Grk5-T,"2-Butene-1,4-diol-F"
Grk5-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Grk5-T,Sulindac-F
Grk5-T,Trimethylolpropane-F
Grk5-T,Tyr-Val-F
Plag1-T,"2-Butene-1,4-diol-F"
Plag1-T,"3,3-Dimethylacrylic acid-F"
Plag1-T,5-Nitroso-8-quinolinol-F
Plag1-T,Benzeneacetic acid-F
Plag1-T,L-Glutamic acid-F
Plag1-T,L-Threonine-F
Plag1-T,Trimethylolpropane-F
Plag1-T,Tyr-Val-F
Etv3-T,"1-Heptanol, 2-propyl--F"
Etv3-T,2-Ethylhexanoic acid-F
Etv3-T,"3,3-Dimethylacrylic acid-F"
Etv3-T,5-Nitroso-8-quinolinol-F
Etv3-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Etv3-T,Chlorobenzilate-F
Etv3-T,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester-F"
Etv3-T,Tyr-Val-F
St8sia6-T,"2-Butene-1,4-diol-F"
St8sia6-T,5-Nitroso-8-quinolinol-F
St8sia6-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
St8sia6-T,Benzeneacetic acid-F
St8sia6-T,Chlorobenzilate-F
St8sia6-T,Durapan-F
St8sia6-T,Tyr-Val-F
Nosip-T,"1-Heptanol, 2-propyl--F"
Nosip-T,5-Nitroso-8-quinolinol-F
Nosip-T,6-Nitroveratryl alcohol-F
Nosip-T,Chlorobenzilate-F
Nosip-T,L-Glutamic acid-F
Nosip-T,Sulindac-F
Nosip-T,Tyr-Val-F
Bicd1-T,"1-Heptanol, 2-propyl--F"
Bicd1-T,"2-(Ethylamino)ethanol, N-acetyl-F"
Bicd1-T,"2,5-Dimethoxybenzonitrile-F"
Bicd1-T,2-Cyanobenzaldehyde-F
Bicd1-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Bicd1-T,Benzeneacetic acid-F
Bicd1-T,Octanoic acid-F
Ess2-T,"1,2-Bis(trimethylsiloxy)cyclohexene-F"
Ess2-T,"2-Butene-1,4-diol-F"
Ess2-T,5-Nitroso-8-quinolinol-F
Ess2-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Ess2-T,L-Threonine-F
Ess2-T,Lupinine-F
Ess2-T,Tyr-Val-F
Ercc1-T,"1-Heptanol, 2-propyl--F"
Ercc1-T,"1-Octanol, 2-butyl--F"
Ercc1-T,Benzeneacetic acid-F
Ercc1-T,Chlorobenzilate-F
Ercc1-T,L-Glutamic acid-F
Ercc1-T,L-Ornithine-F
Ercc1-T,Octadecanoic acid-F
Ercc1-T,Sulindac-F
Itpkc-T,5-Nitroso-8-quinolinol-F
Itpkc-T,6-Nitroveratryl alcohol-F
Itpkc-T,Chlorobenzilate-F
Itpkc-T,L-Threonine-F
Itpkc-T,N-Ethylamphetamine-F
Itpkc-T,Tyr-Val-F
Rpl8-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Rpl8-T,"4,5-Dihydro-1H-pyrazole-F"
Rpl8-T,5-Nitroso-8-quinolinol-F
Rpl8-T,6-Nitroveratryl alcohol-F
Rpl8-T,Ethanolamine-F
Rpl8-T,Octanoic acid-F
Rpl8-T,Sulindac-F
Rpl8-T,Tyr-Val-F
Hmox2-T,"1-Heptanol, 2-propyl--F"
Hmox2-T,Chlorobenzilate-F
Hmox2-T,L-Glutamic acid-F
Hmox2-T,Nonanoic acid-F
Hmox2-T,Tyr-Val-F
Map3k20-T,"1-Heptanol, 2-propyl--F"
Map3k20-T,"4,5-Dihydro-1H-pyrazole-F"
Map3k20-T,Benzeneacetic acid-F
Map3k20-T,L-Threonine-F
Map3k20-T,Sulindac-F
Etv1-T,"4,5-Dihydro-1H-pyrazole-F"
Etv1-T,Benzeneacetic acid-F
Etv1-T,Chlorobenzilate-F
Etv1-T,L-Glutamic acid-F
Etv1-T,L-Threonine-F
Etv1-T,Lupinine-F
Etv1-T,Tyr-Val-F
Emg1-T,"2-Butene-1,4-diol-F"
Emg1-T,3-Hydroxymethyl-2-trimethylsilyloxypentane-F
Emg1-T,"4,5-Dihydro-1H-pyrazole-F"
Emg1-T,L-Glutamic acid-F
Emg1-T,Trimethylolpropane-F
Emg1-T,Tyr-Val-F
Utp20-T,"1-Heptanol, 2-propyl--F"
Utp20-T,Chlorobenzilate-F
Utp20-T,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester-F"
Utp20-T,Sulindac-F
9330159F19Rik-T,"1-Heptanol, 2-propyl--F"
9330159F19Rik-T,"3,3-Dimethylacrylic acid-F"
9330159F19Rik-T,"4,5-Dihydro-1H-pyrazole-F"
9330159F19Rik-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
9330159F19Rik-T,Sulindac-F
9330159F19Rik-T,Tyr-Val-F
Gab2-T,"1-Heptanol, 2-propyl--F"
Gab2-T,2-Buten-1-ol-F
Gab2-T,5-Nitroso-8-quinolinol-F
Gab2-T,6-Nitroveratryl alcohol-F
Gab2-T,Chlorobenzilate-F
Gab2-T,Sulindac-F
Prcc-T,"2-Butene-1,4-diol-F"
Prcc-T,3-Hydroxymethyl-2-trimethylsilyloxypentane-F
Prcc-T,Guanosine-F
Prcc-T,L-Glutamic acid-F
Tmem242-T,5-Nitroso-8-quinolinol-F
Tmem242-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Tmem242-T,6-Nitroveratryl alcohol-F
Tmem242-T,Chlorobenzilate-F
Tmem242-T,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester-F"
Rasa4-T,"1,2-Bis(trimethylsiloxy)cyclohexene-F"
Rasa4-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Rasa4-T,Benzeneacetic acid-F
Rasa4-T,Tyr-Val-F
