node1,node2
nan-R,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone-F"
nan-R,L-Val-L-Leu-F
nan-R,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine-F"
nan-R,Tyr-Val-F
nan-R,2-Aminoquinolin-8-ol-F
nan-R,2-Norbornanemethanol-F
nan-R,Isosorbide-F
nan-R,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester-F"
nan-R,"1,2-Bis(trimethylsiloxy)cyclohexene-F"
nan-R,"13-Docosenamide, (Z)-F"
nan-R,"3,4-Dihydroxybenzaldehyde-F"
nan-R,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)-F"
nan-R,Curcumin-F
nan-R,L-(+)-Threose-F
nan-R,Tetrahydro-solasodine triacetate-F
nan-R,Yangonin-F
nan-R,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-F"
nan-R,"13-Docosenamide, (Z)-F"
nan-R,"2,4-Dimethoxybenzaldoxime-F"
nan-R,3-(4-Methoxyphenyl)coumarin-F
nan-R,Isosorbide-F
nan-R,L-(+)-Threose-F
nan-R,L-Ornithine-F
nan-R,Octadecanoic acid-F
nan-R,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester-F"
nan-R,2-Norbornanemethanol-F
nan-R,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone-F"
nan-R,"4,5-Dihydro-1H-pyrazole-F"
nan-R,Chlorobenzilate-F
nan-R,Glabridin-F
nan-R,L-Val-L-Leu-F
nan-R,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine-F"
nan-R,"2,4-Dimethoxybenzaldoxime-F"
nan-R,4-tert-Butyldimethylsiloxy-3-penten-2-one-F
nan-R,Diclofenac-F
nan-R,Octadecanoic acid-F
nan-R,"1,2-Bis(trimethylsiloxy)cyclohexene-F"
nan-R,2-Aminoquinolin-8-ol-F
nan-R,Isosorbide-F
nan-R,L-(+)-Threose-F
nan-R,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine-F"
nan-R,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--F"
