node1,node2
nan-C,Azelaic acid-F
nan-C,Butanedioic acid-F
nan-C,"2,5-Dimethoxybenzhydrazide-F"
nan-C,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal-F"
nan-C,Aceturic acid-F
nan-C,Cyclooctylamine-F
nan-C,Diethylamine-F
nan-C,Azelaic acid-F
nan-C,Cyclobutylamine-F
nan-C,"2,4-Di-tert-butylphenol-F"
nan-C,Isopropylamine-F
nan-C,Butachlor ESA-F
nan-C,2-Butenedioic acid-F
nan-C,"2,5-Dimethoxybenzonitrile-F"
nan-C,"Benzene, 1,4-dimethoxy-F"
nan-C,Butachlor ESA-F
nan-C,Diethylamine-F
nan-C,Glycerol-F
nan-C,"2-Cyclohexen-1-one, 3-methyl--F"
nan-C,L-Tyrosine-F
nan-C,Suberic acid-F
nan-C,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-F"
nan-C,Azelaic acid-F
nan-C,"1-Octanol, 2-butyl--F"
nan-C,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate-F"
nan-C,Butachlor ESA-F
nan-C,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether-F"
nan-C,"3,4-Methylenedioxyamphetamine-F"
nan-C,3-Heptanol-F
nan-C,Azelaic acid-F
nan-C,"N,N-Dimethyl-2-aminoethanol-F"
nan-C,Benzophenone-F
nan-C,Oleamide-F
nan-C,"Cyclohexanone, 3,3,5-trimethyl-F"
nan-C,Xylazine-F
nan-C,"3,4,5-Trimethoxyamphetamine-F"
nan-C,Azelaic acid-F
nan-C,Picolinic acid-F
nan-C,2-Amino-4-methylbenzophenone-F
nan-C,Aceturic acid-F
nan-C,Benzophenone-F
nan-C,Aceturic acid-F
nan-C,Azelaic acid-F
nan-C,"Benzoic acid, methyl ester-F"
nan-C,6-Methyluracil-F
nan-C,"Hymexazole, tert-butyldimethylsilyl ether-F"
nan-C,Benzoic Acid-F
nan-C,Azelaic acid-F
nan-C,Azelaic acid-F
nan-C,Butanedioic acid-F
