node1,node2
Cfp-T,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]-F"
Cfp-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Tulp3-T,4-Aminobutanoic acid-F
Folh1-T,"1-Octanol, 2-butyl--F"
Folh1-T,Acetic acid-F
Folh1-T,Adipoyl-L-carnitine-F
Folh1-T,alpha-Hydroxyisobutyric acid-F
Folh1-T,Urea-F
Ppm1j-T,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone-F"
Ppm1j-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Ccdc97-T,Benzophenone-F
Ccdc97-T,Cholesterol-F
Ccdc97-T,"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl--F"
Shh-T,Aceturic acid-F
Shh-T,Butanedioic acid-F
Shh-T,Diethylamine-F
Shh-T,Levulinic acid-F
Shh-T,Picolinic acid-F
Shh-T,Trimethylolpropane-F
Plekha3-T,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate-F"
Atg4d-T,Cholesterol-F
Arrdc2-T,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-F"
Etv3-T,Butanedioic acid-F
St8sia6-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Nosip-T,Azelaic acid-F
Nosip-T,Ethanolamine-F
Ess2-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Ercc1-T,Acetic acid-F
Hmox2-T,Ethanolamine-F
Etv1-T,L-Glutamic acid-F
Emg1-T,2-Butenedioic acid-F
Emg1-T,L-Glutamic acid-F
Emg1-T,Trimethylolpropane-F
Rasa4-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Slc1a2-T,Adipoyl-L-carnitine-F
Pard6a-T,Azelaic acid-F
Apc-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Tbcb-T,alpha-Hydroxyisobutyric acid-F
Tbcb-T,Ethanolamine-F
Kmt2b-T,DL-Glyceraldehyde-F
Rps9-T,Cholesterol-F
Rps9-T,"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl--F"
Psmd2-T,Benzophenone-F
Pole-T,L-Glutamic acid-F
Dqx1-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Sdhb-T,Azelaic acid-F
Trpv4-T,m-Toluic acid-F
Fam120b-T,2-Pyrrolidone-5-carboxylic acid-F
Fam120b-T,8-Methylnonanoic acid-F
Fam120b-T,Hydracrylic acid-F
Fam120b-T,N-Acetylaminoethanol-F
Fam120b-T,Synephrine-F
Fam120b-T,Uracil-F
Nol3-T,Azelaic acid-F
Nol3-T,Ethanolamine-F
Sirt2-T,Aconitic acid-F
Mtif3-T,Triethyl citrate-F
Mrps18c-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Gdf9-T,Ethanolamine-F
Aatf-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Dalrd3-T,N-Isobutyrylglycine-F
Mydgf-T,Aconitic acid-F
L3hypdh-T,alpha-Hydroxyisobutyric acid-F
Rgs17-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Cand1-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Vps13d-T,Norephedrine-F
Patz1-T,Synephrine-F
Cyria-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Cyria-T,Synephrine-F
Sdc1-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Sdc1-T,2-Naphthol-F
Sdc1-T,6-Methyluracil-F
Sdc1-T,"Hymexazole, tert-butyldimethylsilyl ether-F"
Sdc1-T,Uracil-F
Dus4l-T,4-Methoxyphenol-F
Dus4l-T,Adipoyl-L-carnitine-F
Cdc27-T,6-Methyluracil-F
Gh-T,Methyl lactate-F
Unk-T,N-Acetylaminoethanol-F
Tekt1-T,"2,4,6-Cycloheptatrien-1-one-F"
Slc13a5-T,Norephedrine-F
Mxra7-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Spata7-T,DL-Glyceraldehyde-F
Npas3-T,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester-F"
Ttc8-T,"1-Octanol, 2-butyl--F"
Ttc8-T,Acetic acid-F
Ttc8-T,alpha-Hydroxyisobutyric acid-F
Ttc8-T,Azelaic acid-F
Ttc8-T,Salsoline-F
Ttc8-T,Urea-F
