node1,node2
Tbx2-B,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone-F"
Tbx2-B,L-Val-L-Leu-F
Tbx2-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine-F"
Tbx2-B,Tyr-Val-F
Tbrg4-B,2-Aminoquinolin-8-ol-F
Tbrg4-B,2-Norbornanemethanol-F
Tbrg4-B,Isosorbide-F
Tbrg4-B,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester-F"
Itga5-B,"1,2-Bis(trimethylsiloxy)cyclohexene-F"
Itga5-B,"13-Docosenamide, (Z)-F"
Itga5-B,"3,4-Dihydroxybenzaldehyde-F"
Itga5-B,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)-F"
Itga5-B,Curcumin-F
Itga5-B,L-(+)-Threose-F
Itga5-B,Tetrahydro-solasodine triacetate-F
Itga5-B,Yangonin-F
Adora3-B,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-F"
Adora3-B,"13-Docosenamide, (Z)-F"
Adora3-B,"2,4-Dimethoxybenzaldoxime-F"
Adora3-B,3-(4-Methoxyphenyl)coumarin-F
Adora3-B,Isosorbide-F
Adora3-B,L-(+)-Threose-F
Adora3-B,L-Ornithine-F
Adora3-B,Octadecanoic acid-F
Sema4f-B,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester-F"
Sema4f-B,2-Norbornanemethanol-F
Sema4f-B,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone-F"
Sema4f-B,"4,5-Dihydro-1H-pyrazole-F"
Sema4f-B,Chlorobenzilate-F
Sema4f-B,Glabridin-F
Sema4f-B,L-Val-L-Leu-F
Sema4f-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine-F"
S100a3-B,"2,4-Dimethoxybenzaldoxime-F"
S100a3-B,4-tert-Butyldimethylsiloxy-3-penten-2-one-F
S100a3-B,Diclofenac-F
S100a3-B,Octadecanoic acid-F
Icam2-B,"1,2-Bis(trimethylsiloxy)cyclohexene-F"
Icam2-B,2-Aminoquinolin-8-ol-F
Icam2-B,Isosorbide-F
Icam2-B,L-(+)-Threose-F
