node1,node2
Ckmt1-S,Azelaic acid-F
Acvrl1-S,Uracil-F
Icosl-S,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester-F"
Dnajc5-S,Azelaic acid-F
Ilf2-S,6-Methyluracil-F
Ilf2-S,"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester-F"
Ilf2-S,Heptylamine-F
Ilf2-S,Monocaproin-F
Luzp1-S,Azelaic acid-F
Akr1b1-S,"2,4,6-Cycloheptatrien-1-one-F"
Tspan33-S,Palmitic Acid-F
Emd-S,Butanedioic acid-F
Emd-S,Ethanolamine-F
Smg9-S,2-Ethylhexanoic acid-F
Smg9-S,"2-Methyl-1,3-butanediol-F"
Smg9-S,"Hymexazole, tert-butyldimethylsilyl ether-F"
Smg9-S,Pentanoic acid-F
Smg9-S,Uracil-F
Zim1-S,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-F"
Med25-S,Pentanoic acid-F
Med25-S,Uracil-F
Impdh1-S,L-Glutamic acid-F
Calb2-S,"1-(2,4-Dimethoxyphenyl)-propan-2-one-F"
Cdip1-S,"2,5-Dimethoxybenzonitrile-F"
Cdip1-S,"2',5'-Dimethoxypropiophenone-F"
Cdip1-S,alpha-Hydroxyisobutyric acid-F
Cdip1-S,Cyclooctylamine-F
Coro1c-S,Aceturic acid-F
Coro1c-S,Cyclooctylamine-F
Coro1c-S,Ethanolamine-F
Coro1c-S,Lignoceric acid-F
Thop1-S,"3,4,5-Trimethoxyamphetamine-F"
Thop1-S,2-Propyl-1-pentanol-F
Zfp287-S,2-Propyl-1-pentanol-F
Prlr-S,"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester-F"
Slc1a3-S,Acetic acid-F
Slc1a3-S,Ethanolamine-F
Celf1-S,Xylazine-F
Epor-S,Myristic acid-F
Epor-S,Pipecolic acid-F
Ndor1-S,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)-F"
Ndor1-S,"Propanoic acid, dimethyl(isopropyl)silyl ester-F"
Eif1b-S,"2,4-Di-tert-butylphenol-F"
Eif1b-S,alpha-Hydroxyisobutyric acid-F
Eif1b-S,Butanedioic acid-F
Snap47-S,Palmitic Acid-F
Aldh3a2-S,4-Methylvaleric acid-F
Rps5-S,Azelaic acid-F
Tbp-S,2-Butenedioic acid-F
Tbp-S,L-Glutamic acid-F
Tbp-S,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)--F"
Tbp-S,Pentanoic acid-F
Lrrk1-S,2-Butenedioic acid-F
Lrrk1-S,Pentanoic acid-F
Xk-S,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester-F"
Pdzd11-S,Methyl lactate-F
Atxn10-S,Diethylamine-F
Atxn10-S,"Erythrono-1,4-lactone-F"
Plcg1-S,"2-Methylcyclohexanol, (Z)-F"
Rarb-S,"2,4,4'-Trihydroxybenzophenone-F"
Rarb-S,"Oxymorphone, bis(trimethylsilyl) ether-F"
Rarb-S,Xylazine-F
Mapt-S,Lignoceric acid-F
Kansl1-S,DL-Glyceraldehyde-F
Acadvl-S,"2,3-Dihydroxybutanoic acid-F"
Smyd4-S,2-Methyl-3-pentanol-F
Smyd4-S,L-Glutamic acid-F
Mrpl58-S,Ethanolamine-F
Cacng2-S,Crotonic acid-F
Cacng2-S,Synephrine-F
Tmem160-S,"2,4-Di-tert-butylphenol-F"
Tmem160-S,Butanedioic acid-F
Tmem160-S,Palmitic Acid-F
H13-S,Azelaic acid-F
Utrn-S,Xylazine-F
Smpdl3a-S,"2',5'-Dimethoxypropiophenone-F"
Smpdl3a-S,Palmitic Acid-F
Bltp3b-S,L-Glutamic acid-F
Med23-S,"2,3-Dihydroxybutanoic acid-F"
Med23-S,"2,4-Di-tert-butylphenol-F"
Med23-S,Ethanolamine-F
Cdk17-S,L-Glutamic acid-F
Slc1a4-S,Butanedioic acid-F
Uqcr11-S,Azelaic acid-F
Uqcr11-S,Lactic acid-F
Uqcr11-S,Palmitic Acid-F
Zpbp-S,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether-F"
