CSF_node,Total_degree,STM_degree,RBN_degree,CPX_degree,CTX_degree,CSF_degree
"(2,5-Dimethoxyphenyl)acetone-F",14,4,3,1,3,3
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester-F",14,6,1,1,5,1
"1,2-Cyclohexanediol, (Z)-F",16,3,4,1,3,5
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans--F",4,0,0,2,2,0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-F",12,6,0,0,3,3
"1-(2,4-Dimethoxyphenyl)-propan-2-one-F",6,2,3,1,0,0
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine-F",18,3,5,3,5,2
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone-F",10,2,0,0,1,7
1-(Cyclohexylmethyl)-4-piperidinylamine-F,2,1,0,0,0,1
1-Octadecanol-F,42,9,2,0,22,9
"1-Octanol, 2-butyl--F",13,5,0,3,3,2
"2',5'-Dimethoxypropiophenone-F",14,6,1,1,0,6
"2(5H)-Furanone, 4-(hydroxymethyl)-F",18,2,4,1,7,4
"2,2'-Bipyridine-F",14,3,1,1,1,8
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate-F",9,6,2,1,0,0
"2,4,6-Cycloheptatrien-1-one-F",18,7,0,0,9,2
"2,4-Imidazolidinedione, 5,5-dimethyl-F",16,8,1,0,2,5
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole-F",7,0,0,0,1,6
"2,5-Dimethoxybenzhydrazide-F",10,0,0,0,1,9
"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol-F",12,7,0,0,4,1
"2-(Ethylamino)ethanol, N-acetyl-F",8,3,1,1,3,0
2-(Methylamino)ethanol-F,4,3,0,0,0,1
2-Amino-4-methylbenzophenone-F,6,1,0,0,1,4
2-Butenedioic acid-F,8,3,2,1,1,1
"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]-F",8,1,0,1,4,2
"2-Cyclohexen-1-one, 3-methyl--F",8,2,1,3,0,2
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-F",4,1,1,0,1,1
2-Decanol-F,9,2,1,0,1,5
2-Ethyl-1-butanol-F,103,93,4,0,3,3
2-Furoic acid-F,16,5,3,2,4,2
2-Hexanol-F,5,2,0,0,2,1
2-Hydroxy-3-methylbutyric acid-F,14,3,0,0,0,11
"2-Methyl-1,3-butanediol-F",2,1,0,0,0,1
2-Methyl-3-pentanol-F,12,3,1,0,1,7
2-Pentadecanone-F,16,3,3,1,3,6
2-Propyl-1-pentanol-F,9,3,1,0,1,4
2-Pyrrolidone-5-carboxylic acid-F,5,2,1,0,0,2
"3,4,5-Trimethoxyamphetamine-F",8,2,0,1,4,1
"3,4-Methylenedioxyamphetamine-F",9,3,1,1,0,4
"3,5-Dimethylphenol-F",17,4,1,3,6,3
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal-F",14,0,1,1,5,7
3-Amino-5-methylisoxazole-F,10,5,3,0,1,1
3-Heptanol-F,6,0,1,3,1,1
4-Aminobutanoic acid-F,7,3,1,0,0,3
4-Methoxyphenol-F,18,13,0,2,0,3
5-Azacytosine-F,3,0,1,0,1,1
"5-Chlorovaleric acid, nonyl ester-F",11,3,1,1,5,1
"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether-F",15,9,2,3,1,0
5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone-F,4,1,2,0,0,1
5-Oxohexanoic Acid-F,16,11,3,0,1,1
6-Methyluracil-F,17,2,0,2,1,12
6-Oxoheptanoic acid-F,6,3,1,0,0,2
8-Methylnonanoic acid-F,3,1,0,1,0,1
Aceturic acid-F,23,12,2,4,5,0
Aconitic acid-F,7,2,1,2,1,1
Adenine-F,14,1,0,1,1,11
Allylescaline-F,4,0,1,2,1,0
Aniline-F,5,2,2,1,0,0
Azelaic acid-F,52,20,4,15,13,0
"Benzene, 1,4-dimethoxy-F",3,1,0,0,0,2
Benzenepropanoic acid-F,8,5,0,1,0,2
"Benzenesulfonamide, N-butyl-F",12,0,1,1,0,10
Benzoic Acid-F,10,0,1,4,5,0
"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester-F",13,4,2,2,3,2
"Benzoic acid, methyl ester-F",15,3,2,5,5,0
Benzophenone-F,9,4,0,0,1,4
Benzyl alcohol-F,12,5,2,2,1,2
Biphenyl-F,8,1,1,0,4,2
Butachlor ESA-F,13,0,0,0,0,13
Citramalic acid-F,4,1,0,0,1,2
Crotonic acid-F,3,0,1,0,1,1
Curcumin-F,9,3,2,0,2,2
Cycloheptanol-F,6,3,0,1,1,1
"Cyclohexanone, 3,3,5-trimethyl-F",14,0,0,4,2,8
Cyclooctylamine-F,17,5,0,1,2,9
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy--F",7,0,0,1,0,6
DL-p-Hydroxyphenyllactic acid-F,4,0,1,1,0,2
Diacetyl monoxime-F,4,1,0,0,2,1
Diethylamine-F,12,1,0,3,2,6
Dodecanoic acid-F,9,4,3,0,1,1
Durapan-F,10,4,0,0,1,5
"Erythrono-1,4-lactone-F",8,4,0,0,2,2
Ethanolamine-F,34,15,5,1,13,0
Frangulin-F,7,0,0,1,0,6
Glycerol-F,7,3,0,0,1,3
Glycolic acid-F,14,2,4,4,2,2
Heptylamine-F,6,3,1,0,0,2
Hexacosanoic acid-F,16,6,0,0,0,10
Hydracrylic acid-F,5,2,1,0,1,1
"Hymexazole, tert-butyldimethylsilyl ether-F",16,2,0,2,0,12
Isobutanol-F,13,4,3,0,1,5
Isopropyl palmitate-F,9,0,0,2,0,7
Isopropylamine-F,17,4,1,3,6,3
Ketamine-F,7,1,0,1,0,5
"Kojic acid, bis(tert-butyldimethylsilyl) ether-F",17,5,0,1,0,11
L-Alanine-F,7,0,0,0,0,7
L-Glutamic acid-F,101,42,12,0,46,1
L-Glutamine-F,13,2,3,1,1,6
"L-Histidine, N,1-bis(tert-butyldimethylsilyl)--F",16,4,4,1,6,1
L-Leucine-F,4,1,0,0,1,2
L-Lysine-F,30,25,2,0,2,1
