node1,node2
Sema4f-B,2410124H12Rik-B
Icam2-B,Nipal4-B
Crnkl1-B,Tmem168-B
Crnkl1-B,Smarcc1-B
Crnkl1-B,Crebrf-B
Crnkl1-B,Kif1b-B
Slc1a5-B,Btg3-B
Cse1l-B,Ube2v2-B
Cse1l-B,Api5-B
Fkbp7-B,Klf8-B
Tomm40-B,Cenpj-B
Tomm40-B,AU041133-B
Brinp2-B,Api5-B
Brinp2-B,Fam13a-B
Ripk4-B,Dchs2-B
Slc1a3-B,Mgat4c-B
Prkaca-B,Ogdh-B
Prkaca-B,Emp2-B
Prkaca-B,Ankrd11-B
Prkaca-B,Rusc2-B
Prkaca-B,Cntln-B
Prkaca-B,Tubb3-B
Pfdn2-B,Pctp-B
Pfdn2-B,Usp43-B
Ezh1-B,Gpank1-B
Ccdc124-B,Gpr12-B
Rps18-B,Glul-B
Rps18-B,Ndufb11-B
Rps18-B,Rps29-B
Rps18-B,Atp1a3-B
Rps18-B,Mageh1-B
Rps18-B,Ppp1r3c-B
Rps18-B,Rps13-B
Zmynd10-B,Jrkl-B
Cyp2j9-B,Gm27184-B
Nek8-B,Dph5-B
Nkiras2-B,Baiap2-B
Pank3-B,H2-T22-B
Pank3-B,Gcnt4-B
Hint3-B,Trpc4ap-B
Mgat4c-B,Galnt15-B
Mrln-B,Igsf11-B
Apc2-B,Batf3-B
Tmbim4-B,Strap-B
Ogdh-B,Myrip-B
Ogdh-B,Mpp7-B
Hs1bp3-B,Csnk1a1-B
Rnf144a-B,Fermt1-B
Rnf144a-B,Gpr139-B
Acly-B,Gcnt1-B
Tshr-B,Ing2-B
Adck1-B,Gm9905-B
Cdk20-B,Tspan14-B
Mrpl36-B,Dnajc14-B
Ktn1-B,Cntln-B
Ktn1-B,Txlng-B
Ktn1-B,Ctnnal1-B
Ktn1-B,Sntb2-B
Galnt15-B,Ss18l2-B
Prkcd-B,Gng14-B
Fyb1-B,Mier3-B
Fyb1-B,Jrkl-B
Fyb1-B,Gm37390-B
Emp2-B,Glul-B
Dgcr8-B,Strap-B
Dgcr8-B,Coq5-B
Igsf11-B,Ormdl1-B
Btg3-B,Gxylt2-B
St6gal2-B,Ice2-B
Ppp2r2b-B,Rom1-B
Csnk1a1-B,Tmem168-B
Csnk1a1-B,Smarcc1-B
Rabgef1-B,Rabepk-B
Dnajc14-B,Ybx3-B
Fuom-B,Cox7b2-B
Cd151-B,Igdcc4-B
Cd151-B,Zfp804b-B
Mcrip2-B,Gem-B
Iscu-B,Ice2-B
Iscu-B,Zdhhc15-B
Iscu-B,Sec24c-B
Iscu-B,Tdrp-B
Ormdl1-B,Uevld-B
Glul-B,Ndufb11-B
Glul-B,Rps29-B
Glul-B,Atp1a3-B
Glul-B,Pantr1-B
Glul-B,Rps13-B
Cnih3-B,Fermt1-B
Batf3-B,Nalf1-B
Gca-B,Vstm4-B
Fgf7-B,1700008J07Rik-B
Fermt1-B,Gpr139-B
Ndufb5-B,Rpl12-B
Kpna4-B,Smarca1-B
Cks1b-B,Fam78a-B
Cks1b-B,1700008J07Rik-B
Bdh2-B,Rpl38-B
Bdh2-B,Rdh11-B
Bend5-B,9330136K24Rik-B
Eps15-B,Gm10643-B
Ccdc30-B,mt-Nd4-B
Nsun4-B,Gxylt2-B
Hspg2-B,Gm11942-B
Zbtb8a-B,Iqsec3-B
Nol9-B,Kifc3-B
Psmg3-B,Sntb2-B
Psmg3-B,Tubb3-B
Ogg1-B,Ankrd11-B
Rtn2-B,Cimap1d-B
Vwa3a-B,Rps12-B
Thumpd1-B,Zfp866-B
Ndufb11-B,Igf2bp2-B
Ndufb11-B,Rps29-B
Ndufb11-B,Atp1a3-B
Smarca1-B,Smarcc1-B
Smarca1-B,Smc1a-B
Btk-B,Rbms2-B
Tceal6-B,Dach1-B
Pllp-B,Entpd3-B
Pllp-B,Tmem88b-B
Hsd17b2-B,Ooep-B
Tmem231-B,Man2c1-B
Tmem231-B,Six4-B
Tmem231-B,Nhsl1-B
Irak1bp1-B,Dtnbp1-B
Ube2q2-B,AU041133-B
Ooep-B,Bltp3a-B
Smarcc1-B,Trpc4ap-B
Smarcc1-B,Sec24c-B
Smarcc1-B,Smc1a-B
Smarcc1-B,Crebrf-B
Ss18l2-B,Mrap-B
Mier3-B,Kif1b-B
Igdcc4-B,Tpst1-B
Ctdspl2-B,Ibtk-B
Antxr1-B,Rpl12-B
Antxr1-B,Gm15201-B
Igf2bp2-B,9330136K24Rik-B
Zdhhc15-B,Sec24c-B
Ndufb7-B,Rpl38-B
Tpst1-B,Ncs1-B
Gjc1-B,Lgr6-B
Gjc1-B,Tmem88b-B
Rps29-B,Rps13-B
Ankrd11-B,Trpc4ap-B
Ankrd11-B,Sec24c-B
Ankrd11-B,Pacsin1-B
Ankrd11-B,Smc1a-B
Ankrd11-B,Coq5-B
Ankrd11-B,Crebrf-B
Ankrd11-B,Kif1b-B
Dcaf15-B,Rbpj-B
Dcaf15-B,Lonp2-B
Dcaf15-B,Hs3st3b1-B
Pafah2-B,Uevld-B
Pank2-B,Rps13-B
Tspan14-B,Smc1a-B
Tspan14-B,Crebrf-B
Cntln-B,Ctnnal1-B
Cntln-B,Jrkl-B
Cntln-B,Gm37390-B
Trpc4ap-B,Sec24c-B
Trpc4ap-B,Smc1a-B
Trpc4ap-B,Crebrf-B
Sbf2-B,Ctnnal1-B
Rbpj-B,Smtnl2-B
Sec24c-B,Smc1a-B
Pacsin1-B,Smc1a-B
Pacsin1-B,Crebrf-B
Map7d2-B,Coq5-B
Smc1a-B,Coq5-B
Smc1a-B,Crebrf-B
Cdc42ep4-B,Kif1b-B
Tspo-B,Vstm4-B
Myrip-B,Nalf1-B
Tcf20-B,Dtnbp1-B
Tmem108-B,Rps13-B
Ptx4-B,Ncs1-B
Poln-B,Rps12-B
Pcdhb18-B,A230083G16Rik-B
Tdrp-B,Gm19391-B
Spink8-B,Taf1b-B
Ccdc96-B,Junb-B
Dach1-B,UNKNOWN_2821-B
Dtnbp1-B,Qrfpr-B
Dtnbp1-B,Gm15201-B
Pantr1-B,Tubb3-B
Lrrc43-B,Gpr139-B
Ppp1r3c-B,Rps13-B
Ccdc190-B,AU041133-B
Ccdc190-B,Gm19391-B
Hps6-B,Gm37390-B
Gm11637-B,Smim43-B
