node,BiBC
Mrps5-C,53.713770824487
Josd1-C,536.980091128984
Shc1-C,1612.1137537843795
Trappc14-C,4910.183866450866
Agrn-C,77.4574084420539
Zfp638-C,4778.016225655442
Irak1bp1-C,2774.0663915139003
Ube2m-C,1544.8415391719577
Wbp4-C,17147.670015086296
Evi5-C,10967.382122301715
Pcmtd1-C,11720.214518121
Cnih2-C,162.5735320668481
Tppp3-C,359.45625991307173
Vps36-C,1562.9415087450632
Cope-C,3018.000000000218
Nt5m-C,4908.525199824492
Id1-C,1509.000000000006
Slc44a1-C,619.4670225905518
Mcfd2-C,305.20249533173626
Gnas-C,1066.5925608840935
G2e3-C,6102.812095059463
Ndfip1-C,2781.9389406039404
Pkn2-C,2536.0113528823163
Ankrd12-C,13283.466028743436
Bclaf1-C,1010.0906152760191
Acox1-C,1604.383823033042
Smarca2-C,3461.496703354769
Dek-C,4092.9878020400934
mt-Nd2-C,2285.1024669564626
Ccdc59-C,22515.29884606616
Rock1-C,7514.549016682732
Eea1-C,4181.246118773889
Snrnp48-C,3977.578452441427
Ylpm1-C,4535.096316784398
Krcc1-C,2581.0397815634924
Wasl-C,12119.107770783909
Ergic2-C,4628.61628947593
Hsdl2-C,1508.9999999999409
Psip1-C,639.1388777519863
Sntb2-C,2138.8388855838475
Ccdc88a-C,2488.143780800719
Arid4a-C,2159.6910246656557
Rdx-C,1386.130748491012
Tmem161b-C,183.73229864899477
Tpr-C,1421.1135620091843
Frg1-C,3357.7721375298515
Clpp-C,8832.297476984095
Fhad1-C,3060.969610218499
Baz1b-C,1509.5984327555334
Luzp1-C,2014.5739641874236
B230219D22Rik-C,11825.03807291488
Rad50-C,2654.9647447586312
Rif1-C,2366.099874057913
Zfp1007-C,2647.120005889525
Kif21a-C,2485.5161654105677
Phactr2-C,2051.980022385738
Gtpbp4-C,2031.1800907652153
Slain2-C,36429.2218380117
Nedd4-C,7026.13879746334
Wbp11-C,11345.927341108712
Gm15408-C,9062.677696782494
Atf6b-C,19609.993737344743
Osbp-C,6865.340528608866
Cep41-C,294.04999049446485
Cd47-C,535.7113191673069
Aox3-C,4304.888579441759
Eef1a1-C,2010.2604980312408
Mfge8-C,25663.949348068298
