node,BiBC
Mrps5-C,23.023769638879898
Josd1-C,255.02710272910198
Shc1-C,462.03556902192946
Trappc14-C,2073.836641614372
Agrn-C,27.596721993396738
Zfp638-C,2050.536997365954
Irak1bp1-C,728.7121671723569
Ube2m-C,659.2623178172224
Wbp4-C,5274.992575330528
Evi5-C,3783.683886821433
Pcmtd1-C,3445.0628079925214
Cnih2-C,58.05743596487578
Tppp3-C,71.1267131059195
Vps36-C,621.7137817609474
Cope-C,1295.9999999999754
Nt5m-C,2166.1482536602275
Id1-C,647.9999999999725
Slc44a1-C,231.6918407036356
Mcfd2-C,127.7196004089371
Gnas-C,626.0517066283686
G2e3-C,2519.181513553596
Ndfip1-C,993.0890813363643
Pkn2-C,1014.8732353293062
Ankrd12-C,8756.976499398233
Bclaf1-C,278.6394694151309
Acox1-C,670.2008035690386
Smarca2-C,1604.2473783851772
Dek-C,1644.6779586493656
mt-Nd2-C,701.5288258815658
Ccdc59-C,3591.500193142145
Rock1-C,2799.653924395532
Eea1-C,1924.0970337208971
Snrnp48-C,983.3159870746306
Ylpm1-C,1673.3089198627035
Krcc1-C,952.9211508443199
Wasl-C,3983.657305371165
Ergic2-C,2168.817104124723
Hsdl2-C,648.0
Psip1-C,467.09561172913993
Sntb2-C,1096.5754318165318
Ccdc88a-C,1235.7996095604963
Arid4a-C,838.1578137159252
Rdx-C,531.6818804307575
Tmem161b-C,106.73957899315029
Tpr-C,478.4035789422518
Frg1-C,1112.4983543072055
Clpp-C,3393.817609366681
Fhad1-C,1190.4331360993535
Baz1b-C,316.09612098143225
Luzp1-C,646.9138648274986
B230219D22Rik-C,4538.236541946435
Rad50-C,969.0130184077624
Rif1-C,991.7323578561097
Zfp1007-C,957.5885963631173
Kif21a-C,1110.475311810139
Phactr2-C,857.1957309916977
Gtpbp4-C,660.7167765933139
Slain2-C,10394.540615934955
Nedd4-C,2498.4648237766555
Wbp11-C,3876.899322684663
Gm15408-C,6698.87907472555
Atf6b-C,7751.78479225541
Osbp-C,2925.6554796123755
Cep41-C,76.57872969876084
Cd47-C,134.03765108693025
Aox3-C,1813.9418002859545
Eef1a1-C,716.7528197479162
Mfge8-C,10658.874705261167
Psmd3-C,11959.862288902554
Rpl37-C,2101.557687176141
Emc3-C,2365.997592128477
Tulp4-C,270.8594140695573
Gm5141-C,6.646454085541419
Setx-C,2289.7630247585284
Ahcyl2-C,1269.7036155427909
Ndufa8-C,8.104269971787518
Hip1-C,683.9213394596425
Mafg-C,17399.228430471052
Dcaf12l1-C,684.4411753767764
Dlg4-C,1287.8877626400047
Sytl2-C,5525.914873669346
Tm9sf3-C,1341.224007056101
Dync1h1-C,2278.036475219732
Rab11fip5-C,4.363195275170252
Cebpz-C,753.2392267329856
Btbd2-C,303.59558932033576
Pawr-C,669.1767307600741
Thyn1-C,467.87368717991245
Usp9x-C,1401.7013174578549
Pabpc1-C,2222.837415633505
Kif2a-C,1271.9606641759615
Lepr-C,1062.937743144712
Pdap1-C,1754.1577380553915
Smc6-C,649.6373174405935
Mrps18a-C,218.17041729273592
Zhx1-C,4.415060300029415
Pi4ka-C,20605.18193651812
Pbx1-C,1960.6640808760324
Nkapd1-C,321.20629914794466
Nipbl-C,3545.637624031211
Phf3-C,1690.834370073627
Enpp5-C,52.28072512769575
Ash1l-C,2978.912212358454
Qser1-C,968.9552530325657
Hlf-C,0.0
Mtor-C,1295.9999999999782
Cast-C,3380.680121821164
Camsap2-C,648.000000000002
Dnajc21-C,13224.800314712282
Dhx29-C,1296.0000000000084
Csnk1a1-C,553.5840351394237
Sh3bgrl-C,635.4784271638107
Slc22a17-C,8243.706254808087
Pja2-C,1370.4086655522633
Ehd1-C,631.7986493337547
Map9-C,725.4986525456167
Serbp1-C,18724.135702801694
Pura-C,378.47484515113916
Slk-C,3101.019906656892
Zbtb7a-C,3127.3176517147945
Sppl3-C,604.1268582434982
Cdkn1c-C,272.3618713605619
Rbm27-C,1286.2813210419745
Ap2b1-C,384.716985240468
Iqgap2-C,3579.8901421832397
Eif3g-C,2178.2794713458247
Top1-C,963.7833437480515
Golm2-C,415.67201771614384
Vps13b-C,358.9707306563054
Cct4-C,27.48614133150946
Fgfr1op2-C,1650.5367860111724
Efhb-C,55.27775051410792
Lrp6-C,1020.9075491893931
Upf2-C,574.1590154162749
Fgl2-C,660.4174053978694
Cep290-C,2103.6968120829074
Ccdc186-C,1103.1510932187414
Sptan1-C,8569.403501696816
Exph5-C,319.8725044749085
Tet1-C,0.07160610707122336
Errfi1-C,0.035803053535611674
Mia2-C,13.574524952275292
Dap3-C,0.8394560402139843
Bcl7a-C,780.5008500830115
Morn4-C,0.0
Nicol1-C,1380.9508116666946
Ibtk-C,3371.83733164885
Psma4-C,2044.5261246647128
Arhgef12-C,1036.9334693790797
Arhgap5-C,25722.819222931772
Slc2a2-C,101.14376199992684
Wapl-C,1493.495338504572
Limch1-C,648.709501153904
Lrrc8a-C,4733.453007552952
Tspan9-C,6.018548996598712
Snora35-C,170.02092896566236
Rab5a-C,0.0
Smc4-C,602.5752224506821
Smarca5-C,3500.8078879331706
Scyl1-C,426.9295335883376
Lpgat1-C,48.811960492767064
Dnajc7-C,3810.9786029913766
Tmem259-C,3801.1526656220017
Rplp1-C,53.13792422813122
Adam15-C,923.463672906893
Eif3h-C,2876.2790341700256
Hk1-C,4459.279021612363
Ap3b1-C,196.23144479297756
Tkt-C,3052.2072415604243
Tada1-C,479.7033847735944
Guk1-C,241.8396235013057
Atp6v1f-C,606.9990244489269
Gpr162-C,152.6534907196142
Rab5c-C,774.2583786672755
Ilvbl-C,3357.464057313156
Ptk2b-C,637.7521572388686
Ubc-C,7529.745008865976
Tmem184c-C,1150.3508518791134
Rad54l2-C,124.7465729479501
Pfn1-C,9252.992689277846
Fcho2-C,1398.0748489080465
Mef2a-C,956.1007766130615
Fcf1-C,620.5026614032597
Lrrc17-C,243.24602147167712
Ctr9-C,1.3433806503573946
Mtrex-C,81.92580194092368
Src-C,10.768467330410456
Plgrkt-C,1331.3571062489282
St6galnac4-C,786.4472513208539
Ttf1-C,534.9186011867752
Fndc3a-C,874.0244641801423
Shb-C,1.8471498409981848
Ildr2-C,481.0646025390512
Arrdc4-C,0.0
Fer-C,450.65922589695015
Usf3-C,1234.4317352821542
Pak2-C,143.5338885519539
1110004F10Rik-C,164.8597520476101
Ro60-C,226.12475305696728
4930556M19Rik-C,271.0597592430358
Smim15-C,858.3382485480375
Npepps-C,11920.791209950741
Pten-C,164.00848777976276
Tagln2-C,199.3365987311674
Sufu-C,0.0
Chmp4c-C,0.0
Zfp383-C,647.9999999999905
Zfp975-C,940.3445656054139
Ppp1r12a-C,1233.7868798547306
Ubl3-C,429.22958081528174
Kras-C,34.38484221490162
Papss1-C,0.0
Bhmt2-C,1462.6672729165566
Gas6-C,1223.9955287058135
Amfr-C,1829.5164606833293
Prxl2c-C,781.2669777580393
Tceanc-C,1295.999999999921
Erbin-C,644.2858395088633
Fn3krp-C,18.767150976496044
Pqbp1-C,191.823762460645
Cog8-C,661.5929521681512
Aqp11-C,0.0
Samd14-C,4077.0795367810965
Dhx36-C,344.1488507439824
