node,BiBC
Mrps5-C,0.0
Josd1-C,256.20279336857004
Shc1-C,732.5907890936955
Trappc14-C,828.8751386323612
Agrn-C,15.265873905592402
Zfp638-C,1239.1449187243293
Irak1bp1-C,488.34044225705793
Ube2m-C,253.3907838185486
Wbp4-C,1558.32162653982
Evi5-C,5684.1612557740955
Pcmtd1-C,813.2641413065512
Cnih2-C,265.83570817108307
Tppp3-C,762.7575753088988
Vps36-C,297.15871247880176
Cope-C,492.0000000000355
Nt5m-C,880.5417977260669
Id1-C,246.00000000000387
Slc44a1-C,131.2564394076565
Mcfd2-C,30.342224433925367
Gnas-C,235.11907063589044
G2e3-C,995.020351708097
Ndfip1-C,497.8161533851726
Pkn2-C,322.8045378015093
Ankrd12-C,2380.7986235150674
Bclaf1-C,452.0115775855905
Acox1-C,269.9449252484208
Smarca2-C,391.52482846770033
Dek-C,802.743458082181
mt-Nd2-C,341.35447699801966
Ccdc59-C,870.6574934208907
Rock1-C,1704.1712370959456
Eea1-C,683.6569572604274
Snrnp48-C,719.0024790847905
Ylpm1-C,889.1563629676009
Krcc1-C,447.745993807145
Wasl-C,2076.3243963417935
Ergic2-C,810.4701162841119
Hsdl2-C,246.000000000002
Psip1-C,44.68915406311355
Sntb2-C,376.1726056038589
Ccdc88a-C,342.9770633568769
Arid4a-C,278.9996772413141
Rdx-C,314.0359375720607
Tmem161b-C,32.07779612483227
Tpr-C,131.40275461467678
Frg1-C,477.54721789034335
Clpp-C,653.4290801400655
Fhad1-C,437.7853741307765
Baz1b-C,1170.9479669261584
Luzp1-C,420.4803291962268
B230219D22Rik-C,4591.888146501789
Rad50-C,732.5360209840768
Rif1-C,1978.2627151006784
Zfp1007-C,539.4056979543312
Kif21a-C,353.360496161777
Phactr2-C,219.91677054742476
Gtpbp4-C,372.4693410896475
Slain2-C,7089.371634448535
Nedd4-C,1772.7753003618488
Wbp11-C,2768.509677116322
Gm15408-C,389.4099193499991
Atf6b-C,2475.84768853158
Osbp-C,1430.3005909667547
Cep41-C,83.23812263662458
Cd47-C,77.22578927371444
Aox3-C,888.0670014623227
Eef1a1-C,656.6621906022801
Mfge8-C,3242.2955888883
Psmd3-C,2867.6539674176224
Rpl37-C,1518.1005875073054
Emc3-C,758.2831624365309
Tulp4-C,264.95753904257816
Gm5141-C,176.69478175704856
Setx-C,2568.7920982523947
Ahcyl2-C,7201.906364172531
Ndufa8-C,55.66482264755737
Hip1-C,13.376236463438623
Mafg-C,1498.202760388597
Dcaf12l1-C,858.23811781773
Dlg4-C,1460.2539548948037
Sytl2-C,4521.126210399747
Tm9sf3-C,533.2059023766008
Dync1h1-C,1764.147939010015
Rab11fip5-C,25.373041436429556
Cebpz-C,99.42130022344801
Btbd2-C,1963.8139671338226
Pawr-C,465.01364356564443
Thyn1-C,128.96179102489467
Usp9x-C,518.3342165652535
Pabpc1-C,641.5747730551383
Kif2a-C,493.3532136424177
Lepr-C,388.5082690336399
Pdap1-C,1147.41997894833
Smc6-C,474.7458777475045
Mrps18a-C,58.7227841264429
Zhx1-C,56.23588120858208
Pi4ka-C,1599.1609097470696
Pbx1-C,510.96554475378286
Nkapd1-C,442.71175405848714
Nipbl-C,1129.0235769241488
Phf3-C,640.9356375452027
Enpp5-C,31.78524395890529
Ash1l-C,933.1601219905872
Qser1-C,677.54196589987
Hlf-C,0.0
Mtor-C,491.999999999997
Cast-C,761.465182452053
Camsap2-C,246.000000000002
Dnajc21-C,6358.539681915141
Dhx29-C,491.99999999999585
Csnk1a1-C,648.423084887802
Sh3bgrl-C,225.86246543446535
Slc22a17-C,6395.5994825581465
Pja2-C,1808.1431489491881
Ehd1-C,478.5736889050887
Map9-C,312.66955407283757
Serbp1-C,10388.248893210082
Pura-C,167.62041709912717
Slk-C,2023.4094159703104
Zbtb7a-C,1412.7021349207125
Sppl3-C,205.67223197687585
Cdkn1c-C,162.5071057460401
Rbm27-C,741.8269058894805
Ap2b1-C,263.16069982399625
Iqgap2-C,1669.8786958226472
Eif3g-C,874.1097908039496
Top1-C,375.0588218901639
Golm2-C,134.18241271106936
Vps13b-C,210.76540968420042
Cct4-C,18.116374941723976
Fgfr1op2-C,1366.1100186868919
Efhb-C,19.51614153457838
Lrp6-C,477.5929254203516
Upf2-C,222.95346549299023
Fgl2-C,325.10486438878735
Cep290-C,719.5279506237755
Ccdc186-C,326.64644905553143
Sptan1-C,3285.559440818251
Exph5-C,182.8405871343542
Tet1-C,0.0
Errfi1-C,0.0
Mia2-C,8.450643372829711
Dap3-C,0.8775486550486549
Bcl7a-C,90.16658303706002
Morn4-C,0.0
Nicol1-C,492.1521752698747
Ibtk-C,939.8924280754198
