node,BiBC
nan-C,0.0
Azelaic acid-F,16.473999445996622
Butanedioic acid-F,10.615467525230724
"2,5-Dimethoxybenzhydrazide-F",1.61283866734745
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal-F",2.9323258468346296
Aceturic acid-F,2.7978122123209936
Cyclooctylamine-F,3.848992513501296
Diethylamine-F,3.757278383691191
Cyclobutylamine-F,1.5323888719423382
"2,4-Di-tert-butylphenol-F",15.416913824784668
Isopropylamine-F,7.000958968099335
Butachlor ESA-F,8.42326485619107
2-Butenedioic acid-F,2.777456317916535
"2,5-Dimethoxybenzonitrile-F",1.2005510856481039
"Benzene, 1,4-dimethoxy-F",3.0861720006807825
Glycerol-F,73.36663904843024
"2-Cyclohexen-1-one, 3-methyl--F",1.2005510856481039
L-Tyrosine-F,10.03963023005064
Suberic acid-F,5.4239450503578635
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-F",16.89981548439006
"1-Octanol, 2-butyl--F",7.759672904100918
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate-F",7.105177382673511
"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether-F",23.112794621266247
"3,4-Methylenedioxyamphetamine-F",6.58617200068079
3-Heptanol-F,0.586172000680783
"N,N-Dimethyl-2-aminoethanol-F",2.8312394466549797
Benzophenone-F,1.9861720006807841
Oleamide-F,11.869505334014123
"Cyclohexanone, 3,3,5-trimethyl-F",0.586172000680783
Xylazine-F,48.33355832102844
"3,4,5-Trimethoxyamphetamine-F",3.0
Picolinic acid-F,1.5323888719423382
2-Amino-4-methylbenzophenone-F,3.5861720006807833
"Benzoic acid, methyl ester-F",3.537025038899461
6-Methyluracil-F,3.5978707186295025
"Hymexazole, tert-butyldimethylsilyl ether-F",1.9720970669937812
Benzoic Acid-F,8.060095693311576
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine-F",4.559774436090225
"(2,5-Dimethoxyphenyl)acetone-F",0.0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans--F",1.5861720006807838
Cholesterol-F,0.586172000680783
"2,3-Dihydroxybutanoic acid-F",4.0
