node,BiBC
nan-C,0.0
Azelaic acid-F,53.955894581486966
Butanedioic acid-F,20.64833577055802
"2,5-Dimethoxybenzhydrazide-F",10.475968849765236
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal-F",19.801299339491734
Aceturic acid-F,8.17900225620586
Cyclooctylamine-F,14.480282900677418
Diethylamine-F,7.018931315276849
Cyclobutylamine-F,19.18722642084799
"2,4-Di-tert-butylphenol-F",42.3788661188237
Isopropylamine-F,23.10200943130362
Butachlor ESA-F,12.447568736077725
2-Butenedioic acid-F,12.02644497018867
"2,5-Dimethoxybenzonitrile-F",4.0758853791853324
"Benzene, 1,4-dimethoxy-F",4.842235465504091
Glycerol-F,103.97801709845034
"2-Cyclohexen-1-one, 3-methyl--F",4.026009620244984
L-Tyrosine-F,15.731994064892627
Suberic acid-F,8.732380095738288
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-F",32.960426691029845
"1-Octanol, 2-butyl--F",12.437974657179765
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate-F",22.37164345998348
"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether-F",29.651746655132868
"3,4-Methylenedioxyamphetamine-F",9.33909574807865
3-Heptanol-F,7.437363822525807
"N,N-Dimethyl-2-aminoethanol-F",47.388880199162095
Benzophenone-F,11.550826304971144
Oleamide-F,17.08638424573409
"Cyclohexanone, 3,3,5-trimethyl-F",8.110099902411743
Xylazine-F,56.339129091514536
"3,4,5-Trimethoxyamphetamine-F",16.3629684887382
Picolinic acid-F,20.62853193274216
2-Amino-4-methylbenzophenone-F,10.189965110769352
"Benzoic acid, methyl ester-F",20.068457010522234
6-Methyluracil-F,9.043959237674038
"Hymexazole, tert-butyldimethylsilyl ether-F",4.573139260856535
Benzoic Acid-F,25.273191475645422
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine-F",26.82557439991787
"(2,5-Dimethoxyphenyl)acetone-F",4.0
