Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000042626,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.5797710356524484,0.227783956715016,6,-0.8441343943477072,0.0005542616819347,12,True,-,0.1464296617065975
ENSMUSG00000044224,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",0.5,0.6666666666666666,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.8461538461538463,0.000521133700481,12,True,+,0.1426680982801191
ENSMUSG00000044224,Aceturic acid,0.5,0.6666666666666666,3,,,0,0.8285714285714287,0.0415626822157433,6,0.9636363636363636,1.8520398640703128e-06,11,True,+,0.0256524522528137
ENSMUSG00000044224,Diethylamine,1.0,0.0,3,0.5,0.6666666666666666,3,0.8406680016960503,0.0360575728451592,6,0.8651501883978578,0.0002788118440839,12,True,+,0.1301307813620922
ENSMUSG00000030216,Azelaic acid,0.5,0.6666666666666666,3,1.0,0.0,3,0.7826908981308054,0.065703848071589,6,0.9211923058649254,2.0949776212051888e-05,12,True,+,0.0790945835288666
ENSMUSG00000063894,"2,4-Di-tert-butylphenol",1.0,0.0,3,1.0,0.0,3,,,0,0.9642857142857144,0.0004541491691941,7,True,+,0.1425116406679974
ENSMUSG00000036371,Isopropylamine,1.0,0.0,3,1.0,0.0,3,0.4285714285714286,0.3965014577259473,6,0.8531468531468532,0.0004181179404149,12,True,+,0.1425116406679974
ENSMUSG00000042426,Butachlor ESA,,,0,-1.0,0.0,3,-1.0,0.0,4,-0.9166666666666666,0.0005066190663052,9,True,-,0.1426680982801191
ENSMUSG00000105382,2-Butenedioic acid,,,0,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.8792733518259361,0.0003620063251237,11,True,+,0.1369949341724877
ENSMUSG00000070348,"2,5-Dimethoxybenzonitrile",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,1.0,0.0,6,0.8461538461538463,0.000521133700481,12,True,+,0.1426680982801191
ENSMUSG00000070348,"Benzene, 1,4-dimethoxy",0.8660254037844387,0.3333333333333332,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.8791607177646247,0.0001651037006903,12,True,+,0.1066976315568729
ENSMUSG00000070348,Butachlor ESA,,,0,1.0,0.0,3,1.0,0.0,4,0.9166666666666666,0.0005066190663052,9,True,+,0.1426680982801191
ENSMUSG00000070348,Diethylamine,0.5,0.6666666666666666,3,1.0,0.0,3,0.8116794499134279,0.0498575851013403,6,0.8931712471313915,9.135974793210156e-05,12,True,+,0.0921979985331745
ENSMUSG00000046711,Glycerol,-0.8660254037844387,0.3333333333333332,3,-1.0,0.0,3,-0.4058397249567139,0.4246625075613643,6,-0.8456140350877194,0.0005298343886992,12,True,-,0.1426680982801191
ENSMUSG00000020108,"2-Cyclohexen-1-one, 3-methyl-",-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8285714285714287,0.0415626822157433,6,-0.8531468531468532,0.0004181179404149,12,True,-,0.1425116406679974
ENSMUSG00000020108,L-Tyrosine,-1.0,0.0,3,,,0,-0.9746794344808964,0.0048182304681985,5,-0.9240164263936984,0.00013295265816,10,True,-,0.09972873854766
ENSMUSG00000020108,Suberic acid,,,0,-1.0,0.0,3,-0.8857142857142858,0.0188454810495626,6,-0.8727272727272729,0.0004546150514096,11,True,-,0.1425116406679974
ENSMUSG00000106032,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",0.8660254037844387,0.3333333333333332,3,1.0,0.0,3,0.8999999999999998,0.0373860734684987,5,0.9211793682944862,5.656473668483334e-05,11,True,+,0.0817523300890354
ENSMUSG00000035941,"1-Octanol, 2-butyl-",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.9710083124552245,0.0012485929031976,6,0.91930390462748,2.3506576120000405e-05,12,True,+,0.0790945835288666
ENSMUSG00000030879,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",-1.0,0.0,3,-0.8660254037844387,0.3333333333333332,3,-0.8720815992723809,0.0538542177275421,5,-0.9178177876042186,6.792214905460497e-05,11,True,-,0.0817523300890354
ENSMUSG00000030879,Butachlor ESA,,,0,-0.5,0.6666666666666666,3,-1.0,0.0,4,-0.9166666666666666,0.0005066190663052,9,True,-,0.1426680982801191
ENSMUSG00000056215,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",-0.5,0.6666666666666666,3,,,0,-1.0,0.0,4,-0.9166666666666666,0.0005066190663052,9,True,-,0.1426680982801191
ENSMUSG00000001964,"3,4-Methylenedioxyamphetamine",0.5,0.6666666666666666,3,,,0,1.0,0.0,4,0.9761904761904764,3.3143960262000996e-05,8,True,+,0.0790945835288666
ENSMUSG00000001964,3-Heptanol,0.5,0.6666666666666666,3,1.0,0.0,3,0.9856107606091624,0.0003090856678496,6,0.9036791441564668,5.5440365929176315e-05,12,True,+,0.0817523300890354
ENSMUSG00000032301,Azelaic acid,1.0,0.0,3,0.5,0.6666666666666666,3,0.9276336570439176,0.0076658441874731,6,0.847637026689399,0.000497797379436,12,True,+,0.1426680982801191
ENSMUSG00000030862,"N,N-Dimethyl-2-aminoethanol",1.0,0.0,3,,,0,0.7714285714285715,0.0723965014577259,6,0.881818181818182,0.0003301688021839,11,True,+,0.133962117820813
ENSMUSG00000050989,Benzophenone,,,0,0.5,0.6666666666666666,3,0.8285714285714287,0.0415626822157433,6,0.9181818181818184,6.661451941355567e-05,11,True,+,0.0817523300890354
ENSMUSG00000005124,Oleamide,0.5,0.6666666666666666,3,1.0,0.0,3,1.0,0.0,6,0.8461538461538463,0.000521133700481,12,True,+,0.1426680982801191
ENSMUSG00000059495,"Cyclohexanone, 3,3,5-trimethyl",0.5,0.6666666666666666,3,1.0,0.0,3,0.8999999999999998,0.0373860734684987,5,0.8909090909090911,0.0002334581703787,11,True,+,0.1257283152230887
ENSMUSG00000062421,Xylazine,1.0,0.0,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.8881118881118882,0.0001141335981461,12,True,+,0.0921979985331745
ENSMUSG00000021377,2-Amino-4-methylbenzophenone,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,1.0,1.4042654220543602e-24,5,0.881818181818182,0.0003301688021839,11,True,+,0.133962117820813
ENSMUSG00000062937,Aceturic acid,0.5,0.6666666666666666,3,,,0,0.8857142857142858,0.0188454810495626,6,0.9090909090909092,0.0001055933763036,11,True,+,0.0921979985331745
ENSMUSG00000039804,Benzophenone,,,0,0.5,0.6666666666666666,3,0.6,0.208,6,0.8909090909090911,0.0002334581703787,11,True,+,0.1257283152230887
ENSMUSG00000019897,Aceturic acid,0.5,0.6666666666666666,3,,,0,0.942857142857143,0.004804664723032,6,0.9,0.0001599714280687,11,True,+,0.1066976315568729
ENSMUSG00000017548,Azelaic acid,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.6957252427829382,0.1247893374402869,6,0.8756580854229328,0.0001892976564778,12,True,+,0.1152411211305285
ENSMUSG00000017548,"Benzoic acid, methyl ester",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.8857142857142858,0.0188454810495626,6,0.8741258741258742,0.0002007130733242,12,True,+,0.117099352195227
ENSMUSG00000001855,6-Methyluracil,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.8986451052612952,0.0148886220055803,6,0.8826633501063164,0.0001433968186023,12,True,+,0.1020936739357324
ENSMUSG00000001855,"Hymexazole, tert-butyldimethylsilyl ether",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.942857142857143,0.004804664723032,6,0.8601398601398602,0.0003316683391269,12,True,+,0.133962117820813
ENSMUSG00000007892,Benzoic Acid,0.8660254037844387,0.3333333333333332,3,1.0,0.0,3,0.8804062740424288,0.0205987347749203,6,0.9347806145306724,8.32399344113102e-06,12,True,+,0.049951095498307
ENSMUSG00000047264,Azelaic acid,-0.5,0.6666666666666666,3,-0.5,0.6666666666666666,3,-0.9856107606091624,0.0003090856678496,6,-0.8546422913727825,0.0003983075651366,12,True,-,0.1425116406679974
ENSMUSG00000039323,Azelaic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.9856107606091624,0.0003090856678496,6,-0.8826633501063164,0.0001433968186023,12,True,-,0.1020936739357324
ENSMUSG00000029550,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",1.0,0.0,3,0.5,0.6666666666666666,3,0.8986451052612952,0.0148886220055803,6,0.847637026689399,0.000497797379436,12,True,+,0.1426680982801191
ENSMUSG00000032372,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",1.0,0.0,3,0.5,0.6666666666666666,3,0.7356123579206245,0.0956107807382797,6,0.8456192405161171,0.0005297499532094,12,True,+,0.1426680982801191
ENSMUSG00000060512,"2,4-Di-tert-butylphenol",-1.0,0.0,3,-1.0,0.0,3,,,0,-0.9642857142857144,0.0004541491691941,7,True,-,0.1425116406679974
ENSMUSG00000030560,Cholesterol,0.5,0.6666666666666666,3,1.0,0.0,3,0.3142857142857143,0.5440932944606415,6,0.8461538461538463,0.000521133700481,12,True,+,0.1426680982801191
ENSMUSG00000103657,2-Furoic acid,-1.0,0.0,3,-1.0,0.0,3,-0.7999999999999999,0.2000000000000001,4,-0.9141792475183746,0.0002137492562433,10,True,-,0.1213344764561629
ENSMUSG00000103657,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,-0.5,0.6666666666666666,3,-1.0,0.0,3,-1.0,0.0,4,-0.8896375227527807,0.0005669647218379,10,True,-,0.1488495006595176
ENSMUSG00000023249,Oleamide,0.5,0.6666666666666666,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.8601398601398602,0.0003316683391269,12,True,+,0.133962117820813
ENSMUSG00000030605,"2,4-Di-tert-butylphenol",-1.0,0.0,3,-1.0,0.0,3,,,0,-1.0,0.0,7,True,-,0.0
ENSMUSG00000042349,"Hymexazole, tert-butyldimethylsilyl ether",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.942857142857143,0.004804664723032,6,0.8581449237144743,0.0003547590073493,12,True,+,0.1369949341724877
ENSMUSG00000031918,"2,4-Di-tert-butylphenol",1.0,0.0,3,1.0,0.0,3,,,0,0.9642857142857144,0.0004541491691941,7,True,+,0.1425116406679974
ENSMUSG00000051224,Leucylglycine,,,0,-1.0,0.0,3,-0.8857142857142858,0.0188454810495626,6,-0.9030303030303028,0.0003436121977632,10,True,-,0.1361676790494431
ENSMUSG00000052566,"2-Methylcyclohexanol, (Z)",-0.5,0.6666666666666666,3,-0.8660254037844387,0.3333333333333332,3,-0.5507824838698261,0.2573693316225746,6,-0.8456192405161171,0.0005297499532094,12,True,-,0.1426680982801191
ENSMUSG00000038084,Xylazine,1.0,0.0,3,1.0,0.0,3,0.6571428571428573,0.1561749271137024,6,0.8461538461538463,0.000521133700481,12,True,+,0.1426680982801191
ENSMUSG00000024472,Acetic acid,0.8660254037844387,0.3333333333333332,3,,,3,0.9258200997725516,0.0080498931008376,6,0.8720241785838646,0.0002172375783429,12,True,+,0.1216704228782914
ENSMUSG00000034786,L-Tyrosine,1.0,0.0,3,,,0,0.9746794344808964,0.0048182304681985,5,0.9422535927041,4.53586982271117e-05,10,True,+,0.0793890615720022
ENSMUSG00000048175,"(2,5-Dimethoxyphenyl)acetone",-1.0,0.0,3,-1.0,0.0,3,-0.8857142857142858,0.0188454810495626,6,-0.8951048951048951,8.366586429091719e-05,12,True,-,0.0901145716770324
ENSMUSG00000039715,2-Naphthol,-0.8660254037844387,0.3333333333333332,3,-1.0,0.0,3,-0.9710083124552245,0.0012485929031976,6,-0.8682018740230752,0.0002499953074797,12,True,-,0.1257283152230887
ENSMUSG00000039715,L-Tryptophan,-0.8660254037844387,0.3333333333333332,3,-1.0,0.0,3,-0.942857142857143,0.004804664723032,6,-0.847637026689399,0.000497797379436,12,True,-,0.1426680982801191
ENSMUSG00000098113,L-Lysine,,,0,0.8660254037844387,0.3333333333333332,3,0.8857142857142858,0.0188454810495626,6,0.877185582105945,0.0003898201637374,11,True,+,0.1425116406679974
ENSMUSG00000029772,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",1.0,0.0,3,0.5,0.6666666666666666,3,0.6571428571428573,0.1561749271137024,6,0.8461538461538463,0.000521133700481,12,True,+,0.1426680982801191
ENSMUSG00000029772,Mevalonolactone,0.5,0.6666666666666666,3,0.8660254037844387,0.3333333333333332,3,0.8285714285714287,0.0415626822157433,6,0.847637026689399,0.000497797379436,12,True,+,0.1426680982801191
ENSMUSG00000011831,"Benzoic acid, methyl ester",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,1.0,0.0,6,0.9020979020979022,5.997857446537692e-05,12,True,+,0.0817523300890354
ENSMUSG00000004085,m-Toluic acid,-1.0,0.0,3,-1.0,0.0,3,-0.753702346348183,0.0835232813732598,6,-0.8861659824480081,0.0001239888771426,12,True,-,0.0946959413318555
ENSMUSG00000039194,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",0.5,0.6666666666666666,3,1.0,0.0,3,0.5797710356524484,0.227783956715016,6,0.8896686147896997,0.0001067002478779,12,True,+,0.0921979985331745
ENSMUSG00000031246,Azelaic acid,1.0,0.0,3,0.5,0.6666666666666666,3,0.5797710356524484,0.227783956715016,6,0.8861659824480081,0.0001239888771426,12,True,+,0.0946959413318555
ENSMUSG00000047141,Aceturic acid,0.5,0.6666666666666666,3,,,0,0.8857142857142858,0.0188454810495626,6,0.9090909090909092,0.0001055933763036,11,True,+,0.0921979985331745
ENSMUSG00000054717,Lactic acid,1.0,0.0,3,,,0,0.8986451052612952,0.0148886220055803,6,0.8792733518259361,0.0003620063251237,11,True,+,0.1369949341724877
ENSMUSG00000029438,Salsoline,-1.0,0.0,3,-1.0,0.0,3,-0.7999999999999999,0.2000000000000001,4,-0.9393939393939392,5.48405299851367e-05,10,True,-,0.0817523300890354
ENSMUSG00000038555,Palmitic Acid,1.0,0.0,3,,,0,1.0,0.0,4,0.9166666666666666,0.0005066190663052,9,True,+,0.1426680982801191
ENSMUSG00000066357,Glycine,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.753702346348183,0.0835232813732598,6,-0.8791607177646247,0.0001651037006903,12,True,-,0.1066976315568729
ENSMUSG00000105729,Heptylamine,,,0,1.0,0.0,3,0.8999999999999998,0.0373860734684987,5,0.9492889050691344,9.200022809995662e-05,9,True,+,0.0921979985331745
ENSMUSG00000044365,"2,5-Dimethoxybenzhydrazide",,,0,0.5,0.6666666666666666,3,0.942857142857143,0.004804664723032,6,0.9,0.0001599714280687,11,True,+,0.1066976315568729
ENSMUSG00000044365,"2',5'-Dimethoxypropiophenone",1.0,0.0,3,0.5,0.6666666666666666,3,0.7714285714285715,0.0723965014577259,6,0.8881118881118882,0.0001141335981461,12,True,+,0.0921979985331745
ENSMUSG00000044365,Aceturic acid,1.0,0.0,3,,,0,0.7714285714285715,0.0723965014577259,6,0.9181818181818184,6.661451941355567e-05,11,True,+,0.0817523300890354
ENSMUSG00000044365,Cyclooctylamine,0.5,0.6666666666666666,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.9090909090909092,4.191044653034231e-05,12,True,+,0.0790945835288666
ENSMUSG00000044365,Diethylamine,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.9276336570439176,0.0076658441874731,6,0.8546422913727825,0.0003983075651366,12,True,+,0.1425116406679974
ENSMUSG00000069631,Leucylglycine,,,0,-1.0,0.0,3,-0.8857142857142858,0.0188454810495626,6,-0.9272727272727272,0.0001120345063939,10,True,-,0.0921979985331745
ENSMUSG00000034349,"(2,5-Dimethoxyphenyl)acetone",1.0,0.0,3,0.5,0.6666666666666666,3,0.942857142857143,0.004804664723032,6,0.9090909090909092,4.191044653034231e-05,12,True,+,0.0790945835288666
ENSMUSG00000034349,3-Heptanol,-1.0,0.0,3,-1.0,0.0,3,-0.9276336570439176,0.0076658441874731,6,-0.9141870411815418,3.1685945855277265e-05,12,True,-,0.0790945835288666
ENSMUSG00000066800,4-Oxohexanoic acid,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,4,-0.9019083851355776,0.0003592904543883,10,True,-,0.1369949341724877
ENSMUSG00000017286,"2,4-Di-tert-butylphenol",1.0,0.0,3,1.0,0.0,3,,,0,0.9642857142857144,0.0004541491691941,7,True,+,0.1425116406679974
ENSMUSG00000017286,Butanedioic acid,1.0,0.0,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.8531468531468532,0.0004181179404149,12,True,+,0.1425116406679974
ENSMUSG00000017286,Hydracrylic acid,0.5,0.6666666666666666,3,1.0,0.0,3,0.942857142857143,0.004804664723032,6,0.8881118881118882,0.0001141335981461,12,True,+,0.0921979985331745
ENSMUSG00000017286,N-Acetyl-L-alanine,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.8285714285714287,0.0415626822157433,6,0.8601398601398602,0.0003316683391269,12,True,+,0.133962117820813
ENSMUSG00000017286,Pipecolic acid,0.5,0.6666666666666666,3,0.8660254037844387,0.3333333333333332,3,1.0,0.0,6,0.91068440883985,3.846947982904686e-05,12,True,+,0.0790945835288666
ENSMUSG00000017286,Suberic acid,,,0,1.0,0.0,3,1.0,0.0,6,0.990909090909091,3.762571807085396e-09,11,True,+,7.902529566421458e-05
ENSMUSG00000025894,Acetic acid,0.8660254037844387,0.3333333333333332,3,,,3,0.8332380897952965,0.0393955164788511,6,0.8613463314991642,0.0003182825694707,12,True,+,0.133962117820813
ENSMUSG00000022439,Oxalic acid,-1.0,0.0,3,-1.0,0.0,3,-0.924061655450546,0.008430994008949,6,-0.8975907049376199,7.453185183506052e-05,12,True,-,0.0869662491162097
ENSMUSG00000097537,Phytanic acid,0.8660254037844387,0.3333333333333332,3,0.5,0.6666666666666666,3,0.7944613465542746,0.0590275999253266,6,0.878746836055744,0.0001678292138829,12,True,+,0.1068156660358348
ENSMUSG00000022843,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",1.0,0.0,3,0.8660254037844387,0.3333333333333332,3,0.9746794344808964,0.0048182304681985,5,0.8949864993553575,0.0001978811010817,11,True,+,0.117099352195227
ENSMUSG00000063801,Suberic acid,,,0,-1.0,0.0,3,-0.7714285714285715,0.0723965014577259,6,-0.881818181818182,0.0003301688021839,11,True,-,0.133962117820813
ENSMUSG00000020886,Azelaic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8986451052612952,0.0148886220055803,6,-0.91068440883985,3.846947982904686e-05,12,True,-,0.0790945835288666
ENSMUSG00000018171,Palmitic Acid,1.0,0.0,3,,,0,0.7999999999999999,0.2000000000000001,4,0.9333333333333332,0.0002358998121594,9,True,+,0.1257283152230887
ENSMUSG00000021709,Azelaic acid,0.5,0.6666666666666666,3,1.0,0.0,3,0.7247137945655605,0.1032428046237076,6,0.8756580854229328,0.0001892976564778,12,True,+,0.1152411211305285
ENSMUSG00000071650,"2,4-Di-tert-butylphenol",-0.5,0.6666666666666666,3,-1.0,0.0,3,,,0,-0.9642857142857144,0.0004541491691941,7,True,-,0.1425116406679974
ENSMUSG00000024098,"Propanoic acid, dimethyl(isopropyl)silyl ester",,,0,-1.0,0.0,3,-0.8285714285714287,0.0415626822157433,6,-0.9151515151515152,0.0002044724061488,10,True,-,0.1176584642833766
