Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000044224,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",0.5,0.6666666666666666,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.8461538461538463,0.000521133700481,12,True,+,0.1325910557719748
ENSMUSG00000044224,Aceturic acid,0.5,0.6666666666666666,3,,,0,0.8285714285714287,0.0415626822157433,6,0.9636363636363636,1.8520398640703128e-06,11,True,+,0.0238405485763365
ENSMUSG00000036371,Isopropylamine,1.0,0.0,3,1.0,0.0,3,0.4285714285714286,0.3965014577259473,6,0.8531468531468532,0.0004181179404149,12,True,+,0.1324456491938759
ENSMUSG00000020108,"2-Cyclohexen-1-one, 3-methyl-",-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8285714285714287,0.0415626822157433,6,-0.8531468531468532,0.0004181179404149,12,True,-,0.1324456491938759
ENSMUSG00000020108,L-Tyrosine,-1.0,0.0,3,,,0,-0.9746794344808964,0.0048182304681985,5,-0.9240164263936984,0.00013295265816,10,True,-,0.09268462181979
ENSMUSG00000086610,N-Ethylamphetamine,0.8660254037844387,0.3333333333333332,3,,,0,0.8823529411764706,0.0199470791776918,6,0.8693107497059901,0.0005095451309659,11,True,+,0.1325910557719748
ENSMUSG00000035941,"1-Octanol, 2-butyl-",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.9710083124552245,0.0012485929031976,6,0.91930390462748,2.3506576120000405e-05,12,True,+,0.073507914259473
ENSMUSG00000056215,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",-0.5,0.6666666666666666,3,,,0,-1.0,0.0,4,-0.9166666666666666,0.0005066190663052,9,True,-,0.1325910557719748
ENSMUSG00000001964,"3,4-Methylenedioxyamphetamine",0.5,0.6666666666666666,3,,,0,1.0,0.0,4,0.9761904761904764,3.3143960262000996e-05,8,True,+,0.073507914259473
ENSMUSG00000001964,3-Heptanol,0.5,0.6666666666666666,3,1.0,0.0,3,0.9856107606091624,0.0003090856678496,6,0.9036791441564668,5.5440365929176315e-05,12,True,+,0.0759779368267831
ENSMUSG00000050822,"3,4,5-Trimethoxyamphetamine",,,0,1.0,0.0,3,0.8857142857142858,0.0188454810495626,6,0.8636363636363636,0.0006116938500931,11,True,+,0.1405332414951412
ENSMUSG00000013858,Azelaic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.9276336570439176,0.0076658441874731,6,-0.8371291296643238,0.0006820012896813,12,True,-,0.1435878922076534
ENSMUSG00000019897,Aceturic acid,0.5,0.6666666666666666,3,,,0,0.942857142857143,0.004804664723032,6,0.9,0.0001599714280687,11,True,+,0.0991612826345941
ENSMUSG00000017548,"Benzoic acid, methyl ester",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.8857142857142858,0.0188454810495626,6,0.8741258741258742,0.0002007130733242,12,True,+,0.1088283009653256
ENSMUSG00000001855,6-Methyluracil,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.8986451052612952,0.0148886220055803,6,0.8826633501063164,0.0001433968186023,12,True,+,0.0948825152782235
ENSMUSG00000047264,Azelaic acid,-0.5,0.6666666666666666,3,-0.5,0.6666666666666666,3,-0.9856107606091624,0.0003090856678496,6,-0.8546422913727825,0.0003983075651366,12,True,-,0.1324456491938759
ENSMUSG00000039323,Azelaic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.9856107606091624,0.0003090856678496,6,-0.8826633501063164,0.0001433968186023,12,True,-,0.0948825152782235
ENSMUSG00000042349,"Hymexazole, tert-butyldimethylsilyl ether",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.942857142857143,0.004804664723032,6,0.8581449237144743,0.0003547590073493,12,True,+,0.1273186029414786
ENSMUSG00000051224,Leucylglycine,,,0,-1.0,0.0,3,-0.8857142857142858,0.0188454810495626,6,-0.9030303030303028,0.0003436121977632,10,True,-,0.1265497791365808
ENSMUSG00000034786,L-Tyrosine,1.0,0.0,3,,,0,0.9746794344808964,0.0048182304681985,5,0.9422535927041,4.53586982271117e-05,10,True,+,0.0737815925036755
