brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,VECPAC n,LPS r,LPS n,DSS r,DSS n,non-NaN_treatment_groups,Pooled r,Pooled n,Pooled_r_valid,Pooled FDR,FDR < 0.15,within_model_sign,pooled_sign,predicted_effect_sign,within_model = pooled,number within_model = pooled_n,within_model = predicted,number within_model = predicted,predicted = pooled,number predicted = pooled,all_signs_agree,number all_signs_agree
ENSMUSG00000027374,,CPX,Pentanedioic acid,1,CSF,-0.5,3,-0.8116794499134279,6,,0,2,-0.8721552111064962,11,True,0.1323664205186684,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000044224,,CPX,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",-1,CSF,0.5,3,0.8285714285714287,6,1.0,3,3,0.8721554530812411,12,True,0.1021608785018107,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000044224,,CPX,Aceturic acid,-1,CSF,0.5,3,0.8285714285714287,6,,0,2,0.870161710874372,11,True,0.137692509384526,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000016495,,CPX,Glycolic acid,1,CSF,-0.5,3,-0.8116794499134279,6,-1.0,3,3,-0.8330520005808454,12,True,0.1410684749713042,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000036371,,CPX,2-Furoic acid,1,CSF,-1.0,3,-1.0,4,-1.0,3,3,-0.9483326481409008,10,True,0.0505461611691045,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000036371,,CPX,"3,5-Dimethylphenol",1,CSF,-0.5,3,-0.3,5,-1.0,3,3,-0.8610500699228079,11,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000036371,,CPX,Isopropylamine,-1,CSF,1.0,3,0.4285714285714286,6,1.0,3,3,0.8511396590310907,12,True,0.1320099876980142,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000036371,,CPX,Oxalic acid,1,CSF,-0.8660254037844387,3,-0.6377481392176932,6,-0.8660254037844387,3,3,-0.8577870491375974,12,True,0.122825342636201,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000034647,,CPX,Benzoic Acid,1,CSF,-0.8660254037844387,3,-0.8196885999705371,6,-0.5,3,3,-0.8256096812377404,12,True,0.1473887598816649,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000020108,,CPX,"2-Cyclohexen-1-one, 3-methyl-",-1,CSF,-0.5,3,-0.8285714285714287,6,-1.0,3,3,-0.8686528207395494,12,True,0.1083987191191021,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
