brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,VECPAC n,LPS r,LPS n,DSS r,DSS n,non-NaN_treatment_groups,Pooled r,Pooled n,Pooled_r_valid,Pooled FDR,FDR < 0.15,within_model_sign,pooled_sign,predicted_effect_sign,within_model = pooled,number within_model = pooled_n,within_model = predicted,number within_model = predicted,predicted = pooled,number predicted = pooled,all_signs_agree,number all_signs_agree
ENSMUSG00000044224-P,-1.0,CPX,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",-1.0,CSF,0.5,3,0.8285714285714287,6,1.0,3,3,0.8461538461538463,12,True,0.1325910557719748,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000044224-P,-1.0,CPX,Aceturic acid,-1.0,CSF,0.5,3,0.8285714285714287,6,,0,2,0.9636363636363636,11,True,0.0238405485763365,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000036371-P,-1.0,CPX,Isopropylamine,-1.0,CSF,1.0,3,0.4285714285714286,6,1.0,3,3,0.8531468531468532,12,True,0.1324456491938759,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000020108-P,1.0,CPX,"2-Cyclohexen-1-one, 3-methyl-",-1.0,CSF,-0.5,3,-0.8285714285714287,6,-1.0,3,3,-0.8531468531468532,12,True,0.1324456491938759,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000020108-P,1.0,CPX,L-Tyrosine,-1.0,CSF,-1.0,3,-0.9746794344808964,5,,0,2,-0.9240164263936984,10,True,0.09268462181979,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000086610-P,-1.0,CPX,N-Ethylamphetamine,,CSF,0.8660254037844387,3,0.8823529411764706,6,,0,2,0.8693107497059901,11,True,0.1325910557719748,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000035941-P,-1.0,CPX,"1-Octanol, 2-butyl-",-1.0,CSF,0.5,3,0.9710083124552245,6,0.5,3,3,0.91930390462748,12,True,0.073507914259473,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000056215-P,-1.0,CPX,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",1.0,CSF,-0.5,3,-1.0,4,,0,2,-0.9166666666666666,9,True,0.1325910557719748,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000001964-P,1.0,CPX,"3,4-Methylenedioxyamphetamine",1.0,CSF,0.5,3,1.0,4,,0,2,0.9761904761904764,8,True,0.073507914259473,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000001964-P,1.0,CPX,3-Heptanol,1.0,CSF,0.5,3,0.9856107606091624,6,1.0,3,3,0.9036791441564668,12,True,0.0759779368267831,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000050822-P,1.0,CPX,"3,4,5-Trimethoxyamphetamine",1.0,CSF,,0,0.8857142857142858,6,1.0,3,2,0.8636363636363636,11,True,0.1405332414951412,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000013858-P,1.0,CPX,Azelaic acid,-1.0,CSF,-0.5,3,-0.9276336570439176,6,-1.0,3,3,-0.8371291296643238,12,True,0.1435878922076534,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000019897-P,-1.0,CPX,Aceturic acid,-1.0,CSF,0.5,3,0.942857142857143,6,,0,2,0.9,11,True,0.0991612826345941,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000017548-P,-1.0,CPX,"Benzoic acid, methyl ester",-1.0,CSF,0.5,3,0.8857142857142858,6,0.5,3,3,0.8741258741258742,12,True,0.1088283009653256,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000001855-P,-1.0,CPX,6-Methyluracil,-1.0,CSF,0.5,3,0.8986451052612952,6,0.5,3,3,0.8826633501063164,12,True,0.0948825152782235,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000047264-P,1.0,CPX,Azelaic acid,-1.0,CSF,-0.5,3,-0.9856107606091624,6,-0.5,3,3,-0.8546422913727825,12,True,0.1324456491938759,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000039323-P,1.0,CPX,Azelaic acid,-1.0,CSF,-0.5,3,-0.9856107606091624,6,-1.0,3,3,-0.8826633501063164,12,True,0.0948825152782235,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000042349-P,-1.0,CPX,"Hymexazole, tert-butyldimethylsilyl ether",-1.0,CSF,0.5,3,0.942857142857143,6,0.5,3,3,0.8581449237144743,12,True,0.1273186029414786,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000051224-P,-1.0,CPX,Leucylglycine,1.0,CSF,,0,-0.8857142857142858,6,-1.0,3,2,-0.9030303030303028,10,True,0.1265497791365808,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000034786-P,-1.0,CPX,L-Tyrosine,-1.0,CSF,1.0,3,0.9746794344808964,5,,0,2,0.9422535927041,10,True,0.0737815925036755,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
