Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000027374-P,"1,2-Bis(trimethylsiloxy)cyclohexene",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000027374-P,2-Norbornanemethanol,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000027374-P,Hexanoic acid,-1.0,0.0,3,-1.0,0.0,3,-0.4058397249567139,0.4246625075613642,6,-0.7937199666293951,0.0020562810113895,12,True,-,0.0850302073017689
ENSMUSG00000027374-P,Isosorbide,1.0,0.0,3,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000027374-P,Levulinic acid,-0.8660254037844387,0.3333333333333332,3,-1.0,0.0,3,-0.7061878636037996,0.1168066069474558,6,-0.7660345126550493,0.0036703420419439,12,True,-,0.1391742875020007
ENSMUSG00000027374-P,Myristic acid,-1.0,0.0,3,-0.5,0.6666666666666666,3,-0.5002164033860247,0.3122565813186084,6,-0.75572227900794,0.0044685407391966,12,True,-,0.1633418341809734
ENSMUSG00000027374-P,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000027374-P,N-Acetylaspartic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7,0.1881204043741873,5,-0.8063802242134231,0.0027148021408091,11,True,-,0.1080328064391937
ENSMUSG00000027374-P,Octanoic acid,,,0,,,0,-0.7999999999999999,0.2000000000000001,4,-0.942857142857143,0.004804664723032,6,True,-,0.1700425386675901
ENSMUSG00000027374-P,Pentanedioic acid,-0.5,0.6666666666666666,3,,,0,-0.8116794499134279,0.0498575851013403,6,-0.8721552111064962,0.0004634842041488,11,True,-,0.0214607138236645
ENSMUSG00000042626-P,"13-Docosenamide, (Z)",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000042626-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000042626-P,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",-0.5,0.6666666666666666,3,-0.5,0.6666666666666666,3,-0.8285714285714287,0.0415626822157433,6,-0.8021028062474065,0.0016965328946357,12,True,-,0.0719314130440017
ENSMUSG00000042626-P,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000042626-P,cis-2-Decenoic acid,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000042626-P,L-Val-L-Leu,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
