Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000036371-P,2-Furoic acid,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,4,-0.9483326481409008,2.9285883237761163e-05,10,True,-,0.120190538107043
ENSMUSG00000035295-P,Heptanoic acid,-1.0,0.0,3,-1.0,0.0,3,-0.8116794499134279,0.0498575851013403,6,-0.8998367601210819,6.69695653423725e-05,12,True,-,0.1635069051042667
ENSMUSG00000020308-P,Formamide,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8406680016960503,0.0360575728451592,6,-0.879521107122464,0.0001627587345518,12,True,-,0.1924028841883887
ENSMUSG00000086610-P,N-Ethylamphetamine,0.8660254037844387,0.3333333333333332,3,,,0,0.8823529411764706,0.0199470791776918,6,0.9020267456626672,0.0001463304936181,11,True,+,0.191841309501296
ENSMUSG00000026603-P,m-Toluic acid,0.5,0.6666666666666666,3,1.0,0.0,3,0.8116794499134279,0.0498575851013403,6,0.9065608223938976,4.7866657548731344e-05,12,True,+,0.1635069051042667
ENSMUSG00000015461-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.6667366910003157,0.1480897994403528,6,-0.898251143452805,7.22420380707446e-05,12,True,-,0.1635069051042667
ENSMUSG00000040795-P,Hypoxanthine,-1.0,0.0,3,-1.0,0.0,3,-0.8857142857142858,0.0188454810495626,6,-0.8881118881118882,0.0001141335981461,12,True,-,0.1713527255347473
ENSMUSG00000064370-P,"2-Methylcyclohexanol, (Z)",-0.5,0.6666666666666666,3,-0.8660254037844387,0.3333333333333332,3,-0.8986451052612952,0.0148886220055803,6,-0.8799080984615733,0.0001602697454735,12,True,-,0.1924028841883887
ENSMUSG00000035941-P,"1-Octanol, 2-butyl-",0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.9710083124552245,0.0012485929031976,6,0.896321772776859,7.909099576093397e-05,12,True,+,0.1683498215245602
ENSMUSG00000001964-P,3-Heptanol,0.5,0.6666666666666666,3,1.0,0.0,3,0.9856107606091624,0.0003090856678496,6,0.9508830463894928,2.0726186103980528e-06,12,True,+,0.0489101721228258
