Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000027374-P,4-Oxohexanoic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7999999999999999,0.2000000000000001,4,-0.8545454545454544,0.0016368033159867,10,True,-,0.1893628104687508
ENSMUSG00000027374-P,Lignoceric acid,-1.0,0.0,3,-1.0,0.0,3,-0.9856107606091624,0.0003090856678496,6,-0.795097541564023,0.0019934857741352,12,True,-,0.1966424729162409
ENSMUSG00000027374-P,Pentanedioic acid,-0.5,0.6666666666666666,3,,,0,-0.8116794499134279,0.0498575851013403,6,-0.8564942494470258,0.0007614084643335,11,True,-,0.1643931790320163
ENSMUSG00000042626-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.5797710356524484,0.227783956715016,6,-0.8441343943477072,0.0005542616819347,12,True,-,0.1464296617065975
ENSMUSG00000042626-P,Butanedioic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7142857142857143,0.1107871720116617,6,-0.8391608391608393,0.0006428259886278,12,True,-,0.1525567710638382
ENSMUSG00000024425-P,Pentanoic acid,1.0,0.0,3,1.0,0.0,3,0.3142857142857143,0.5440932944606415,6,0.8041958041958043,0.0016147689860699,12,True,+,0.1893628104687508
ENSMUSG00000032216-P,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",-1.0,0.0,3,,,0,-1.0,0.0,4,-0.9,0.0009430623223403,9,True,-,0.1672089879098926
ENSMUSG00000028991-P,Glycolic acid,1.0,0.0,3,1.0,0.0,3,0.9276336570439176,0.0076658441874731,6,0.795097541564023,0.0019934857741352,12,True,+,0.1966424729162409
ENSMUSG00000036948-P,Butanedioic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7714285714285715,0.0723965014577259,6,-0.8251748251748254,0.0009513628555555,12,True,-,0.1672089879098926
ENSMUSG00000044224-P,"2,5-Dimethoxybenzhydrazide",,,0,0.5,0.6666666666666666,3,0.8285714285714287,0.0415626822157433,6,0.8636363636363636,0.0006116938500931,11,True,+,0.1512138974421707
ENSMUSG00000044224-P,"2,5-Dimethoxyphenol",1.0,0.0,3,1.0,0.0,3,0.6,0.208,6,0.8251748251748254,0.0009513628555555,12,True,+,0.1672089879098926
ENSMUSG00000044224-P,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",0.5,0.6666666666666666,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.8461538461538463,0.000521133700481,12,True,+,0.1426680982801191
ENSMUSG00000044224-P,Aceturic acid,0.5,0.6666666666666666,3,,,0,0.8285714285714287,0.0415626822157433,6,0.9636363636363636,1.8520398640703128e-06,11,True,+,0.0256524522528137
ENSMUSG00000044224-P,"Cyclohexanone, 3,3,5-trimethyl",1.0,0.0,3,1.0,0.0,3,0.7999999999999999,0.1040880386618278,5,0.8454545454545455,0.0010451821458586,11,True,+,0.1682142575438174
ENSMUSG00000044224-P,Cyclooctylamine,1.0,0.0,3,1.0,0.0,3,0.7714285714285715,0.0723965014577259,6,0.8391608391608393,0.0006428259886278,12,True,+,0.1525567710638382
ENSMUSG00000044224-P,Diethylamine,1.0,0.0,3,0.5,0.6666666666666666,3,0.8406680016960503,0.0360575728451592,6,0.8651501883978578,0.0002788118440839,12,True,+,0.1301307813620922
ENSMUSG00000030216-P,Azelaic acid,0.5,0.6666666666666666,3,1.0,0.0,3,0.7826908981308054,0.065703848071589,6,0.9211923058649254,2.0949776212051888e-05,12,True,+,0.0790945835288666
ENSMUSG00000016495-P,4-Methylvaleric acid,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.7,0.1881204043741873,5,0.8454545454545455,0.0010451821458586,11,True,+,0.1682142575438174
