Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000001964-P,3-Heptanol,0.5,0.6666666666666666,3,1.0,0.0,3,0.9856107606091624,0.0003090856678496,6,0.9508830463894928,2.0726186103980528e-06,12,True,+,0.0205691852442428
ENSMUSG00000038644-P,"2,4-Di-tert-butylphenol",-1.0,0.0,3,-1.0,0.0,3,,,0,-0.9910312089651148,1.4561252916129403e-05,7,True,-,0.0340022386477405
ENSMUSG00000006777-P,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,4,-0.9757575757575756,1.4675461874042197e-06,10,True,-,0.0194190603337951
ENSMUSG00000027706-P,Lignoceric acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8406680016960503,0.0360575728451592,6,-0.9368478722730428,7.110855652108293e-06,12,True,-,0.032011002102454
ENSMUSG00000030605-P,Azelaic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7247137945655605,0.1032428046237076,6,-0.9298302852148176,1.1899236539794004e-05,12,True,-,0.0340022386477405
ENSMUSG00000037012-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.753702346348183,0.0835232813732598,6,-0.9543918399186052,1.4393331974340076e-06,12,True,-,0.0194190603337951
ENSMUSG00000034786-P,L-Tyrosine,1.0,0.0,3,,,0,0.9746794344808964,0.0048182304681985,5,0.9509918346667656,2.37836846477824e-05,10,True,+,0.0429154967937735
ENSMUSG00000041720-P,Nonanoic acid,1.0,0.0,3,1.0,0.0,3,0.9746794344808964,0.0048182304681985,5,0.9428139787760988,1.378077909233868e-05,11,True,+,0.0340022386477405
ENSMUSG00000047371-P,"2,4-Di-tert-butylphenol",-1.0,0.0,3,-1.0,0.0,3,,,0,-0.9910312089651148,1.4561252916129403e-05,7,True,-,0.0340022386477405
ENSMUSG00000047371-P,"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",-1.0,0.0,3,-0.5,0.6666666666666666,3,-1.0,0.0,6,-0.9352028352316922,8.063834068683784e-06,12,True,-,0.032011002102454
ENSMUSG00000054720-P,Lignoceric acid,-1.0,0.0,3,-1.0,0.0,3,-0.753702346348183,0.0835232813732598,6,-0.9473742528603802,2.909134803473537e-06,12,True,-,0.0230967848586978
ENSMUSG00000032288-P,Propylene glycol,-1.0,0.0,3,-1.0,0.0,3,-0.9856107606091624,0.0003090856678496,6,-0.9279566588748658,1.3531501140840271e-05,12,True,-,0.0340022386477405
ENSMUSG00000029438-P,Salsoline,-1.0,0.0,3,-1.0,0.0,3,-0.7999999999999999,0.2000000000000001,4,-0.9636363636363636,7.32097480952992e-06,10,True,-,0.032011002102454
ENSMUSG00000066357-P,Glycine,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.753702346348183,0.0835232813732598,6,-0.91930390462748,2.3506576120000405e-05,12,True,-,0.0429154967937735
ENSMUSG00000066357-P,"Glycine, tert.-butyldimethylsilyl ester",-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8406680016960503,0.0360575728451592,6,-0.9314716462190886,1.0600887185940224e-05,12,True,-,0.0340022386477405
ENSMUSG00000034349-P,3-Heptanol,-1.0,0.0,3,-1.0,0.0,3,-0.9276336570439176,0.0076658441874731,6,-0.91930390462748,2.3506576120000405e-05,12,True,-,0.0429154967937735
ENSMUSG00000017286-P,"2-Cyclohexen-1-one, 3-methyl-",0.5,0.6666666666666666,3,1.0,0.0,3,0.942857142857143,0.004804664723032,6,0.9317002028900006,1.0429359329413132e-05,12,True,+,0.0340022386477405
ENSMUSG00000032763-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.5507824838698261,0.2573693316225746,6,-0.9438654593312678,3.993282329955534e-06,12,True,-,0.0264202214420408
ENSMUSG00000031637-P,Hypoxanthine,-1.0,0.0,3,-1.0,0.0,3,-0.942857142857143,0.004804664723032,6,-0.9225580879172384,1.924134407022796e-05,12,True,-,0.0402012439766231
ENSMUSG00000036202-P,Oleamide,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8285714285714287,0.0415626822157433,6,-0.9225580879172384,1.924134407022796e-05,12,True,-,0.0402012439766231
ENSMUSG00000038780-P,4-Methoxyphenol,1.0,0.0,3,,,0,1.0,0.0,4,0.9940297973880048,5.296153515645127e-07,8,True,+,0.0194190603337951
ENSMUSG00000045098-P,N-Acetyl-L-alanine,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.942857142857143,0.004804664723032,6,-0.9368478722730428,7.110855652108293e-06,12,True,-,0.032011002102454
