Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000027374-P,Pentanedioic acid,-0.5,0.6666666666666666,3,,,0,-0.8116794499134279,0.0498575851013403,6,-0.8721552111064962,0.0004634842041488,11,True,-,0.1323664205186684
ENSMUSG00000036948-P,Butanedioic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7714285714285715,0.0723965014577259,6,-0.8227778098887566,0.0010140477438473,12,True,-,0.1496455512546701
ENSMUSG00000044224-P,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",0.5,0.6666666666666666,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.8721554530812411,0.0002161753733066,12,True,+,0.1021608785018107
ENSMUSG00000044224-P,Aceturic acid,0.5,0.6666666666666666,3,,,0,0.8285714285714287,0.0415626822157433,6,0.870161710874372,0.0004954180897534,11,True,+,0.137692509384526
ENSMUSG00000016495-P,Glycolic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8116794499134279,0.0498575851013403,6,-0.8330520005808454,0.0007661735620694,12,True,-,0.1410684749713042
ENSMUSG00000042118-P,Heptanoic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.5217939320872036,0.2883432338003935,6,-0.8400819752692913,0.0006256496989327,12,True,-,0.1397985201150076
ENSMUSG00000036371-P,2-Furoic acid,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,4,-0.9483326481409008,2.9285883237761163e-05,10,True,-,0.0505461611691045
ENSMUSG00000036371-P,"3,5-Dimethylphenol",-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.3,0.623837664781073,5,-0.8610500699228079,0.0006630680655063,11,True,-,0.1397985201150076
ENSMUSG00000036371-P,Isopropylamine,1.0,0.0,3,1.0,0.0,3,0.4285714285714286,0.3965014577259473,6,0.8511396590310907,0.0004459012873585,12,True,+,0.1320099876980142
ENSMUSG00000036371-P,Oxalic acid,-0.8660254037844387,0.3333333333333332,3,-0.8660254037844387,0.3333333333333332,3,-0.6377481392176932,0.1730711102412598,6,-0.8577870491375974,0.0003590302378749,12,True,-,0.122825342636201
ENSMUSG00000035295-P,Heptanoic acid,-1.0,0.0,3,-1.0,0.0,3,-0.8116794499134279,0.0498575851013403,6,-0.8998367601210819,6.69695653423725e-05,12,True,-,0.0740152446143346
ENSMUSG00000024941-P,"6,7,4'-Trihydroxyisoflavone",-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.9856107606091624,0.0003090856678496,6,-0.8301238649809404,0.0008314183449022,12,True,-,0.1421529510764573
