Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000027374-P,2-Norbornanemethanol,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000027374-P,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000027374-P,4-Oxohexanoic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7999999999999999,0.2000000000000001,4,-0.8545454545454544,0.0016368033159867,10,True,-,0.0661368564769408
ENSMUSG00000027374-P,"5-Nonanol, tert-butyldimethylsilyl ether",-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8827348295047495,0.019820416588882,6,-0.7684257828756417,0.003501832741786,12,True,-,0.1308316367960453
ENSMUSG00000027374-P,Heptanoic acid,-1.0,0.0,3,-1.0,0.0,3,-0.6377481392176932,0.1730711102412598,6,-0.7670764828304892,0.0035961764453839,12,True,-,0.1340986995490064
ENSMUSG00000027374-P,Isosorbide,1.0,0.0,3,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000027374-P,L-Alanine,0.0,1.0,3,-0.8660254037844387,0.3333333333333332,3,-0.8116794499134279,0.0498575851013403,6,-0.7697822283848319,0.0034088960930081,12,True,-,0.127827485583832
ENSMUSG00000027374-P,Lignoceric acid,-1.0,0.0,3,-1.0,0.0,3,-0.9856107606091624,0.0003090856678496,6,-0.795097541564023,0.0019934857741352,12,True,-,0.0794125677116889
ENSMUSG00000027374-P,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000027374-P,N-Acetylaspartic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7,0.1881204043741873,5,-0.8181818181818182,0.0020831448404786,11,True,-,0.0824810087113129
ENSMUSG00000027374-P,Octanoic acid,,,0,,,0,-0.7999999999999999,0.2000000000000001,4,-0.942857142857143,0.004804664723032,6,True,-,0.1679020985499759
ENSMUSG00000027374-P,Pentanedioic acid,-0.5,0.6666666666666666,3,,,0,-0.8116794499134279,0.0498575851013403,6,-0.8564942494470258,0.0007614084643335,11,True,-,0.032328527644349
ENSMUSG00000042626-P,"1,2-Bis(trimethylsiloxy)cyclohexene",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000042626-P,"13-Docosenamide, (Z)",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000042626-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000042626-P,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",-0.5,0.6666666666666666,3,-0.5,0.6666666666666666,3,-0.8285714285714287,0.0415626822157433,6,-0.7902097902097903,0.0022231354099909,12,True,-,0.0874109733841736
ENSMUSG00000042626-P,7-Hydroxy-4-(methoxymethyl)coumarin,,,0,,,0,-1.0,0.0,3,-1.0,0.0,4,True,-,0.0
ENSMUSG00000042626-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.5797710356524484,0.227783956715016,6,-0.8441343943477072,0.0005542616819347,12,True,-,0.0237261700109478
ENSMUSG00000042626-P,Butanedioic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7142857142857143,0.1107871720116617,6,-0.8391608391608393,0.0006428259886278,12,True,-,0.0273938531641632
ENSMUSG00000042626-P,cis-2-Decenoic acid,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000042626-P,Diethylamine,0.5,0.6666666666666666,3,-1.0,0.0,3,-0.8406680016960503,0.0360575728451592,6,-0.8161133356141735,0.0012051543656321,12,True,-,0.0495874267733696
ENSMUSG00000042626-P,"Erythrono-1,4-lactone",0.5,0.6666666666666666,3,-0.5,0.6666666666666666,3,-0.942857142857143,0.004804664723032,6,-0.7902097902097903,0.0022231354099909,12,True,-,0.0874109733841736
ENSMUSG00000042626-P,Glabridin,,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000042626-P,L-Val-L-Leu,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000042626-P,Tyr-Val,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000055681-P,"3,4-Dihydroxybenzaldehyde",1.0,0.0,3,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000055681-P,4-tert-Butyldimethylsiloxy-3-penten-2-one,,,0,,,0,-1.0,0.0,4,-1.0,0.0,4,True,-,0.0
ENSMUSG00000055681-P,"Benzene, 1-ethyl-3,5-dimethyl",,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000055681-P,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,,0,,,0,1.0,0.0,4,1.0,0.0,4,True,+,0.0
ENSMUSG00000055681-P,Tyr-Val,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028412-P,"3,4-Dihydroxybenzaldehyde",1.0,0.0,3,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000028412-P,L-Val-L-Leu,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028412-P,Spiroxamine,,,0,,,0,0.8999999999999998,0.0373860734684987,5,0.8499999999999999,0.0037047773275858,9,True,+,0.1377359741682877
ENSMUSG00000028412-P,Tyr-Val,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000054484-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000054484-P,"3,4-Dihydroxybenzaldehyde",1.0,0.0,3,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000054484-P,cis-2-Decenoic acid,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000054484-P,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000054484-P,Pentanedioic acid,1.0,0.0,3,,,0,0.8406680016960503,0.0360575728451592,6,0.7836011218345129,0.0043229900186627,11,True,+,0.1567046381851812
ENSMUSG00000054484-P,Tyr-Val,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000024425-P,"1,2-Bis(trimethylsiloxy)cyclohexene",,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000024425-P,"13-Docosenamide, (Z)",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000024425-P,"3,4-Dihydroxybenzaldehyde",1.0,0.0,3,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000024425-P,4-Oxohexanoic acid,1.0,0.0,3,1.0,0.0,3,0.3999999999999999,0.6,4,0.8060606060606059,0.0048620611019646,10,True,+,0.1693978733774359
ENSMUSG00000024425-P,Butyric Acid,0.5,0.6666666666666666,3,1.0,0.0,3,0.0869656553478672,0.8698803787001028,6,0.7670764828304892,0.0035961764453839,12,True,+,0.1340986995490064
ENSMUSG00000024425-P,cis-2-Decenoic acid,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000024425-P,Hypoxanthine,0.5,0.6666666666666666,3,1.0,0.0,3,0.3142857142857143,0.5440932944606415,6,0.7482517482517484,0.005124081698753,12,True,+,0.176962914072306
ENSMUSG00000024425-P,L-(+)-Threose,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000024425-P,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000024425-P,Pentanoic acid,1.0,0.0,3,1.0,0.0,3,0.3142857142857143,0.5440932944606415,6,0.8041958041958043,0.0016147689860699,12,True,+,0.0653602928999312
ENSMUSG00000024425-P,Prostaglandin,,,0,1.0,0.0,3,,,0,1.0,0.0,6,True,+,0.0
ENSMUSG00000024425-P,Tyr-Val,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000032216-P,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,0.0,3,1.0,0.0,3,0.5797710356524484,0.227783956715016,6,0.7880922768806397,0.0023286751402374,12,True,+,0.0910978063660742
ENSMUSG00000032216-P,"1,2-Bis(trimethylsiloxy)cyclohexene",,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000032216-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000032216-P,2-Buten-1-ol,,,0,,,0,,,0,0.942857142857143,0.004804664723032,6,True,+,0.1679020985499759
ENSMUSG00000032216-P,2-Norbornanemethanol,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000032216-P,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000032216-P,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",-1.0,0.0,3,,,0,-1.0,0.0,4,-0.9,0.0009430623223403,9,True,-,0.0395272701363655
ENSMUSG00000032216-P,Isosorbide,1.0,0.0,3,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000032216-P,L-(+)-Threose,,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000032216-P,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000025979-P,"13-Docosenamide, (Z)",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000025979-P,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000025979-P,Chlorobenzilate ,,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000051343-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000051343-P,2-Norbornanemethanol,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000051343-P,Isosorbide,-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000051343-P,L-Val-L-Leu,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000051343-P,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000051343-P,Octadecanoic acid,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000051343-P,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,,0,,,0,-1.0,0.0,4,-1.0,0.0,4,True,-,0.0
ENSMUSG00000035443-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000035443-P,"3,3-Dimethylacrylic acid",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000035443-P,"4,5-Dihydro-1H-pyrazole",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000035443-P,L-(+)-Threose,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,"1,2-Bis(trimethylsiloxy)cyclohexene",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,2-Norbornanemethanol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,"3,3-Dimethylacrylic acid",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000028991-P,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,4-Oxohexanoic acid,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,1.0,0.0,4,0.8060606060606059,0.0048620611019646,10,True,+,0.1693978733774359
ENSMUSG00000028991-P,Citramalic acid,0.8660254037844387,0.3333333333333332,3,0.5,0.6666666666666666,3,0.7181848464596079,0.1717953049079889,5,0.7945288310603683,0.0034824595262923,11,True,+,0.130165490773437
ENSMUSG00000028991-P,Glycolic acid,1.0,0.0,3,1.0,0.0,3,0.9276336570439176,0.0076658441874731,6,0.795097541564023,0.0019934857741352,12,True,+,0.0794125677116889
ENSMUSG00000028991-P,Isosorbide,-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,Pentanedioic acid,0.5,0.6666666666666666,3,,,0,0.6957252427829382,0.1247893374402869,6,0.7699336604071668,0.005574581301564,11,True,+,0.1897300891266952
ENSMUSG00000028991-P,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,,0,,,0,1.0,0.0,4,1.0,0.0,4,True,+,0.0
ENSMUSG00000036948-P,"1,2-Bis(trimethylsiloxy)cyclohexene",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,"13-Docosenamide, (Z)",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,"2,4-Dimethoxybenzaldoxime",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,3-(4-Methoxyphenyl)coumarin,,,0,,,0,1.0,0.0,3,1.0,0.0,4,True,+,0.0
ENSMUSG00000036948-P,alpha-Hydroxyisobutyric acid,,,0,,,0,-0.7714285714285715,0.0723965014577259,6,-0.9047619047619048,0.0020082755054294,8,True,-,0.0796373285451544
ENSMUSG00000036948-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.5507824838698261,0.2573693316225746,6,-0.7915949092223313,0.0021561039619187,12,True,-,0.0851117252603992
ENSMUSG00000036948-P,Butanedioic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7714285714285715,0.0723965014577259,6,-0.8251748251748254,0.0009513628555555,12,True,-,0.0397714595917899
ENSMUSG00000036948-P,L-(+)-Threose,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000036948-P,L-Val-L-Leu,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,Suberic acid,,,0,-1.0,0.0,3,-0.7714285714285715,0.0723965014577259,6,-0.8000000000000002,0.0031104283103858,11,True,-,0.1176276726103183
