Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
"(2,5-Dimethoxyphenyl)acetone","(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",0.5126794736756681,0.060849189499381624,14
"(2,5-Dimethoxyphenyl)acetone",(4-Fluorophenyl)phenylmethanol,nan,nan,2
"(2,5-Dimethoxyphenyl)acetone","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.11025365025283186,0.7074992167971077,14
"(2,5-Dimethoxyphenyl)acetone","3,4,5-Trimethoxyamphetamine",-0.349862258953168,0.2412589772757279,13
"(2,5-Dimethoxyphenyl)acetone",Oxypeucedanin,nan,nan,0
"(2,5-Dimethoxyphenyl)acetone","1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.1580554413568168,0.6627622972444477,10
"(2,5-Dimethoxyphenyl)acetone","1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.35132237083104983,0.23916557204009578,13
"(2,5-Dimethoxyphenyl)acetone","1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",0.17699288309332584,0.5449706576826086,14
"(2,5-Dimethoxyphenyl)acetone","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0.03856749311294765,0.9004520331933505,13
"(2,5-Dimethoxyphenyl)acetone",1-(Cyclohexylmethyl)-4-piperidinylamine,0.13373921960961418,0.7126222235089889,10
"(2,5-Dimethoxyphenyl)acetone",1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.5554446611797638,0.039199503218076845,14
"(2,5-Dimethoxyphenyl)acetone","1,2,4-Butanetriol, (S)",nan,nan,1
"(2,5-Dimethoxyphenyl)acetone","1,2-Benzenedicarboxylic acid, butyl octyl ester",nan,nan,1
"(2,5-Dimethoxyphenyl)acetone","1,2-Bis(trimethylsiloxy)cyclohexene",0.5,0.6666666666666666,3
"(2,5-Dimethoxyphenyl)acetone","1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",-0.19999999999999998,0.8,4
"(2,5-Dimethoxyphenyl)acetone","1,2-Cyclohexanediol, (Z)",0.6283091444475025,0.021461209133720256,13
"(2,5-Dimethoxyphenyl)acetone","1,3-Butanediamine",nan,nan,1
"(2,5-Dimethoxyphenyl)acetone","1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",-0.07103433029443741,0.8093152287266063,14
"(2,5-Dimethoxyphenyl)acetone","1,3-Propanediol",nan,nan,0
"(2,5-Dimethoxyphenyl)acetone",10-Undecynoic acid,nan,nan,1
"(2,5-Dimethoxyphenyl)acetone","13-Docosenamide, (Z)",0.5,0.6666666666666666,3
"(2,5-Dimethoxyphenyl)acetone",1-Butanol,0.20909090909090908,0.6527444269181034,7
"(2,5-Dimethoxyphenyl)acetone","1-Heptanol, 2-propyl-",0.057977103565244846,0.9131317851623264,6
"(2,5-Dimethoxyphenyl)acetone",1-Hexacosanol,nan,nan,0
"(2,5-Dimethoxyphenyl)acetone",1-Octadecanol,0.7196715715299219,0.02881918460143582,9
"(2,5-Dimethoxyphenyl)acetone","1-Octanol, 2-butyl-",-0.08167790320600635,0.781334194356834,14
