Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",(4-Fluorophenyl)phenylmethanol,nan,nan,1
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.3088235294117647,0.5514912604315083,6
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","3,4,5-Trimethoxyamphetamine",-0.23190841426097936,0.6583735712609272,6
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",Oxypeucedanin,nan,nan,0
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.9486832980505139,0.05131670194948613,4
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.8029550685469662,0.10183797037740709,5
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",-0.05882352941176471,0.911866476694484,6
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0.753702346348183,0.08352328137325983,6
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1-(Cyclohexylmethyl)-4-piperidinylamine,-0.15389675281277312,0.8048288166080632,5
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,-0.33882260699853356,0.5112146357293449,6
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2,4-Butanetriol, (S)",nan,nan,1
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2-Benzenedicarboxylic acid, butyl octyl ester",nan,nan,0
