Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
"(2,5-Dimethoxyphenyl)acetone","(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",0.5,0.6666666666666666,3
"(2,5-Dimethoxyphenyl)acetone",(4-Fluorophenyl)phenylmethanol,nan,nan,1
"(2,5-Dimethoxyphenyl)acetone","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.5,0.6666666666666666,3
"(2,5-Dimethoxyphenyl)acetone","3,4,5-Trimethoxyamphetamine",nan,nan,2
"(2,5-Dimethoxyphenyl)acetone",Oxypeucedanin,nan,nan,0
"(2,5-Dimethoxyphenyl)acetone","1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",nan,nan,2
"(2,5-Dimethoxyphenyl)acetone","1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.5,0.6666666666666666,3
"(2,5-Dimethoxyphenyl)acetone","1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",0.5,0.6666666666666666,3
"(2,5-Dimethoxyphenyl)acetone","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",nan,nan,2
"(2,5-Dimethoxyphenyl)acetone",1-(Cyclohexylmethyl)-4-piperidinylamine,nan,nan,2
"(2,5-Dimethoxyphenyl)acetone",1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.5,0.6666666666666666,3
"(2,5-Dimethoxyphenyl)acetone","1,2,4-Butanetriol, (S)",nan,nan,0
"(2,5-Dimethoxyphenyl)acetone","1,2-Benzenedicarboxylic acid, butyl octyl ester",nan,nan,1
"(2,5-Dimethoxyphenyl)acetone","1,2-Bis(trimethylsiloxy)cyclohexene",nan,nan,1
"(2,5-Dimethoxyphenyl)acetone","1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",nan,nan,0
"(2,5-Dimethoxyphenyl)acetone","1,2-Cyclohexanediol, (Z)",nan,nan,2
"(2,5-Dimethoxyphenyl)acetone","1,3-Butanediamine",nan,nan,1
"(2,5-Dimethoxyphenyl)acetone","1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",1.0,0.0,3
"(2,5-Dimethoxyphenyl)acetone","1,3-Propanediol",nan,nan,0
"(2,5-Dimethoxyphenyl)acetone",10-Undecynoic acid,nan,nan,0
