Gene,Metabolite,VECPAC r,LPS r,DSS r,Pooled Data r,Pooled P-value,Consistent,Sign
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",(4-Fluorophenyl)phenylmethanol,,,,,,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",0.5,-0.3088235294117647,0.35909242322980395,0.08930545670479381,0.7614302407373128,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","3,4,5-Trimethoxyamphetamine",,-0.23190841426097936,0.7181848464596079,-0.1900833659044485,0.5339342676666191,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",Oxypeucedanin,,,,,,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,0.9486832980505139,0.9486832980505139,0.5609860386535759,0.0915777608700657,True,+
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0,-0.8029550685469662,0.8720815992723809,-0.024930843574295012,0.9355665053636002,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",-0.5,-0.05882352941176471,-0.35909242322980395,-0.3197355857332124,0.26511739959926295,True,-
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,0.753702346348183,0.05129891760425771,0.4738309990661614,0.10190326338203283,True,+
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1-(Cyclohexylmethyl)-4-piperidinylamine,,-0.15389675281277312,0.8660254037844387,0.2073209273284954,0.5654808554237636,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,1.0,-0.33882260699853356,0.15389675281277312,-0.12389410852029362,0.6730385878616651,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2,4-Butanetriol, (S)",,,,,,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2-Benzenedicarboxylic acid, butyl octyl ester",,,,,,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2-Bis(trimethylsiloxy)cyclohexene",,,,0.5,0.6666666666666666,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,-0.5,0.39999999999999997,0.6,False,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2-Cyclohexanediol, (Z)",,0.029411764705882356,0.5263157894736843,0.09392265193370165,0.7602169319867235,True,+
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,3-Butanediamine",,,,,,False,
