Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
"(2,5-Dimethoxyphenyl)acetone","(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",0.5,0.6666666666666666,3,-0.1538967528127731,0.8048288166080632,5,0.6087595874350709,0.1996601894603627,6,0.3105734406203723,0.279818008955302,14,False,,
"(2,5-Dimethoxyphenyl)acetone",(4-Fluorophenyl)phenylmethanol,,,1,,,0,,,1,,,2,False,,
"(2,5-Dimethoxyphenyl)acetone","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.5,0.6666666666666666,3,-0.3,0.623837664781073,5,-0.7826908981308054,0.065703848071589,6,-0.4730475909815995,0.0875700277157411,14,True,-,0.22886953872816254
"(2,5-Dimethoxyphenyl)acetone","3,4,5-Trimethoxyamphetamine",,,2,0.3999999999999999,0.5046315754686912,5,-0.7142857142857143,0.1107871720116617,6,-0.2087912087912088,0.493621819356885,13,False,,
"(2,5-Dimethoxyphenyl)acetone",Oxypeucedanin,,,0,,,0,,,0,,,0,False,,
"(2,5-Dimethoxyphenyl)acetone","1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,,2,0.7999999999999999,0.2000000000000001,4,0.7999999999999999,0.2000000000000001,4,0.1878787878787878,0.6032176100292089,10,True,+,0.6940427360931851
"(2,5-Dimethoxyphenyl)acetone","1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.5,0.6666666666666666,3,-0.0999999999999999,0.8728885715695384,5,-0.1118033988749894,0.8579446176050994,5,-0.1546984936307523,0.6138204558448682,13,True,-,0.7012524293278569
"(2,5-Dimethoxyphenyl)acetone","1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",0.5,0.6666666666666666,3,0.4999999999999999,0.3910022189557703,5,-0.4928053803045811,0.3206325828658274,6,0.1738174869188203,0.5523230858668635,14,False,,
"(2,5-Dimethoxyphenyl)acetone","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,2,-0.7999999999999999,0.1040880386618278,5,0.0857142857142857,0.8717434402332361,6,0.0769230769230769,0.8027630076692551,13,False,,
"(2,5-Dimethoxyphenyl)acetone",1-(Cyclohexylmethyl)-4-piperidinylamine,,,2,0.5,0.6666666666666666,3,-0.0999999999999999,0.8728885715695384,5,-0.4181818181818181,0.2291128409828189,10,False,,
"(2,5-Dimethoxyphenyl)acetone",1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.5,0.6666666666666666,3,0.7999999999999999,0.1040880386618278,5,0.0910765111078374,0.8637629700202578,6,0.1832247438039918,0.530665355012191,14,True,+,0.6378595882254972
"(2,5-Dimethoxyphenyl)acetone","1,2,4-Butanetriol, (S)",,,0,,,0,,,1,,,1,False,,
"(2,5-Dimethoxyphenyl)acetone","1,2-Benzenedicarboxylic acid, butyl octyl ester",,,1,,,0,,,0,,,1,False,,
"(2,5-Dimethoxyphenyl)acetone","1,2-Bis(trimethylsiloxy)cyclohexene",,,1,,,2,,,0,-0.5,0.6666666666666666,3,False,,
"(2,5-Dimethoxyphenyl)acetone","1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,0,-0.5,0.6666666666666666,3,,,1,-0.3999999999999999,0.6,4,False,,
"(2,5-Dimethoxyphenyl)acetone","1,2-Cyclohexanediol, (Z)",,,2,0.6668859288553501,0.2188939813132315,5,-0.1449427589131121,0.7841083696021083,6,0.1680447147850921,0.5831622245603262,13,False,,
"(2,5-Dimethoxyphenyl)acetone","1,3-Butanediamine",,,1,,,0,,,0,,,1,False,,
"(2,5-Dimethoxyphenyl)acetone","1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",1.0,0.0,3,0.1025978352085154,0.8695979205185651,5,0.0882734829504749,0.8679336982351337,6,0.1300999398909264,0.6575511508762721,14,True,+,0.7353054818108128
"(2,5-Dimethoxyphenyl)acetone","1,3-Propanediol",,,0,,,0,,,0,,,0,False,,
"(2,5-Dimethoxyphenyl)acetone",10-Undecynoic acid,,,0,,,0,,,1,,,1,False,,
"(2,5-Dimethoxyphenyl)acetone","13-Docosenamide, (Z)",,,0,,,0,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,False,,
"(2,5-Dimethoxyphenyl)acetone",1-Butanol,,,2,-0.5,0.6666666666666666,3,,,2,-0.1785714285714286,0.7016579425162728,7,False,,
"(2,5-Dimethoxyphenyl)acetone","1-Heptanol, 2-propyl-",,,0,,,0,0.0579771035652448,0.9131317851623264,6,0.0579771035652448,0.9131317851623264,6,False,,
"(2,5-Dimethoxyphenyl)acetone",1-Hexacosanol,,,0,,,0,,,0,,,0,False,,
"(2,5-Dimethoxyphenyl)acetone",1-Octadecanol,,,1,1.0,0.0,3,0.4999999999999999,0.3910022189557703,5,0.7,0.0357695749702617,9,True,+,0.14726325197676954
"(2,5-Dimethoxyphenyl)acetone","1-Octanol, 2-butyl-",1.0,0.0,3,0.8999999999999998,0.0373860734684987,5,0.5590653920196746,0.2487710057017011,6,0.281939009924877,0.3287813974362653,14,True,+,0.47023876494917355
"(2,5-Dimethoxyphenyl)acetone","1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,,1,,,1,,,2,0.3999999999999999,0.6,4,False,,
"(2,5-Dimethoxyphenyl)acetone","2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",,,0,,,0,,,1,,,1,False,,
"(2,5-Dimethoxyphenyl)acetone","2(5H)-Furanone, 4-(hydroxymethyl)",0.5,0.6666666666666666,3,-0.2051956704170308,0.7405819415910723,5,0.2898855178262242,0.5773517870348749,6,0.3436131683459438,0.2290252207168489,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2-(Ethylamino)ethanol, N-acetyl",0.0,1.0,3,0.3354101966249684,0.5810906728217107,5,-0.5161002296110789,0.2945837414624606,6,-0.1487310606395157,0.6118363781150286,14,False,,
"(2,5-Dimethoxyphenyl)acetone",2-(Methylamino)ethanol,1.0,0.0,3,0.1999999999999999,0.7470600781046621,5,-0.1449427589131121,0.7841083696021083,6,0.1584159374450008,0.5885690796887758,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2,2'-Bipyridine",-0.5,0.6666666666666666,3,0.6668859288553501,0.2188939813132315,5,0.1159542071304896,0.8268482133858149,6,0.1585906930827433,0.5881525241520347,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",-1.0,0.0,3,-0.6668859288553501,0.2188939813132315,5,0.6668859288553501,0.2188939813132315,5,-0.1432512322758162,0.6405875298469966,13,False,,
"(2,5-Dimethoxyphenyl)acetone","2,3-Dihydroxybutanoic acid",,,2,-0.316227766016838,0.683772233983162,4,-0.3999999999999999,0.6,4,-0.2066878848512219,0.5666951380068741,10,True,-,0.6651655584067446
"(2,5-Dimethoxyphenyl)acetone","2',3'-Di-O-acetyladenosine",,,2,,,2,0.5,0.6666666666666666,3,0.5357142857142858,0.2152174556780128,7,False,,
"(2,5-Dimethoxyphenyl)acetone","2,4,4'-Trihydroxybenzophenone",-0.5,0.6666666666666666,3,0.8207826816681233,0.0885870053135438,5,0.7714285714285715,0.0723965014577259,6,0.3520354165444462,0.2170602326808317,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2,4,6-Cycloheptatrien-1-one",-0.5,0.6666666666666666,3,-0.5,0.6666666666666666,3,-0.5,0.6666666666666666,3,-0.5,0.1704706607870538,9,True,-,0.3235103185217239
"(2,5-Dimethoxyphenyl)acetone","2,4-Dihydroxyacetophenone",,,1,,,0,,,0,,,1,False,,
"(2,5-Dimethoxyphenyl)acetone","2,4-Dimethoxybenzaldoxime",,,1,,,0,,,2,0.5,0.6666666666666666,3,False,,
"(2,5-Dimethoxyphenyl)acetone","2,4-Di-tert-butylphenol",-1.0,0.0,3,0.6,0.2847569798652938,5,,,1,-0.2333333333333333,0.5456987782182728,9,False,,
"(2,5-Dimethoxyphenyl)acetone","2,4-Imidazolidinedione, 5,5-dimethyl",-1.0,0.0,3,0.7,0.1881204043741873,5,-0.2898855178262242,0.5773517870348749,6,-0.1056106249633338,0.7193527006616556,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",,,2,0.1999999999999999,0.8,4,-0.2571428571428572,0.6227871720116619,6,-0.2097902097902098,0.512840943181826,12,False,,
"(2,5-Dimethoxyphenyl)acetone","2,5-Dimethoxybenzhydrazide",,,2,-0.3,0.623837664781073,5,0.5428571428571429,0.2657026239067054,6,0.1923076923076923,0.5290679872349875,13,False,,
"(2,5-Dimethoxyphenyl)acetone","2,5-Dimethoxybenzonitrile",1.0,0.0,3,-0.0999999999999999,0.8728885715695384,5,0.4285714285714286,0.3965014577259473,6,0.3274725274725274,0.2530710007719405,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2,5-Dimethoxyphenol",1.0,0.0,3,-0.0999999999999999,0.8728885715695384,5,0.6,0.208,6,0.3714285714285714,0.1910208120436163,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2',5'-Dimethoxypropiophenone",0.5,0.6666666666666666,3,-0.3,0.623837664781073,5,0.1428571428571428,0.7871720116618076,6,0.1604395604395604,0.583752752641341,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",-0.5,0.6666666666666666,3,-0.5,0.6666666666666666,3,-0.3999999999999999,0.6,4,-0.406060606060606,0.2442822940866265,10,True,-,0.3956475106028205
"(2,5-Dimethoxyphenyl)acetone","2-Allyl-1,4-dimethoxybenzene",-1.0,0.0,3,0.1581138830084189,0.7995251457913304,5,-0.4285714285714286,0.3965014577259473,6,-0.3237893317106009,0.2587637137881313,14,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Amino-4-methylbenzophenone,1.0,0.0,3,-0.7999999999999999,0.1040880386618278,5,0.7,0.1881204043741873,5,0.1153846153846153,0.7073898735142603,13,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Aminoquinolin-8-ol,,,1,,,1,,,1,1.0,0.0,3,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Butanol,,,0,,,0,,,0,,,0,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Buten-1-ol,,,2,0.5,0.6666666666666666,3,,,2,-0.25,0.5887244480896834,7,False,,
"(2,5-Dimethoxyphenyl)acetone","2-Butene-1,4-diol",,,0,,,2,0.1999999999999999,0.8,4,-0.1428571428571428,0.7871720116618076,6,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Butenedioic acid,,,2,-0.7,0.1881204043741873,5,0.1428571428571428,0.7871720116618076,6,0.0769230769230769,0.8027630076692551,13,False,,
"(2,5-Dimethoxyphenyl)acetone","2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",-0.8660254037844387,0.3333333333333332,3,-0.4103913408340616,0.4925357817027975,5,0.0857142857142857,0.8717434402332361,6,-0.2246701485338863,0.4399868566179323,14,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Butoxyethanol,-0.5,0.6666666666666666,3,0.8999999999999998,0.0373860734684987,5,0.7142857142857143,0.1107871720116617,6,0.4505494505494505,0.1059327852726406,14,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Cyanobenzaldehyde,,,1,,,0,0.4999999999999999,0.3910022189557703,5,0.7142857142857143,0.1107871720116617,6,False,,
"(2,5-Dimethoxyphenyl)acetone","2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",-0.5,0.6666666666666666,3,-0.6,0.2847569798652938,5,-0.0999999999999999,0.8728885715695384,5,-0.412087912087912,0.1617510527725264,13,True,-,0.31439504577260863
"(2,5-Dimethoxyphenyl)acetone","2-Cyclohexen-1-one, 3-methyl-",-0.5,0.6666666666666666,3,0.0,1.0,5,0.3714285714285715,0.4684781341107872,6,-0.0681318681318681,0.8169838797817922,14,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Decanol,,,2,0.8207826816681233,0.0885870053135438,5,0.0999999999999999,0.8728885715695384,5,0.0700526468338346,0.8287278541011254,12,True,+,0.8680003648405129
"(2,5-Dimethoxyphenyl)acetone",2-Ethyl-1-butanol,,,0,1.0,0.0,3,0.5,0.6666666666666666,3,0.7714285714285715,0.0723965014577259,6,True,+,0.20805567583769718
"(2,5-Dimethoxyphenyl)acetone",2-Ethylhexanoic acid,-1.0,0.0,3,-0.1118033988749894,0.8579446176050994,5,-0.2898855178262242,0.5773517870348749,6,-0.1745882999547062,0.5505344383978736,14,True,-,0.6515882415625319
"(2,5-Dimethoxyphenyl)acetone",2-Ethylhexanol,,,0,,,0,,,1,,,1,False,,
"(2,5-Dimethoxyphenyl)acetone","2-Furancarbodithioic acid, methyl ester",,,0,,,0,,,0,,,0,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Furoic acid,0.5,0.6666666666666666,3,0.8999999999999998,0.0373860734684987,5,-0.6000000000000001,0.4,4,0.3776223776223776,0.2262060449350264,12,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Hexanol,-1.0,0.0,3,-0.7999999999999999,0.1040880386618278,5,0.316227766016838,0.683772233983162,4,-0.3957974546111656,0.2028076432500999,12,False,,
"(2,5-Dimethoxyphenyl)acetone","2'-Hydroxy-2,4,4',5-tetramethoxychalcone",0.8660254037844387,0.3333333333333332,3,0.7999999999999999,0.2000000000000001,4,0.4638168285219587,0.3541642984362303,6,0.66391436497061,0.013338924984693,13,True,+,0.08812048495391599
"(2,5-Dimethoxyphenyl)acetone","2-Hydroxy-2',4',6'-trimethoxychalcone",,,0,,,0,,,2,,,2,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Hydroxy-3-methylbutyric acid,,,2,0.8999999999999998,0.0373860734684987,5,0.0857142857142857,0.8717434402332361,6,0.2582417582417582,0.3942840173973615,13,True,+,0.5266570627862035
"(2,5-Dimethoxyphenyl)acetone","2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",,,0,,,0,,,0,,,0,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Isopropyl-5-methyl-1-heptanol,,,2,,,1,,,0,-1.0,0.0,3,False,,
"(2,5-Dimethoxyphenyl)acetone","2-Methyl-1,3-butanediol",-0.5,0.6666666666666666,3,0.7,0.1881204043741873,5,-0.9276336570439176,0.0076658441874731,6,-0.2486250129345151,0.3913814716507343,14,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Methyl-3-pentanol,,,0,1.0,0.0,3,0.7999999999999999,0.1040880386618278,5,0.8571428571428572,0.0065300172547152,8,True,+,0.06167238662546591
"(2,5-Dimethoxyphenyl)acetone","2-Methylcyclohexanol, (Z)",-0.5,0.6666666666666666,3,0.8720815992723809,0.0538542177275421,5,0.4058397249567139,0.4246625075613642,6,0.2907496039850294,0.3132316295658605,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",,,0,0.0,1.0,3,0.7999999999999999,0.2000000000000001,4,0.2882999880625789,0.5306506599466652,7,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Naphthol,0.8660254037844387,0.3333333333333332,3,0.8999999999999998,0.0373860734684987,5,0.3236694374850748,0.5314499571644633,6,0.4321964104851116,0.122750375762907,14,True,+,0.27191891871158447
"(2,5-Dimethoxyphenyl)acetone",2-Norbornanemethanol,,,0,,,1,,,2,-0.5,0.6666666666666666,3,False,,
"(2,5-Dimethoxyphenyl)acetone","2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",,,0,,,0,,,1,,,1,False,,
"(2,5-Dimethoxyphenyl)acetone",2-Pentadecanone,0.0,1.0,3,0.8999999999999998,0.0373860734684987,5,0.7589709258986453,0.0801412280583238,6,0.6828833504557497,0.0071106350605727,14,False,,
"(2,5-Dimethoxyphenyl)acetone","2-Pivaloyl-1,3-indandione",,,0,,,0,,,0,,,0,False,,
