Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2(5H)-Furanone, 4-(hydroxymethyl)",1.0,0.0,3,0.5000000000000001,0.3910022189557704,5,0.8088235294117647,0.0513290631996743,6,0.6534216335540838,0.0112713357208902,14,True,+,0.0805363525514855
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2-(Ethylamino)ethanol, N-acetyl",-0.8660254037844387,0.3333333333333332,3,-0.2867696673382022,0.6399416161308044,5,-0.7084472691787521,0.1151130646358375,6,-0.5673141946229298,0.0343576238579697,14,True,-,0.1445415504787352
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",,,2,-0.7999999999999999,0.2000000000000001,4,-0.8116794499134278,0.0498575851013404,6,-0.7075317330217298,0.0100543554551854,12,True,-,0.0756918533487836
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,5-Dimethoxybenzhydrazide",,,2,0.4616902584383193,0.4337661561690276,5,0.9856107606091624,0.0003090856678496,6,0.760333463617794,0.0025528247039924,13,True,+,0.039281283545913
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,5-Dimethoxybenzonitrile",0.5,0.6666666666666666,3,0.6155870112510925,0.2689977701158222,5,0.8116794499134278,0.0498575851013404,6,0.6057283416354778,0.0216875922642073,14,True,+,0.1146577430860624
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,5-Dimethoxyphenol",0.5,0.6666666666666666,3,0.6155870112510925,0.2689977701158222,5,0.8116794499134278,0.0498575851013404,6,0.6387680693610495,0.013934884996166,14,True,+,0.0904479426137699
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",1.0,0.0,3,0.6155870112510925,0.2689977701158222,5,0.9856107606091624,0.0003090856678496,6,0.6806183911467734,0.007379917736724,14,True,+,0.0653698217872204
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",alpha-Hydroxyisobutyric acid,,,0,0.5,0.6666666666666666,3,0.898645105261295,0.0148886220055803,6,0.7949860383179369,0.0104445177096839,9,True,+,0.0771256737950272
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",Cholesterol,-0.5,0.6666666666666666,3,-0.1538967528127731,0.8048288166080632,5,-0.9276336570439174,0.0076658441874731,6,-0.6541866089663162,0.0111439351182437,14,True,-,0.0801450231408885
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","Cyclohexanone, 3,3,5-trimethyl",0.5,0.6666666666666666,3,0.6155870112510925,0.2689977701158222,5,0.5642880936468347,0.3217233358243003,5,0.6225918941218168,0.0230467250926548,13,True,+,0.1185172467481129
