Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
"(2,5-Dimethoxyphenyl)acetone",2-Methyl-3-pentanol,,,0,1.0,0.0,3,0.7999999999999999,0.1040880386618278,5,0.8571428571428572,0.0065300172547152,8,True,+,0.0616723866254659
"(2,5-Dimethoxyphenyl)acetone",2-Propyl-1-pentanol,,,2,0.7999999999999999,0.2000000000000001,4,0.7714285714285715,0.0723965014577259,6,0.6153846153846154,0.0331699010901059,12,True,+,0.1425063702120078
"(2,5-Dimethoxyphenyl)acetone",3-Heptanol,-1.0,0.0,3,-0.1999999999999999,0.8,4,-0.8406680016960503,0.0360575728451592,6,-0.5859702929929769,0.0353369247182544,13,True,-,0.1463368825115822
"(2,5-Dimethoxyphenyl)acetone","6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",0.8660254037844387,0.3333333333333332,3,0.9746794344808964,0.0048182304681985,5,1.0,0.0,4,0.6701795640604913,0.0170903931695046,12,True,+,0.1018840989804915
"(2,5-Dimethoxyphenyl)acetone",Adenine,,,1,0.8999999999999998,0.0373860734684987,5,0.6,0.208,6,0.7692307692307694,0.0034464502618274,12,True,+,0.0458078448769631
"(2,5-Dimethoxyphenyl)acetone",Leucylglycine,,,1,-0.7999999999999999,0.1040880386618278,5,-0.7714285714285715,0.0723965014577259,6,-0.7062937062937064,0.0102451939411278,12,True,-,0.0761992403514576
"(2,5-Dimethoxyphenyl)acetone",N-Caffeoyl-O-methyltyramine,,,1,1.0,1.4042654220543602e-24,5,0.5507824838698261,0.2573693316225746,6,0.7565685858054141,0.0043984927612255,12,True,+,0.0515270878724945
"(2,5-Dimethoxyphenyl)acetone",Triethyl citrate,,,3,0.8999999999999998,0.0373860734684987,5,0.7999999999999999,0.2000000000000001,4,0.7394549559641986,0.0059862275734004,12,True,+,0.0592564423259801
"(2,5-Dimethoxyphenyl)acetone",Trimethylolpropane,,,1,1.0,0.0,3,0.6155870112510925,0.2689977701158222,5,0.7782494901428224,0.0135059728100068,9,True,+,0.088853601669865
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",N-Acetylaspartic acid,0.5,0.6666666666666666,3,0.4999999999999999,0.3910022189557703,5,0.9746794344808964,0.0048182304681985,5,0.6189827038658207,0.024091303539544,13,True,+,0.1210304895141805
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",,,2,0.316227766016838,0.683772233983162,4,0.7378647873726218,0.2621352126273781,4,0.7683069659820713,0.0094294327366938,10,True,+,0.0743145529408414
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","2-Cyclohexen-1-one, 3-methyl-",,,2,0.7999999999999999,0.2000000000000001,4,0.3999999999999999,0.6,4,0.7818181818181817,0.0075470077810678,10,True,+,0.0659414733744929
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",8-Methylnonanoic acid,,,2,0.6000000000000001,0.4,4,0.632455532033676,0.367544467966324,4,0.7659609850368815,0.0097870399034083,10,True,+,0.0751559894944798
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Aceturic acid,,,2,1.0,0.0,3,0.7999999999999999,0.2000000000000001,4,0.75,0.0199421261319925,9,True,+,0.1101901332024118
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",,,2,0.7999999999999999,0.2000000000000001,4,0.7999999999999999,0.2000000000000001,4,0.7939393939393938,0.0060999233136969,10,True,+,0.0596385986133624
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Butanedioic acid,,,2,0.7999999999999999,0.2000000000000001,4,0.7999999999999999,0.2000000000000001,4,0.709090909090909,0.0216659233675324,10,True,+,0.1147163354883697
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",DL-Glyceraldehyde,,,2,0.948683298050514,0.0513167019494861,4,0.7999999999999999,0.2000000000000001,4,0.7538028741632801,0.0117947862899836,10,True,+,0.082605855147623
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","Erythrono-1,4-lactone",,,2,1.0,0.0,4,1.0,0.0,4,0.8666666666666665,0.0011735381801554,10,True,+,0.0257902867201983
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Hydracrylic acid,,,2,0.6000000000000001,0.4,4,0.3999999999999999,0.6,4,0.7454545454545454,0.01333014631544,10,True,+,0.0881204849539159
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",,,2,0.316227766016838,0.683772233983162,4,1.0,0.0,4,0.7841981513472833,0.0072454864030525,10,True,+,0.064946844184985
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",,,1,0.5,0.6666666666666666,3,1.0,0.0,3,0.8214285714285715,0.0234488083456914,7,True,+,0.1195735965444995
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Mevalonolactone,,,2,0.948683298050514,0.0513167019494861,4,0.7999999999999999,0.2000000000000001,4,0.960490759014502,1.0163235882999593e-05,10,True,+,0.0020331683681836
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Phytanic acid,,,2,1.0,0.0,4,0.1999999999999999,0.8,4,0.709090909090909,0.0216659233675324,10,True,+,0.1147163354883697
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Picolinic acid,,,2,0.2581988897471611,0.7418011102528389,4,0.948683298050514,0.0513167019494861,4,0.8519979545631314,0.0017488622050719,10,True,+,0.0315847752869698
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Tetrahydro-solasodine triacetate,,,2,0.7999999999999999,0.2000000000000001,4,0.7999999999999999,0.2000000000000001,4,0.6930123197952736,0.0262928781788051,10,True,+,0.1255428614143436
"1-(2,4-Dimethoxyphenyl)-propan-2-one",3-Amino-5-methylisoxazole,,,2,0.4616902584383193,0.4337661561690276,5,0.2236067977499789,0.7176856442107858,5,0.6137652049144834,0.0337675578907111,12,True,+,0.1435719273369634
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Butyric Acid,1.0,0.0,3,0.7999999999999999,0.1040880386618278,5,0.7826237921249264,0.1176137608734581,5,0.7900673067570567,0.0013107372545186,13,True,+,0.0274943754138282
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Pentanoic acid,0.5,0.6666666666666666,3,0.6668859288553501,0.2188939813132315,5,0.4472135954999579,0.4501848557521007,5,0.6777375080240692,0.0109108650649213,13,True,+,0.0791875062665264
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Urea,0.5,0.6666666666666666,3,0.7181848464596079,0.1717953049079889,5,0.7826237921249264,0.1176137608734581,5,0.7247641922543107,0.0050692883095407,13,True,+,0.0545741504035257
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine","3,5-Dimethylphenol",0.5,0.6666666666666666,3,0.6,0.2847569798652938,5,0.4616902584383193,0.4337661561690276,5,0.6574971832174716,0.0145952087874766,13,True,+,0.0925035084970694
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",Aconitic acid,1.0,0.0,3,0.1538967528127731,0.8048288166080632,5,0.7205882352941176,0.1061994326277224,6,0.5986773208728771,0.0236952575491044,14,True,+,0.1200457138948782
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1-(Cyclohexylmethyl)-4-piperidinylamine,,,2,-1.0,0.0,3,-0.7,0.1881204043741873,5,-0.7212121212121211,0.0185731550894602,10,True,-,0.1075781410601102
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2',5'-Dimethoxypropiophenone",,,2,0.7,0.1881204043741873,5,0.942857142857143,0.004804664723032,6,0.8131868131868131,0.0007236077236996,13,True,+,0.0202350805028827
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",2-Amino-4-methylbenzophenone,,,2,1.0,1.4042654220543602e-24,5,0.8999999999999998,0.0373860734684987,5,0.8601398601398602,0.0003316683391269,12,True,+,0.013548043884126
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",,,2,0.8207826816681233,0.0885870053135438,5,0.8857142857142858,0.0188454810495626,6,0.7537833815965993,0.0029204961924486,13,True,+,0.0420140132520634
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",N-Acetylaminoethanol,,,2,0.3590924232298039,0.5528147466433508,5,0.8986451052612952,0.0148886220055803,6,0.675867855254921,0.0112179930206684,13,True,+,0.0804957408060389
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,"1-Octanol, 2-butyl-",0.5,0.6666666666666666,3,0.8999999999999998,0.0373860734684987,5,0.3751832396884334,0.4636309989791455,6,0.7721257834568298,0.0012122539422669,14,True,+,0.0261270863468683
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,2-(Methylamino)ethanol,0.5,0.6666666666666666,3,0.7,0.1881204043741873,5,0.5236349380886428,0.286336253734027,6,0.6033182319703334,0.0223588213263445,14,True,+,0.1164356279361411
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,"2,4,4'-Trihydroxybenzophenone",0.5,0.6666666666666666,3,0.8720815992723809,0.0538542177275421,5,0.6375355777548621,0.1732603152985336,6,0.8596732316353835,8.091436617528663e-05,14,True,+,0.0058463075265235
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,2-Pentadecanone,0.8660254037844387,0.3333333333333332,3,0.8999999999999998,0.0373860734684987,5,0.3548387096774194,0.4900808969151754,6,0.6415098290775859,0.0134032536426422,14,True,+,0.088470545617508
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Azelaic acid,0.5,0.6666666666666666,3,0.8999999999999998,0.0373860734684987,5,0.4312287725435882,0.3932521160510995,6,0.5679589216717058,0.0341079683150119,14,True,+,0.14423326221882
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Curcumin,1.0,0.0,3,0.3999999999999999,0.5046315754686912,5,0.2732295333235123,0.6003545904291114,6,0.8013323132632415,0.0005699248165719,14,True,+,0.0180754204020079
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Glycerol,0.8660254037844387,0.3333333333333332,3,0.7,0.1881204043741873,5,0.6982532518267538,0.122839463373396,6,0.5812186630336913,0.0292657040223397,14,True,+,0.1328322605880593
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,L-Tryptophan,0.8660254037844387,0.3333333333333332,3,0.8999999999999998,0.0373860734684987,5,0.9411239481143202,0.0050975405648614,6,0.5878485337146838,0.027046367226531,14,True,+,0.1274249740950452
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Synephrine,1.0,0.0,3,0.632455532033676,0.367544467966324,4,0.6776452139970672,0.1391205488215625,6,0.706373901271692,0.0069564820465473,13,True,+,0.0638523210907788
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Yangonin,1.0,0.0,3,1.0,0.0,4,0.739249324360437,0.0931220337779458,6,0.9128709291752768,1.3325045262573056e-05,13,True,+,0.0025356586131364
"1,2-Cyclohexanediol, (Z)","2-Methylcyclohexanol, (Z)",,,2,0.6578947368421054,0.2274702165738091,5,0.6617647058823529,0.1522570857927946,6,0.6270718232044199,0.021797260213237,13,True,+,0.1149069082322128
"1,2-Cyclohexanediol, (Z)",5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,,,0,-0.948683298050514,0.0513167019494861,4,-0.5147058823529411,0.2961196697537145,6,-0.7675876871077151,0.0095380787290022,10,True,-,0.0744983003032704
"1,2-Cyclohexanediol, (Z)",Butylmethylamine,,,2,-0.2631578947368421,0.6688454650582101,5,-0.6957252427829381,0.1247893374402871,6,-0.6013798824068189,0.0296944720626985,13,True,-,0.1343050846569123
"1,2-Cyclohexanediol, (Z)",Cyclobutylamine,,,2,-0.4103913408340617,0.4925357817027974,5,-0.6764705882352942,0.1400748015469162,6,-0.6372419854861247,0.0191480257544184,13,True,-,0.1082557224173712
"1,2-Cyclohexanediol, (Z)",Isopropylamine,,,2,-0.7181848464596079,0.1717953049079889,5,-0.3768511731740915,0.4614828403508045,6,-0.7162561613790812,0.0058856336495252,13,True,-,0.058796048314464
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-","1-Octanol, 2-butyl-",1.0,0.0,3,0.4103913408340617,0.4925357817027974,5,0.4848484848484847,0.3297158916993628,6,0.693923075561361,0.0059054400956888,14,True,+,0.0588432230224317
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",2-Butenedioic acid,,,2,0.4616902584383193,0.4337661561690276,5,0.7944613465542746,0.0590275999253266,6,0.6537987007976175,0.015358495772585,13,True,+,0.095923626229884
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",3-Amino-5-methylisoxazole,,,2,0.5000000000000001,0.3910022189557704,5,0.4413674147523747,0.3809392104771887,6,0.6754169417074809,0.0112930338308786,13,True,+,0.080685210575563
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-","Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",1.0,0.0,3,0.4616902584383193,0.4337661561690276,5,0.985184366143778,0.0003276284717546,6,0.8940419134711506,1.6202654977554643e-05,14,True,+,0.0026871698574345
