node1,node2
"(2,5-Dimethoxyphenyl)acetone",2-Propyl-1-pentanol
"(2,5-Dimethoxyphenyl)acetone",Hexacosanoic acid
"(2,5-Dimethoxyphenyl)acetone",N-Caffeoyl-O-methyltyramine
2-Propyl-1-pentanol,Cycloheptanol
2-Propyl-1-pentanol,Niacinamide
2-Propyl-1-pentanol,Triethyl citrate
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",2-Hydroxy-3-methylbutyric acid
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",2-Methyl-3-pentanol
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",Benzophenone
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",Butachlor ESA
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",Frangulin
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",Hexacosanoic acid
Frangulin,2-Hydroxy-3-methylbutyric acid
Frangulin,Benzophenone
Frangulin,Butachlor ESA
Frangulin,Glycerol
Frangulin,Hexacosanoic acid
Hexacosanoic acid,2-Pentadecanone
Hexacosanoic acid,Adenine
Hexacosanoic acid,"Benzenesulfonamide, N-butyl"
Hexacosanoic acid,Isopropyl palmitate
Hexacosanoic acid,L-Glutamine
Hexacosanoic acid,Norketamine
Hexacosanoic acid,Triethyl citrate
L-Glutamine,1-Octadecanol
L-Glutamine,2-Decanol
L-Glutamine,2-Hydroxy-3-methylbutyric acid
L-Glutamine,Butachlor ESA
L-Glutamine,N-Caffeoyl-O-methyltyramine
N-Caffeoyl-O-methyltyramine,"1,2-Cyclohexanediol, (Z)"
N-Caffeoyl-O-methyltyramine,2-Pentadecanone
N-Caffeoyl-O-methyltyramine,"Benzenesulfonamide, N-butyl"
N-Caffeoyl-O-methyltyramine,Isopropyl palmitate
N-Caffeoyl-O-methyltyramine,Norketamine
Triethyl citrate,Glycerol
Triethyl citrate,L-Alanine
Triethyl citrate,Niacin
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",Methylthiouracil
"2(5H)-Furanone, 4-(hydroxymethyl)","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone"
"2(5H)-Furanone, 4-(hydroxymethyl)","2,4-Imidazolidinedione, 5,5-dimethyl"
"2(5H)-Furanone, 4-(hydroxymethyl)",Isobutanol
"2(5H)-Furanone, 4-(hydroxymethyl)",Methylthiouracil
Diethylamine,"2,5-Dimethoxybenzhydrazide"
Diethylamine,2-Methyl-3-pentanol
Diethylamine,"Benzene, 1,4-dimethoxy"
Diethylamine,"Cyclohexanone, 3,3,5-trimethyl"
Diethylamine,Cyclooctylamine
Diethylamine,Trimethylolpropane
"Hymexazole, tert-butyldimethylsilyl ether","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone"
"Hymexazole, tert-butyldimethylsilyl ether","2,4-Imidazolidinedione, 5,5-dimethyl"
"Hymexazole, tert-butyldimethylsilyl ether","2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole"
"Hymexazole, tert-butyldimethylsilyl ether","2,5-Dimethoxybenzhydrazide"
"Hymexazole, tert-butyldimethylsilyl ether",2-Amino-4-methylbenzophenone
"Hymexazole, tert-butyldimethylsilyl ether",6-Methyluracil
"Hymexazole, tert-butyldimethylsilyl ether",Durapan
"Hymexazole, tert-butyldimethylsilyl ether",Isobutanol
"Hymexazole, tert-butyldimethylsilyl ether","Kojic acid, bis(tert-butyldimethylsilyl) ether"
"Hymexazole, tert-butyldimethylsilyl ether",Methanesulfonic acid
"Hymexazole, tert-butyldimethylsilyl ether",Methylthiouracil
"Hymexazole, tert-butyldimethylsilyl ether",Pinosylvin
Methylthiouracil,"2',5'-Dimethoxypropiophenone"
Methylthiouracil,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal"
Methylthiouracil,6-Methyluracil
Methylthiouracil,Cyclooctylamine
Methylthiouracil,Ketamine
Methylthiouracil,"Kojic acid, bis(tert-butyldimethylsilyl) ether"
"3,4,5-Trimethoxyamphetamine",2-Ethyl-1-butanol
2-Ethyl-1-butanol,DL-p-Hydroxyphenyllactic acid
2-Ethyl-1-butanol,L-Valine
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal"
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","Erythrono-1,4-lactone"
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Mevalonolactone
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal","2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole"
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal","2,5-Dimethoxybenzhydrazide"
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",Ketamine
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",N-Acetylaminoethanol
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",Trimethylolpropane
"Erythrono-1,4-lactone","2,5-Dimethoxybenzhydrazide"
Mevalonolactone,"3,4-Methylenedioxyamphetamine"
Mevalonolactone,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester"
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",Isopropylamine
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",Nonanoic acid
Isopropylamine,2-Furoic acid
Isopropylamine,Butachlor ESA
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2',5'-Dimethoxypropiophenone"
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",6-Methyluracil
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Aconitic acid
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Cyclooctylamine
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","Kojic acid, bis(tert-butyldimethylsilyl) ether"
"2,4-Imidazolidinedione, 5,5-dimethyl",2-Amino-4-methylbenzophenone
"2,4-Imidazolidinedione, 5,5-dimethyl",6-Methyluracil
"2,4-Imidazolidinedione, 5,5-dimethyl","Kojic acid, bis(tert-butyldimethylsilyl) ether"
"2,5-Dimethoxybenzhydrazide","2',5'-Dimethoxypropiophenone"
"2,5-Dimethoxybenzhydrazide",6-Methyluracil
"2,5-Dimethoxybenzhydrazide","Cyclohexanone, 3,3,5-trimethyl"
"2,5-Dimethoxybenzhydrazide",Cyclooctylamine
"2,5-Dimethoxybenzhydrazide",Ketamine
"2',5'-Dimethoxypropiophenone","2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole"
"2',5'-Dimethoxypropiophenone",2-Methyl-3-pentanol
"2',5'-Dimethoxypropiophenone",Durapan
2-Amino-4-methylbenzophenone,6-Methyluracil
2-Amino-4-methylbenzophenone,"Kojic acid, bis(tert-butyldimethylsilyl) ether"
6-Methyluracil,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole"
6-Methyluracil,Durapan
6-Methyluracil,Isobutanol
6-Methyluracil,"Kojic acid, bis(tert-butyldimethylsilyl) ether"
6-Methyluracil,Methanesulfonic acid
6-Methyluracil,Pinosylvin
Cyclooctylamine,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole"
Cyclooctylamine,2-Methyl-3-pentanol
Cyclooctylamine,"Cyclohexanone, 3,3,5-trimethyl"
Cyclooctylamine,Malic acid
Cyclooctylamine,Trimethylolpropane
Hydracrylic acid,"2-Cyclohexen-1-one, 3-methyl-"
"Kojic acid, bis(tert-butyldimethylsilyl) ether",Durapan
"Kojic acid, bis(tert-butyldimethylsilyl) ether",Heptylamine
"Kojic acid, bis(tert-butyldimethylsilyl) ether",Isobutanol
"Kojic acid, bis(tert-butyldimethylsilyl) ether",Methanesulfonic acid
"Kojic acid, bis(tert-butyldimethylsilyl) ether",Pinosylvin
1-(Cyclohexylmethyl)-4-piperidinylamine,2-Decanol
2-Decanol,"2,2'-Bipyridine"
2-Decanol,Adenine
2-Decanol,Norketamine
"2,2'-Bipyridine",1-Octadecanol
"2,2'-Bipyridine",6-Oxoheptanoic acid
"2,2'-Bipyridine",L-Alanine
"2,2'-Bipyridine",L-Leucine
"2,2'-Bipyridine","l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester"
"2,2'-Bipyridine",Octanoic acid
"2,2'-Bipyridine",Vanillylmandelic acid
2-Pentadecanone,1-Octadecanol
2-Pentadecanone,2-Hydroxy-3-methylbutyric acid
2-Pentadecanone,Butachlor ESA
2-Pentadecanone,Vanillylmandelic acid
Adenine,1-Octadecanol
Adenine,Butachlor ESA
Adenine,Curcumin
Adenine,Diacetyl monoxime
Adenine,Heptylamine
Adenine,L-Alanine
Adenine,Niacin
Adenine,Tetrahydro-solasodine triacetate
Adenine,Thymol
Butachlor ESA,"1,2-Cyclohexanediol, (Z)"
Butachlor ESA,"3,5-Dimethylphenol"
Butachlor ESA,5-Azacytosine
Butachlor ESA,"Benzenesulfonamide, N-butyl"
Butachlor ESA,Isopropyl palmitate
Butachlor ESA,Norketamine
Butachlor ESA,Oxalic acid
Isopropyl palmitate,1-Octadecanol
Isopropyl palmitate,2-Hydroxy-3-methylbutyric acid
Isopropyl palmitate,Benzophenone
Isopropyl palmitate,L-Alanine
L-Leucine,2-(Methylamino)ethanol
Vanillylmandelic acid,"Propanoic acid, dimethyl(isopropyl)silyl ester"
