ID,External ID,Name,Tissue,Feature Type,Direction of Change (LPS & DSS),Median BiBC Percentile,Degree,Degree Percentile,Feces-Degree,Feces-Degree Percentile,Plasma-Degree,Plasma-Degree Percentile,Plexus-Degree,Plexus-Degree Percentile,Cortex-Degree,Cortex-Degree Percentile,Striatum-Degree,Striatum-Degree Percentile,Remaining-Brain-Degree,Remaining-Brain-Degree Percentile,"BiBC, Feces-Choroid Plexus, via Plasma","BiBC, Feces-Choroid Plexus, via Plasma (%ile)","BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics",Median BiBC Percentile,Subnetwork,Frustration,Total # of Inputs,# Inputs Indicating Up,# Inputs Indicating Down,"Mean Abundance, VECPAC, CRE-","Mean Abundance, VECPAC, CRE+","Mean Abundance, LPS, CTRL","Mean Abundance, LPS, 2.5h","Mean Abundance, DSS, CTRL","Mean Abundance, DSS, T1","Log2 Mean Fold Change, VECPAC","Log2 Mean Fold Change, LPS","Log2 Mean Fold Change, DSS",Actual Direction of Change in DSS,Predicted Direction Matches Actual Direction?,"Median Abundance, VECPAC, CRE-","Median Abundance, VECPAC, CRE+","Median Abundance, LPS, CTRL","Median Abundance, LPS, 2.5h","Median Abundance, DSS, CTRL","Median Abundance, DSS, T1",Minimum Median Control Abundance,Coefficient of Variation (Medians)
1,ENSMUSG00000027374,Mrps5,Choroid Plexus,Gene,Down,68.4%,3,28.4%,0,0.0%,1,78.8%,1,50.1%,1,60.6%,0,0.0%,0,0.0%,53.6,35.8%,215.2,65.0%,219.0,57.4%,222.0,64.7%,9.8,29.7%,0.0,0.0%,0.3,15.8%,935.5,72.7%,529.6,68.4%,709.8,74.1%,1758.3,85.0%,1354.1,79.3%,1082.8,83.7%,4195.2,83.4%,68.4%,gene_P_3,,,,,6.450E+00,6.605E+00,6.608E+00,6.529E+00,6.648E+00,6.436E+00,0.034,-0.017,-0.047,Down,True,6.571E+00,6.538E+00,6.619E+00,6.421E+00,6.738E+00,6.484E+00,6.571E+00,0.013
2,ENSMUSG00000042626,Shc1,Choroid Plexus,Gene,Up,84.6%,16,81.4%,0,0.0%,1,78.8%,11,93.0%,2,77.6%,1,64.7%,1,79.7%,265.8,63.1%,1729.6,96.5%,693.8,84.1%,553.1,84.6%,484.6,80.2%,223.9,57.9%,188.4,59.2%,574.3,60.6%,2607.3,95.9%,850.4,78.9%,3083.7,94.4%,1866.2,86.8%,1557.8,91.5%,6507.7,92.7%,84.6%,gene_P_2,,,,,4.979E+00,4.810E+00,4.670E+00,4.978E+00,4.844E+00,5.222E+00,-0.050,0.092,0.108,Up,True,4.910E+00,4.947E+00,4.632E+00,4.812E+00,4.738E+00,5.209E+00,4.632E+00,0.030
3,ENSMUSG00000055681,Cope,Choroid Plexus,Gene,Up,72.3%,7,59.9%,1,80.7%,1,78.8%,2,69.1%,0,0.0%,3,88.2%,0,0.0%,185.6,52.7%,12.4,32.3%,171.9,51.4%,2.4,21.3%,537.8,82.4%,727.8,84.7%,444.6,80.0%,3424.0,96.2%,13.5,26.8%,693.6,73.5%,266.6,45.3%,1011.6,72.3%,739.3,72.9%,2017.5,63.8%,72.3%,gene_P_4,,,,,7.607E+00,7.427E+00,7.752E+00,8.007E+00,7.838E+00,8.038E+00,-0.034,0.047,0.036,Up,True,7.555E+00,7.439E+00,7.828E+00,8.014E+00,7.815E+00,8.117E+00,7.555E+00,0.020
4,ENSMUSG00000028412,Slc44a1,Choroid Plexus,Gene,Down,27.2%,3,28.4%,0,0.0%,0,0.0%,3,78.3%,0,0.0%,0,0.0%,0,0.0%,4.4,20.2%,1.0,22.4%,0.1,17.4%,0.0,0.0%,6.5,27.8%,1.4,19.5%,0.4,16.1%,30.0,25.0%,27.1,30.9%,18.7,27.2%,2948.0,93.5%,2796.0,93.7%,1616.0,92.1%,7360.0,94.3%,27.2%,gene_P_0,,,,,6.166E+00,6.388E+00,6.429E+00,6.274E+00,6.547E+00,6.357E+00,0.051,-0.035,-0.042,Down,True,6.391E+00,6.286E+00,6.355E+00,6.421E+00,6.338E+00,6.515E+00,6.338E+00,0.004
5,ENSMUSG00000054484,Tmem62,Choroid Plexus,Gene,Up,64.2%,10,70.9%,0,0.0%,2,85.2%,1,50.1%,4,88.4%,2,80.9%,1,79.7%,221.9,59.4%,727.6,87.5%,7.6,25.0%,181.2,60.6%,499.2,80.7%,225.4,58.2%,275.2,70.2%,664.4,64.2%,2475.0,95.5%,2456.1,94.9%,757.4,64.1%,986.2,71.5%,164.9,43.3%,1908.4,62.1%,64.2%,,,,,,4.537E+00,4.278E+00,5.029E+00,5.239E+00,4.674E+00,4.896E+00,-0.085,0.059,0.067,Up,True,4.652E+00,4.040E+00,5.034E+00,5.748E+00,4.961E+00,5.320E+00,4.652E+00,0.041
6,ENSMUSG00000024425,Ndfip1,Choroid Plexus,Gene,Up,78.6%,41,95.7%,0,0.0%,0,0.0%,38,97.8%,0,0.0%,2,80.9%,1,79.7%,355.0,69.8%,52.0,45.7%,119.0,46.5%,40.6,38.9%,442.0,78.6%,365.3,68.5%,303.7,72.6%,1341.3,81.1%,371.6,60.3%,1317.3,87.0%,2545.6,91.9%,3859.5,97.2%,2366.9,96.9%,8771.9,96.3%,78.6%,gene_P_1,,,,,9.780E+00,9.632E+00,1.010E+01,1.021E+01,9.977E+00,1.008E+01,-0.022,0.016,0.015,Up,True,9.756E+00,9.804E+00,1.013E+01,1.019E+01,9.918E+00,1.011E+01,9.756E+00,0.019
7,ENSMUSG00000032216,Nedd4,Choroid Plexus,Gene,Down,93.9%,35,94.0%,1,80.7%,6,93.3%,24,96.6%,2,77.6%,2,80.9%,0,0.0%,646.3,81.7%,1230.6,93.9%,971.5,90.7%,775.3,90.5%,853.8,89.7%,847.9,87.4%,502.5,83.6%,2174.4,91.1%,3628.8,97.6%,3017.6,96.6%,4673.7,97.8%,4331.0,98.1%,1996.7,94.9%,11001.4,98.0%,93.9%,gene_P_0,,,,,1.006E+01,1.033E+01,1.000E+01,9.742E+00,1.032E+01,1.015E+01,0.038,-0.038,-0.024,Down,True,1.002E+01,1.034E+01,1.006E+01,9.623E+00,1.041E+01,1.027E+01,1.002E+01,0.021
8,ENSMUSG00000025979,Mob4,Choroid Plexus,Gene,Up,0.0%,2,16.1%,1,80.7%,0,0.0%,0,0.0%,1,60.6%,0,0.0%,0,0.0%,,,,,219.0,56.7%,222.0,65.1%,,,0.0,0.0%,0.0,0.0%,,,,,,,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0%,,,,,,7.602E+00,7.492E+00,7.599E+00,7.770E+00,7.677E+00,7.807E+00,-0.021,0.032,0.024,Up,True,7.545E+00,7.482E+00,7.636E+00,7.823E+00,7.770E+00,7.813E+00,7.545E+00,0.015
9,ENSMUSG00000051343,Rab11fip5,Choroid Plexus,Gene,Up,22.5%,7,59.9%,0,0.0%,0,0.0%,6,88.3%,0,0.0%,1,64.7%,0,0.0%,1.4,16.6%,0.1,19.0%,11.7,26.3%,7.3,25.3%,0.2,19.6%,13.6,26.3%,4.8,22.5%,3.6,18.2%,0.7,19.6%,0.3,19.2%,34.1,23.9%,35.7,22.6%,42.2,28.4%,112.0,18.6%,22.5%,gene_P_4,,,,,5.581E+00,5.540E+00,5.378E+00,5.435E+00,5.464E+00,5.520E+00,-0.011,0.015,0.015,Up,True,5.429E+00,5.486E+00,5.240E+00,5.558E+00,5.547E+00,5.309E+00,5.240E+00,0.029
10,ENSMUSG00000035443,Thyn1,Choroid Plexus,Gene,Up,53.3%,18,83.8%,0,0.0%,0,0.0%,17,95.2%,0,0.0%,0,0.0%,1,79.7%,138.7,48.3%,101.4,53.3%,411.4,71.3%,119.5,53.4%,39.6,41.6%,134.2,46.3%,39.8,37.3%,342.4,46.7%,169.7,46.8%,82.9,37.1%,1566.8,83.0%,838.6,67.5%,908.5,79.4%,3313.9,77.5%,53.3%,gene_P_1,,,,,8.222E+00,7.967E+00,8.386E+00,8.525E+00,8.443E+00,8.620E+00,-0.046,0.024,0.030,Up,True,8.275E+00,7.988E+00,8.329E+00,8.514E+00,8.462E+00,8.533E+00,8.275E+00,0.012
11,ENSMUSG00000028991,Mtor,Choroid Plexus,Gene,Up,20.9%,3,28.4%,0,0.0%,0,0.0%,2,69.1%,0,0.0%,0,0.0%,1,79.7%,46.2,34.2%,0.4,20.8%,0.3,17.9%,0.2,15.2%,0.0,0.0%,1.1,19.1%,0.3,15.4%,80.5,30.9%,1.7,20.9%,4.0,22.7%,221.8,42.5%,308.9,45.1%,221.6,47.9%,752.3,38.3%,20.9%,gene_P_8,,,,,6.029E+00,5.758E+00,6.216E+00,6.529E+00,6.112E+00,6.360E+00,-0.066,0.071,0.057,Up,True,6.170E+00,5.772E+00,6.215E+00,6.568E+00,6.110E+00,6.582E+00,6.110E+00,0.009
12,ENSMUSG00000036948,Trappc14,Choroid Plexus,Gene,Up,81.6%,40,95.4%,0,0.0%,0,0.0%,13,93.8%,26,98.6%,1,64.7%,0,0.0%,107.5,45.0%,808.8,89.1%,532.5,77.2%,471.0,81.6%,13.7,32.2%,15.1,26.9%,9.4,26.3%,698.2,65.3%,2689.3,96.2%,347.1,55.6%,5106.8,98.3%,2512.2,92.2%,1837.8,93.9%,9456.8,96.7%,81.6%,gene_P_2,,,,,5.935E+00,5.658E+00,6.335E+00,6.607E+00,6.052E+00,6.416E+00,-0.069,0.061,0.084,Up,True,5.944E+00,5.642E+00,6.339E+00,6.734E+00,6.115E+00,6.350E+00,5.944E+00,0.032
13,ENSMUSG00000033900,Map9,Choroid Plexus,Gene,Down,53.7%,56,98.1%,0,0.0%,0,0.0%,52,98.7%,2,77.6%,2,80.9%,0,0.0%,190.1,53.3%,13.6,33.0%,70.3,41.0%,50.7,41.1%,73.3,47.5%,192.8,52.2%,146.8,55.1%,620.8,61.9%,93.4,40.4%,301.5,53.7%,1238.6,78.0%,1385.8,80.1%,876.7,78.7%,3501.2,78.9%,53.7%,gene_P_1,,,,,6.527E+00,6.702E+00,6.789E+00,6.719E+00,6.720E+00,6.627E+00,0.038,-0.015,-0.020,Down,True,6.797E+00,6.687E+00,6.708E+00,6.860E+00,6.694E+00,6.435E+00,6.694E+00,0.008
14,ENSMUSG00000041936,Agrn,Choroid Plexus,Gene,Up,67.1%,15,80.2%,0,0.0%,0,0.0%,6,88.3%,8,93.3%,0,0.0%,1,79.7%,24.5,28.8%,1129.4,93.0%,777.4,86.4%,807.1,91.2%,17.1,34.4%,7.2,23.8%,5.5,23.1%,48.3,27.6%,1852.6,92.3%,37.1,31.6%,3006.7,94.0%,827.7,67.1%,568.8,66.9%,4403.2,84.4%,67.1%,gene_P_2,,,,,4.922E+00,4.764E+00,4.846E+00,5.171E+00,4.520E+00,4.647E+00,-0.047,0.094,0.040,Up,True,5.067E+00,4.817E+00,5.280E+00,5.200E+00,4.567E+00,4.850E+00,4.567E+00,0.074
15,ENSMUSG00000034584,Exph5,Choroid Plexus,Gene,Down,49.4%,22,87.5%,0,0.0%,1,78.8%,21,96.1%,0,0.0%,0,0.0%,0,0.0%,1582.3,94.8%,1205.5,93.7%,28.0,32.5%,67.5,44.9%,866.2,89.9%,13.7,26.4%,23.6,33.2%,316.4,45.6%,201.7,49.4%,207.1,48.8%,787.5,66.1%,701.1,61.9%,552.4,66.1%,2040.9,64.2%,49.4%,gene_P_1,,,,,1.866E+00,3.549E+00,2.974E+00,1.380E+00,3.009E+00,1.318E+00,0.928,-1.108,-1.191,Down,True,2.038E+00,3.596E+00,3.317E+00,9.213E-01,2.793E+00,1.994E+00,2.038E+00,0.237
16,ENSMUSG00000068921,Dap3,Choroid Plexus,Gene,Up,25.4%,4,39.1%,0,0.0%,0,0.0%,2,69.1%,2,77.6%,0,0.0%,0,0.0%,3.8,19.2%,282.2,72.0%,220.2,58.8%,232.2,67.3%,2.5,24.6%,0.0,0.0%,0.0,0.0%,12.3,21.8%,492.5,67.4%,11.5,25.2%,442.4,53.4%,19.6,19.7%,29.8,25.4%,491.8,32.6%,25.4%,gene_P_2,,,,,5.823E+00,5.552E+00,6.124E+00,6.379E+00,6.092E+00,6.424E+00,-0.069,0.059,0.077,Up,True,5.976E+00,5.565E+00,6.097E+00,6.180E+00,6.079E+00,6.172E+00,5.976E+00,0.011
