Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000000093-B,"(2,5-Dimethoxyphenyl)acetone",0.1120842349341354,0.7287361038413869,12
ENSMUSG00000000093-B,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",0.012280701754385965,0.9697840369762708,12
ENSMUSG00000000093-B,(4-Fluorophenyl)phenylmethanol,nan,nan,0
ENSMUSG00000000093-B,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",0.39122807017543865,0.20854469946198348,12
ENSMUSG00000000093-B,"3,4,5-Trimethoxyamphetamine",0.16856535760393593,0.6202799923103803,11
ENSMUSG00000000093-B,Oxypeucedanin,nan,nan,0
ENSMUSG00000000093-B,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.1422606594884729,0.7150322450059001,9
ENSMUSG00000000093-B,"1-(2,4-Dimethoxyphenyl)-propan-2-one",0.37242264987106555,0.25934623935831497,11
ENSMUSG00000000093-B,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",0.1280701754385965,0.6916189518333424,12
ENSMUSG00000000093-B,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0.10022805046720515,0.7693624440895603,11
ENSMUSG00000000093-B,1-(Cyclohexylmethyl)-4-piperidinylamine,-0.18410202992625907,0.6353826478012163,9
ENSMUSG00000000093-B,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.44797805186287004,0.14415835021164852,12
ENSMUSG00000000093-B,"1,2,4-Butanetriol, (S)",nan,nan,0
ENSMUSG00000000093-B,"1,2-Benzenedicarboxylic acid, butyl octyl ester",nan,nan,0
ENSMUSG00000000093-B,"1,2-Bis(trimethylsiloxy)cyclohexene",0.5,0.6666666666666666,3
ENSMUSG00000000093-B,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",0.5,0.6666666666666666,3
ENSMUSG00000000093-B,"1,2-Cyclohexanediol, (Z)",0.03189074333047437,0.9258397000680177,11
ENSMUSG00000000093-B,"1,3-Butanediamine",nan,nan,0
ENSMUSG00000000093-B,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",0.2442886022232308,0.4441593291930923,12
ENSMUSG00000000093-B,"1,3-Propanediol",nan,nan,0
ENSMUSG00000000093-B,10-Undecynoic acid,nan,nan,0
ENSMUSG00000000093-B,"13-Docosenamide, (Z)",-0.5,0.6666666666666666,3
ENSMUSG00000000093-B,1-Butanol,0.3714285714285715,0.4684781341107872,6
ENSMUSG00000000093-B,"1-Heptanol, 2-propyl-",0.8406680016960503,0.0360575728451592,6
ENSMUSG00000000093-B,1-Hexacosanol,nan,nan,0
ENSMUSG00000000093-B,1-Octadecanol,0.4761904761904762,0.23293553465009806,8
ENSMUSG00000000093-B,"1-Octanol, 2-butyl-",0.680141647916477,0.014940298253540485,12
ENSMUSG00000000093-B,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",-0.39999999999999997,0.6,4
ENSMUSG00000000093-B,"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",nan,nan,0
ENSMUSG00000000093-B,"2(5H)-Furanone, 4-(hydroxymethyl)",0.16140350877192983,0.6162733614890873,12
