Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000000093-B,"(2,5-Dimethoxyphenyl)acetone",0.3142857142857143,0.5440932944606415,6
ENSMUSG00000000093-B,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",0.028988551782622423,0.9565293523898406,6
ENSMUSG00000000093-B,(4-Fluorophenyl)phenylmethanol,nan,nan,0
ENSMUSG00000000093-B,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",0.057977103565244846,0.9131317851623264,6
ENSMUSG00000000093-B,"3,4,5-Trimethoxyamphetamine",0.028571428571428574,0.9571545189504373,6
ENSMUSG00000000093-B,Oxypeucedanin,nan,nan,0
ENSMUSG00000000093-B,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-0.39999999999999997,0.6,4
ENSMUSG00000000093-B,"1-(2,4-Dimethoxyphenyl)-propan-2-one",0.3354101966249684,0.5810906728217107,5
ENSMUSG00000000093-B,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",0.20291986247835697,0.699797968157019,6
ENSMUSG00000000093-B,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0.2,0.7040000000000001,6
ENSMUSG00000000093-B,1-(Cyclohexylmethyl)-4-piperidinylamine,-0.19999999999999998,0.7470600781046621,5
ENSMUSG00000000093-B,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.3946648814672956,0.4387392515170163,6
ENSMUSG00000000093-B,"1,2,4-Butanetriol, (S)",nan,nan,0
ENSMUSG00000000093-B,"1,2-Benzenedicarboxylic acid, butyl octyl ester",nan,nan,0
ENSMUSG00000000093-B,"1,2-Bis(trimethylsiloxy)cyclohexene",nan,nan,0
ENSMUSG00000000093-B,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",nan,nan,0
ENSMUSG00000000093-B,"1,2-Cyclohexanediol, (Z)",0.6377481392176932,0.17307111024125982,6
ENSMUSG00000000093-B,"1,3-Butanediamine",nan,nan,0
ENSMUSG00000000093-B,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",-0.23539595453459985,0.6534278608778468,6
ENSMUSG00000000093-B,"1,3-Propanediol",nan,nan,0
ENSMUSG00000000093-B,10-Undecynoic acid,nan,nan,0
ENSMUSG00000000093-B,"13-Docosenamide, (Z)",-0.5,0.6666666666666666,3
ENSMUSG00000000093-B,1-Butanol,nan,nan,0
ENSMUSG00000000093-B,"1-Heptanol, 2-propyl-",0.8406680016960503,0.0360575728451592,6
ENSMUSG00000000093-B,1-Hexacosanol,nan,nan,0
ENSMUSG00000000093-B,1-Octadecanol,0.8999999999999998,0.03738607346849874,5
ENSMUSG00000000093-B,"1-Octanol, 2-butyl-",0.6767633692869747,0.13983668734781046,6
ENSMUSG00000000093-B,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",nan,nan,0
ENSMUSG00000000093-B,"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",nan,nan,0
ENSMUSG00000000093-B,"2(5H)-Furanone, 4-(hydroxymethyl)",0.40583972495671394,0.4246625075613642,6
ENSMUSG00000000093-B,"2-(Ethylamino)ethanol, N-acetyl",0.3946648814672956,0.4387392515170163,6
ENSMUSG00000000093-B,2-(Methylamino)ethanol,0.8116794499134279,0.04985758510134036,6
ENSMUSG00000000093-B,"2,2'-Bipyridine",0.8986451052612952,0.014888622005580315,6
ENSMUSG00000000093-B,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",0.46169025843831935,0.43376615616902764,5
