ID,Type,Median Value (DSS),Median Value (LPS),Median Value (VECPAC),Mean Value (DSS),Mean Value (LPS),Mean Value (VECPAC),Comparison p-value (DSS),Comparison p-value (LPS),Comparison p-value (VECPAC),Median Log2 Fold Change (DSS),Median Log2 Fold Change (LPS),Median Log2 Fold Change (VECPAC),Mean Log2 Fold Change (DSS),Mean Log2 Fold Change (LPS),Mean Log2 Fold Change (VECPAC),Mean Log2 Fold Change Direction (DSS),Mean Log2 Fold Change Direction (LPS),Mean Log2 Fold Change Direction (VECPAC),Mean Log2 Fold Changes Consistent,Combined Comparison p-value,Corrected Comparison p-value
ENSMUSG00000027374-P,gene_P,6.649607693980018,6.615488087556025,6.5691421021639105,6.5725212264363915,6.589822215254343,6.494211328197883,0.5184815184815185,0.6923076923076923,0.8391608391608392,nan,nan,nan,-0.046821712406255274,-0.01749439513446041,-0.03426344796880646,-1.0,-1.0,-1.0,True,0.8795025900673996,0.9807677376306733
ENSMUSG00000042626-P,gene_P,5.122669262805417,4.81234156181358,4.910009166434054,4.978947789512026,4.741115515765684,4.930538104971205,0.43756243756243757,0.5734265734265734,0.945054945054945,nan,nan,nan,0.10826161771448112,0.09203937146045323,0.04989337499742045,1.0,1.0,1.0,True,0.8239534350197928,0.9747411876020534
ENSMUSG00000055681-P,gene_P,7.888512138816148,7.848775387248864,7.539528899016091,7.909527688074054,7.810801463473657,7.555213416834783,0.11188811188811189,0.04895104895104895,0.18781218781218784,nan,nan,nan,0.036285336189692895,0.04679070975363866,0.034468848251350874,1.0,1.0,1.0,True,0.032447156591946524,0.8191051846590357
ENSMUSG00000028412-P,gene_P,6.426552370049988,6.360353661778437,6.372894395391762,6.4789346848420175,6.3937142637926225,6.229356653008532,0.43756243756243757,0.9370629370629371,0.945054945054945,nan,nan,nan,-0.042470742535239844,-0.03521540604480802,-0.05118314193181145,-1.0,-1.0,-1.0,True,0.9290013168942145,0.9841756024567136
ENSMUSG00000054484-P,gene_P,4.979102868735339,5.043665381412245,4.5589638825396435,4.753713583009822,5.077440767893249,4.463031496833867,0.6063936063936064,0.6923076923076923,0.6353646353646354,nan,nan,nan,0.06692538205320075,0.058892823842424925,0.08481670330303881,1.0,1.0,1.0,True,0.8521313217452218,0.9807677376306733
ENSMUSG00000024425-P,gene_P,9.966206808267838,10.183800942958069,9.78214669506253,10.014314181823822,10.12642229866433,9.737552268084874,0.43756243756243757,0.6923076923076923,1.0,nan,nan,nan,0.015064035874244465,0.01587491914639621,0.022062543204525185,1.0,1.0,1.0,True,0.8807293458831503,0.9807677376306733
ENSMUSG00000032216-P,gene_P,10.311316404923264,10.016952330962315,10.101986564648962,10.262274646427736,9.943346099285886,10.137966856942796,0.23976023976023977,0.2867132867132867,0.18781218781218784,nan,nan,nan,-0.02423059457205953,-0.03822628807932899,-0.037947397299505886,-1.0,-1.0,-1.0,True,0.19120251421578424,0.8773071898804707
ENSMUSG00000025979-P,gene_P,7.792037735899227,7.672961357874305,7.512194306784009,7.723414363589762,7.638203536539849,7.570830513711896,0.5184815184815185,0.46853146853146854,0.2397602397602398,nan,nan,nan,0.024339216712837317,0.032260775577524374,0.02115716676468764,1.0,1.0,1.0,True,0.45923908222561416,0.8854707883994246
ENSMUSG00000051343-P,gene_P,5.516738249040524,5.417812516162077,5.445679748898602,5.484159726619986,5.391353375897617,5.5695569758858445,0.7972027972027972,0.6923076923076923,0.6353646353646354,nan,nan,nan,0.014603343532801346,0.015057426425965978,0.010624585804446406,1.0,1.0,1.0,True,0.9106750486159816,0.9807677376306733
ENSMUSG00000035443-P,gene_P,8.520564942649706,8.476206920526254,8.084198840598622,8.506497487087552,8.417814951185884,8.149273572000562,0.43756243756243757,0.2167832167832168,0.2397602397602398,nan,nan,nan,0.029938830578272253,0.023764952333827676,0.045515808920399185,1.0,1.0,1.0,True,0.2715706431646984,0.8773071898804707
ENSMUSG00000028991-P,gene_P,6.139017880370465,6.2267499791404335,5.9042253123116595,6.200786420405755,6.288307540494317,5.951745205768761,0.43756243756243757,0.2167832167832168,0.2397602397602398,nan,nan,nan,0.05745936767939526,0.07088892219467183,0.06630670810013811,1.0,1.0,1.0,True,0.2715706431646984,0.8773071898804707
ENSMUSG00000036948-P,gene_P,6.283296422792858,6.399110403013428,5.845535376707682,6.1819274556157255,6.397954385600479,5.8558984927332665,0.2977022977022977,0.5734265734265734,0.14185814185814188,nan,nan,nan,0.08421747412320471,0.06056386154415999,0.06909852599445537,1.0,1.0,1.0,True,0.2819442283924054,0.8773071898804707
ENSMUSG00000033900-P,gene_P,6.644983952666785,6.820995566065074,6.796643499145361,6.686694016298415,6.772824002614303,6.57734762098219,0.6993006993006993,0.9370629370629371,0.945054945054945,nan,nan,nan,-0.020209319579100746,-0.014974093409008014,-0.038186000246596616,-1.0,-1.0,-1.0,True,0.9871408269078895,0.9970743195057048
ENSMUSG00000041936-P,gene_P,4.599126678828458,5.214466084194152,5.061074069870765,4.565551801446524,4.920744679960749,4.8767164737098625,0.6063936063936064,0.6923076923076923,0.7332667332667333,nan,nan,nan,0.03980545829731603,0.09374923950110704,0.04686959108400456,1.0,1.0,1.0,True,0.8841806800893239,0.9807677376306733
ENSMUSG00000034584-P,gene_P,2.477402007529947,2.417802590081342,2.81983226989923,2.404890977798422,2.605824698117871,2.346912197205604,0.03270538112703094,0.04895104895104895,0.03942883614512816,nan,nan,nan,-1.190617022704147,-1.1075001705195426,-0.927559967504013,-1.0,-1.0,-1.0,True,0.0036251413176249547,0.8191051846590357
ENSMUSG00000068921-P,gene_P,6.172103378458621,6.180065547431389,5.857675840392764,6.2106218996821,6.182841501829869,5.745298962978185,0.2977022977022977,0.46853146853146854,0.14185814185814188,nan,nan,nan,0.07667205291925476,0.05872385334607499,0.06858586249505758,1.0,1.0,1.0,True,0.24964371531016663,0.8773071898804707
ENSMUSG00000049670-P,gene_P,5.037094660320271,5.173383165887978,4.992370253128676,4.782015328297959,5.208528151224088,4.950013787700061,0.6063936063936064,0.8111888111888111,0.6353646353646354,nan,nan,nan,0.08920445802094124,0.022706794202161523,0.034764318925696126,1.0,1.0,1.0,True,0.8874024808799618,0.9807677376306733
ENSMUSG00000044224-P,gene_P,5.97399846435693,5.0521784241693535,5.860760895739357,5.796441954203142,5.255904578809089,5.760648893220318,0.5184815184815185,0.8111888111888111,0.30369630369630374,nan,nan,nan,-0.07699219847367798,-0.10037258775161446,-0.0828737565650647,-1.0,-1.0,-1.0,True,0.6610271839578761,0.9306089504466022
ENSMUSG00000030216-P,gene_P,6.981050231936106,6.751954012747458,6.7924172951644906,6.98589078678157,6.674340448825428,6.63388543662709,0.14685314685314685,0.6923076923076923,0.30369630369630374,nan,nan,nan,-0.08243109039923319,-0.04428092647866951,-0.09040880098535192,-1.0,-1.0,-1.0,True,0.3249776730795538,0.8854707883994246
ENSMUSG00000071072-P,gene_P,7.298388122306088,7.378780750422187,7.271448066333643,7.334510194036582,7.3524307957249215,7.243656910321392,0.36363636363636365,0.2167832167832168,0.4535464535464536,nan,nan,nan,-0.04080175197083893,-0.02457792257091785,-0.029761810354256853,-1.0,-1.0,-1.0,True,0.35321581817778824,0.8854707883994246
ENSMUSG00000021243-P,gene_P,6.800963037149849,6.905856790644351,6.675556067160002,6.735414940165191,6.928570604638949,6.6640592705216495,0.6993006993006993,0.8111888111888111,0.5394605394605395,nan,nan,nan,0.043836285243151585,0.02345621629457211,0.03171084644010194,1.0,1.0,1.0,True,0.8829136424813677,0.9807677376306733
ENSMUSG00000016495-P,gene_P,5.486646372896555,5.297472671066822,5.027735341540329,5.326870423642995,5.3126857775420895,4.870989925927751,0.36363636363636365,0.2867132867132867,0.7332667332667333,nan,nan,nan,-0.07768368850468235,-0.08795031008445327,-0.14844767002592282,-1.0,-1.0,-1.0,True,0.5257038545340997,0.9004951816627094
ENSMUSG00000026803-P,gene_P,5.8271360666463945,5.901419157193912,5.8234019144359115,5.783136470942701,5.85583352855558,5.73627192990476,0.2977022977022977,0.5734265734265734,0.2397602397602398,nan,nan,nan,-0.09918374275546929,-0.0782388329400189,-0.09223538821407305,-1.0,-1.0,-1.0,True,0.38075954973620857,0.8854707883994246
ENSMUSG00000036188-P,gene_P,5.886892090605128,5.924671976504516,5.7547681559207815,5.89092089734624,5.842528403224488,5.680850620953452,0.2977022977022977,0.46853146853146854,0.6353646353646354,nan,nan,nan,-0.06353451841583665,-0.05017592350417199,-0.03770722957168969,-1.0,-1.0,-1.0,True,0.5636151125360587,0.9074969001104186
ENSMUSG00000068284-P,gene_P,6.162620507557181,5.866291291383287,5.774172683688833,5.968198384336455,5.8624131658762915,5.690894243022561,0.23976023976023977,0.3706293706293706,0.6353646353646354,nan,nan,nan,-0.11404374218428362,-0.07886645857607039,-0.09867110246610286,-1.0,-1.0,-1.0,True,0.45195063464391083,0.8854707883994246
ENSMUSG00000033237-P,gene_P,5.966721898096189,6.099938259092898,5.8935492512057905,5.984979650912493,6.063738377543142,5.917150345297962,0.5184815184815185,0.3706293706293706,0.3736263736263737,nan,nan,nan,-0.12035121152921074,-0.044441172651887115,-0.06304432231607748,-1.0,-1.0,-1.0,True,0.5099521930768667,0.8999815627268657
ENSMUSG00000063894-P,gene_P,4.917869034742479,4.43815110849776,4.5058079428601205,4.933809822396695,4.373138554767541,4.4060616627377795,0.2977022977022977,0.46853146853146854,0.30369630369630374,nan,nan,nan,-0.11179907366533548,-0.05892772468749283,-0.15602552002439823,-1.0,-1.0,-1.0,True,0.38798812660230386,0.8854707883994246
ENSMUSG00000027536-P,gene_P,2.9422103516797433,3.094927632066636,3.227815177083483,2.651511431457127,2.9421195425408047,2.872165649874827,0.6063936063936064,0.8111888111888111,0.7332667332667333,nan,nan,nan,0.21477481196930592,0.20289421509283923,0.16232557050413787,1.0,1.0,1.0,True,0.9160346241880509,0.9807677376306733
ENSMUSG00000069727-P,gene_P,2.224284066497554,2.436027081535601,2.0441107973077264,1.9975919622195626,2.0904177463498135,1.7999006041821721,0.4583738118417725,0.8655893721332135,0.830155374928245,nan,nan,nan,-0.3955444881057024,-0.34205316128917573,-0.24912256483564543,-1.0,-1.0,-1.0,True,0.8982810367334016,0.9807677376306733
ENSMUSG00000042118-P,gene_P,2.9146137388925037,3.313025637257294,3.1471292590043474,2.8836167875568655,2.8761819346509157,3.02938386419894,0.5933966200428358,0.16083916083916086,0.07592407592407593,nan,nan,nan,-0.6043948995032661,-0.8187366701008882,-0.4140340787344829,-1.0,-1.0,-1.0,True,0.1309133438533026,0.850171948922128
ENSMUSG00000094002-P,gene_P,0.0,0.9875105484522038,0.5812245929942269,0.5145900722220326,1.0031709164246272,1.1779080935638617,0.04505574467149174,0.10345793542967648,0.15137566002461356,nan,nan,nan,3.683117639718041,1.162756113158456,2.3990266724909377,1.0,1.0,1.0,True,0.024403371726634805,0.8191051846590357
ENSMUSG00000039253-P,gene_P,7.282374515420249,7.207628152726912,6.740141477073935,7.184615389121403,7.172226475752132,6.775683208939142,0.23976023976023977,0.6923076923076923,0.6353646353646354,nan,nan,nan,-0.033768982409537004,-0.03784273459528244,-0.05056465837318844,-1.0,-1.0,-1.0,True,0.6095001872997168,0.9138274311519151
ENSMUSG00000031916-P,gene_P,6.2901426314319,6.335244011574411,6.1504135453004185,6.184677601270372,6.314794467799002,6.144593149531607,0.2977022977022977,0.1118881118881119,0.14185814185814188,nan,nan,nan,0.09075329436196829,0.0413178876768926,0.07912780239530003,1.0,1.0,1.0,True,0.09777401174784381,0.850171948922128
ENSMUSG00000025477-P,gene_P,6.886871110871903,6.691470750376755,6.463232255387189,6.987215445455665,6.722303525045486,6.676987138542616,0.18981018981018982,0.2867132867132867,0.18781218781218784,nan,nan,nan,0.05476479745657255,0.03374126507504555,0.08833670806782969,1.0,1.0,1.0,True,0.16442139455480317,0.8773071898804707
ENSMUSG00000036371-P,gene_P,9.6664832131725,9.810092013446708,9.515743129704603,9.67367131697534,9.737413054711075,9.517369510398733,0.18981018981018982,0.2167832167832168,0.2397602397602398,nan,nan,nan,-0.018105462145161563,-0.020611455987860468,-0.017068932718244306,-1.0,-1.0,-1.0,True,0.16066005095230565,0.8773071898804707
ENSMUSG00000094595-P,gene_P,2.2708164450908317,2.5640862732757217,2.3588668038661735,2.3916758665512683,2.488901461380336,1.9647265678332229,0.7888173888336769,0.46853146853146854,0.9433790056608884,nan,nan,nan,0.3255848336801524,0.2914036550232306,0.2670163575326372,1.0,1.0,1.0,True,0.9095684533738538,0.9807677376306733
ENSMUSG00000041126-P,gene_P,8.041560126581741,8.093944134067621,7.546468895947346,7.965368124633424,8.064350232514844,7.486543107613783,0.05994005994005994,0.16083916083916086,0.1058941058941059,nan,nan,nan,0.035885583298217935,0.04179019608416558,0.054166797250986075,1.0,1.0,1.0,True,0.03226330722273144,0.8191051846590357
ENSMUSG00000034064-P,gene_P,6.509872490186373,6.711093796038001,6.347366871260238,6.467136763100506,6.741600867802311,6.3337026805043894,0.43756243756243757,0.6923076923076923,0.6353646353646354,nan,nan,nan,0.03635684184847416,0.03541572258674883,0.03887890289710622,1.0,1.0,1.0,True,0.7709307959636346,0.9553355388253064
ENSMUSG00000004591-P,gene_P,7.181560587714858,6.606209113007688,6.954796345896453,7.057069301818005,6.637902104422746,6.719065503640613,0.36363636363636365,0.2867132867132867,0.18781218781218784,nan,nan,nan,-0.06091233255358588,-0.11236206499689,-0.11399463924866289,-1.0,-1.0,-1.0,True,0.24805761108532912,0.8773071898804707
ENSMUSG00000035295-P,gene_P,2.315532640388865,2.301892742392315,1.6841451079331025,2.223023623136456,2.3630051487627686,1.9164778570126813,0.46286309710385953,0.8111888111888111,0.6353646353646354,nan,nan,nan,0.33244139427402036,0.1696450575548336,0.25958657932885704,1.0,1.0,1.0,True,0.8254346296007427,0.9747411876020534
ENSMUSG00000085558-P,gene_P,3.2550215444619486,3.4496752851041474,3.343003507590579,3.1861144581271064,3.340421949214129,3.084704714401964,0.6063936063936064,0.46853146853146854,0.8391608391608392,nan,nan,nan,-0.3135814752133171,-0.14133948081228667,-0.1951675616897817,-1.0,-1.0,-1.0,True,0.8252885329618579,0.9747411876020534
ENSMUSG00000057421-P,gene_P,6.82524690456672,6.662314749479658,6.43153159921964,6.86926538716461,6.69029981764072,6.428639363035289,0.05994005994005994,0.2167832167832168,0.30369630369630374,nan,nan,nan,0.04196606098139075,0.05511527358190638,0.042911574751815444,1.0,1.0,1.0,True,0.08623726039219624,0.850171948922128
ENSMUSG00000022781-P,gene_P,7.596094124720979,7.358594646628449,7.3035911180551025,7.581241167614514,7.330589194353111,7.394769481830041,0.006993006993006993,0.3706293706293706,0.2397602397602398,nan,nan,nan,-0.08778748877963138,-0.0752253522245619,-0.08311128252476596,-1.0,-1.0,-1.0,True,0.02214821451461185,0.8191051846590357
ENSMUSG00000030060-P,gene_P,4.65142319155696,4.132832161798551,4.294754969757168,4.396882303640729,4.247281834583393,4.1994945014385205,0.5184815184815185,0.3706293706293706,0.6353646353646354,nan,nan,nan,0.1731120956170538,0.15694761382760694,0.15956684069724714,1.0,1.0,1.0,True,0.6488322063318814,0.9303790387223229
ENSMUSG00000015112-P,gene_P,6.187395598952175,6.236984059880915,5.794040562702538,6.1120866042140225,6.157258548648138,5.793518868502624,0.2977022977022977,0.46853146853146854,0.2397602397602398,nan,nan,nan,-0.09442314886894207,-0.06249236208699463,-0.09025423787724866,-1.0,-1.0,-1.0,True,0.3401395184314274,0.8854707883994246
ENSMUSG00000042426-P,gene_P,6.198605794311083,6.028631865276134,5.913620091777276,6.048275592549109,6.034970133292817,5.953429429038256,0.8981018981018981,0.5734265734265734,0.4535464535464536,nan,nan,nan,0.025929513116395866,0.037488778738470556,0.04794454112753468,1.0,1.0,1.0,True,0.8202391998380791,0.9747411876020534
ENSMUSG00000027642-P,gene_P,8.386305487628007,8.72122483232432,8.215767030742786,8.4145740245038,8.719770254509022,8.19371470946696,0.14685314685314685,0.2167832167832168,0.1058941058941059,nan,nan,nan,0.03457038346396412,0.02826418580680484,0.06452245625660032,1.0,1.0,1.0,True,0.07718209172855914,0.850171948922128
ENSMUSG00000105382-P,gene_P,0.9519125749274328,0.9269160351229908,0.9049944915127424,0.9314765422712805,1.0690852200368413,0.8512515726202479,0.44529789794499497,0.0754126204649279,0.6587873377864597,nan,nan,nan,-0.506374221568197,-3.9063060143367214,-0.43217949251732013,-1.0,-1.0,-1.0,True,0.26710100996445196,0.8773071898804707
ENSMUSG00000024081-P,gene_P,6.471086335746801,6.1128758334429625,6.197888601935613,6.512911713054948,6.210067741431391,6.115587005790182,0.2977022977022977,0.9370629370629371,0.5394605394605395,nan,nan,nan,-0.060969452743655256,-0.0652137612116627,-0.08284710040208322,-1.0,-1.0,-1.0,True,0.7053799270376035,0.9354385944363055
ENSMUSG00000079442-P,gene_P,5.39982617479561,5.255985743248763,5.258254362658835,5.363362899661687,5.377128951329762,5.209174439953432,0.08291708291708291,0.6923076923076923,0.3736263736263737,nan,nan,nan,0.02547218000376948,0.05836041620712807,0.09725870890120958,1.0,1.0,1.0,True,0.2621584339136139,0.8773071898804707
ENSMUSG00000003184-P,gene_P,6.171438416541518,6.498008727144639,5.991415235501256,6.1585060149961555,6.401314759127347,6.058656911528618,0.6063936063936064,0.3706293706293706,0.945054945054945,nan,nan,nan,-0.022253703248508207,-0.02075354269037787,-0.013966769115680332,-1.0,-1.0,-1.0,True,0.7963759834920934,0.9747411876020534
ENSMUSG00000005469-P,gene_P,8.240502186167427,8.2650117293933,8.127662868147,8.237223891023621,8.328449855098068,8.077802645676016,0.5184815184815185,0.3706293706293706,0.30369630369630374,nan,nan,nan,0.02273503681915393,0.02291215611300886,0.03138803506535329,1.0,1.0,1.0,True,0.4597072153058245,0.8854707883994246
ENSMUSG00000030094-P,gene_P,5.091936058456278,5.012778270160068,4.836975680645574,5.048076404216132,5.109609601365709,4.925830605983066,0.08291708291708291,0.1118881118881119,0.2397602397602398,nan,nan,nan,-0.11318582432374483,-0.13994113516733425,-0.16883479930830173,-1.0,-1.0,-1.0,True,0.057308115859028605,0.8191051846590357
ENSMUSG00000024941-P,gene_P,7.054364794433493,7.040838685687671,6.635093272787392,7.023623124330856,7.0120526301237955,6.656423379638922,0.43756243756243757,0.3706293706293706,0.3736263736263737,nan,nan,nan,0.034686522314437,0.03773499092671338,0.0576345977663433,1.0,1.0,1.0,True,0.4685989340640907,0.8854707883994246
ENSMUSG00000049295-P,gene_P,6.965186636399443,6.948233297676841,6.587092850515742,6.979233646386854,7.008871461486436,6.650068652843663,0.04195804195804195,0.3706293706293706,0.05394605394605395,nan,nan,nan,0.0586671573156635,0.03134659639317111,0.0971175959695048,1.0,1.0,1.0,True,0.027827230427405265,0.8191051846590357
ENSMUSG00000049097-P,gene_P,2.0967796647015318,2.82395130596452,3.188297971364094,2.1287020281103537,2.436279359181683,3.2708405344999085,0.08269808457227694,0.49837165349191626,0.1058941058941059,nan,nan,nan,-1.0176844468615363,-0.583480661647019,-0.28636579052455335,-1.0,-1.0,-1.0,True,0.09252444790477106,0.850171948922128
ENSMUSG00000070348-P,gene_P,5.445171829355724,5.833329293702817,5.843551498003657,5.512729480883499,5.709351564583229,5.73830239121616,0.7972027972027972,0.1118881118881119,0.023976023976023976,nan,nan,nan,-0.16875208868062194,-0.15066301761435064,-0.16148424262007402,-1.0,-1.0,-1.0,True,0.05569798975790123,0.8191051846590357
ENSMUSG00000046711-P,gene_P,2.6279881226615576,1.4528199824800077,2.362808487831736,2.2124050850825876,1.370259236158049,2.1057803748939152,0.7894998120969877,0.5519199368583295,0.1568427944192416,nan,nan,nan,0.32091097455624684,0.48607845032270663,0.6805563789024875,1.0,1.0,1.0,True,0.49774407312616764,0.8981763836411519
ENSMUSG00000034647-P,gene_P,7.873372654013064,7.393601790215025,7.816527946246017,7.794110351857428,7.501630431780159,7.762858048856387,0.08291708291708291,0.6923076923076923,0.14185814185814188,nan,nan,nan,-0.1126429249826007,-0.08772104247960223,-0.12935844634054275,-1.0,-1.0,-1.0,True,0.14154051034809437,0.850171948922128
ENSMUSG00000002319-P,gene_P,6.553136481875828,6.473802296145793,6.111001192457321,6.496644755484362,6.385461451587516,6.191883426726925,0.11188811188811189,0.2867132867132867,0.18781218781218784,nan,nan,nan,0.04858039865928708,0.052543858796944384,0.0631502119792838,1.0,1.0,1.0,True,0.11554284127369957,0.850171948922128
