Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000000093-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000000093-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000000093-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000000093-B,-1.0,Tyr-Val,,-,
ENSMUSG00000000384-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000000384-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000000384-B,1.0,Isosorbide,,+,
ENSMUSG00000000384-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000000555-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000000555-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000000555-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000000555-B,1.0,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",1.0,+,1.0
ENSMUSG00000000555-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000000555-B,1.0,Yangonin,1.0,+,1.0
ENSMUSG00000000562-B,1.0,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-1.0,+,-1.0
ENSMUSG00000000562-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000000562-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000000562-B,1.0,3-(4-Methoxyphenyl)coumarin,,-,
ENSMUSG00000000562-B,1.0,Isosorbide,,-,
ENSMUSG00000000562-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000000562-B,1.0,L-Ornithine,,+,
ENSMUSG00000000562-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000000627-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000000627-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000000627-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000000627-B,1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000000627-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000000627-B,1.0,Glabridin,,+,
ENSMUSG00000000627-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000000627-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000001021-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000001021-B,1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000001021-B,1.0,Diclofenac,,+,
ENSMUSG00000001021-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000001029-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000001029-B,-1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000001029-B,-1.0,Isosorbide,,-,
ENSMUSG00000001029-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000001029-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000001418-B,-1.0,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1.0,-,1.0
ENSMUSG00000001418-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000001418-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000001418-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000001418-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000001418-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000001555-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000001555-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000001555-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000001555-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000001555-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000001555-B,-1.0,6-Nitroveratryl alcohol,,+,
ENSMUSG00000001555-B,-1.0,Diclofenac,,+,
ENSMUSG00000001555-B,-1.0,Isosorbide,,+,
ENSMUSG00000001555-B,-1.0,Luciferin,,+,
ENSMUSG00000001555-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000001767-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000001767-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000001767-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000001767-B,1.0,Isosorbide,,+,
ENSMUSG00000001767-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000001767-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000001767-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000001767-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000001864-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000001864-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000001864-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000001864-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000001864-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,+,
ENSMUSG00000001864-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000001864-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000001918-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000001918-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000001918-B,1.0,Luciferin,,-,
ENSMUSG00000001918-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000001946-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000001946-B,-1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000001946-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000002068-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000002068-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000002068-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000002068-B,-1.0,L-Threonine,,+,
ENSMUSG00000002068-B,-1.0,m-Toluic acid,1.0,-,-1.0
ENSMUSG00000002068-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000002068-B,-1.0,Octadecanoic acid,,-,
