brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,LPS r,DSS r,Pooled r,Consistent,within_model_sign,predicted_effect_sign,within_model = pooled r,within-model = predicted,pooled = predicted,all_signs_agree
ENSMUSG00000000093-B,-1.0,RBN,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000093-B,-1.0,RBN,L-Val-L-Leu,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000093-B,-1.0,RBN,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000093-B,-1.0,RBN,Tyr-Val,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000384-B,1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000384-B,1.0,RBN,2-Norbornanemethanol,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000384-B,1.0,RBN,Isosorbide,,CSF,1.0,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000384-B,1.0,RBN,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000555-B,1.0,RBN,"1,2-Bis(trimethylsiloxy)cyclohexene",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000555-B,1.0,RBN,"13-Docosenamide, (Z)",,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000555-B,1.0,RBN,"3,4-Dihydroxybenzaldehyde",,CSF,-1.0,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000555-B,1.0,RBN,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",1.0,CSF,0.8660254037844387,0.632455532033676,0.8660254037844387,0.9221228546165696,True,1.0,1.0,False,True,False,False
ENSMUSG00000000555-B,1.0,RBN,L-(+)-Threose,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000555-B,1.0,RBN,Yangonin,1.0,CSF,0.5,0.4558823529411764,0.5,0.8318597100170123,True,1.0,1.0,False,True,False,False
ENSMUSG00000000562-B,1.0,RBN,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-1.0,CSF,,1.0,0.5,0.9,True,1.0,-1.0,False,False,False,True
ENSMUSG00000000562-B,1.0,RBN,"13-Docosenamide, (Z)",,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000562-B,1.0,RBN,"2,4-Dimethoxybenzaldoxime",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000562-B,1.0,RBN,3-(4-Methoxyphenyl)coumarin,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000562-B,1.0,RBN,Isosorbide,,CSF,-1.0,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000562-B,1.0,RBN,L-(+)-Threose,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000562-B,1.0,RBN,L-Ornithine,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000562-B,1.0,RBN,Octadecanoic acid,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000627-B,1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000627-B,1.0,RBN,2-Norbornanemethanol,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000627-B,1.0,RBN,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000627-B,1.0,RBN,"4,5-Dihydro-1H-pyrazole",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000627-B,1.0,RBN,Chlorobenzilate ,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000000627-B,1.0,RBN,Glabridin,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000627-B,1.0,RBN,L-Val-L-Leu,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000000627-B,1.0,RBN,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001021-B,1.0,RBN,"2,4-Dimethoxybenzaldoxime",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001021-B,1.0,RBN,4-tert-Butyldimethylsiloxy-3-penten-2-one,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001021-B,1.0,RBN,Diclofenac,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001021-B,1.0,RBN,Octadecanoic acid,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001029-B,-1.0,RBN,"1,2-Bis(trimethylsiloxy)cyclohexene",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001029-B,-1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001029-B,-1.0,RBN,Isosorbide,,CSF,-1.0,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001029-B,-1.0,RBN,L-(+)-Threose,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001029-B,-1.0,RBN,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001418-B,-1.0,RBN,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1.0,CSF,-1.0,-0.9276336570439176,-0.5,-0.90526873051103,True,-1.0,1.0,False,False,False,True
