Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000000290-S,"(2,5-Dimethoxyphenyl)acetone",0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,0.0,3
ENSMUSG00000000290-S,(4-Fluorophenyl)phenylmethanol,nan,nan,0
ENSMUSG00000000290-S,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"3,4,5-Trimethoxyamphetamine",0.5,0.6666666666666666,3
ENSMUSG00000000290-S,Oxypeucedanin,nan,nan,0
ENSMUSG00000000290-S,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",1.0,0.0,3
ENSMUSG00000000290-S,"1-(2,4-Dimethoxyphenyl)-propan-2-one",0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",-0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1.0,0.0,3
ENSMUSG00000000290-S,1-(Cyclohexylmethyl)-4-piperidinylamine,nan,nan,0
ENSMUSG00000000290-S,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"1,2,4-Butanetriol, (S)",nan,nan,0
ENSMUSG00000000290-S,"1,2-Benzenedicarboxylic acid, butyl octyl ester",nan,nan,0
ENSMUSG00000000290-S,"1,2-Bis(trimethylsiloxy)cyclohexene",nan,nan,0
ENSMUSG00000000290-S,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",nan,nan,0
ENSMUSG00000000290-S,"1,2-Cyclohexanediol, (Z)",1.0,0.0,3
ENSMUSG00000000290-S,"1,3-Butanediamine",nan,nan,0
ENSMUSG00000000290-S,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"1,3-Propanediol",nan,nan,0
ENSMUSG00000000290-S,10-Undecynoic acid,nan,nan,0
ENSMUSG00000000290-S,"13-Docosenamide, (Z)",nan,nan,0
ENSMUSG00000000290-S,1-Butanol,nan,nan,0
ENSMUSG00000000290-S,"1-Heptanol, 2-propyl-",nan,nan,0
ENSMUSG00000000290-S,1-Hexacosanol,nan,nan,0
ENSMUSG00000000290-S,1-Octadecanol,nan,nan,0
ENSMUSG00000000290-S,"1-Octanol, 2-butyl-",0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",nan,nan,0
ENSMUSG00000000290-S,"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",nan,nan,0
ENSMUSG00000000290-S,"2(5H)-Furanone, 4-(hydroxymethyl)",-0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"2-(Ethylamino)ethanol, N-acetyl",0.5,0.6666666666666666,3
ENSMUSG00000000290-S,2-(Methylamino)ethanol,0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"2,2'-Bipyridine",0.5,0.6666666666666666,3
ENSMUSG00000000290-S,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",0.0,1.0,3
ENSMUSG00000000290-S,"2,3-Dihydroxybutanoic acid",0.8660254037844387,0.33333333333333326,3
ENSMUSG00000000290-S,"2',3'-Di-O-acetyladenosine",nan,nan,0
