brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,VECPAC n,LPS r,LPS n,DSS r,DSS n,non-NaN_treatment_groups,Pooled r,Pooled n,Pooled_r_valid,Pooled FDR,FDR < 0.15,within_model_sign,pooled_sign,predicted_effect_sign,within_model = pooled,number within_model = pooled_n,within_model = predicted,number within_model = predicted,predicted = pooled,number predicted = pooled,all_signs_agree,number all_signs_agree
ENSMUSG00000001128-C,-1.0,CTX,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",-1.0,CSF,,2,1.0,3,1.0,3,2,0.9285714285714288,8,True,0.0354861073872977,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000001128-C,-1.0,CTX,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",-1.0,CSF,,0,,1,,2,0,1.0,3,True,0.0,True,,1.0,1.0,,1,,1,1.0,2,1.0,2.0
ENSMUSG00000001521-C,-1.0,CTX,4-Aminobutanoic acid,-1.0,CSF,,2,1.0,3,1.0,3,2,0.880952380952381,8,True,0.1418733630990404,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000001773-C,-1.0,CTX,"1-Octanol, 2-butyl-",-1.0,CSF,,2,0.8660254037844387,3,-0.5,3,2,0.9156626506024096,8,True,0.0575066178258856,True,,1.0,1.0,,1,,1,1.0,2,1.0,2.0
ENSMUSG00000001773-C,-1.0,CTX,Acetic acid,-1.0,CSF,,2,0.8660254037844387,3,,3,1,0.8948415654446609,8,True,0.1027451263912011,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000001773-C,-1.0,CTX,Adipoyl-L-carnitine,1.0,CSF,,1,,1,,2,0,-1.0,4,True,0.0,True,,-1.0,-1.0,,1,,1,-1.0,2,-1.0,2.0
ENSMUSG00000001773-C,-1.0,CTX,alpha-Hydroxyisobutyric acid,-1.0,CSF,,0,1.0,3,,2,1,1.0,5,True,6.078616870869687e-23,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000001773-C,-1.0,CTX,Urea,-1.0,CSF,,2,1.0,3,-1.0,3,2,0.8982196964349441,8,True,0.0949723045352331,True,,1.0,1.0,,1,,1,1.0,2,1.0,2.0
ENSMUSG00000002228-C,-1.0,CTX,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1.0,CSF,,1,1.0,3,0.8660254037844387,3,2,0.9265616458263763,7,True,0.1031791740595947,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000002228-C,-1.0,CTX,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",-1.0,CSF,,0,,1,,2,0,1.0,3,True,0.0,True,,1.0,1.0,,1,,1,1.0,2,1.0,2.0
ENSMUSG00000002608-C,1.0,CTX,Benzophenone,1.0,CSF,,1,0.5,3,1.0,3,2,0.9285714285714288,7,True,0.0965338601097049,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000002608-C,1.0,CTX,Cholesterol,1.0,CSF,,2,0.5,3,0.5,3,2,0.9047619047619048,8,True,0.0792999095569304,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000002608-C,1.0,CTX,"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl-",1.0,CSF,,2,0.8660254037844387,3,,2,1,0.9549937104572924,7,True,0.0334900065811391,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
