Metabolite 1,Metabolite 2,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Consistent?,Can Meta-Analysis Be Calculated?,Meta-Analysis p-value,FDR
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",(4-Fluorophenyl)phenylmethanol,,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",0.5,0.6666666666666667,3,0.3590924232298039,0.5528147466433505,5,-0.3088235294117647,0.5514912604315082,6,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","3,4,5-Trimethoxyamphetamine",,,0,0.7181848464596079,0.1717953049079889,5,-0.2319084142609793,0.6583735712609271,6,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",Oxypeucedanin,,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,,0,0.948683298050514,0.0513167019494861,4,0.948683298050514,0.0513167019494861,4,False,True,0.11439096085000378,0.3139483802362437
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0,0.0,3,0.8720815992723809,0.0538542177275421,5,-0.8029550685469662,0.1018379703774071,5,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",-0.5,0.6666666666666667,3,-0.3590924232298039,0.5528147466433505,5,-0.0588235294117647,0.911866476694484,6,True,True,0.6903623807906848,0.7509528166261072
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,0,0.0512989176042577,0.934712848108234,5,0.753702346348183,0.0835232813732598,6,False,True,0.29739898022426303,0.5295481828271243
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1-(Cyclohexylmethyl)-4-piperidinylamine,,,0,0.8660254037844387,0.3333333333333332,3,-0.1538967528127731,0.8048288166080632,5,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,1.0,0.0,3,0.1538967528127731,0.8048288166080632,5,-0.3388226069985335,0.511214635729345,6,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2,4-Butanetriol, (S)",,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2-Benzenedicarboxylic acid, butyl octyl ester",,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2-Bis(trimethylsiloxy)cyclohexene",,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,0,-0.5,0.6666666666666667,3,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,2-Cyclohexanediol, (Z)",,,0,0.5263157894736843,0.3622454811898449,5,0.0294117647058823,0.9558950742926928,6,False,True,0.6162320980959463,0.7153643174417432
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,3-Butanediamine",,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",0.5,0.6666666666666667,3,0.605263157894737,0.279409258080156,5,-0.5075192189225523,0.3040834952652882,6,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1,3-Propanediol",,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",10-Undecynoic acid,,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","13-Docosenamide, (Z)",,,0,,,0,0.8660254037844387,0.3333333333333332,3,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1-Butanol,,,0,1.0,0.0,3,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-Heptanol, 2-propyl-",,,0,,,0,-0.0147058823529411,0.9779427666395276,6,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1-Hexacosanol,,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1-Octadecanol,,,0,-0.5,0.6666666666666667,3,0.3,0.6238376647810728,5,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-Octanol, 2-butyl-",0.5,0.6666666666666667,3,0.1538967528127731,0.8048288166080632,5,-0.2239055377599495,0.6697542987517857,6,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2(5H)-Furanone, 4-(hydroxymethyl)",1.0,0.0,3,0.5000000000000001,0.3910022189557705,5,0.8088235294117647,0.0513290631996743,6,True,True,0.0,0.0
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2-(Ethylamino)ethanol, N-acetyl",-0.8660254037844387,0.3333333333333332,3,-0.2867696673382022,0.6399416161308045,5,-0.7084472691787521,0.1151130646358375,6,True,True,0.2205762099583667,0.4610802214376937
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",2-(Methylamino)ethanol,0.5,0.6666666666666667,3,0.0512989176042577,0.934712848108234,5,-0.4705882352941177,0.3462243028699368,6,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,2'-Bipyridine",0.5,0.6666666666666667,3,-0.2631578947368421,0.6688454650582103,5,-0.3088235294117647,0.5514912604315082,6,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",-0.5,0.6666666666666667,3,0.3421052631578947,0.573070286629975,5,0.6842105263157895,0.2026306903042036,5,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,3-Dihydroxybutanoic acid",,,0,0.948683298050514,0.0513167019494861,4,-0.1999999999999999,0.8,4,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2',3'-Di-O-acetyladenosine",,,0,,,0,0.5,0.6666666666666667,3,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,4,4'-Trihydroxybenzophenone",0.5,0.6666666666666667,3,-0.2894736842105264,0.6366447547494903,5,0.1739313106957345,0.7417339277316277,6,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,4,6-Cycloheptatrien-1-one",-1.0,0.0,3,1.0,0.0,3,-0.8660254037844387,0.3333333333333332,3,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,4-Dihydroxyacetophenone",,,0,,,0,,,0,False,False,,
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2,4-Dimethoxybenzaldoxime",,,0,,,0,,,0,False,False,,
