NAME ,CSF 75 103 20122021,CSF 106 20122021,CSF 105 21122021,CSF 101 102 104 21122021,CSF 81 83 108 113 21122021,CSF 109 21122021,CSF 110 21122021,CSF 113 20122021,CSF 88 118 21122021,CSF 89 PROVA 07122021,CSF 115 116 121 122 21122021,CSF 118 120 21122021,CSF  96 20122021,CSF 70 21122021,CSF 97 21122021,CSF 123 124 126 20122021,CSF 129 21122021,DSS 71+77+T0.5 090224,DSS 72+74+T0.8.2 090224,DSS 73 090224,DSS 76 090224,DSS B896 090224,DSS T0.5+B897 090224,DSS T0.7 090224,DSS T0.8 090224,DSS 79+111+80+902 090224,DSS 114+107 090224,DSS BT1.8 090224,DSS T1.5+T1.7+902 090224,DSS T1.6+901 090224,DSS 85+86+T3.8+78+906 120224,DSS 91  120224,DSS 117  120224,DSS 122+90+87  120224,DSS 906+T3.8 120224,DSS 907  120224,DSS T3.6  090224,DSS T3.7  090224,DSS 93+126+T5.6 120224,DSS 95+127 120224,DSS 129+94+128 120224,DSS 911+T5.6 120224,DSS 912  120224,DSS T5.5+T5.8  120224,DSS T5.7 120224,3297 VECPAC 190224,3354+3353VECPAC 190224,3369+3673+3371+3677 VECPAC 190224,3674+3677 VECPAC 190224,3677+3688 VECPAC 190224,3679 VECPAC 190224,3680+3629.1 REP VECPAC 200224,3681 VECPAC 190224,3687 VECPAC 190224,VECPAC 3678+3675 120224,3296+3296.1 VECPAC 200224,3306+3296+3296.1VECPAC 200224_2,3328+3356 VECPAC 190224,3330+3347+3689 VECPAC 190224,3352+3370+3689 VECPAC 200224,3355+3364+3665 VECPAC 200224,935 CTR LPS CSF 070224,936 CTR LPS CSF 070224_2,937 CTR LPS CSF 070224,938+942 CTR LPS CSF 070224,939+940.2 CTR LPS CSF 070224,940+934 CTR LPS CSF 070224,941 CTR LPS CSF 070224,942 CTR LPS CSF 070224,943 CTR LPS CSF 070224,"944+946 CSF 2,5H 080224","945+949 CTR 2,5H CSF 070224","948 CSF 2,5H 080224","950+951+947 CSF 2,5H 080224","952+953 CSF 2,5H 080224",954+961 CSF 24H 080224,955+961 CSF 24H 080224,956 CSF 24H 080224,957 CSF 24H 080224,958+963 CSF 24H 080224,959 CSF 24H 080224,960+962+963 CSF 24H 080224
,NT,NT,NT,NT,T1,T1,T1,T1,T3,T3,T3,T3,T5,T5,T5,T5,T5,NT,NT,NT,NT,NT,NT,NT,NT,T1,T1,T1,T1,T1,T3,T3,T3,T3,T3,T3,T3,T3,T5,T5,T5,T5,T5,T5,T5,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,CRE+,CRE+,CRE+,CRE+,CRE+,CRE+,CTR,CTR,CTR,CTR,CTR,CTR,CTR,CTR,CTR,2.5,2.5,2.5,2.5,2.5,24,24,24,24,24,24,24
"(2,5-Dimethoxyphenyl)acetone",71461.57049,82030.94419,62228.76129,48566.88081,46364.304,63404.32079,52304.54102,58589.69266,36641.96904,156310.6701,64237.36961,43888.23979,66505.59171,43731.38148,35548.4797,59215.66834,65195.3958,98111.73525,66107.84183,61487.77617,44579.29945,51871.51156,171433.3867,56614.44142,106182.1573,41264.08433,62597.67885,62564.25972,49977.63177,43958.34275,50498.00486,47812.3879,53401.88814,54016.31905,79550.59825,49882.85611,62828.91871,87490.86053,37571.24524,44659.37292,55273.43304,43941.67896,52660.24383,68748.51816,34579.51924,60441.87655,80620.0371,67318.48851,59581.35304,65851.86709,34634.09876,56839.45339,124928.2394,48239.58606,33810.31696,52999.31229,48887.0776,63874.67519,60332.05887,75484.06975,60252.34197,47464.74921,45739.8119,67751.53899,62129.4542,80300.01239,55110.69948,88453.17167,51671.13438,69324.48248,73055.94424,87474.61326,72498.58144,81734.2684,60044.88371,56782.46259,69571.42456,8791.856322,58528.2464,60347.44209,66333.6657,41641.05059
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1703118.436,0,944653.4754,1646027.041,1103871.749,2256816.523,847017.9095,247455.5381,508307.2682,195107.6254,850145.8817,299361.0133,224337.2238,0,69340.53574,2968143.992,0,332695.5511,462269.7545,252750.0188,677206.091,1708404.271,484139.5708,494893.0969,794283.0008,0,741749.4613,1249397.119,1041510.595,516.7688595,531599.4441,1228020.808,941965.1713,961967.6609,930482.1596,1375156.142,592446.8861,1843948.314,0,0,1386189.485,3118189.359,804929.8315,84.41599147,879541.373,1064662.302,385573.8302,1062753.134,948484.6017,852622.5705,419060.8465,925554.2893,706911.482,592339.3821,1037448.377,567974.989,721435.0707,642129.8768,956860.1683,1401844.234,762537.047,282575.8162,309258.5477,461736.8571,1100178.478,0,501199.3311,286696.5322,681447.7673,1333647.17,0,1319318.185,1134595.843,125384.9723,874854.7494,1104618.79,315238.5227,956423.3419,942140.8165,2632352.861,1497830.088,1266253.595
(4-Fluorophenyl)phenylmethanol,42638.47599,53425.67277,43828.48668,55221.41236,51891.77654,64354.87335,51477.89709,50224.60664,51985.66112,12887.78563,51134.40875,48067.88338,46918.11759,49955.22053,51362.2384,51216.21625,47938.19406,1002671.712,0,0,0,0,0,0,0,0,0,0,0,0,0,355375.9332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499321.0761,0,0,0,0,107810.3666,0,0,168895.7829,0,0,0,0,0,0,0,568377.7956,0,0,0,0,0,0,0,0,0,0,0,450157.938,0,0,0,0,0,0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",250184025.6,292953974.5,186357861.3,195116566,236081629.9,271448856.3,199888561.3,234890765,204284811.9,302367196.4,257643827.5,174313924.4,160693269.1,220498858.8,268128179.1,240630698.1,159867168.3,0,131332033,53866317.1,264784357,175183451.2,128501444.8,169333569.8,368473982,120914187.7,240990546.4,241834457.3,235810417.4,287839957.8,371293646.5,263081640.8,314683772.4,311213562.4,344389166.9,624075913.1,257120703.5,369735173.4,241873317,0,0,0,280313581.8,374895261.2,178448060.1,1240395978,292921090,232161895.7,0,611330296.1,214897209.6,147296342.1,68566428.78,115657340.8,86511220.73,153494801.9,166417228.7,166659599.7,94773260.85,37482176.17,0,159943413.7,254984932.1,207162826.3,350466331,220580463.9,374239051,87943612.81,12582882.56,183394553.3,407840174.2,217713207.6,305954514.3,127267297.1,421902836.3,268635467.5,196778745.6,17564847.62,167713826.2,520201996.1,119902426.7,139717984.7
"3,4,5-Trimethoxyamphetamine",8412023.993,21012571.49,20561662.38,20926542.84,0,75830.8854,19838473.54,23205609.82,5927880.504,0,4228770.187,17556508.29,13590793.87,15193865.7,20933525.07,16230410.67,25572477.8,0,18594516.25,5909994.755,975.6771408,15581800.12,37916682.43,13227482.43,14653038.19,16879726.71,14802373.78,15255152.13,21916224.89,22091917.95,31308437.69,22561586.04,34197352.87,36204320.85,196.6954209,266.5231078,0,11215.09287,51323.70826,0,35421539.03,27611083.87,662.8483558,6512.834685,0,0,0,276459.7767,24002.14869,129609.1179,90918.76324,35829.39919,8040.871983,499435.8686,0,2074954.441,0,85675689.58,81.3420916,130637642.3,92698.28368,23232741.84,37837710.62,23306348.67,603.9903709,41492578.33,19052835.39,177169.7685,1637.594377,21178771.4,8646455.574,9858.547604,9242635.794,24525760.89,10676931.44,26690598.49,5687512.118,13787166.94,4774280.004,5019417.089,12812273.01,0
Oxypeucedanin,35239.75539,70594.06494,90158.52095,6990.775119,137028.9303,0,286.3881445,46068.88961,25317.13213,254927.5577,26894.83711,0,43335.61289,156.2095881,51110.42389,115992.381,43800.72926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452466.2074,0,735262.4273,0,0,0,373522.0609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",23539858.78,36523031.19,18891653.75,30278484.67,18939639.34,10847353.14,16803751.11,19321765.54,20742594.01,3800880.202,22815970.54,21910188.67,104516160.4,88969998.52,56574702.64,29920725.97,51862313.26,15649393.59,63272418.01,0,19602601.68,129495271.3,0,44605423.09,78104380.87,46072184.82,61020774.21,80183241.8,33752852.71,0,0,26455489.47,123069.5113,21839778.53,0,14948677.6,63516414.33,90929431.26,19425915.91,46633918.99,28383146.2,26992930.93,38125273.88,0,0,11389516.68,19229446.02,14866099.37,24619759.45,0,0,67166104.62,14172806.26,44320177.6,15836633.98,66845580.7,51122929.79,38486665.47,53117294.16,95535622.22,25652842.9,0,19200180.56,23218700.82,40437120.28,97113660.94,0,0,111767297.1,204357331.3,0,68003270.28,0,0,13654716.25,0,0,0,28725028.28,44381505.67,60990630.02,0
"1-(2,4-Dimethoxyphenyl)-propan-2-one",0,140974.845,393650.735,233835.8123,302350.9722,321599.0859,352692.8948,0,302299.4995,3290136.474,0,0,64735.70863,112592.7644,0,1110268.791,0,570550.0842,325785.4625,63388.67546,391833.3827,348470.9877,353874.8687,358091.9145,432460.9807,356679.8863,437615.2905,365147.3036,302562.473,629628.9379,654521.0969,228378.6677,371129.3697,385441.0959,317124.5143,295158.1076,309664.3465,603285.6514,330884.442,351466.7067,699898.299,342990.9553,320880.4414,455212.7483,309864.6225,26845.74725,556396.1792,586156.2326,488597.5197,464890.1283,300870.5884,404609.3256,72048.31749,318438.9974,225671.2344,344724.517,353579.9219,388651.1814,418400.5561,611609.3291,673933.8319,351903.1393,0,420154.0421,642653.0034,505218.9146,832595.2626,371220.7074,253058.2954,360185.3063,420274.2642,512256.0007,380915.1238,406659.2337,482180.1367,253913.0488,295653.7389,254090.3369,375451.889,311918.7567,353059.1269,400633.1576
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",0,1027436.547,2771931.183,3595980.61,425540.6995,2039653.221,667736.1071,2121148.653,1429684.911,729121753.5,1683524.516,1099840.661,0,1417051.303,446614.217,6924137.079,650127.3016,56772169.93,26200200,55059994.34,36091294.59,23480879.28,59607448.79,32609387.23,34310033.6,23195409.96,35070927.84,34373307.27,24511211.79,26840275.3,60154784.38,36837533.97,48764176.38,44077638.78,59733128.17,47470442.21,18942210.44,195532763.6,22732729.34,39626960.85,37125574.09,34231351.08,37391370.64,75733354.11,17748177.01,33162341.68,63192722.54,53023805.06,60003934.59,67149755.7,28860951.41,27125126.34,53327118.06,32972211.69,56944005.2,41576318.18,23082773.7,42200447.67,35226596.98,50544516.07,42592937.96,50073791.47,49876542.21,72723256.76,52946500.22,65429983.58,69189445.85,66394700.25,35390239.57,43321339.69,37854725.88,57629841.21,33931030.34,49394591.5,25838561.87,29383796.98,21164684.45,23267707.31,31216764.68,61034868.91,24421833.05,32684345.41
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",855370.4807,668684.3443,790678.1784,151931.5711,662600.0119,655158.8755,719688.2536,623334.4461,736530.6533,39680974.35,631226.8465,641237.9077,616275.5378,624595.279,647821.2881,1315676.324,574131.1987,1009024.684,1035507.692,93851.66009,3357345.768,1185189.113,731406.2445,1636636.548,5602007.572,2582268.188,4599013.774,7260517.643,5329711.799,6061255.348,2155643.72,2698601.409,5305844.351,2842425.109,1259733.3,576254.6695,5460932.39,2654928.867,460476.9972,1109427.814,2295211.82,1003253.591,8418035.584,3434934.919,3175008.563,0,2564323.482,4442510.676,2427609.703,2049608.571,1579541.3,3152929.062,5038706.03,2303119.979,3775484.613,1986595.421,3738932.591,3622455.576,2546002.971,8391865.245,0,580335.8191,4305368.927,2496239.232,5852488.051,4652864.405,2075213.526,259208.1698,2982324.005,4842917.045,5318644.805,3121471.56,2063258.419,1297179.581,2652066.25,3933452.233,3905619.707,2193645.202,807616.8188,2224782.2,5331680.624,1604460.271
1-(Cyclohexylmethyl)-4-piperidinylamine,43200.5432,12917.81879,11368.01672,5212.387799,15067.77951,14233.73969,11000.9874,6980.427495,9825.31278,35676.25709,0,12544.94027,6441.292612,5012.785835,6738.296773,73008.34205,9584.483697,0,27402.89411,0,57788.18134,56883.60679,811.2467561,0,15684.77874,38686.23304,0,0,1826.377808,17150.97289,55918.38544,12558.73628,26392.42842,17320.9774,21160.931,13952.87205,7757.88232,51029.72592,9239.283863,1569.291663,0,1543.289994,0,1402.728811,23141.26526,0,0,0,50122.02913,81003.9167,23807.43308,22069.32779,3836.636799,0,0,15208.88612,0,24730.75754,41633.63564,0,0,42121.03284,634.7571202,7030.459844,26676.09715,79272.05385,2846.103214,0,9589.231297,13901.03462,1782.162404,401.6576097,0,1824.861881,49847.18282,0,27193.15482,0,73964.11186,0,1366.176393,5966.4897
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,518884.9887,401412.2448,779488.5468,565718.2184,402694.3131,474162.5054,488979.2769,0,428904.3005,395090.0921,806328.1755,408137.3086,848077.5556,129256.9766,408410.5962,392668.6141,817557.4682,852458.321,529873.3119,532286.6882,510805.3636,541186.7858,702664.4408,468134.5384,525629.1227,459343.3418,573561.3362,492125.0344,453209.2887,477006.7904,398037.1414,371441.2126,409799.4046,547345.1192,279182.4211,272709.2004,369495.8048,762187.3335,365052.1789,552445.8181,529161.6482,381857.0459,503913.0871,475900.1945,277399.3839,370803.134,796502.3553,528913.6667,497460.8322,545736.4225,272026.3681,383661.5273,328079.5744,378554.0968,396543.0795,581452.6352,345682.5984,527308.157,454244.1588,806798.7455,565781.9959,387439.6497,327699.3982,556240.93,389186.5247,493109.8548,385291.672,756366.1193,280680.2997,379619.1449,461911.7098,618701.1504,556378.2118,835886.0744,447069.1018,414556.7712,390882.6281,454430.6207,533566.5055,515446.8465,556797.7133,469397.5919
"1,2,4-Butanetriol, (S)",20783.9046,0,0,7145.697586,21285.03884,36989.27615,0,6383.517026,0,0,7125.100112,31673.34034,8995.636697,34806.08271,16064.18258,33876.57124,18960.43269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402028.5798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170263.2118,0,90103.98431,39735.68883,0,0,0,0,1418.549867,0,0,0,0,0,0,0,0,0,0,0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",15221127.12,0,14194311.22,18678210.67,17692790.18,19378692.52,14305313.99,16170851.67,14826881.62,36193461.14,22322269.01,17229727.15,18239748.61,14660457.72,15322373.15,21331513.48,16955818.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481495535.8,0,0,0,0,0,637365.8545,0,0,0,0,0,0,0,52851077.69,0,0,9506157.62,0,0,97358701.32,0,47267188.61,0,68521390,0,0,0,0,0,59539250.32,0,0,0,0,0,96701259.57,0,0,137669759.8,0,0,67689406.59,0,0,0
"1,2-Bis(trimethylsiloxy)cyclohexene",66664.30552,0,0,88260.17599,89221.01775,1019113.233,0,0,0,0,178149.2076,0,0,0,0,0,0,0,0,0,0,902467.912,0,0,248785.297,0,0,270792.9571,0,0,0,0,0,0,0,952037.4989,0,0,0,0,0,0,0,0,0,0,0,0,1228858.885,0,0,0,127760.3524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226172.377,554390.3715,0,0,0,0,0
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",0,0,0,0,0,62103.49394,0,131628.3158,6764.638418,0,0,0,0,26603.57249,0,39575.38193,0,0,0,235.3502939,0,0,0,1615.212975,39883.96214,0,0,0,0,0,0,0,0,0,0,0,386559.4902,0,0,0,0,0,0,10936.05917,0,0,0,0,0,78652.10565,0,82151.09936,0,61503.60576,0,0,0,8918.965549,0,19762.83783,0,0,0,0,0,792.0402756,0,1541.699673,0,0,0,19750.40753,0,0,305741.815,0,0,0,1596.593595,0,0,0
"1,2-Cyclohexanediol, (Z)",342403.9737,224531.2694,174203.2679,79825.41055,188739.8755,0,0,208327.2438,168350.5751,15617.14813,133101.6146,111441.5383,0,141896.4349,86050.77252,334642.3655,117515.6687,89538.37806,56720.2666,167745.3671,116728.4608,140949.9702,140025.4308,121502.2842,181449.2043,177348.1311,186066.4166,175335.4819,230916.493,225907.5846,147761.5953,197127.2884,185567.564,0,199715.6027,0,180413.8736,248807.8098,150928.047,0,0,0,152570.9942,181586.288,177412.1996,376422.0486,0,247582.2416,0,219667.6421,330940.0542,71194.43664,0,0,321480.2718,0,330437.3012,0,221714.5082,0,70347.05675,150040.502,151516.7469,225082.0427,158826.8175,168516.554,168108.2599,155482.0958,106983.5913,138545.5562,123789.7746,250193.2322,137846.0134,59073.34185,159150.0414,133600.3896,87123.00785,76410.4528,115152.7243,61470.15508,112541.1267,134641.1228
"1,3-Butanediamine",56173063.13,18141343.48,12654578.68,110110770.3,25140765.15,0,76430278.07,70981527.52,14146637.32,0,28921466.07,68442954.29,3557165.738,130124189.9,119982516.5,0,39253394.87,0,0,0,0,0,0,0,0,0,1274923425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65718504.24,377763034.7,60548896.48,0,6047508.354,0,0,0,0,0,0,218449727.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",226480544.1,273827682.8,377782494.6,359757942.6,368715528.5,415664512.7,398503218.9,371458620.3,375944920.1,299266975.9,345751667.6,362941687.2,339329116.6,240731210.2,269647450.5,148283230.6,358687806.1,697606135.5,353544214.1,380391039.3,305289426.5,321853568,367590632.3,236845231.5,267873356,299157461.9,290055517.2,303227076,272282988.8,232444656.1,139316613.5,303239769.5,272429370.1,331075866.8,171386218.5,211830273.7,254376961.5,540805018.1,364803889.9,319054418,253694974.8,351738326.3,362091698.8,536236683.8,372563852,244159530.5,647048284.2,232598588.6,345850401.3,245618113.9,103847109.5,328806482.8,216737593.4,311470870.2,319309885.2,438119410.1,308611702.8,383777429.7,248210229.8,547479009.3,285672637.9,248030429.3,175323437.6,306232478.2,243829825.2,356062090.3,200000393.4,742889541,299722359.9,307814908.3,242558698.3,359788380.2,285118762.1,647185503.7,209035158.5,273061129.2,208561950.6,310779694.2,452056796.6,439634629,278008753.6,248909009.6
"1,3-Propanediol",5117.067922,3520.44265,3843.962262,3572.135642,3677.069726,2051.203443,3396.003804,2610.185338,5184.676063,2845.801211,3979.153797,3344.377547,3168.107698,2087.298513,1858.537279,4980.410641,2389.878176,0,0,0,0,0,0,0,0,0,0,0,0,0,20302.70167,0,0,0,16584.75617,17797.79761,0,0,0,0,0,0,0,28036.24066,12192.42906,0,0,0,0,0,0,0,0,0,54236.52867,0,0,0,0,0,0,0,0,0,0,10631.35417,0,0,0,0,0,14667.23106,45886.85866,0,0,0,0,0,0,0,0,0
10-Undecynoic acid,0,10392.86831,17234.71704,5522.927219,12937.39385,12720.57892,11988.47849,0,11657.76572,0,9604.673729,21012.21825,8990.840614,0,938.6518132,0,17151.71857,0,0,0,0,0,71567.80174,0,0,0,65680.3485,44978.34921,0,0,0,0,0,0,0,0,0,48613.45999,0,0,0,0,0,0,0,0,0,94558.65023,0,0,0,0,0,0,37349.89802,0,0,0,0,0,0,111254.8366,0,0,0,0,0,0,0,0,0,0,0,0,0,61875.13294,0,0,0,0,0,0
"13-Docosenamide, (Z)",53957.73187,47827.11263,32084.59557,55153.91677,22643.02145,19389.30265,37300.16646,36954.08977,25582.87627,65836.01275,58724.78888,21617.16575,25269.19126,36537.1872,24351.52204,49991.40141,33100.40049,0,0,0,0,0,0,0,0,0,0,276632.6,334686.4333,0,453208.8214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246814.8817,0,0,361486.7496,0,0,0,81236.56312,0,0,119341.4001,0,0,0,83381.46217,164393.2642,0,212280.0557,0,0,0,0,0,0,38014.82133,0,0,99748.32435
1-Butanol,10814732.47,82046760.29,69593870.43,62023237.93,77650171.89,92711846.5,92183231.94,77808917.49,44066610.62,97955790.53,59181493.27,88280992.02,83561780.13,63890980.43,65653090.39,97856305.25,84785852.37,198858842,0,161347664.8,0,0,0,135338568.1,131718427.9,0,0,0,157116779.6,0,0,0,0,0,77787876.12,0,122245178.5,0,122019766,105831828,172365879.9,158727921.4,111838858.8,240068066.2,163666024.4,106875256.1,244745103.2,44442825.72,0,151739895.9,0,0,98955214.82,0,0,0,98700252.16,122851123.7,0,140784312.4,167438405.7,107456564.6,71637526.91,0,124948859.3,86856963.65,98335802.87,0,0,0,131341965.1,0,143781855.4,0,115861400.1,134663464,0,99107330.64,126413200,39212105.02,121608484.1,142973239.8
"1-Heptanol, 2-propyl-",0,0,0,0,0,0,0,0,0,7965009.892,3307567.64,0,4958411.719,2050175.756,3940008.36,3467864.582,0,42311356.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3899324.129,0,0,0,0,0,2572176.412,17706417.53,0,0,0,0,0,0,2080960.988,1464070.627,1635868.062,2341667.37,1538325.187,2467234.309,2056022.595,1164532.482,1456199.616,2034930.582,2228513.169,1605666.615,0,1929623.99,2135234.115,0,1722881.341,2057670.691,0,0,1814115.728
1-Hexacosanol,0,364.5684925,1019.61434,0,0,8714.878225,0,0,0,0,0,3121.320679,1160.265667,0,1509.920504,0,1270.701042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14525.50782,0,4210.809069,0,0,0,0,0,0,0,0,0,0,0,0,0,2462.897702,0
1-Octadecanol,0,0,0,1479.169909,0,1063.822368,1082.688608,987.9886034,0,379.1182027,0,1202.68751,1210.735122,0,965.8849904,980.5990506,1053.042549,0,0,375.9386047,0,1328.753757,1716.850867,0,842.8895487,1682.62795,1401.074301,0,1391.416075,1450.546494,784.6647238,1845.226038,1171.842043,0,1898.609377,0,1248.421022,0,0,0,0,0,0,0,0,0,0,0,0,0,487.2821111,655.6369643,0,797.053063,0,0,2125.287843,0,527.2860047,2562.655442,2638.433316,873.8762341,2037.286933,685.1476175,604.7835315,332.3313012,0,2467.048508,876.2535424,0,0,1766.245248,0,1243.764968,560.8176432,0,0,0,760.4134132,0,0,646.1766598
"1-Octanol, 2-butyl-",67857618.25,56828268.08,12627581.91,53977817.43,56766261.92,101887137.7,20414514.96,59727025.94,47023421.63,128950097.2,57289425.08,43839652.24,47320978.55,38998430.79,43405758.45,87595287.4,44354391.39,93360586.49,74783835.12,99999839.94,58871974.36,63778066.18,78586599.43,53756073.29,75778582.15,51101278.75,63655370.58,55884441.91,47519454.02,47681680.47,64750401.09,36465805.67,58774108,53043538.93,26421543.08,24648091.71,62731788.12,53344673.02,41564985.61,47183647.69,41354787.33,57067620.88,52737171.21,76410592.06,34518917.68,19917960.86,74833084.8,78641893.34,148090074.2,62067072.54,9440684.004,76949899.56,32865035.58,52187581.54,34366307.17,58336380.67,18235359.35,76233178.32,35094469.1,65749079.03,68863628.32,35757536.36,38164165.76,54411176.27,47387368.32,54475773.02,61317295.12,132649624.8,45539347.15,35652465.62,42059897.41,68528442.84,57346588.62,81867020.81,53119080.21,58898254.41,58251707.52,46707083.34,56533465.55,74936550.91,46107343.89,47121403.09
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",16003309608,8946017069,12111935414,7634873063,10859199287,13558049265,12086094113,9355027465,10731829881,4207787037,6339679277,9262250245,6544323900,6225511021,6176751946,31875030626,6818855468,1.52281E+11,42154067607,0,0,0,0,0,19924236131,16696525943,0,0,0,2287441313,0,0,0,0,0,0,5689303424,0,11220422956,0,0,0,0,44136997731,0,0,0,0,0,0,1.68223E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81082210871,1.3971E+11,0,0,0,0,0,0,0,0,0,0,0,0,0
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",157.1455145,167.4854267,67.00770208,268.1670509,0,177.5014588,92.38268238,92.73747911,147.6267645,231.7703538,76.64984295,77.50383856,52.09036675,142.0251876,92.89384766,56.61299209,48.46779123,0,0,0,0,0,0,0,0,0,0,0,0,3208.583082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.71977391,0,1.398367971,0,1807.455686,0,0,16.56281692,429.9406169,0,0,0,89.36004942,0
"2(5H)-Furanone, 4-(hydroxymethyl)",541406.9611,704374.3644,622746.8748,153030.662,597779.6927,492014.024,491134.6741,739981.0416,607627.5243,1997072.494,367807.8209,669490.3269,536591.0786,509516.8803,512929.1395,477799.0049,557434.8169,273681.9955,316922.0417,349232.563,583069.3757,508492.4497,670200.2188,399558.0947,759249.4902,386233.3035,631920.3639,843120.0866,813682.495,559027.5167,598878.931,681543.942,638363.5188,616027.7876,579847.2581,649878.6676,575937.7719,898469.5261,486146.0448,556720.6727,873489.279,1035488.618,714998.1292,856208.3051,567414.2978,716584.5951,645783.4426,873498.7594,717509.524,723441.4295,426858.1281,591319.4037,662394.8042,535208.9876,489202.9754,417703.8134,513661.5662,648232.6986,774309.5634,833399.8469,387349.1731,423280.4101,533107.4982,582670.3476,662246.0972,545029.0114,522471.5683,324897.4899,508082.5367,816362.1085,910133.6326,761266.0607,955108.6713,472528.0232,798369.2309,724832.172,760105.0649,544842.1525,477440.6854,591210.399,738892.6965,414976.2017
"2-(Ethylamino)ethanol, N-acetyl",4626176977,3612358088,3695856722,3745655813,3562384212,3959823506,3631932574,3450662709,3516327775,4136344661,3278192091,3436525190,3407654250,3366683401,3474162089,5193788740,3250380024,6429796087,3309597771,5280069988,3733498137,3238690623,4917355054,2844585189,3340362041,3496745261,3644034972,3149391656,3515218952,3525260064,3955835558,2830435281,3409852979,3928323500,2626355080,2703870410,2941752609,5005414148,3383463683,3818970173,4903367023,4021254910,2985836413,4796363411,2597090028,2980334518,6441317393,4330582731,4606961507,4144404770,2548927250,3132369917,2854154682,3302071588,2815892139,3387213973,2533761593,3848996994,3393522344,5160200503,4138025813,2994721805,3156119162,3653561791,3259330235,3622612038,3290122006,5667640319,2507848934,2950893293,3990796942,4549496368,4587122330,6220855143,3676369016,3527556594,2955306047,2971526642,3669858566,4248384365,3514673388,3234798265
2-(Methylamino)ethanol,100103242.2,83610967.02,109156048,100930076.5,95389357.91,119569688.7,103352162.5,81352838.8,100808873.5,81553694.56,94539214.65,97895977.23,82905455.96,94899895.93,95289657.54,81922900.79,94041444.68,150515175,82156190.77,117241216,93174496.25,74120415.8,116296995.4,80242154.81,73599241.24,94053327.55,90723348.84,85438340.31,78729007.63,93118413.68,105888693.6,82089206.35,84425772.79,94836107.67,60735071.28,65393709.52,80385945.24,139534504.1,101842646.8,86937027.7,135316659.3,101611216.6,92580882.81,133802218.1,69035656.31,84614477.01,164459435.4,109140931.1,118838196.9,112287356.3,38510759.99,78663350.1,71781687.63,84372563.21,65922617.1,92379304.46,68988374.96,97008394.9,87567040.3,124763938.5,122886510.2,94184374.28,89320649.35,106613360,1043020.549,90191940.48,90871971.5,158120791.2,73020991.66,293896.8567,111316441.1,133750279.2,121700815.3,177102424,97597001.42,97975634.02,80143946.58,80995764.51,103882277.7,90928836.32,101650708,97162607.04
