NAME,CSF_109_21122021,CSF_110_21122021,CSF_113_20122021,CSF_89_PROVA_07122021,CSF_96_20122021,CSF_70_21122021,CSF_97_21122021,CSF_129_21122021,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,DSS_91_120224,DSS_117_120224,DSS_907_120224,DSS_T3.6_090224,DSS_912_120224,DSS_T5.7_120224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224,956_CSF_24H_080224,957_CSF_24H_080224,959_CSF_24H_080224
,DSS_T1,DSS_T1,DSS_T1,DSS_T3,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T5,DSS_T5,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_24H,LPS_24H,LPS_24H
"(2,5-Dimethoxyphenyl)acetone",63404.32079,52304.54102,58589.69266,156310.6701,66505.59171,43731.38148,35548.4797,65195.3958,61487.77617,44579.29945,51871.51156,56614.44142,106182.1573,47812.3879,53401.88814,49882.85611,62828.91871,52660.24383,34579.51924,60441.87655,34634.09876,124928.2394,47464.74921,45739.8119,67751.53899,88453.17167,51671.13438,69324.48248,8791.856322,58528.2464,66333.6657
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",2256816.523,847017.9095,247455.5381,195107.6254,224337.2238,0,69340.53574,0,252750.0188,677206.091,1708404.271,494893.0969,794283.0008,1228020.808,941965.1713,1375156.142,592446.8861,804929.8315,879541.373,1064662.302,419060.8465,706911.482,282575.8162,309258.5477,461736.8571,286696.5322,681447.7673,1333647.17,956423.3419,942140.8165,1497830.088
(4-Fluorophenyl)phenylmethanol,64354.87335,51477.89709,50224.60664,12887.78563,46918.11759,49955.22053,51362.2384,47938.19406,0,0,0,0,0,355375.9332,0,0,0,0,0,0,0,107810.3666,0,0,568377.7956,0,0,0,0,0,0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",271448856.3,199888561.3,234890765,302367196.4,160693269.1,220498858.8,268128179.1,159867168.3,53866317.1,264784357,175183451.2,169333569.8,368473982,263081640.8,314683772.4,624075913.1,257120703.5,280313581.8,178448060.1,1240395978,214897209.6,68566428.78,159943413.7,254984932.1,207162826.3,87943612.81,12582882.56,183394553.3,17564847.62,167713826.2,119902426.7
"3,4,5-Trimethoxyamphetamine",75830.8854,19838473.54,23205609.82,0,13590793.87,15193865.7,20933525.07,25572477.8,5909994.755,975.6771408,15581800.12,13227482.43,14653038.19,22561586.04,34197352.87,266.5231078,0,662.8483558,0,0,90918.76324,8040.871983,23232741.84,37837710.62,23306348.67,177169.7685,1637.594377,21178771.4,13787166.94,4774280.004,12812273.01
Oxypeucedanin,0,286.3881445,46068.88961,254927.5577,43335.61289,156.2095881,51110.42389,43800.72926,0,0,0,0,0,0,0,452466.2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",10847353.14,16803751.11,19321765.54,3800880.202,104516160.4,88969998.52,56574702.64,51862313.26,0,19602601.68,129495271.3,44605423.09,78104380.87,26455489.47,123069.5113,14948677.6,63516414.33,38125273.88,0,11389516.68,0,14172806.26,0,19200180.56,23218700.82,0,111767297.1,204357331.3,0,28725028.28,60990630.02
"1-(2,4-Dimethoxyphenyl)-propan-2-one",321599.0859,352692.8948,0,3290136.474,64735.70863,112592.7644,0,0,63388.67546,391833.3827,348470.9877,358091.9145,432460.9807,228378.6677,371129.3697,295158.1076,309664.3465,320880.4414,309864.6225,26845.74725,300870.5884,72048.31749,351903.1393,0,420154.0421,371220.7074,253058.2954,360185.3063,254090.3369,375451.889,353059.1269
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",2039653.221,667736.1071,2121148.653,729121753.5,0,1417051.303,446614.217,650127.3016,55059994.34,36091294.59,23480879.28,32609387.23,34310033.6,36837533.97,48764176.38,47470442.21,18942210.44,37391370.64,17748177.01,33162341.68,28860951.41,53327118.06,50073791.47,49876542.21,72723256.76,66394700.25,35390239.57,43321339.69,23267707.31,31216764.68,24421833.05
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",655158.8755,719688.2536,623334.4461,39680974.35,616275.5378,624595.279,647821.2881,574131.1987,93851.66009,3357345.768,1185189.113,1636636.548,5602007.572,2698601.409,5305844.351,576254.6695,5460932.39,8418035.584,3175008.563,0,1579541.3,5038706.03,580335.8191,4305368.927,2496239.232,259208.1698,2982324.005,4842917.045,2193645.202,807616.8188,5331680.624
1-(Cyclohexylmethyl)-4-piperidinylamine,14233.73969,11000.9874,6980.427495,35676.25709,6441.292612,5012.785835,6738.296773,9584.483697,0,57788.18134,56883.60679,0,15684.77874,12558.73628,26392.42842,13952.87205,7757.88232,0,23141.26526,0,23807.43308,3836.636799,42121.03284,634.7571202,7030.459844,0,9589.231297,13901.03462,0,73964.11186,1366.176393
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,474162.5054,488979.2769,0,395090.0921,848077.5556,129256.9766,408410.5962,817557.4682,532286.6882,510805.3636,541186.7858,468134.5384,525629.1227,371441.2126,409799.4046,272709.2004,369495.8048,503913.0871,277399.3839,370803.134,272026.3681,328079.5744,387439.6497,327699.3982,556240.93,756366.1193,280680.2997,379619.1449,454430.6207,533566.5055,556797.7133
"1,2,4-Butanetriol, (S)",36989.27615,0,6383.517026,0,8995.636697,34806.08271,16064.18258,18960.43269,0,0,0,0,0,0,402028.5798,0,0,0,0,0,0,0,0,170263.2118,0,0,0,0,0,0,0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",19378692.52,14305313.99,16170851.67,36193461.14,18239748.61,14660457.72,15322373.15,16955818.19,0,0,0,0,0,0,0,0,481495535.8,637365.8545,0,0,52851077.69,0,0,0,0,0,0,0,0,67689406.59,0
"1,2-Bis(trimethylsiloxy)cyclohexene",1019113.233,0,0,0,0,0,0,0,0,0,902467.912,0,248785.297,0,0,952037.4989,0,0,0,0,0,127760.3524,0,0,0,0,0,0,0,0,0
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",62103.49394,0,131628.3158,0,0,26603.57249,0,0,235.3502939,0,0,1615.212975,39883.96214,0,0,0,386559.4902,0,0,0,0,0,0,0,0,1541.699673,0,0,0,1596.593595,0
"1,2-Cyclohexanediol, (Z)",0,0,208327.2438,15617.14813,0,141896.4349,86050.77252,117515.6687,167745.3671,116728.4608,140949.9702,121502.2842,181449.2043,197127.2884,185567.564,0,180413.8736,152570.9942,177412.1996,376422.0486,330940.0542,0,150040.502,151516.7469,225082.0427,155482.0958,106983.5913,138545.5562,76410.4528,115152.7243,112541.1267
"1,3-Butanediamine",0,76430278.07,70981527.52,0,3557165.738,130124189.9,119982516.5,39253394.87,0,0,0,0,0,0,0,0,0,0,0,65718504.24,0,0,0,0,0,0,0,0,0,0,0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",415664512.7,398503218.9,371458620.3,299266975.9,339329116.6,240731210.2,269647450.5,358687806.1,380391039.3,305289426.5,321853568,236845231.5,267873356,303239769.5,272429370.1,211830273.7,254376961.5,362091698.8,372563852,244159530.5,103847109.5,216737593.4,248030429.3,175323437.6,306232478.2,742889541,299722359.9,307814908.3,310779694.2,452056796.6,278008753.6
"1,3-Propanediol",2051.203443,3396.003804,2610.185338,2845.801211,3168.107698,2087.298513,1858.537279,2389.878176,0,0,0,0,0,0,0,17797.79761,0,0,12192.42906,0,0,0,0,0,0,0,0,0,0,0,0
10-Undecynoic acid,12720.57892,11988.47849,0,0,8990.840614,0,938.6518132,17151.71857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111254.8366,0,0,0,0,0,0,0,0
"13-Docosenamide, (Z)",19389.30265,37300.16646,36954.08977,65836.01275,25269.19126,36537.1872,24351.52204,33100.40049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81236.56312,0,0,0,83381.46217,164393.2642,0,38014.82133,0
1-Butanol,92711846.5,92183231.94,77808917.49,97955790.53,83561780.13,63890980.43,65653090.39,84785852.37,161347664.8,0,0,135338568.1,131718427.9,0,0,0,122245178.5,111838858.8,163666024.4,106875256.1,0,98955214.82,107456564.6,71637526.91,0,0,0,0,99107330.64,126413200,121608484.1
