NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2,5-Dimethoxyphenyl)acetone",61487.77617,44579.29945,51871.51156,56614.44142,106182.1573
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",252750.0188,677206.091,1708404.271,494893.0969,794283.0008
(4-Fluorophenyl)phenylmethanol,0,0,0,0,0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",53866317.1,264784357,175183451.2,169333569.8,368473982
"3,4,5-Trimethoxyamphetamine",5909994.755,975.6771408,15581800.12,13227482.43,14653038.19
Oxypeucedanin,0,0,0,0,0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0,19602601.68,129495271.3,44605423.09,78104380.87
"1-(2,4-Dimethoxyphenyl)-propan-2-one",63388.67546,391833.3827,348470.9877,358091.9145,432460.9807
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",55059994.34,36091294.59,23480879.28,32609387.23,34310033.6
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",93851.66009,3357345.768,1185189.113,1636636.548,5602007.572
1-(Cyclohexylmethyl)-4-piperidinylamine,0,57788.18134,56883.60679,0,15684.77874
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,532286.6882,510805.3636,541186.7858,468134.5384,525629.1227
"1,2,4-Butanetriol, (S)",0,0,0,0,0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",0,0,0,0,0
"1,2-Bis(trimethylsiloxy)cyclohexene",0,0,902467.912,0,248785.297
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",235.3502939,0,0,1615.212975,39883.96214
"1,2-Cyclohexanediol, (Z)",167745.3671,116728.4608,140949.9702,121502.2842,181449.2043
"1,3-Butanediamine",0,0,0,0,0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",380391039.3,305289426.5,321853568,236845231.5,267873356
"1,3-Propanediol",0,0,0,0,0
10-Undecynoic acid,0,0,0,0,0
"13-Docosenamide, (Z)",0,0,0,0,0
1-Butanol,161347664.8,0,0,135338568.1,131718427.9
"1-Heptanol, 2-propyl-",0,0,0,0,0
1-Hexacosanol,0,0,0,0,0
1-Octadecanol,375.9386047,0,1328.753757,0,842.8895487
"1-Octanol, 2-butyl-",99999839.94,58871974.36,63778066.18,53756073.29,75778582.15
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",0,0,0,0,19924236131
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",0,0,0,0,0
"2(5H)-Furanone, 4-(hydroxymethyl)",349232.563,583069.3757,508492.4497,399558.0947,759249.4902
"2-(Ethylamino)ethanol, N-acetyl",5280069988,3733498137,3238690623,2844585189,3340362041
2-(Methylamino)ethanol,117241216,93174496.25,74120415.8,80242154.81,73599241.24
"2,2'-Bipyridine",4127308.102,3102063.779,2362766.374,2293027.014,2847835.508
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",34161.07088,347353.6403,210328.5889,180971.2224,368751.1381
"2,3-Dihydroxybutanoic acid",2174346407,0,3438710149,3175980638,4029385350
"2',3'-Di-O-acetyladenosine",0,0,0,5.52273E-07,2.16377E-05
"2,4,4'-Trihydroxybenzophenone",1948296.38,1338047.059,990824.5686,788850.1799,580402.5949
"2,4,6-Cycloheptatrien-1-one",6870425.262,0,33706514.91,0,20165248.66
"2,4-Dihydroxyacetophenone",0,0,0,0,0
"2,4-Dimethoxybenzaldoxime",0,0,0,0,0
"2,4-Di-tert-butylphenol",14603856.93,9397574.583,8677284.148,9132575.201,8750492.309
"2,4-Imidazolidinedione, 5,5-dimethyl",8891177.457,2223676.737,1379342.983,1847466.846,634197.052
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",3913386.036,1594900.577,732250.1991,317611.9217,0
"2,5-Dimethoxybenzhydrazide",8547734.419,24612551.07,42680141.02,31103573.94,63758295.65
"2,5-Dimethoxybenzonitrile",710652.3061,906356.6364,1423998.601,1660495.176,2483865.686
"2,5-Dimethoxyphenol",8524896.435,8565802.041,16258225.91,13626142.07,21222585.6
"2',5'-Dimethoxypropiophenone",34902270.72,39948567.52,52447544.14,60364699.1,92286435.37
"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",3660213.67,4317866.677,0,0,2195043.492
"2-Allyl-1,4-dimethoxybenzene",60795333.84,57921668.58,51324983.45,43646446.75,66256339.76
2-Amino-4-methylbenzophenone,93567.06994,476208.8245,258352.5975,187792.7756,948783.5996
2-Aminoquinolin-8-ol,0,0,0,0,22590135.66
2-Butanol,0,0,0,0,0
2-Buten-1-ol,0,198997.1767,2144331.195,1326110.622,0
"2-Butene-1,4-diol",0,0,1467734.018,69881.86597,0
2-Butenedioic acid,12722643.27,64482173.89,28333490.37,30861622.49,49437913.01
"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",40928999.1,86368986.61,79955122.11,62883071.82,128666639.2
2-Butoxyethanol,40817.27809,31461.0285,24899.30919,27748.87658,24726.40923
2-Cyanobenzaldehyde,0,0,0,0,0
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",836680.1657,1035200.476,847672.6374,395098.0004,1077600.842
"2-Cyclohexen-1-one, 3-methyl-",675789.1799,1813074.211,2574761.457,2990352.184,3887371.669
2-Decanol,789630.3214,572236.898,488420.7012,461053.2978,440772.3649
2-Ethyl-1-butanol,0,1273639.995,1497658.3,0,2278539.04
2-Ethylhexanoic acid,140687780.3,109223279.4,105487967.8,65079851.15,81188029.8
2-Ethylhexanol,0,0,0,0,0
"2-Furancarbodithioic acid, methyl ester",0,0,0,0,0
2-Furoic acid,178762.5727,104393.9889,123878.8078,108258.1892,108923.4479
2-Hexanol,30274963.11,82220054.98,52882636.97,36373876.7,92899753.65
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",1283.861244,2316.254311,0,2280.491044,3296.131546
"2-Hydroxy-2',4',6'-trimethoxychalcone",0,0,0,0,0
2-Hydroxy-3-methylbutyric acid,631.8739902,538.9740385,545.5087883,433.7336386,613.6807115
"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",0,0,0,0,0
2-Isopropyl-5-methyl-1-heptanol,0,497143611.7,0,0,0
"2-Methyl-1,3-butanediol",15359454.71,7900643.129,7169063.814,6381589.531,7200437.224
2-Methyl-3-pentanol,0,94373.0226,87876.01895,201213.6768,0
"2-Methylcyclohexanol, (Z)",225949.1299,146354.5182,119963.5915,98919.37603,108272.4936
"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",0,4283262.319,3772527.757,0,4309160.425
2-Naphthol,218174.2456,97814.15094,78320.84238,84005.95815,83096.38848
2-Norbornanemethanol,0,0,0,0,76417606.03
