NAME,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
"(2,5-Dimethoxyphenyl)acetone",47464.74921,45739.8119,67751.53899,88453.17167,51671.13438,69324.48248
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",282575.8162,309258.5477,461736.8571,286696.5322,681447.7673,1333647.17
(4-Fluorophenyl)phenylmethanol,0,0,568377.7956,0,0,0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",159943413.7,254984932.1,207162826.3,87943612.81,12582882.56,183394553.3
"3,4,5-Trimethoxyamphetamine",23232741.84,37837710.62,23306348.67,177169.7685,1637.594377,21178771.4
Oxypeucedanin,0,0,0,0,0,0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0,19200180.56,23218700.82,0,111767297.1,204357331.3
"1-(2,4-Dimethoxyphenyl)-propan-2-one",351903.1393,0,420154.0421,371220.7074,253058.2954,360185.3063
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",50073791.47,49876542.21,72723256.76,66394700.25,35390239.57,43321339.69
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",580335.8191,4305368.927,2496239.232,259208.1698,2982324.005,4842917.045
1-(Cyclohexylmethyl)-4-piperidinylamine,42121.03284,634.7571202,7030.459844,0,9589.231297,13901.03462
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,387439.6497,327699.3982,556240.93,756366.1193,280680.2997,379619.1449
"1,2,4-Butanetriol, (S)",0,170263.2118,0,0,0,0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",0,0,0,0,0,0
"1,2-Bis(trimethylsiloxy)cyclohexene",0,0,0,0,0,0
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",0,0,0,1541.699673,0,0
"1,2-Cyclohexanediol, (Z)",150040.502,151516.7469,225082.0427,155482.0958,106983.5913,138545.5562
"1,3-Butanediamine",0,0,0,0,0,0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",248030429.3,175323437.6,306232478.2,742889541,299722359.9,307814908.3
"1,3-Propanediol",0,0,0,0,0,0
10-Undecynoic acid,111254.8366,0,0,0,0,0
"13-Docosenamide, (Z)",81236.56312,0,0,0,83381.46217,164393.2642
1-Butanol,107456564.6,71637526.91,0,0,0,0
"1-Heptanol, 2-propyl-",2080960.988,1464070.627,1635868.062,2056022.595,1164532.482,1456199.616
1-Hexacosanol,0,0,0,0,0,0
1-Octadecanol,873.8762341,2037.286933,685.1476175,2467.048508,876.2535424,0
"1-Octanol, 2-butyl-",35757536.36,38164165.76,54411176.27,132649624.8,45539347.15,35652465.62
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",0,0,0,81082210871,1.3971E+11,0
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",0,0,0,0,61.71977391,0
"2(5H)-Furanone, 4-(hydroxymethyl)",423280.4101,533107.4982,582670.3476,324897.4899,508082.5367,816362.1085
"2-(Ethylamino)ethanol, N-acetyl",2994721805,3156119162,3653561791,5667640319,2507848934,2950893293
2-(Methylamino)ethanol,94184374.28,89320649.35,106613360,158120791.2,73020991.66,293896.8567
"2,2'-Bipyridine",2224100.005,2219857.695,3018883.756,3389479.651,1714114.699,1929917.567
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",175030.4635,303758.2558,274869.4952,0,213069.5199,298584.8682
"2,3-Dihydroxybutanoic acid",2580444125,0,3051622657,2095415485,2247194781,0
"2',3'-Di-O-acetyladenosine",0,3.32813E-05,2.47215E-05,0,0,5.80056E-05
"2,4,4'-Trihydroxybenzophenone",525310.0517,713347.6594,852494.0803,2507888.733,719249.2913,706534.5623
"2,4,6-Cycloheptatrien-1-one",0,0,0,181130855.6,3312202.08,9313334.403
"2,4-Dihydroxyacetophenone",0,0,0,0,0,0
"2,4-Dimethoxybenzaldoxime",251484.4159,924334.9552,0,0,0,0
"2,4-Di-tert-butylphenol",0,0,0,925905.8471,0,0
"2,4-Imidazolidinedione, 5,5-dimethyl",1354936.954,644499.0536,1760064.567,7493864.511,412839.8001,556437.1993
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",1407504.59,441365.4161,2513526.182,2912727.403,277621.7275,149247.5803
"2,5-Dimethoxybenzhydrazide",11781577.02,28731713.39,42156916.9,21761974.84,39650095.59,59986375.75
"2,5-Dimethoxybenzonitrile",587508.5807,1453473.466,1628038.375,908356.0398,1261123.296,1768610.562
"2,5-Dimethoxyphenol",6173616.204,6662760.057,16991562.22,15283082.14,12431658.23,19315696.23
"2',5'-Dimethoxypropiophenone",23009374.98,56428288.81,51463519.26,29204216.23,44268368.15,66924426.87
"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",2632707.217,1880101.139,3258903.406,3273606.422,0,0
"2-Allyl-1,4-dimethoxybenzene",47532975.66,54400650.31,65264123.3,68414710.94,33772132.94,50964238.62
2-Amino-4-methylbenzophenone,107726.8326,355281.3099,639010.5735,0,393462.9358,943578.192
2-Aminoquinolin-8-ol,0,0,0,0,0,22688656.39
2-Butanol,0,0,0,0,0,0
2-Buten-1-ol,0,0,0,2341610.526,0,2437398.723
"2-Butene-1,4-diol",134206.5388,207341.1865,0,173655.0178,95666.84636,0
2-Butenedioic acid,114466233.9,31445876.17,34713852.75,100966459.4,79549888.38,48949864.59
"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",61939338.92,74237563.35,114180981,48832093.12,79050235.04,118995273.5
2-Butoxyethanol,29.32758957,28804.19621,33582.28864,45764.30959,19880.24966,22522.2148
2-Cyanobenzaldehyde,34339158.45,68446328.17,46522872.46,105691592.4,0,73511384.47
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",698115.5191,0,1013274.427,1507131.281,441539.801,453885.9009
"2-Cyclohexen-1-one, 3-methyl-",1313978.317,2234359.929,2551319.621,1239861.093,2930758.613,3333785.315
2-Decanol,429847.4107,0,556005.1988,663942.8485,306060.0373,334642.7175
2-Ethyl-1-butanol,0,2318767.184,3358832.485,0,0,3033298.256
2-Ethylhexanoic acid,98320596.72,109392466.1,142804333.3,147130361.2,76620696.93,102326626.4
2-Ethylhexanol,0,0,0,1171412.772,0,0
"2-Furancarbodithioic acid, methyl ester",0,0,0,0,0,0
2-Furoic acid,0,189826.5361,248707.5629,124173.1933,0,94538.98059
2-Hexanol,57907738.74,0,82789790.56,0,59247088.1,92061873.36
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",863.4503023,2367.122546,2838.150117,1388.847895,1052.798265,2336.222536
"2-Hydroxy-2',4',6'-trimethoxychalcone",0,0,658.48132,1606.640773,0,0
2-Hydroxy-3-methylbutyric acid,495.8595242,798.3178429,850.5804643,2.291548921,464.9771307,733.9412444
"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",0,0,0,0,0,0
2-Isopropyl-5-methyl-1-heptanol,0,0,0,0,0,0
"2-Methyl-1,3-butanediol",8563931.21,6085638.418,9932745.138,7235351.056,4217240.127,6979841.635
2-Methyl-3-pentanol,74096.94008,130657.7002,75706.70499,0,145045.0574,156087.5699
"2-Methylcyclohexanol, (Z)",69803.56336,117974.0074,82830.09293,84452.6333,23502.237,46514.29853
"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",3715488.089,0,6500577.285,0,3863856.349,4764404.317
2-Naphthol,109814.7251,91485.12985,155755.0727,220939.2289,57658.55631,93249.60929
2-Norbornanemethanol,21813676.01,9321250.692,0,0,0,0
"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",548069.4201,0,0,0,0,0
2-Pentadecanone,37.60190826,46.69263125,80.19472567,88.41026957,22.84776583,62.05312059
"2-Pivaloyl-1,3-indandione",0,0,0,0,0,0
2-Propyl-1-pentanol,1791376.56,370200.9904,12329035.18,17499878.51,8184739.651,10029369.49
2-Pyrrolidone-5-carboxylic acid,595150422.3,1295361492,801399178.7,312712024.2,676351915.5,1160742829
"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",0,0,0,0,0,0
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",1107787.692,2102257.201,3439468.299,1610724.084,2964695.518,4352031.752
3-(4-Methoxyphenyl)coumarin,2596588.039,0,729644.7401,178157.5323,0,0
"3,3-Bis{4-[(trimethylsilyl)oxy]phenyl}-2-benzofuran-1(3H)-one",0,0,19059030881,0,0,0
"3,3-Dimethylacrylic acid",0,0,4909470.806,7033070.998,0,0
"3,4-Dihydroxybenzaldehyde",0,0,0,0,0,0
"3,4-Methylenedioxyamphetamine",0,283954340.3,153668931.4,0,377338.1338,17108.66065
"3,5-Dimethoxy-4-(tert.-butyldimethylsilyl)oxybenzaldehyde",0,0,0,0,0,0
"3,5-Dimethylphenol",0,61194.21593,26998.05844,39775.77699,17117.03372,21308.62357
3-Amino-5-methylisoxazole,5216674.278,3086508.964,8019201.877,16264724.23,6196300.065,6105112.953
3-Aminobenzoic acid,14969303.73,13206377.67,29719269.78,33860784.55,2043732.639,3930917.048
3-Buten-2-one,153737.1653,254269.8288,228629.995,320235.9764,163293.1601,204658.0841
3-Heptanol,14203440.23,7362492.198,12843601.87,6610057.667,4779779.741,7398887.096
"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",0,0,0,862.0764012,0,0
3-Hydroxymethyl-2-trimethylsilyloxypentane,0,14821.18357,23418.17474,13960.04197,16816.87633,29843.22767
3-Methyl-3-buten-1-ol,22753.89894,0,85913.87688,0,74477.10368,110817.6035
3-Nonene,0,1161431.376,0,0,0,0
3-Phenyl oxindole,0,0,0,0,0,0
"4,4'-Dichlorobenzophenone",0,0,0,0,0,0
"4,5-Dihydro-1H-pyrazole",0,0,0,819502135.5,0,0
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",3381678.015,822538.5326,4115971.718,3943468.117,2239831.163,1000706.277
4-Aminobutanoic acid,177148.788,281672.7341,135435.6377,109597.1465,12034.50692,205687.9989
4-Hydroxybutanoic acid,0,0,0,0,0,0
4-Methoxyphenol,0,0,450366300,557796202.1,313499015.6,228905317.1
"4-Methylquinoline-2,7-diol",0,0,0,0,0,0
4-Methylvaleric acid,609181.3185,0,878050.4644,1560241.84,613146.9575,840903.8809
4-Oxohexanoic acid,614420.3082,1073338.645,0,552533.1942,439942.1272,0
"4-Phenyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one",0,0,0,0,0,0
4-tert-Butyldimethylsiloxy-3-penten-2-one,48715668.6,0,64969060.19,117126861.1,0,55899647.05
5-Aminovaleric acid,0,0,0,0,0,0
5-Azacytosine,251124.1166,357775.2015,406814.3172,345886.7676,263558.365,407156.4464
"5-Chlorovaleric acid, nonyl ester",18779581.19,9998658.834,14743824.87,21124863.35,10927389,12226084.27
"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",9932494.342,18079221.6,9759790.135,0,0,1140037.221
5-Ethyl-5-methylnonadecane,0,0,0,0,0,0
5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,7977573.373,16583860.3,18573856566,75760029258,34139316649,19910154372
5-Nitroso-8-quinolinol,0,0,0,0,9600525.365,12593092.9
"5-Nonanol, tert-butyldimethylsilyl ether",788993.9144,628551.2044,838946.1093,1211308.229,587117.7342,652872.4433
5-Oxohexanoic Acid,540988.8845,496086.4447,697030.5855,1066849.414,503260.4491,564296.1645
"6,7,4'-Trihydroxyisoflavone",126996.9878,116030.445,145311.3929,280507.3268,112047.8315,114865.8989
"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",39874.62386,44841.51088,61684.65263,109549.1864,0,0
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",44624536.14,0,0,79590702.95,56029371.91,76491382.55
6-Methyluracil,919975.2771,473987.4808,1200819.459,2226790.586,141249.2579,174350.4419
6-Nitroveratryl alcohol,0,0,23586.59637,0,298347.6526,316141.4178
6-Oxoheptanoic acid,2136166.744,2302211.619,2899850.7,4099059.229,2254109.354,2727983.65
"7(S),17(S)-Dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-docosapentaenoic acid",0,0,0,0,0,0
7-Hydroxy-4-(methoxymethyl)coumarin,0,106.3126094,85.05220294,0,79.96324517,0
8-Acetyl-7-hydroxycoumarin,0,0,0,0,0,0
8-Methylnonanoic acid,12445988.46,12931897.1,17842009.09,19245887.06,11542572.95,15410071.74
"9,12-Octadecadienoic acid (Z,Z)",1607420.864,0,0,0,0,0
9-Ethyl-N-(trimethylsilyl)-9H-carbazol-3-amine,0,0,0,0,0,0
"9H-Xanthen-9-one, 1-hydroxy-3,5,6-trimethoxy",0,0,0,0,0,0
"9Z-Octadecenoic acid, (2S)-3-[(hydroxymercaptophosphinyl)oxy]-2-methoxypropyl ester ",1412781.332,340240.9786,0,71773.81952,849700.2068,257223.8317
Acetic acid,55223810803,81939020663,1.28505E+11,56108351200,65701833882,61081262243
Aceturic acid,7971942,16068484.77,5537675.253,19533140.2,8299586.606,24491410.63
Aconitic acid,20505978.72,52869206.29,26222558.91,26761891.34,25648861.41,22390632.67
Adenine,30996.5359,20241.77644,44037.23783,103228.1444,14136.53595,20608.94418
Adipic acid,0,0,0,0,0,0
Adipoyl-L-carnitine,6332713.495,7866445.274,0,45482835.68,0,0
alpha-Hydroxyisobutyric acid,7617.348644,11526.59654,12587.54421,2889.109868,12046.60828,20810.15408
