NAME,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2,5-Dimethoxyphenyl)acetone",60441.87655,34634.09876,124928.2394
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1064662.302,419060.8465,706911.482
(4-Fluorophenyl)phenylmethanol,0,0,107810.3666
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",1240395978,214897209.6,68566428.78
"3,4,5-Trimethoxyamphetamine",0,90918.76324,8040.871983
Oxypeucedanin,0,0,0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",11389516.68,0,14172806.26
"1-(2,4-Dimethoxyphenyl)-propan-2-one",26845.74725,300870.5884,72048.31749
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",33162341.68,28860951.41,53327118.06
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0,1579541.3,5038706.03
1-(Cyclohexylmethyl)-4-piperidinylamine,0,23807.43308,3836.636799
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,370803.134,272026.3681,328079.5744
"1,2,4-Butanetriol, (S)",0,0,0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",0,52851077.69,0
"1,2-Bis(trimethylsiloxy)cyclohexene",0,0,127760.3524
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",0,0,0
"1,2-Cyclohexanediol, (Z)",376422.0486,330940.0542,0
"1,3-Butanediamine",65718504.24,0,0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",244159530.5,103847109.5,216737593.4
"1,3-Propanediol",0,0,0
10-Undecynoic acid,0,0,0
"13-Docosenamide, (Z)",0,0,0
1-Butanol,106875256.1,0,98955214.82
"1-Heptanol, 2-propyl-",0,0,0
1-Hexacosanol,0,0,0
1-Octadecanol,0,487.2821111,0
"1-Octanol, 2-butyl-",19917960.86,9440684.004,32865035.58
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",0,1.68223E+11,0
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",0,0,0
"2(5H)-Furanone, 4-(hydroxymethyl)",716584.5951,426858.1281,662394.8042
"2-(Ethylamino)ethanol, N-acetyl",2980334518,2548927250,2854154682
2-(Methylamino)ethanol,84614477.01,38510759.99,71781687.63
"2,2'-Bipyridine",2662076.276,1817478.658,2819845.473
