NAME,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
"(2,5-Dimethoxyphenyl)acetone",15.53459923470448,15.481194353381854,16.047987391250597,16.43264256436115,15.657098856806401,16.081098131478914
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",18.10828358014644,18.23845861032338,18.816714495781042,18.129169960814533,19.378245670806074,20.346946688363023
(4-Fluorophenyl)phenylmethanol,0.0,0.0,19.116493207671,0.0,0.0,0.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",27.252986353145282,27.92583676075515,27.6261899123108,26.3900754817137,23.584959239926413,27.450375559422117
"3,4,5-Trimethoxyamphetamine",24.469656151895567,25.17332150303924,24.474219725933477,17.43478106693641,10.678243053855681,24.336115632023393
Oxypeucedanin,0.0,0.0,0.0,0.0,0.0,0.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.0,24.194616617578447,24.468783976199493,0.0,26.735922892089505,27.606518766994164
"1-(2,4-Dimethoxyphenyl)-propan-2-one",18.424822958437606,0.0,18.680562271837122,18.501921549780175,17.949115942978995,18.458383807794775
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",25.57755239006384,25.571858144082277,26.115913493129195,25.98456477347379,25.076848232924846,25.368574555746985
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",19.1465309371001,22.037705771852156,21.251325351616263,17.98375723043321,21.50800605617158,22.207445158249154
1-(Cyclohexylmethyl)-4-piperidinylamine,15.362287443107215,9.312331904330229,12.779608531719932,0.0,13.227349895214237,13.763008422309337
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,18.563615801749215,18.322017900386804,19.085352974826247,19.52872712242319,18.098573422402744,18.53419702679633
"1,2,4-Butanetriol, (S)",0.0,17.37741569815235,0.0,0.0,0.0,0.0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Bis(trimethylsiloxy)cyclohexene",0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",0.0,0.0,0.0,10.591241515433017,0.0,0.0
"1,2-Cyclohexanediol, (Z)",17.1950020848116,17.209127257343837,17.78009784560411,17.24639821279154,16.707043498578496,17.080011325170037
"1,3-Butanediamine",0.0,0.0,0.0,0.0,0.0,0.0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",27.885941891604983,27.385443638776355,28.19005206315088,29.46857247584472,28.1590514797743,28.19748787072684
"1,3-Propanediol",0.0,0.0,0.0,0.0,0.0,0.0
10-Undecynoic acid,16.763521497823707,0.0,0.0,0.0,0.0,0.0
"13-Docosenamide, (Z)",16.309859343365932,0.0,0.0,0.0,16.347456353134984,17.326800437966302
1-Butanol,26.679178393276228,26.0942122174271,0.0,0.0,0.0,0.0
"1-Heptanol, 2-propyl-",20.988819181574375,20.481554705862724,20.64162584623271,20.971425390370637,20.15132068901116,20.473777693934032
1-Hexacosanol,0.0,0.0,0.0,0.0,0.0,0.0
1-Octadecanol,9.77293512777173,10.993141441012776,9.422375180348816,11.269155034726124,9.776850058099054,0.0
"1-Octanol, 2-butyl-",25.091744045004145,25.185715357457912,25.697399707886206,26.983045364878507,25.44061030510432,25.087498557355833
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",0.0,0.0,0.0,36.238666376240154,37.02364433176335,0.0
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",0.0,0.0,0.0,0.0,5.970848453774321,0.0
"2(5H)-Furanone, 4-(hydroxymethyl)",18.691257603429857,19.02406965448606,19.15232284348532,18.309629512598377,18.954706192053898,19.63885146280124
"2-(Ethylamino)ethanol, N-acetyl",31.479774844397568,31.555504531018137,31.76665646156414,32.400101058781104,31.22380330129278,31.458504607016312
2-(Methylamino)ethanol,26.488984407958995,26.41249041977524,26.66781300995909,27.236451847424643,26.12180794536348,18.164955312365983
"2,2'-Bipyridine",21.084790877216403,21.08203641413786,21.52558425326391,21.69263280444796,20.70903306076998,20.88010854352021
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",17.417254757382075,18.212568843956266,18.068392529657572,0.0,17.70097147236181,18.187786360069207
"2,3-Dihydroxybutanoic acid",31.264972246470105,0.0,31.506929433757527,30.96458918867956,31.06547803362041,0.0
"2',3'-Di-O-acetyladenosine",0.0,4.801396748501166e-05,3.566514460720396e-05,0.0,0.0,8.368196447584346e-05
"2,4,4'-Trihydroxybenzophenone",19.002812411233002,19.444247861401664,19.701331982887673,21.258042486383076,19.45613437470027,19.430402652494458
"2,4,6-Cycloheptatrien-1-one",0.0,0.0,0.0,27.432457097058755,21.659359700351917,23.150866504842355
"2,4-Dihydroxyacetophenone",0.0,0.0,0.0,0.0,0.0,0.0
