NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2,5-Dimethoxyphenyl)acetone",15.908035472251042,15.444118686895859,15.662682603259597,15.788907970094375,16.696195419422576
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",17.947357381855884,19.369237554133708,20.704218823619062,18.916760308268547,19.599295417934766
(4-Fluorophenyl)phenylmethanol,0.0,0.0,0.0,0.0,0.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",25.68288012087905,27.98024265729247,27.384291263738316,27.335292778554763,28.45698751702994
"3,4,5-Trimethoxyamphetamine",22.49472566347611,9.931737920498888,23.893358670185332,23.657035274701315,23.80469658958274
Oxypeucedanin,0.0,0.0,0.0,0.0,0.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.0,24.224541881013582,26.948324187096834,25.41071581901945,26.218900153997268
"1-(2,4-Dimethoxyphenyl)-propan-2-one",15.951960261308294,18.57988447126233,18.410683162580494,18.449974447111323,18.722213780211515
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",25.71450115204259,25.10514759763008,24.484983159192087,24.958784039801927,25.032127244995568
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",16.518110015860415,21.678890124720372,20.176687065648792,20.642303425283696,22.417512760300397
1-(Cyclohexylmethyl)-4-piperidinylamine,0.0,15.818511811929,15.795750685645311,0.0,13.937169534899105
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,19.02184667158839,18.9624169726117,19.045769753580128,18.83656676550094,19.003688430128726
"1,2,4-Butanetriol, (S)",0.0,0.0,0.0,0.0,0.0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",0.0,0.0,0.0,0.0,0.0
"1,2-Bis(trimethylsiloxy)cyclohexene",0.0,0.0,19.783517709732,0.0,17.9245474993162
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",7.884782848453978,0.0,0.0,10.658401605110162,15.283557288017517
"1,2-Cyclohexanediol, (Z)",17.35592199660851,16.832809196459362,17.104833882802126,16.890635784440857,17.469214155626783
"1,3-Butanediamine",0.0,0.0,0.0,0.0,0.0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",28.502908024574488,28.18560238743354,28.261829225927112,27.819369391044248,27.996975855264477
"1,3-Propanediol",0.0,0.0,0.0,0.0,0.0
10-Undecynoic acid,0.0,0.0,0.0,0.0,0.0
"13-Docosenamide, (Z)",0.0,0.0,0.0,0.0,0.0
1-Butanol,27.265597465754723,0.0,0.0,27.011997799594788,26.97288196819083
"1-Heptanol, 2-propyl-",0.0,0.0,0.0,0.0,0.0
1-Hexacosanol,0.0,0.0,0.0,0.0,0.0
1-Octadecanol,8.558185747995664,0.0,10.37694339772258,0.0,9.720910375946161
"1-Octanol, 2-butyl-",26.575422464346342,25.811077700122166,25.92655704101022,25.679924448735477,26.17528682990168
