Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
1.0,1.0,1142,64658,36294,28364,1.2795797489775773,0.09924314401445256,0.04082349876112467
1.0,0.3,1142,16421,11624,4797,2.423181154888472,0.025204486186725935,0.16514017147476995
1.0,0.25,1141,11693,8525,3168,2.6909722222222223,0.017978996571182557,0.1874772985434472
1.0,0.2,1135,7838,5890,1948,3.0236139630390144,0.01217941247309823,0.21210175875366769
1.0,0.15,1073,4324,3315,1009,3.285431119920714,0.007518326355176587,0.23249971075066628
1.0,0.1,832,1666,1302,364,3.576923076923077,0.004819263167638619,0.25816805905390144
1.0,0.05,244,199,170,29,5.862068965517241,0.006712541320920191,0.3829521753462314
1.0,0.01,28,18,15,3,5.0,0.047619047619047616,0.4651490632763695
0.3,1.0,1119,3646,1927,1719,1.121000581733566,0.005828741161367884,0.037425040332976826
0.3,0.3,998,1845,1135,710,1.5985915492957747,0.0037085203506310514,0.15375741162011317
0.3,0.25,940,1523,949,574,1.6533101045296168,0.0034509324088550517,0.1640781259158044
0.3,0.2,861,1178,757,421,1.7980997624703088,0.003181805904437782,0.18873778516880985
0.3,0.15,725,782,520,262,1.984732824427481,0.002979615164793294,0.22102592875894314
0.3,0.1,467,376,252,124,2.032258064516129,0.003455532988392718,0.22357122209707259
0.3,0.05,115,68,54,14,3.857142857142857,0.010373760488176963,0.42317708172835206
0.3,0.01,16,9,7,2,3.5,0.075,0.5137818502299979
0.25,1.0,1070,2546,1329,1217,1.0920295809367297,0.0044517104814526635,0.030629521725089412
0.25,0.3,868,1321,787,534,1.4737827715355805,0.003510702193590909,0.1351645629161899
0.25,0.25,812,1109,669,440,1.5204545454545455,0.0033680975260124034,0.14533599165249134
0.25,0.2,738,875,542,333,1.6276276276276276,0.003217467724202344,0.16714327516078192
0.25,0.15,616,601,388,213,1.8215962441314555,0.003172843416745856,0.2049751835516413
0.25,0.1,380,288,188,100,1.88,0.003999444521594223,0.209562815874747
0.25,0.05,106,60,46,14,3.2857142857142856,0.01078167115902965,0.3980905144060499
0.25,0.01,16,9,7,2,3.5,0.075,0.5137818502299979
0.2,1.0,977,1912,988,924,1.0692640692640694,0.004010268973270467,0.024982433085503197
0.2,0.3,741,982,563,419,1.3436754176610979,0.0035817193711930556,0.11247579144517345
0.2,0.25,686,820,472,348,1.3563218390804597,0.0034900300057457813,0.11595297733762462
0.2,0.2,616,653,383,270,1.4185185185185185,0.003447365642487594,0.13191440855107728
0.2,0.15,491,440,269,171,1.5730994152046784,0.0036576748825803236,0.17169637515103786
0.2,0.1,299,210,127,83,1.5301204819277108,0.004713698906870777,0.1566993463104766
0.2,0.05,80,44,31,13,2.3846153846153846,0.013924050632911392,0.33615386181129675
0.2,0.01,14,8,6,2,3.0,0.08791208791208792,0.5031162448008948
0.15,1.0,690,840,441,399,1.105263157894737,0.00353379188489935,0.03874290320632718
0.15,0.3,488,471,278,193,1.4404145077720207,0.003963712256370553,0.14717645895166728
0.15,0.25,442,402,239,163,1.4662576687116564,0.004124726813802444,0.15612382696332971
0.15,0.2,386,320,190,130,1.4615384615384615,0.004306574254760783,0.15558031445917217
0.15,0.15,301,221,140,81,1.728395061728395,0.004894795127353267,0.21509017132386601
0.15,0.1,188,123,72,51,1.411764705882353,0.0069973830925019916,0.13921164552887408
0.15,0.05,58,32,21,11,1.9090909090909092,0.019358741681790685,0.2653115384373965
0.15,0.01,14,8,6,2,3.0,0.08791208791208792,0.5031162448008948
0.1,1.0,507,542,285,257,1.1089494163424125,0.004225428974592854,0.044249611111114806
0.1,0.3,341,298,173,125,1.384,0.005140589960324305,0.1427812287062237
0.1,0.25,309,259,152,107,1.4205607476635513,0.005442777287437482,0.15501782317311102
0.1,0.2,276,218,127,91,1.3956043956043955,0.005744400527009223,0.14768169222105892
0.1,0.15,208,151,93,58,1.603448275862069,0.007014121144555927,0.19649644857423926
0.1,0.1,139,90,52,38,1.368421052631579,0.009383797309978105,0.133540555195789
0.1,0.05,47,25,17,8,2.125,0.02312673450508788,0.3130231165641324
0.1,0.01,14,8,6,2,3.0,0.08791208791208792,0.5031162448008948
0.05,1.0,365,360,191,169,1.1301775147928994,0.005419238295950625,0.05729369697299818
0.05,0.3,230,193,113,80,1.4125,0.007328650085437631,0.16178993664649557
0.05,0.25,208,169,101,68,1.4852941176470589,0.00785024154589372,0.18436763480619484
0.05,0.2,181,139,81,58,1.396551724137931,0.008532842234499693,0.1579300692095892
0.05,0.15,138,96,56,40,1.4,0.010155506188511583,0.15308657020855665
0.05,0.1,96,61,37,24,1.5416666666666667,0.01337719298245614,0.19435068365992889
0.05,0.05,33,18,13,5,2.6,0.03409090909090909,0.399428729959758
0.05,0.01,12,7,6,1,6.0,0.10606060606060606,0.6821082522000766
0.01,1.0,204,185,94,91,1.032967032967033,0.008934608326089057,0.017104985551101994
0.01,0.3,100,76,43,33,1.303030303030303,0.015353535353535354,0.13242590496115947
0.01,0.25,91,66,39,27,1.4444444444444444,0.01611721611721612,0.18279346631891097
0.01,0.2,76,53,31,22,1.4090909090909092,0.018596491228070177,0.1728982563475284
0.01,0.15,59,38,20,18,1.1111111111111112,0.022209234365867914,0.06071854760923747
0.01,0.1,34,21,13,8,1.625,0.0374331550802139,0.2384247041810478
0.01,0.05,14,8,5,3,1.6666666666666667,0.08791208791208792,0.2506364890548058
0.01,0.01,8,5,4,1,4.0,0.17857142857142858,0.6
