ID,75.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,896.0,897.0,T0.5,T0.6,T0.7,T0.8,74.0,71.0,73.0,76.0,77.0,3297.0,3302.0,3307.0,3319.0,3329.0,3337.0,3353.0,3354.0,3369.0,3673.0,3674.0,3675.0,3677.0,3678.0,3679.0,3680.0,3681.0,3687.0,3688.0,3336.0,3371.0,3697.0,934.0,935.0,938.0,940.0,943.0,941.0,936.0,939.0,942.0
10-Heptadecenoic acid-Feci,2.109113763709528e-06,1.789660733847541e-06,4.212657840889381e-06,,2.109113763709528e-06,2.029559696648541e-06,5.034989201673516e-06,7.05931528934503e-06,2.669672317085981e-05,6.26850602475329e-06,2.0531363709217492e-05,,3.687793914310128e-05,2.0150302283578077e-05,,,,,,,2.1495977798260634e-05,,1.3146498870419254e-07,,,3.4796576262333415e-05,1.5172850763961797e-05,1.3146498870419254e-07,4.345004654507616e-05,2.869457507807134e-05,1.0665728533051415e-05,3.059419164787951e-05,3.576797677898148e-05,3.059419164787951e-05,,,3.390145491397535e-05,3.18522214976345e-05,,,,3.8898952913478864e-05,4.3071025123608185e-05,8.608358890077261e-06,3.2908986494800884e-05,3.68588820721443e-05,3.916438176610061e-06,,,
3-Aminobutanoic acid-Feci,5.5271362064019945e-06,3.540592791728589e-05,1.5750687473248725e-05,1.2283094544721137e-05,3.181682859142023e-05,5.7092653764501915e-06,3.091647076433165e-05,2.7192928148823935e-05,,,,,,2.620625814779149e-05,,,,,,5.940644450880551e-05,2.304591577534761e-05,,3.680674354561085e-05,2.2545498786391935e-05,,,,,,,,3.773422781433982e-05,,,3.2541480802974324e-05,,2.9897597847884973e-05,,,,,,6.854197017084353e-05,,,,,,,
3-Hydroxypicolinic acid-Feci,2.970422976887245e-05,4.160102815174802e-06,1.9026758404792984e-05,3.31249127950806e-05,2.634354491413347e-05,4.62427317050719e-05,2.0450891638906137e-05,9.544911242431532e-06,2.620625814779149e-05,2.3424094290604043e-05,1.6960764474698314e-05,2.0531363709217492e-05,2.1474984370333077e-05,2.3774837933029484e-05,,,,,,1.9986426685893328e-05,3.390145491397535e-05,,2.2545498786391935e-05,2.6879062833220023e-05,1.358575675930033e-05,2.2545498786391935e-05,,2.2545498786391935e-05,2.7592097431907495e-05,2.4839556875137356e-05,1.3190012123189894e-05,2.9259696673225892e-05,3.773422781433982e-05,2.206122410994635e-05,1.825126257942127e-05,2.32416102774216e-05,1.979374274563558e-05,1.4363782053803332e-05,,,,2.6787585419746015e-05,2.621384154650823e-05,1.603110529073754e-05,2.080604252632017e-05,2.0930048338659614e-05,,,,
4-Pentenoic acid-Feci,2.3774837933029484e-05,6.22070394707365e-05,0.000114867,5.6920350543708695e-05,0.000124743,5.9080782430912375e-05,7.469526066809781e-05,3.506076244015583e-05,9.36026302870934e-05,9.91039612765908e-05,,,,,,,,,,7.739159808239551e-06,3.576797677898148e-05,4.5543860543956285e-05,1.8862619276440532e-05,5.5536882704780605e-05,3.390145491397535e-05,2.0944208513152994e-05,1.185895803842346e-05,1.825126257942127e-05,7.112681932278526e-05,5.0013878547349586e-05,2.0666979472325727e-05,5.0013878547349586e-05,2.869457507807134e-05,3.390145491397535e-05,3.390145491397535e-05,3.18522214976345e-05,4.345004654507616e-05,4.012561288730162e-05,,,,2.9092428362042667e-05,5.729262896742512e-05,7.094423427928123e-05,4.745906300508213e-05,5.9082902501027024e-05,1.1350290953525685e-05,,,
Acetohydroxamic acid-Feci,2.4096179100994253e-05,7.766967961267407e-07,3.687793914310128e-05,5.0051049970207785e-06,1.7104303034974996e-05,1.5744919334713476e-05,2.8752769713837577e-05,,1.688621935250256e-05,2.215707955705869e-05,1.1267313288645191e-05,1.5090261259838827e-05,2.2406156714051934e-05,1.6512916230487517e-05,,,,,,,1.9950227610256658e-06,2.2328191271527273e-06,1.6696406259132334e-06,7.053780821325238e-06,1.7822389905926072e-06,1.5242238489794084e-06,,2.4373025423558204e-06,3.2548715103668688e-06,2.2328191271527273e-06,1.9950227610256658e-06,3.708687676613752e-06,1.79827107792425e-05,5.148709247549425e-07,,4.989975540120855e-06,,6.27408295725197e-07,,,,9.107782903386053e-06,6.973314190749594e-06,7.975342044517285e-07,7.166386589034193e-06,5.393937924956675e-06,4.305619201828444e-06,,,
Argininosuccinic acid-Feci,,,,,,,,1.245868703027494e-06,1.2630604895770523e-05,,,1.1180401768140297e-05,,,,,,,,1.3770475305366092e-05,9.213874226892582e-06,,,1.0435167259978e-05,1.2347078088056744e-05,,,,1.0913699317503476e-05,,1.4147287377574098e-05,,1.1347893720169177e-05,,1.0953974500899492e-05,8.843702351791274e-06,,9.575632659392894e-06,,,,2.952892746175719e-05,,1.979564547759212e-05,,1.5680182502759232e-05,1.7390712391228288e-05,,,
Butyl caprylate-Feci,1.35160529853322e-05,7.2138788215239956e-06,1.0603883113983254e-05,1.7922328777662263e-05,9.76430696312015e-06,1.4579608703051316e-05,1.573534360876237e-05,1.1902622933739394e-05,3.0241295039425454e-05,,2.3202263247146625e-05,1.55027119377882e-05,,,,,,,,1.3466760060806866e-05,7.411163384854275e-06,1.296183527434534e-05,,,2.7971670520343615e-05,2.7971670520343615e-05,1.110920651427007e-05,1.7062796515113937e-05,2.1291475120563603e-05,2.2306934121041924e-05,1.3355552836233331e-05,1.2480303729688104e-05,,,1.1612028479114978e-05,2.206122410994635e-05,,,,,,6.854197017084353e-05,6.350101381470944e-05,,,1.757444474833436e-05,,,,
Deoxyglucose-Feci,,,,4.463682502934161e-05,,,,,,,6.092911798553189e-06,,,5.634063006732416e-06,,,,,,1.8862619276440532e-05,4.667820533428246e-06,4.667820533428246e-06,2.680847064643316e-06,,2.5503480585556884e-06,7.255294676253472e-06,,6.27408295725197e-07,,,,1.1413043010049007e-05,2.4373025423558204e-06,,6.838683640633865e-06,,7.620728118776205e-06,,,,,2.83600203602203e-05,5.383517191631775e-05,1.836056416543893e-06,1.0693917048042828e-07,1.0894776337191838e-05,,,,
Dodecanedioic acid-Feci,1.3763208976609616e-05,3.938520390995757e-05,3.422792770823838e-05,3.7988389220130135e-05,2.5416841227163983e-05,4.1974889587643094e-05,9.443123413624266e-06,1.0859288351675112e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythritol-Feci,2.4096179100994253e-05,8.993228650066688e-06,1.83731546419121e-05,1.3647786235958917e-05,1.3281609009998192e-05,1.9996966886246706e-05,1.2392257246835673e-05,2.483078817706204e-05,6.036581772471855e-06,6.41043274767093e-06,,6.41043274767093e-06,,3.863927144298118e-05,,,,,,1.2697184393997278e-05,0.000193699,,2.5058159326239772e-05,,4.786228592863906e-05,,2.6879062833220023e-05,3.390145491397535e-05,1.3674707895242087e-05,3.576797677898148e-05,,6.979769416166107e-06,1.110920651427007e-05,,3.2548715103668688e-06,2.620340902249302e-05,,6.892096132425918e-07,,,,5.6505639569651595e-05,4.8494158506114464e-05,5.383517191631775e-05,,4.3289659680156704e-05,4.190080426421048e-05,,,
Ethanamine-Feci,,1.307044056450904e-05,9.61432205024026e-06,,1.782040887599989e-05,,0.000124743,5.051490468464879e-07,1.6960764474698314e-05,1.934738244011885e-05,1.2283094544721137e-05,1.7803565655817185e-05,2.0102003582969643e-05,1.663499768393685e-05,,,,,,5.251696931839343e-06,1.3674707895242087e-05,2.2306934121041924e-05,1.1040308477624518e-05,1.227050958596087e-05,8.911788780169537e-06,9.311484054051764e-06,1.959294730854357e-05,1.9986426685893328e-05,1.572011312693568e-05,8.789436112149386e-06,2.4523908347813537e-05,1.9005123557686464e-05,1.9986426685893328e-05,1.227050958596087e-05,1.644556905298271e-05,4.667820533428246e-06,1.3856208526654547e-05,9.97740278336511e-06,,,,9.901359718928036e-06,8.392569043058912e-06,3.978726080323576e-05,1.0514066459711718e-05,2.7860148254991692e-05,3.1952970029292075e-05,,,
L-Asparagine-Feci,,1.9460812685940265e-05,4.561994165419624e-06,,4.317767916470863e-06,,1.2121615046448051e-05,,5.93531056188585e-06,2.2927331340685753e-05,1.7330099864400886e-05,1.8595532697554464e-05,2.116270788611208e-05,1.800740545914193e-05,,,,,,,1.1202664999138725e-05,,,5.652554360780266e-06,4.060200940597134e-06,6.195719989485858e-06,6.267353285256778e-06,8.718730892190622e-06,7.95241998232019e-06,6.195719989485858e-06,,5.346310822575526e-06,1.0487570078712236e-05,4.4736981628389446e-06,6.101294479028287e-06,,,2.797508392698753e-07,,,,8.837618555691014e-06,8.027817364163943e-06,2.7857133842763493e-06,1.3084543348858826e-05,6.238935363090239e-06,,,,
L-Glutamine-Feci,,,,,,,,,3.358745976749155e-05,,2.095649848611732e-05,,2.185160409217228e-05,2.0348783104733775e-05,,,,,,9.906362729385416e-06,1.1932006955256328e-05,,2.9897597847884973e-05,,2.1495977798260634e-05,9.213874226892582e-06,,1.5961405274729153e-07,1.7344629467056497e-05,,1.7616001737902115e-05,,1.0090781793674955e-05,2.869457507807134e-05,,1.945039667301927e-05,1.3466760060806866e-05,1.6558376670944696e-05,,,,1.8648784226797527e-05,2.6443296428767492e-05,,2.406484066950307e-05,9.268868110722535e-06,,,,
L-Hydroxyproline-Feci,4.681531061450952e-06,1.5790216861071506e-05,1.1479781011992627e-05,1.1659656398198633e-05,1.448044567008877e-05,7.390743356546684e-06,8.068926943969344e-06,3.2583451510742636e-05,1.251816528613377e-05,2.2733024276473295e-05,1.4772244342186592e-05,1.6116447745499385e-05,1.7330099864400886e-05,1.307044056450904e-05,,,,,,1.2414203855034256e-05,1.4620042027486713e-05,1.913654722617732e-05,1.0728957563634708e-05,3.32334173050494e-06,1.8723461074844276e-05,1.959294730854357e-05,4.5543860543956285e-05,2.6879062833220023e-05,1.7188950981714575e-05,2.7185629606634103e-05,1.2208818932674656e-05,7.95241998232019e-06,9.042157442033253e-06,1.396174959971096e-05,1.4902948435702968e-05,1.2697184393997278e-05,1.0090781793674955e-05,1.0487570078712236e-05,,,,2.4323677545534385e-05,3.1647344176765684e-05,1.6855473654435217e-05,5.6505639569651595e-05,2.626123301650961e-05,1.514970413027093e-05,,,
L-Lysine-Feci,3.776279473693108e-05,4.954047227988588e-05,1.1349022807710562e-05,7.330555452571142e-06,2.42896536467224e-05,2.634354491413347e-05,4.426054320388334e-05,3.382596780109597e-06,1.8431696318303385e-05,2.42896536467224e-05,1.89144461282783e-05,4.792990000527625e-05,3.7988389220130135e-05,1.4772244342186592e-05,,,,,,5.878732359027068e-06,5.940644450880551e-05,5.739971462712748e-06,5.57539324073144e-06,,,2.9897597847884973e-05,3.838907268305318e-06,2.2328191271527273e-06,4.012561288730162e-05,2.008698486329516e-05,7.900262314483305e-06,7.691870802174976e-06,4.786228592863906e-05,5.5536882704780605e-05,1.8729174152879864e-06,2.160341828671319e-06,1.5172850763961797e-05,6.029258748765645e-06,,,,,8.355607329454319e-07,,3.272055131890429e-05,8.784195921187054e-06,,,,
L-Norvaline-Feci,1.181295704000794e-05,4.7287296916796654e-05,1.7526733275419454e-05,6.26850602475329e-06,2.313973378450096e-05,,,8.944570875658423e-06,2.8599266972824817e-05,1.3139572921535198e-05,1.83731546419121e-05,1.0659679034482969e-05,1.393279199682988e-05,1.0090223013501271e-05,,,,,,2.9259696673225892e-05,1.2871502161561729e-05,4.418146983729302e-06,2.9188931357302075e-06,4.4736981628389446e-06,4.285824892463443e-06,1.1612028479114978e-05,3.708687676613752e-06,2.5503480585556884e-06,4.204972701868237e-06,7.353224287020933e-06,2.4373025423558204e-06,,2.355667624442488e-06,1.1413043010049007e-05,4.060200940597134e-06,4.4736981628389446e-06,2.2328191271527273e-06,9.213874226892582e-06,,,,1.836056416543893e-06,1.9511628227902815e-05,2.3783645125629813e-06,6.238935363090239e-06,5.120879916819872e-06,7.932715454133417e-06,,,
L-Serine-Feci,1.710488269808292e-05,1.6530764204792268e-05,1.235586967946416e-05,1.4861771818347083e-05,1.8710032963879787e-05,1.5744919334713476e-05,2.9290226928038425e-05,1.8423418974549783e-05,2.2927331340685753e-05,2.452308768438531e-05,1.9026758404792984e-05,2.443648641177992e-05,1.8595532697554464e-05,1.8595532697554464e-05,,,,,,1.4692668790401846e-05,2.008698486329516e-05,1.7188950981714575e-05,2.1841778363667705e-05,2.869457507807134e-05,1.3856208526654547e-05,1.7062796515113937e-05,1.2078836338496938e-05,1.4063340123578813e-05,1.1202664999138725e-05,6.3799680352538855e-06,1.0913699317503476e-05,7.198196903208721e-06,1.0840204443001189e-05,1.1040308477624518e-05,1.500034223834365e-05,1.5855880502191168e-05,1.0388217036061962e-05,8.480942778780368e-06,,,,1.1761973782469904e-05,1.7390712391228288e-05,2.283836865138379e-05,2.3014179859151952e-05,2.283836865138379e-05,1.4518114604552437e-05,,,
N-Acetylglucosamine-Feci,5.93531056188585e-06,7.830005257814367e-06,1.8073418160463454e-05,2.0304575470917075e-05,6.41043274767093e-06,1.1027329716359414e-05,1.2686874670412843e-05,1.63820550378874e-05,2.6988523191489027e-05,2.8599266972824817e-05,2.2733024276473295e-05,3.422792770823838e-05,3.918652043120164e-05,3.091647076433165e-05,,,,,,8.37997001251542e-06,9.042157442033253e-06,1.2615483742156777e-05,2.832062856085168e-05,1.8862619276440532e-05,1.5172850763961797e-05,3.2541480802974324e-05,7.307106905725083e-06,1.3466760060806866e-05,6.4835340690195805e-06,4.591718606998633e-06,7.620728118776205e-06,6.195719989485858e-06,1.4902948435702968e-05,1.0326710833809038e-05,2.4523908347813537e-05,1.7188950981714575e-05,5.962390865157176e-06,4.4736981628389446e-06,,,,1.9730405206250328e-05,2.929367821373273e-05,2.4535257256643036e-05,3.255935803312797e-05,3.639191833267019e-05,1.1917979989316106e-05,,,
