Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
10-Heptadecenoic acid-Feci,(6S)-5-Methyltetrahydrofolic acid-PLS,nan,nan,0
10-Heptadecenoic acid-Feci,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-PLS",nan,nan,0
10-Heptadecenoic acid-Feci,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--PLS",-0.7999999999999999,0.20000000000000007,4
10-Heptadecenoic acid-Feci,(CH3)2C=NC2H558-PLS,0.6000000000000001,0.3999999999999999,4
10-Heptadecenoic acid-Feci,(pm)-alpha-Tocopherol acetate-PLS,nan,nan,0
10-Heptadecenoic acid-Feci,(pm)-N-Propylamphetamine-PLS,0.8660254037844387,0.3333333333333332,3
10-Heptadecenoic acid-Feci,(pm)-Norketamine-PLS,0.7378647873726218,0.2621352126273781,4
10-Heptadecenoic acid-Feci,(pm)-Phenylpropanolamine-PLS,-0.7999999999999999,0.20000000000000007,4
10-Heptadecenoic acid-Feci,"(R*,S*)-2,3-Dihydroxybutanoic acid-PLS",-1.0,0.0,3
10-Heptadecenoic acid-Feci,"(S,S)-(-)-Hydrobenzoin-PLS",0.7999999999999999,0.20000000000000007,4
10-Heptadecenoic acid-Feci,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene -PLS",0.5,0.6666666666666667,3
10-Heptadecenoic acid-Feci,"1-(2,4-Dimethoxyphenyl)-propan-2-one-PLS",-0.7745966692414834,0.22540333075851657,4
10-Heptadecenoic acid-Feci,1-(3-Methylphenyl)piperazine-PLS,-0.7999999999999999,0.20000000000000007,4
10-Heptadecenoic acid-Feci,1-(4-Hydroxybenzylidene)acetone-PLS,nan,nan,0
10-Heptadecenoic acid-Feci,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone-PLS",nan,nan,0
10-Heptadecenoic acid-Feci,1-Aminocyclopropanecarboxylic acid-PLS,-0.7999999999999999,0.20000000000000007,4
10-Heptadecenoic acid-Feci,"1-Butanamine, N,N-diethyl--PLS",-1.0,0.0,4
10-Heptadecenoic acid-Feci,"1-Cyclohexanone, 3-butyl-3-methyl--PLS",nan,nan,0
