Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
1.0,1.0,830,39754,20392,19362,1.0531969837826671,0.11555219672417051,0.014338392291043849
1.0,0.3,830,12188,6522,5666,1.151076597246735,0.03542662810469865,0.03595772809990966
1.0,0.25,830,9979,5381,4598,1.1702914310569812,0.02900576976179749,0.039357354404382115
1.0,0.2,827,7850,4235,3615,1.1715076071922546,0.02298339047462897,0.03978912501394055
1.0,0.15,814,5629,3044,2585,1.1775628626692456,0.01701164431791738,0.039712740763992394
1.0,0.1,775,3543,1947,1596,1.2199248120300752,0.011812953238309578,0.04594585691087661
1.0,0.05,592,1522,834,688,1.2122093023255813,0.008700324690172406,0.04190456731404631
1.0,0.01,217,225,117,108,1.0833333333333333,0.009600614439324117,0.004281632675356936
0.3,1.0,827,3563,1791,1772,1.0107223476297968,0.010431824237083187,0.006835510864372352
0.3,0.3,796,1812,923,889,1.0382452193475815,0.005726746942258462,0.016535172758536023
0.3,0.25,782,1566,813,753,1.0796812749003983,0.005128188334845156,0.031852850065893654
0.3,0.2,752,1332,684,648,1.0555555555555556,0.004717114768960535,0.025692787242398492
0.3,0.15,689,1024,520,504,1.0317460317460319,0.00432038343402977,0.016317607737037984
0.3,0.1,580,715,369,346,1.0664739884393064,0.0042582335775117625,0.027499545299070456
0.3,0.05,381,353,175,178,0.9831460674157303,0.00487636413869319,-0.0017380124675176229
0.3,0.01,112,75,34,41,0.8292682926829268,0.012065637065637066,-0.073237663219246
0.25,1.0,819,2612,1323,1289,1.0263770364623739,0.007797689949279192,0.01046693157570077
0.25,0.3,759,1381,705,676,1.0428994082840237,0.0048007898185711655,0.016985716815820746
0.25,0.25,737,1205,622,583,1.0668953687821612,0.004442953218099227,0.02719701722612246
0.25,0.2,699,1041,539,502,1.0737051792828685,0.0042672503904472615,0.030720922041554903
0.25,0.15,637,818,420,398,1.0552763819095476,0.004038190022017515,0.021614025426462395
0.25,0.1,526,577,305,272,1.1213235294117647,0.004178888285352163,0.04298378898018883
0.25,0.05,342,296,150,146,1.0273972602739727,0.0050762291848879286,0.010501848344121711
0.25,0.01,102,64,28,36,0.7777777777777778,0.012424771888953601,-0.10397308575669129
0.2,1.0,801,2070,1040,1030,1.0097087378640777,0.0064606741573033704,0.004848378356216225
0.2,0.3,722,1108,575,533,1.0787992495309568,0.004256937694261202,0.028116781630956614
0.2,0.25,698,973,510,463,1.101511879049676,0.0039999506686454024,0.03815412289002286
0.2,0.2,656,849,445,404,1.1014851485148516,0.003951778067398995,0.03912620169852387
0.2,0.15,591,680,355,325,1.0923076923076922,0.003900312598583269,0.031819997990831884
0.2,0.1,484,482,259,223,1.1614349775784754,0.004123676060434954,0.052634076629198105
0.2,0.05,305,245,126,119,1.0588235294117647,0.005284728213977567,0.018470055495408925
0.2,0.01,91,56,26,30,0.8666666666666667,0.013675213675213675,-0.07818406060533109
0.15,1.0,677,950,478,472,1.0127118644067796,0.00415162612640172,0.00811334886313556
0.15,0.3,533,538,267,271,0.985239852398524,0.0037946648986443596,-0.004502633614100278
0.15,0.25,504,485,244,241,1.012448132780083,0.0038262488560699298,0.009085314050667334
0.15,0.2,453,417,208,209,0.9952153110047847,0.004073140713825236,0.005217647893751325
0.15,0.15,397,340,160,180,0.8888888888888888,0.004325369564664275,-0.04247401220541104
0.15,0.1,328,259,123,136,0.9044117647058824,0.004829566644290296,-0.03851133658059988
0.15,0.05,197,136,64,72,0.8888888888888888,0.007044442142339169,-0.04962886992002558
0.15,0.01,59,35,14,21,0.6666666666666666,0.020455873758036237,-0.19914768008418418
0.1,1.0,558,586,288,298,0.9664429530201343,0.003770840974755957,-0.006607264555814093
0.1,0.3,419,342,165,177,0.9322033898305084,0.0039054024734215664,-0.02163887031395905
