NAME,75_feci_100322,100_rep_110322,101_rep_110322,102_feci_100322,103_rep_110322,104_feci_100322,105_rep_110322,106_110322,81_feci_100322,83_feci_20_81,84_feci_100322,108_rep_110322,109_110322,110_110322,113_110322,88_feci_100322,89_feci_100322,115_110322,116_110322,118_110322,120_110322,121_REP_140322,122_110322,70_feci_09032022,97_rep110322,124_110322,125_110322,126_110322,129_110322,Feci_DSS-T0_896_27022024,Feci_DSS-T0_897_27022024,Feci_DSS-T0_T0.5_27022024,Feci_DSS-T0_T0.6_27022024,Feci_DSS-T0_T0.7_27022024,Feci_DSS-T0_T0.8_27022024,Feci_DSS-T1_111_27022024,Feci_DSS-T1_B901_27022024,Feci_DSS-T1_B902_27022024,Feci_DSS-T1_T1.5_27022024,Feci_DSS-T1_T1.6_27022024,Feci_DSS-T1_T1.8_27022024,Feci_DSS-T3_90_28022024,Feci_DSS-T3_91_28022024,Feci_DSS-T3_906_28022024,Feci_DSS-T3_907_rep_28022024_2,Feci_DSS-T3_T3.6_28022024,Feci_DSS-T3_T3.7_28022024,Feci_DSS-T3_T3.8_28022024,Feci_DSS-T5_128_28022024,Feci_DSS-T5_B911_28022024,Feci_DSS-T5_B912_28022024,Feci_DSS-T5_T5.5_28022024,Feci_DSS-T5_T5.6_28022024,Feci_DSS-T5_T5.7_28022024,Feci_DSS-T5_T5.8_28022024,Feci_LPS_CTRL_934_23022024,Feci_LPS_CTRL_935_23022024,Feci_LPS_CTRL_938_26022024,Feci_LPS_CTRL_940_26022024,Feci_LPS_CTRL_943_26022024,Feci_LPS-CTRL_941REP_01032024,Feci_LPS_2.5H_944_26022024,Feci_LPS_2.5H_945_26022024,Feci_LPS_2.5H_946_26022024,Feci_LPS_2.5H_947_26022024,Feci_LPS_2.5H_948_26022024,Feci_LPS_2.5H_949_26022024,Feci_LPS_2.5H_950_26022024,Feci_LPS_2.5H_953_26022024,Feci_LPS_24H_954_26022024,Feci_LPS_24H_956_26022024,Feci_LPS_24H_957_27022024,Feci_LPS_24H_958_26022024,Feci_LPS_24H_959_26022024,Feci_LPS_24H_962_27022024,Feci_LPS_24H_963_27022024,Feci_LPS-24H960REP_01032024,Feci_Vecpac-WT_3297REP_01032024,Feci_Vecpac-WT_3302_29022024,Feci_Vecpac-WT_3307_29022024,Feci_Vecpac-WT_3319_29022024,Feci_Vecpac-WT_3329_29022024,Feci_Vecpac-WT_3337_29022024,Feci_Vecpac-WT_3353_29022024,Feci_Vecpac-WT_3354_29022024,Feci_Vecpac-WT_3369_29022024,Feci_Vecpac-WT_3673_28022024,Feci_Vecpac-WT_3674_28022024,Feci_Vecpac-WT_3675_28022024,Feci_Vecpac-WT_3677_28022024,Feci_Vecpac-WT_3678_28022024,Feci_Vecpac-WT_3679_29022024,Feci_Vecpac-WT_3680_29022024,Feci_Vecpac-WT_3681_29022024,Feci_Vecpac-WT_3687_29022024,Feci_Vecpac-WT_3688_29022024
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T1,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T1,DSS_T1,DSS_T2,DSS_T1,DSS_T1,DSS_T1,DSS_T4,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T5,DSS_T5,DSS_T5,DSS_T6,DSS_T5,DSS_T5,DSS_T6,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_2.5,LPS_2.5,LPS_2.5,LPS_2.5,LPS_2.5,LPS_2.5,LPS_2.5,LPS_2.5,LPS_24,LPS_24,LPS_24,LPS_24,LPS_24,LPS_24,LPS_24,LPS_24,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"1,2-Benzenedicarboxylic acid",0.00000951,0.00000555,0.0000138,0.00000418,0.00000874,0.0000126,0.00000909,0.00000974,0.00000697,0.0000166,0.0000155,0.0000146,0.00000826,0.0000179,0.0000305,0.00000771,0.000015,0.0000157,0.0000215,0.0000274,0.0000128,0.00000981,0.0000102,0.00000505,0.00000425,0.0000148,0.0000138,0.0000099,0.00000327,9.08717E-06,6.80846E-06,6.45519E-06,6.40032E-06,8.37917E-06,7.53921E-06,1.04229E-05,9.62741E-06,1.83098E-05,4.83934E-06,9.91252E-06,1.80656E-05,9.58781E-06,1.12139E-05,9.81759E-06,1.21535E-05,1.08225E-05,8.62181E-06,1.30665E-05,7.5834E-06,1.44549E-05,4.62597E-05,1.5756E-05,1.81536E-05,1.19504E-05,9.6233E-06,9.3121E-06,8.44555E-06,2.49237E-05,2.06742E-05,7.76366E-06,2.65939E-05,1.96256E-05,1.23059E-05,1.94697E-05,6.46485E-06,1.0894E-05,1.40774E-05,7.50944E-06,1.06145E-05,8.22126E-06,4.06174E-06,7.9627E-06,1.42368E-05,8.2515E-06,8.12032E-06,9.34974E-06,2.31915E-05,1.97396E-05,1.69541E-05,5.65618E-06,6.52081E-06,6.11126E-06,5.51099E-06,4.48895E-06,1.33525E-05,5.23642E-06,5.01737E-06,5.28332E-06,2.65774E-05,1.1883E-05,2.36613E-05,6.26923E-06,1.59973E-05,4.59232E-06,4.84957E-06,4.35702E-06
10-Heptadecenoic acid,0.000002,0.00000361,0.00000768,0,0.00000401,0.00000178,0.00000605,0.00000779,0.00000132,0.000002,0,0.00000634,0.00000379,0.00000354,0.00000446,0,0,0.0000894,0.000038,0.0000276,0.0000127,0.0000665,0.00000485,0.00000266,0.00000162,0.0000069,0.00000907,0.00000538,0.0000019,2.07084E-05,6.21703E-08,1.52579E-05,0,2.96109E-05,1.70735E-05,0,1.97016E-05,2.27659E-05,1.47855E-05,2.6475E-05,5.23239E-07,3.59994E-06,0,2.25715E-05,0,1.43789E-05,0,0,1.38707E-05,1.17601E-07,1.45597E-06,1.92957E-05,0,1.76593E-05,6.72441E-06,1.68707E-05,1.89573E-05,5.48908E-06,1.68317E-05,1.6426E-05,1.99295E-07,0,1.77641E-05,4.80549E-07,1.95751E-05,1.48616E-05,7.42786E-07,0,1.43983E-05,1.78384E-05,1.96491E-05,1.17017E-09,2.29882E-05,0,2.14122E-05,9.95088E-08,6.82338E-06,0,1.6488E-05,0,7.37979E-08,0,0,2.41804E-05,1.78336E-05,2.5918E-07,1.94497E-05,1.49365E-05,5.41643E-06,1.76203E-05,2.14028E-05,2.54417E-05,0,0,2.2002E-05,2.36208E-05
3-Aminobutanoic acid,0.00000509,0.0000186,0.0000175,0.00000513,0.0000185,0.00000714,0.0000144,0.0000161,0.00000634,0.0000408,0.000000702,0.0000298,0.00000466,0.0000164,0.00000617,0,0,0.00000328,0.0000039,0.0000151,0.00000218,0.00000527,0.0000062,0.00000184,0.00000714,0.00000445,0.0000288,0.0000129,0.0000015,0,0,0,0,0,2.47815E-05,0,8.60133E-05,2.63745E-05,0,0,0,1.26581E-05,0,0,0,0,0,0,0,1.64652E-05,6.85472E-05,0,0,0,1.49993E-05,0,4.2925E-05,0,0,0,0,0,0,0,0,0,0,1.87478E-05,0,0,3.7612E-05,7.21453E-05,0,0,0,0,5.69587E-05,4.92258E-05,1.8053E-05,0,2.29736E-05,1.72518E-05,0,0,0,0,0,0,0,2.10029E-05,0,0,2.0454E-05,0,2.0098E-05,0
3-Hydroxypicolinic acid,0.000012,0.00000535,0.0000197,0.00000995,0.0000161,0.0000318,0.0000112,0.00000851,0.00000314,0,0.00000872,0.0000119,0.0000086,0.00000762,0.0000168,0.00000458,0.00000494,0,0.0000125,0.0000161,0.0000183,0.00000667,0.0000102,0.0000102,0.00000633,0.0000124,0.00000588,0.0000104,0.00000555,2.01616E-05,1.82439E-05,1.12328E-05,1.80859E-05,1.63744E-05,2.11775E-05,2.99436E-05,0,0,0,8.58378E-06,1.53931E-05,0,3.50398E-06,9.37631E-06,6.5539E-06,0,3.66218E-06,3.25712E-06,9.9045E-06,0,0,1.12408E-05,1.18184E-05,1.51059E-05,7.80079E-06,1.21666E-05,1.10365E-05,7.63088E-06,1.13201E-05,1.01533E-05,0,1.21725E-05,8.53111E-06,1.07397E-05,1.17766E-05,1.3104E-05,1.2039E-05,1.15035E-05,9.91433E-06,9.40627E-06,8.29139E-06,9.79971E-06,1.56971E-05,1.2974E-05,1.51385E-05,1.48569E-05,7.60582E-06,2.32452E-05,3.14024E-05,0,1.46883E-05,2.00729E-05,9.44485E-06,1.51147E-05,0,1.28831E-05,1.38142E-05,1.31805E-05,6.86783E-06,1.71227E-05,2.2011E-05,1.67973E-05,1.24362E-05,1.59347E-05,1.21161E-05,1.00257E-05
4-Pentenoic acid,0.00001078,0.0000277,0.0000653,0.00001575,0.000038,0.0000374,0.0000259,0.00002156,0.00000572,0.00001423,0.00001264,0.0000366,0.00001667,0.0000356,0.0000394,0.000008807,0.0000107,0.0000183,0.0000362,0.0000493,0.0000261,0.00001214,0.00001458,0.00001298,0.00000407,0.0000335,0.0000256,0.00001308,0.00000615,0.000118719,0.000116017,0,0,0,0,4.87234E-05,3.72471E-05,2.73279E-05,0,0,0,0,7.82327E-06,6.38328E-05,5.0031E-05,2.58548E-05,0,0,4.27871E-05,2.37903E-05,4.8941E-05,0,0,0,0,1.34351E-05,3.09889E-05,2.99055E-05,2.84379E-05,2.40502E-05,1.36946E-05,2.60887E-05,1.75708E-05,1.82098E-05,1.96497E-05,2.06937E-05,1.59334E-05,2.33608E-05,1.99527E-05,2.86611E-05,2.60373E-05,3.42123E-05,2.71083E-05,1.93746E-05,2.03413E-05,2.99945E-05,3.01806E-05,6.16919E-06,3.38833E-05,2.40254E-05,1.19362E-05,3.4654E-05,2.23779E-05,1.42153E-05,1.35337E-05,1.01073E-05,2.74633E-05,2.93268E-05,1.01099E-05,2.95253E-05,1.6394E-05,2.84373E-05,2.18021E-05,2.28286E-05,2.51337E-05,2.7665E-05
Acetohydroxamic acid,0.0000108,0.00000226,0.0000382,0.00000311,0.0000122,0.0000121,0.000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000425,0.000000559,0.0000124,0,0.00000135,0.000000602,0.000000387,1.13756E-05,1.72334E-05,5.32498E-06,1.18717E-05,1.72246E-05,1.31748E-05,3.12206E-06,1.69071E-06,2.55059E-06,0,2.24324E-06,0,0,0,0,0,0,1.78249E-06,0,2.84832E-06,0,0,0,2.58334E-06,0,2.87488E-06,5.46393E-06,3.59668E-06,1.29142E-06,5.50861E-06,4.18266E-06,8.63137E-07,3.87649E-06,4.32067E-06,3.57617E-06,3.08966E-06,3.073E-06,2.21733E-06,3.44559E-06,1.37266E-06,4.53356E-06,7.00593E-06,4.39235E-06,5.04371E-06,5.3347E-06,5.74654E-06,4.20562E-06,1.52668E-06,0,1.8537E-06,7.59231E-07,1.51978E-06,4.60354E-06,1.48871E-06,1.22451E-06,0,1.55737E-06,1.97422E-06,1.15214E-06,9.07332E-07,1.99751E-06,1.01693E-05,1.43388E-06,0,4.3234E-06,0,4.21598E-07
Argininosuccinic acid,0,0,0,0,0,0,0,0.00000112,0,0.0000864,0.0000148,0.00000352,0,0,0,0.0000107,0.000011,0.0000179,0.000039,0,0.0000138,0,0,0,0,0,0,0.00000157,0,7.26425E-06,0,0,7.26819E-06,0,0,0,8.70557E-06,0,7.16545E-06,0,1.50155E-05,7.60808E-06,8.54771E-06,7.20576E-06,9.833E-06,0,0,1.18513E-05,0,0,4.78593E-05,1.59241E-05,1.07301E-05,8.71114E-06,7.92145E-06,1.37639E-05,0,8.65786E-06,0,8.54005E-06,2.79951E-05,0,9.01639E-06,0,0,0,0,3.37254E-06,9.99348E-06,0,9.60335E-06,1.14596E-05,1.05836E-05,1.26107E-05,8.5559E-06,9.34325E-06,0,1.48725E-05,6.96123E-06,0,0,7.04396E-06,8.84333E-06,0,0,0,6.34503E-06,0,7.36997E-06,0,6.43906E-06,0,8.42493E-06,6.64635E-06,0,6.65888E-06
Butyl caprylate,0.0000076,0.00000718,0.0000133,0.00000636,0.00000948,0.0000117,0.0000101,0.00000909,0.00000574,0.0000161,0.0000133,0.0000153,0.0000087,0.0000163,0.0000309,0.000011,0.0000175,0.0000176,0.0000224,0.0000301,0.0000147,0.00000871,0.00000986,0.00000595,0.00000416,0.0000145,0.0000142,0.00001,0.00000298,2.36503E-05,0,1.74732E-05,1.21417E-05,0,0,0,0,2.10221E-05,0,8.36159E-06,0,0,0,0,2.28656E-05,1.86469E-05,0,0,2.3527E-05,1.27719E-05,0.000101531,0,2.19483E-05,1.11678E-05,1.85374E-05,4.12707E-05,3.56342E-05,0,0,9.12636E-06,0,0,1.00859E-05,9.85693E-06,0,8.48788E-06,3.10642E-05,2.97389E-05,0,1.48497E-05,0,2.25245E-05,1.50091E-05,0,1.21205E-05,1.82555E-05,5.53088E-06,1.44441E-05,5.8556E-06,8.02343E-06,0,0,1.78961E-05,1.85557E-05,1.2279E-05,9.43249E-06,1.09602E-05,1.21851E-05,6.88801E-06,6.8157E-06,0,0,8.69732E-06,1.55275E-05,0,0
Deoxyglucose,0,0,0,0.0000132,0,0,0,0,0,0,0.00000813,0.00000334,0,0,0.000047,0,0.0000202,0.00000267,0,0,0.0000154,0,0.0000112,0.0000102,0,0.00000208,0.00000789,0,0.00000314,0,0,6.79009E-08,0,0,3.03487E-07,0,0,1.25737E-05,5.82738E-06,0,0,0,0,0,1.18288E-07,5.93008E-05,0,0,0,0,5.17623E-05,0,7.80047E-08,0,4.39729E-06,1.29466E-05,2.86604E-05,2.04594E-06,1.36356E-08,6.8102E-06,0,3.01267E-06,1.43911E-05,8.09684E-06,0,1.70851E-08,1.64727E-05,2.05571E-06,8.04679E-06,0,7.6855E-06,8.9098E-06,6.66242E-08,1.16155E-05,0,0,1.58114E-08,2.09906E-05,4.02862E-06,2.42717E-06,2.31374E-06,0,2.21994E-06,4.58459E-06,0,6.49151E-07,0,0,0,6.40348E-06,2.06585E-06,0,5.14747E-06,0,5.2402E-06,0
