NAME,75_feci_100322,100_rep_110322,101_rep_110322,102_feci_100322,103_rep_110322,104_feci_100322,105_rep_110322,106_110322,Feci_DSS-T0_896_27022024,Feci_DSS-T0_897_27022024,Feci_DSS-T0_T0.5_27022024,Feci_DSS-T0_T0.6_27022024,Feci_DSS-T0_T0.7_27022024,Feci_DSS-T0_T0.8_27022024
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
10-Heptadecenoic acid,2.8853871964746634e-06,5.2081196970204295e-06,1.1079855367371287e-05,0.0,5.785195514733751e-06,2.5679948873574445e-06,8.728278594492963e-06,1.1238550594358046e-05,2.987559664776915e-05,8.969278074017142e-08,2.2012328733705295e-05,0.0,4.2718866117310305e-05,2.4631643507062133e-05
3-Aminobutanoic acid,7.343299069343375e-06,2.683387820621179e-05,2.524694230546123e-05,7.401006576063199e-06,2.668961137818832e-05,1.0300805817977935e-05,2.077465901157188e-05,2.3227203179935753e-05,0.0,0.0,0.0,0.0,0.0,3.575170416729296e-05
3-Hydroxypicolinic acid,1.7312236617312745e-05,7.718397821921753e-06,2.842081236136629e-05,1.4354744242003238e-05,2.3227203179935753e-05,4.5876972860144256e-05,1.6158093972943342e-05,1.2277282558226579e-05,2.9086747119630016e-05,2.6320143966235938e-05,1.6205413839276803e-05,2.6092202290353122e-05,2.3623072271109674e-05,3.055235071847995e-05
4-Pentenoic acid,1.555216871472698e-05,3.996209916005396e-05,9.42049104131041e-05,2.2722267956583395e-05,5.482136995432293e-05,5.395578556245638e-05,3.736531768028228e-05,3.11041697797861e-05,0.00017126514654703696,0.00016736744201238812,0.0,0.0,0.0,0.0
Acetohydroxamic acid,1.558102230435951e-05,3.2604871081057192e-06,5.510989796975181e-05,4.48677460019463e-06,1.7600772134379252e-05,1.74565043830593e-05,2.0197589189591165e-05,0.0,1.641142836235413e-05,2.486232648695788e-05,7.68230178487776e-06,1.712714105290097e-05,2.4849630989559707e-05,1.9007093417753913e-05
Argininosuccinic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6158175410485173e-06,1.0480059385897637e-05,0.0,0.0,1.048574356320623e-05,0.0,0.0
Butyl caprylate,1.0964440645929391e-05,1.0358513206718558e-05,1.918771644578285e-05,9.1755112819344e-06,1.3676684160095583e-05,1.687943323383379e-05,1.4571146328671842e-05,1.3114038318531589e-05,3.4119767055699e-05,0.0,2.5208278754463793e-05,1.7516664037250777e-05,0.0,0.0
Deoxyglucose,0.0,0.0,0.0,1.904344885315532e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.796028839592396e-08,0.0,0.0,4.378391233992202e-07
Dodecanedioic acid,1.1036574847832495e-05,2.914214549131567e-05,4.890653292513126e-05,1.586955816734452e-05,2.2794401570602026e-05,4.1549018874515596e-05,1.1483806820027558e-05,1.2681233675606044e-05,0.0,0.0,0.0,0.0,0.0,0.0
