Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
Mrps5,Choroid Plexus,,65.0,,57.4,,64.7,,29.7,,0.0,,15.8,,72.7,529.6,68.4%,709.8,74.1%,1758.3,85.0%,1354.1,79.3%,1082.8,83.7%,4195.2,83.4%
Shc1,Choroid Plexus,1729.6,96.5,,84.1,,84.6,,80.2,,57.9,,59.2,,60.6,2607.3,95.9%,850.4,78.9%,3083.7,94.4%,1866.2,86.8%,1557.8,91.5%,6507.7,92.7%
Cope,Choroid Plexus,,32.3,,51.4,,21.3,,82.4,,84.7,,80.0,3424.0,96.2,13.5,26.8%,693.6,73.5%,266.6,45.3%,1011.6,72.3%,739.3,72.9%,2017.5,63.8%
Slc44a1,Choroid Plexus,,22.4,,17.4,,0.0,,27.8,,19.5,,16.1,,25.0,27.1,30.9%,18.7,27.2%,2948.0,93.5%,2796.0,93.7%,1616.0,92.1%,7360.0,94.3%
Tmem62,Choroid Plexus,727.6,87.5,,25.0,,60.6,,80.7,,58.2,,70.2,,64.2,2475.0,95.5%,2456.1,94.9%,757.4,64.1%,986.2,71.5%,164.9,43.3%,1908.4,62.1%
Ndfip1,Choroid Plexus,,45.7,,46.5,,38.9,,78.6,,68.5,,72.6,,81.1,371.6,60.3%,1317.3,87.0%,2545.6,91.9%,3859.5,97.2%,2366.9,96.9%,8771.9,96.3%
Nedd4,Choroid Plexus,1230.6,93.9,971.5,90.7,775.3,90.5,853.8,89.7,847.9,87.4,,83.6,2174.4,91.1,3628.8,97.6%,3017.6,96.6%,4673.7,97.8%,4331.0,98.1%,1996.7,94.9%,11001.4,98.0%
Mob4,Choroid Plexus,,,,56.7,,65.1,,,,0.0,,0.0,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Rab11fip5,Choroid Plexus,,19.0,,26.3,,25.3,,19.6,,26.3,,22.5,,18.2,0.7,19.6%,0.3,19.2%,34.1,23.9%,35.7,22.6%,42.2,28.4%,112.0,18.6%
Thyn1,Choroid Plexus,,53.3,,71.3,,53.4,,41.6,,46.3,,37.3,,46.7,169.7,46.8%,82.9,37.1%,1566.8,83.0%,838.6,67.5%,908.5,79.4%,3313.9,77.5%
Mtor,Choroid Plexus,,20.8,,17.9,,15.2,,0.0,,19.1,,15.4,,30.9,1.7,20.9%,4.0,22.7%,221.8,42.5%,308.9,45.1%,221.6,47.9%,752.3,38.3%
