,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",14.895013095346137,15.691624370184298,19.017051617864738,,17.621707351223883,17.467977900764005,17.063095861813558,17.37328371774847,12.986523748703965,19.91566388957328,20.465455927474544,20.07442852956916,
(6S)-5-Methyltetrahydrofolic acid,,,,,,8.15937216568915,,,,,10.684239505637873,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",11.241440816702292,11.241440816702292,13.680695348833222,11.514267928236327,13.552372804686884,14.376416116849263,12.572828378502546,11.102458222294844,11.353858129994816,15.691624370184298,14.043058300928584,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",26.262460645745197,26.620180091253495,26.262460645745197,26.262460645745197,26.620180091253495,26.688296250168637,26.336013775913138,25.892103474848703,26.262460645745197,25.23727152067979,26.262460645745197,,27.44710763589729
(CH3)2C=NC2H558,17.540896818304443,17.650336331738295,17.621707351223883,17.650336331738295,18.3195577667795,18.510174634752264,18.11054732760789,17.331586964820783,17.708997530181296,17.37328371774847,17.650336331738295,17.96954724507801,19.49072841005828
(pm)-alpha-Tocopherol acetate,10.581441847888094,11.353858129994816,12.296747807672302,9.545251342236822,10.87441187394816,13.63504051758814,10.916084038114388,10.103061377085483,12.127419990584452,12.77266457947496,15.72637617291133,16.97862927670154,
(pm)-N-Propylamphetamine,,,,18.21595138465398,23.476707946591816,23.636143457181088,,,22.304325854433003,21.44846377506137,22.33727443783785,,
(pm)-Norketamine,29.813278009547275,28.973383738125385,28.75102047283294,28.86821948913465,28.86821948913465,29.29902845167164,28.26473762365941,28.398868226794217,29.42215064965163,28.640258399442175,29.69514394543,29.18307997664153,29.18307997664153
(pm)-Phenylpropanolamine,25.65375762351027,26.336013775913138,24.992747504970215,24.12766401979312,26.336013775913138,25.956674308497803,25.456846018865527,24.38950884546223,,23.43092108552893,,22.304325854433003,26.620180091253495
