n1,n2,r,p,fdr
ENSMUSG00000042626,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.20909090909090905,0.26861046760566143,0.3389077175239007
ENSMUSG00000055681,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.5636363636363636,0.035475867238187714,0.14466108736942068
ENSMUSG00000025477,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.24545454545454543,0.23346118349100814,0.31428333157653604
ENSMUSG00000094595,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.13026778945578593,0.35131894260189944,0.3970410415502049
ENSMUSG00000034064,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.309090909090909,0.17751421985075355,0.2736537206396263
ENSMUSG00000035295,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.6272727272727271,0.019422626810176702,0.1173011809861702
ENSMUSG00000070348,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.09999999999999998,0.38493749994606835,0.4198219839303139
ENSMUSG00000086610,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.2047065262876636,0.27298968712634186,0.3418993510236674
ENSMUSG00000015461,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.3545454545454545,0.14234637047794346,0.24673764578725849
ENSMUSG00000025474,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.609090909090909,0.023347854677049442,0.12469374768487926
ENSMUSG00000003344,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.1636363636363636,0.31534260732126795,0.3714687142067474
ENSMUSG00000083899,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.2818181818181818,0.2005724489802393,0.29046060681942254
ENSMUSG00000036613,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.6272727272727271,0.019422626810176702,0.1173011809861702
ENSMUSG00000026483,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.47272727272727266,0.07099926010315996,0.18605147490186785
ENSMUSG00000010607,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.7545454545454544,0.003641020504214583,0.07110606124789856
ENSMUSG00000005124,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.4999999999999999,0.05865340150711913,0.17351484312682774
ENSMUSG00000030058,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.709090909090909,0.007276025976863879,0.08802682491477999
ENSMUSG00000062421,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.5909090909090908,0.027787802144387332,0.1326795675394892
ENSMUSG00000041012,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.718181818181818,0.006399799034429233,0.08391460080566371
ENSMUSG00000056531,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.5502065727772368,0.039738899152689466,0.1505399369883698
ENSMUSG00000020102,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.0956722299914231,0.3898086810319089,0.4227494272229385
ENSMUSG00000005510,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.3454545454545454,0.14904461045151945,0.25160794931460834
ENSMUSG00000032615,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.23636363636363633,0.24204558111269842,0.32015499223494975
ENSMUSG00000038644,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.23636363636363633,0.24204558111269842,0.32015499223494975
ENSMUSG00000056054,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.4829169704328975,0.06621071330883818,0.18119456672816486
ENSMUSG00000024253,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.409090909090909,0.10577250517104808,0.21690864009127064
ENSMUSG00000036819,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.04545454545454544,0.44721349845265135,0.4624890629484351
ENSMUSG00000030703,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.2288310214189421,0.24926310525962309,0.32511640834135713
ENSMUSG00000008140,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.20909090909090905,0.26861046760566143,0.3389077175239007
ENSMUSG00000042010,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.8909090909090907,0.00011672908518936781,0.02839243541656944
ENSMUSG00000021431,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.10909090909090906,0.37475429811707417,0.41282255958681985
ENSMUSG00000039323,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.6636363636363636,0.012992066959382771,0.10408712168209132
ENSMUSG00000022941,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.14545454545454542,0.33478932282103935,0.38517153495559003
ENSMUSG00000026784,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.48181818181818176,0.06671691912841449,0.18166350661636244
ENSMUSG00000072772,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.45454545454545453,0.08007271862762941,0.19473530697674019
ENSMUSG00000030782,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.036363636363636355,0.4577341584452673,0.4695503816789567
ENSMUSG00000055044,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.27272727272727265,0.2085707185712657,0.29608386390262387
ENSMUSG00000032009,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.027272727272727264,0.4682792240963061,0.4770214366321154
ENSMUSG00000031864,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.46363636363636357,0.07545074964624308,0.1907275012062747
ENSMUSG00000058492,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.3486385256233475,0.1466792961888041,0.2498139103586521
ENSMUSG00000071180,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.49090909090909085,0.06260220356924771,0.1773208704459627
ENSMUSG00000064294,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.06363636363636363,0.4262695362712609,0.4482312909802822
ENSMUSG00000019699,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.05454545454545453,0.4367232887616575,0.45536394115535456
ENSMUSG00000044317,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.3363636363636363,0.15591215695019328,0.25720361296871247
ENSMUSG00000037742,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.309090909090909,0.17751421985075355,0.2736537206396263
ENSMUSG00000021886,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.5454545454545453,0.0413254786720876,0.15200564657012103
ENSMUSG00000037326,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.036363636363636355,0.4577341584452673,0.4695503816789567
ENSMUSG00000100075,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.4632862466569274,0.07562559063597751,0.19094588417407815
ENSMUSG00000051224,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.40546802234460266,0.10800789326300411,0.21866562168225379
ENSMUSG00000085197,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.7862591577867079,0.002053034411278823,0.06060444049451341
ENSMUSG00000031112,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.5999999999999999,0.025501630353475406,0.12842809865658117
ENSMUSG00000030256,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.5272727272727271,0.04778260917657719,0.1607150791314304
ENSMUSG00000028383,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.37272727272727263,0.12946293684211116,0.2369301365507576
ENSMUSG00000031147,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.10909090909090906,0.37475429811707417,0.41282255958681985
ENSMUSG00000051043,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.5272727272727271,0.04778260917657719,0.1607150791314304
ENSMUSG00000037716,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.7061521737462181,0.00757686960266612,0.08890700311702146
ENSMUSG00000038545,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.8727272727272725,0.00022730752570482312,0.0332046590400452
ENSMUSG00000105970,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.1334847624943829,0.34779709714491225,0.39454731882152894
ENSMUSG00000041720,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.06363636363636363,0.4262695362712609,0.4482312909802822
ENSMUSG00000049744,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.04187178946793119,0.45135642284281396,0.46553890883353716
ENSMUSG00000038064,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.10909090909090906,0.37475429811707417,0.41282255958681985
ENSMUSG00000005575,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.24545454545454543,0.23346118349100814,0.31428333157653604
ENSMUSG00000029034,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.12727272727272726,0.3546073128866525,0.3990764999228846
ENSMUSG00000047547,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.3999999999999999,0.1114341750667601,0.22182169938251028
ENSMUSG00000034377,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.11818181818181817,0.36464238975989005,0.40568685230171575
ENSMUSG00000034295,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.5137830903923016,0.052978637326473836,0.16683697783998205
ENSMUSG00000077767,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.19999999999999996,0.27772272105279283,0.34548633260164746
ENSMUSG00000049571,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.4373587656750769,0.08928038940456477,0.20331710118647225
ENSMUSG00000043487,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.12727272727272726,0.3546073128866525,0.3990764999228846
ENSMUSG00000017831,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.36363636363636354,0.1358187704969114,0.24140643211299878
ENSMUSG00000075704,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.6454545454545453,0.015981399664008772,0.10999298863282925
ENSMUSG00000085776,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.12096294735180123,0.3615640063510771,0.4037825993260511
ENSMUSG00000025505,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.1727272727272727,0.3057711924256185,0.3650382702970412
ENSMUSG00000028863,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.509090909090909,0.054868616120828245,0.16888275490802254
ENSMUSG00000031838,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.12727272727272726,0.3546073128866525,0.3990764999228846
ENSMUSG00000045094,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.18349396085439343,0.29457527862459537,0.3574279444877838
ENSMUSG00000032288,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.47272727272727266,0.07099926010315996,0.18605147490186785
ENSMUSG00000002324,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.618181818181818,0.021322784902663372,0.12100693047474316
ENSMUSG00000052584,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.918181818181818,3.330725970677847e-05,0.018951679542319525
ENSMUSG00000023960,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.5454545454545453,0.0413254786720876,0.15200564657012103
ENSMUSG00000044365,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.11818181818181817,0.36464238975989005,0.40568685230171575
ENSMUSG00000012422,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.5272727272727271,0.04778260917657719,0.1607150791314304
ENSMUSG00000028890,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.09999999999999998,0.38493749994606835,0.4198219839303139
