Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
1.0,1.0,1068,44766,22768,21998,1.0350031821074643,0.07856744205637985,0.010799931310232082
1.0,0.3,1066,11803,6064,5739,1.0566300749259452,0.020792925155687092,0.016248398728006267
1.0,0.25,1059,8264,4295,3969,1.0821365583270346,0.014751584670775832,0.021587713761487815
1.0,0.2,1012,4971,2615,2356,1.1099320882852293,0.009717221238315291,0.03049313120392849
1.0,0.15,868,2403,1274,1129,1.1284322409211691,0.006386235708704734,0.037027998816645674
1.0,0.1,584,879,464,415,1.1180722891566266,0.005163420193143636,0.040833954849205316
1.0,0.05,170,130,85,45,1.8888888888888888,0.00904977375565611,0.2256239334505767
1.0,0.01,10,5,4,1,4.0,0.1111111111111111,0.5209441801850077
0.3,1.0,884,2062,1046,1016,1.029527559055118,0.0052833050634662785,0.01195815541628066
0.3,0.3,720,1278,652,626,1.0415335463258786,0.004937413073713491,0.016060313251334103
0.3,0.25,665,1085,551,534,1.0318352059925093,0.004914394419784401,0.011985535039698998
0.3,0.2,579,794,408,386,1.0569948186528497,0.004745086086857785,0.020111495429280354
0.3,0.15,462,509,265,244,1.0860655737704918,0.004779746645256407,0.029975904322778277
0.3,0.1,278,233,127,106,1.1981132075471699,0.006051476508324027,0.06914879674730773
0.3,0.05,100,64,43,21,2.0476190476190474,0.01292929292929293,0.28952282751802483
0.3,0.01,6,3,3,0,,0.2,0.8795717815119715
0.25,1.0,763,1416,729,687,1.0611353711790392,0.004870950764182,0.025425790638674263
0.25,0.3,618,905,467,438,1.0662100456621004,0.004746843742296214,0.027221306264149158
0.25,0.25,563,769,396,373,1.061662198391421,0.004860843346839188,0.02501225739346257
0.25,0.2,491,586,303,283,1.0706713780918728,0.004871357911800158,0.026469954507246252
0.25,0.15,391,383,201,182,1.1043956043956045,0.005023280215096072,0.03853154889999024
0.25,0.1,229,187,105,82,1.2804878048780488,0.007163104267218264,0.09736200802919848
0.25,0.05,84,55,38,17,2.235294117647059,0.015777395295467584,0.32165873564264763
0.25,0.01,6,3,3,0,,0.2,0.8795717815119715
0.2,1.0,664,1008,520,488,1.0655737704918034,0.004579403587199477,0.0284934801608595
0.2,0.3,516,654,348,306,1.1372549019607843,0.004922104312485889,0.05252768123521646
0.2,0.25,473,569,302,267,1.1310861423220975,0.005097287418927151,0.04959708737871554
0.2,0.2,407,444,237,207,1.144927536231884,0.005373936408419167,0.05253347773284594
0.2,0.15,315,298,161,137,1.1751824817518248,0.0060256799110302295,0.06334332051130238
0.2,0.1,181,148,83,65,1.2769230769230768,0.009085328422344998,0.09978363106041203
0.2,0.05,75,49,32,17,1.8823529411764706,0.017657657657657658,0.27112496606827796
0.2,0.01,6,3,3,0,,0.2,0.8795717815119715
0.15,1.0,338,319,165,154,1.0714285714285714,0.005601109686934841,0.03037661527959985
0.15,0.3,253,214,109,105,1.0380952380952382,0.006713093669615409,0.013065501799201499
0.15,0.25,227,186,94,92,1.0217391304347827,0.007251179291255702,0.008372359697290298
0.15,0.2,195,143,72,71,1.0140845070422535,0.007560137457044674,0.004916617185889736
0.15,0.15,152,103,53,50,1.06,0.008975252701289647,0.029361450195660558
0.15,0.1,87,58,31,27,1.1481481481481481,0.015503875968992248,0.06938820726366891
0.15,0.05,44,27,18,9,2.0,0.02854122621564482,0.29057965855832274
0.15,0.01,4,2,2,0,,0.3333333333333333,0.8852483570021794
0.1,1.0,204,164,89,75,1.1866666666666668,0.007920409543127596,0.07457891942223374
0.1,0.3,150,112,55,57,0.9649122807017544,0.010022371364653244,-0.018022925977058124
0.1,0.25,141,101,49,52,0.9423076923076923,0.010233029381965552,-0.02696766057724791
0.1,0.2,115,76,37,39,0.9487179487179487,0.011594202898550725,-0.024720755683708063
0.1,0.15,91,57,29,28,1.0357142857142858,0.01391941391941392,0.019299328047971555
0.1,0.1,58,35,22,13,1.6923076923076923,0.02117362371445856,0.22994220462895454
0.1,0.05,29,16,13,3,4.333333333333333,0.03940886699507389,0.5507718627440902
0.1,0.01,4,2,2,0,,0.3333333333333333,0.8852483570021794
0.05,1.0,89,62,28,34,0.8235294117647058,0.015832482124616958,-0.0874922811812638
0.05,0.3,65,42,18,24,0.75,0.020192307692307693,-0.13747946708498318
0.05,0.25,59,36,15,21,0.7142857142857143,0.02104032729398013,-0.1554804855530083
0.05,0.2,53,30,13,17,0.7647058823529411,0.02177068214804064,-0.1201091232568173
0.05,0.15,36,20,10,10,1.0,0.031746031746031744,0.00472336676056207
0.05,0.1,22,12,7,5,1.4,0.05194805194805195,0.15266298511215984
0.05,0.05,14,7,5,2,2.5,0.07692307692307693,0.39355754264602805
0.05,0.01,0,0,0,0,,,
0.01,1.0,28,22,12,10,1.2,0.0582010582010582,0.08952274262480428
0.01,0.3,11,8,3,5,0.6,0.14545454545454545,-0.25381245778178824
0.01,0.25,9,6,3,3,1.0,0.16666666666666666,-0.0050832770423843154
0.01,0.2,8,5,3,2,1.5,0.17857142857142858,0.19390006754913883
0.01,0.15,6,4,3,1,3.0,0.26666666666666666,0.4923750844364235
0.01,0.1,4,3,2,1,2.0,0.5,0.3333333333333333
0.01,0.05,2,1,1,0,,1.0,1.0
0.01,0.01,0,0,0,0,,,
