Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
Ammeline,ENSMUSG00000027374,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000027374,False,False,False,0.0,,,
Ketamine,ENSMUSG00000027374,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000027374,False,False,False,0.0,,,
Ammeline,ENSMUSG00000042626,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000042626,False,False,False,0.0,,,
Ketamine,ENSMUSG00000042626,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000042626,False,False,False,0.0,,,
Ammeline,ENSMUSG00000055681,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000055681,False,False,False,0.0,,,
Ketamine,ENSMUSG00000055681,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000055681,False,False,False,0.0,,,
Ammeline,ENSMUSG00000028412,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000028412,False,False,False,0.0,,,
Ketamine,ENSMUSG00000028412,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000028412,False,False,False,0.0,,,
Ammeline,ENSMUSG00000054484,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000054484,False,False,False,0.0,,,
Ketamine,ENSMUSG00000054484,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000054484,False,False,False,0.0,,,
Ammeline,ENSMUSG00000024425,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000024425,False,False,False,0.0,,,
Ketamine,ENSMUSG00000024425,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000024425,False,False,False,0.0,,,
Ammeline,ENSMUSG00000032216,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000032216,False,False,False,0.0,,,
Ketamine,ENSMUSG00000032216,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000032216,False,False,False,0.0,,,
Ammeline,ENSMUSG00000025979,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000025979,False,False,False,0.0,,,
Ketamine,ENSMUSG00000025979,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000025979,False,False,False,0.0,,,
Ammeline,ENSMUSG00000051343,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000051343,False,False,False,0.0,,,
Ketamine,ENSMUSG00000051343,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000051343,False,False,False,0.0,,,
Ammeline,ENSMUSG00000035443,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000035443,False,False,False,0.0,,,
Ketamine,ENSMUSG00000035443,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000035443,False,False,False,0.0,,,
Ammeline,ENSMUSG00000028991,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000028991,False,False,False,0.0,,,
Ketamine,ENSMUSG00000028991,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000028991,False,False,False,0.0,,,
Ammeline,ENSMUSG00000036948,False,False,False,0.0,,,
Bis(trimethylsilyl)acetylene,ENSMUSG00000036948,False,False,False,0.0,,,
Ketamine,ENSMUSG00000036948,False,False,False,0.0,,,
L-Leucine,ENSMUSG00000036948,False,False,False,0.0,,,
Ammeline,ENSMUSG00000033900,False,False,False,0.0,,,
