Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide",ENSMUSG00000069727,False,False,False,0.0,,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",ENSMUSG00000069727,False,False,False,0.0,,,
(pm)-alpha-Tocopherol acetate,ENSMUSG00000069727,False,False,False,0.0,,,
"(R*,S*)-2,3-Dihydroxybutanoic acid",ENSMUSG00000069727,False,False,False,0.0,,,
"1-(2,4-Dimethoxyphenyl)-propan-2-one",ENSMUSG00000069727,False,False,False,0.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000069727,False,False,False,0.0,,,
"1-Decene, 8-methyl-",ENSMUSG00000069727,False,False,False,0.0,,,
1-Hexadecanol,ENSMUSG00000069727,False,False,False,0.0,,,
1-Monoacetin,ENSMUSG00000069727,False,False,False,0.0,,,
1-Phenethylamine,ENSMUSG00000069727,False,False,False,0.0,,,
1-Tetradecanol,ENSMUSG00000069727,False,False,False,0.0,,,
"1,2-Butanediol",ENSMUSG00000069727,False,False,False,0.0,,,
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",ENSMUSG00000069727,False,False,False,0.0,,,
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",ENSMUSG00000069727,False,False,False,0.0,,,
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",ENSMUSG00000069727,False,False,False,0.0,,,
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",ENSMUSG00000069727,False,False,False,0.0,,,
"1,3,5-Trimethyl-1H-pyrazol-4-amine",ENSMUSG00000069727,False,False,False,0.0,,,
13-Docosenamide,ENSMUSG00000069727,False,False,False,0.0,,,
2-Amino-4-methylphenol,ENSMUSG00000069727,False,False,False,0.0,,,
"2-Heptanone, 4,6-dimethyl-",ENSMUSG00000069727,False,False,False,0.0,,,
2-Heptenoic acid,ENSMUSG00000069727,False,False,False,0.0,,,
2-Isopropyl-5-methyl-1-heptanol,ENSMUSG00000069727,False,False,False,0.0,,,
2-Oxooctanoic acid,ENSMUSG00000069727,False,False,False,0.0,,,
2-Pentenoic acid,ENSMUSG00000069727,False,False,False,0.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000069727,False,False,False,0.0,,,
"2,2-Diallylpyrrolidine",ENSMUSG00000069727,False,False,False,0.0,,,
"2,2'-Biphenyldiol",ENSMUSG00000069727,False,False,False,0.0,,,
"2,3-Butanediol",ENSMUSG00000069727,False,False,False,0.0,,,
"2,5-di-tert-Butyl-1,4-benzoquinone",ENSMUSG00000069727,False,False,False,0.0,,,
"2,5-Dimethoxybenzonitrile",ENSMUSG00000069727,False,False,False,0.0,,,
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",ENSMUSG00000069727,False,False,False,0.0,,,
"2,6-Dimethoxybenzylamine",ENSMUSG00000069727,False,False,False,0.0,,,
3-Ethylphenol,ENSMUSG00000069727,False,False,False,0.0,,,
3-Indolepropionic acid,ENSMUSG00000069727,False,False,False,0.0,,,
"3-Methoxyamphetamine, 4-Trimethylsilyloxy, N,N-bis(Trimethylsilyloxy)-",ENSMUSG00000069727,False,False,False,0.0,,,
"3-Methyl-1-(tetrahydropyrrolo[1,2-c]oxazol-3-ylidene)-butan-2-one",ENSMUSG00000069727,False,False,False,0.0,,,
"3-Methylpiperazine-2,5-dione, (R)-",ENSMUSG00000069727,False,False,False,0.0,,,
3-Methylvaleric acid,ENSMUSG00000069727,False,False,False,0.0,,,
"3,5-Dimethylpyrazole",ENSMUSG00000069727,False,False,False,0.0,,,
"4-(tert-Butylamino)-6-ethylamino-5H-1,3,5-triazin-2-one",ENSMUSG00000069727,False,False,False,0.0,,,
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",ENSMUSG00000069727,False,False,False,0.0,,,
4-Hydroxybutanoic acid,ENSMUSG00000069727,False,False,False,0.0,,,
"4-Methylethcathinone, N-acetyl-",ENSMUSG00000069727,False,False,False,0.0,,,
5-(2-Aminopropyl)-2-methylphenol,ENSMUSG00000069727,False,False,False,0.0,,,
5-Hydroxy-L-tryptophan,ENSMUSG00000069727,False,False,False,0.0,,,
5-Hydroxyquinoline,ENSMUSG00000069727,False,False,False,0.0,,,
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol",ENSMUSG00000069727,False,False,False,0.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000069727,False,False,False,0.0,,,
9-Octadecenamide,ENSMUSG00000069727,False,False,False,0.0,,,
"9H-Fluorene, 9-methylene-",ENSMUSG00000069727,False,False,False,0.0,,,
"Acetic acid, bis[(trimethylsilyl)oxyl]-",ENSMUSG00000069727,False,False,False,0.0,,,
Aceturic acid,ENSMUSG00000069727,False,False,False,0.0,,,
Adipoyl-L-carnitine,ENSMUSG00000069727,False,False,False,0.0,,,
Ammeline,ENSMUSG00000069727,False,False,False,0.0,,,
Aspartic acid,ENSMUSG00000069727,False,False,False,0.0,,,
"Aziridine, 1-(2-buten-2-yl)-",ENSMUSG00000069727,False,False,False,0.0,,,
"Benzene, 3-cyclohexen-1-yl-",ENSMUSG00000069727,False,False,False,0.0,,,
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-",ENSMUSG00000069727,False,False,False,0.0,,,
Benzenepropanoic acid,ENSMUSG00000069727,False,False,False,0.0,,,
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-",ENSMUSG00000069727,False,False,False,0.0,,,
beta-Hydroxypyruvic acid,ENSMUSG00000069727,False,False,False,0.0,,,
5-Hydroxyhexanoic acid,ENSMUSG00000069727,False,False,False,0.0,,,
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",ENSMUSG00000069727,False,False,False,0.0,,,
"Carbonic diamide, N,N'-dibutyl-N'-methyl-",ENSMUSG00000069727,False,False,False,0.0,,,
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)-",ENSMUSG00000069727,False,False,False,0.0,,,
"Cholesta-3,5-dien-7-one",ENSMUSG00000069727,False,False,False,0.0,,,
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",ENSMUSG00000069727,False,False,False,0.0,,,
"Cyclopentanone, 2,2,4-trimethyl-",ENSMUSG00000069727,False,False,False,0.0,,,
D-Fucitol,ENSMUSG00000069727,False,False,False,0.0,,,
Decanoic acid,ENSMUSG00000069727,False,False,False,0.0,,,
Dimethyl fumarate,ENSMUSG00000069727,False,False,False,0.0,,,
Dobutamine,ENSMUSG00000069727,False,False,False,0.0,,,
Doconexent,ENSMUSG00000069727,False,False,False,0.0,,,
Dodecanamide,ENSMUSG00000069727,False,False,False,0.0,,,
"Dodecanamide, N-(2-hydroxyethyl)-",ENSMUSG00000069727,False,False,False,0.0,,,
Dopamine,ENSMUSG00000069727,False,False,False,0.0,,,
"Ethanol, 2-(9-octadecenyloxy)-",ENSMUSG00000069727,False,False,False,0.0,,,
Glucose,ENSMUSG00000069727,False,False,False,0.0,,,
Glyceric acid,ENSMUSG00000069727,False,False,False,0.0,,,
Homocysteine thiolactone,ENSMUSG00000069727,False,False,False,0.0,,,
Hydroquinone,ENSMUSG00000069727,False,False,False,0.0,,,
Indole-5-carboxylic acid,ENSMUSG00000069727,False,False,False,0.0,,,
Isonicotinic Acid,ENSMUSG00000069727,False,False,False,0.0,,,
Itaconic acid,ENSMUSG00000069727,False,False,False,0.0,,,
l-Histidine ethyl ester,ENSMUSG00000069727,False,False,False,0.0,,,
L-Hydroxyproline,ENSMUSG00000069727,False,False,False,0.0,,,
L-Ornithine,ENSMUSG00000069727,False,False,False,0.0,,,
Methyl isovanillate,ENSMUSG00000069727,False,False,False,0.0,,,
Methylmalonic monoamide,ENSMUSG00000069727,False,False,False,0.0,,,
Mirin,ENSMUSG00000069727,False,False,False,0.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000069727,False,False,False,0.0,,,
