Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"1-Decanol, 2-methyl-",ENSMUSG00000069727,False,False,False,1.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000069727,False,False,False,1.0,,,
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",ENSMUSG00000069727,False,False,False,1.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000069727,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000069727,False,False,False,1.0,,,
Phenanthridin-6-ol,ENSMUSG00000069727,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000069727,False,False,False,1.0,,,
Thymidine,ENSMUSG00000069727,False,False,False,1.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000094002,False,False,False,1.0,,,
"1,2,3-Butanetriol",ENSMUSG00000094002,False,False,False,1.0,,,
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000094002,False,False,False,1.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000094002,False,False,False,1.0,,,
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",ENSMUSG00000094002,False,False,False,1.0,,,
"4-Methylethcathinone, N-acetyl-",ENSMUSG00000094002,False,False,False,1.0,,,
6-Hydroxyflavone,ENSMUSG00000094002,False,False,False,1.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000094002,False,False,False,1.0,,,
"D-(+)-Xylose, tetrakis",ENSMUSG00000094002,False,False,False,1.0,,,
"Methyl 2,4-dihydroxybenzoate",ENSMUSG00000094002,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000094002,False,False,False,1.0,,,
N-Acetyl-L-phenylalanine,ENSMUSG00000094002,False,False,False,1.0,,,
"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000094002,False,False,False,1.0,,,
Pentylone,ENSMUSG00000094002,False,False,False,1.0,,,
Phthalazin-1-one,ENSMUSG00000094002,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000094002,False,False,False,1.0,,,
Thymidine,ENSMUSG00000094002,False,False,False,1.0,,,
"Xylonic acid, 2,3,4-tris-O-(trimethylsilyl)-, delta-lactone",ENSMUSG00000094002,False,False,False,1.0,,,
"4,4,5,8-Tetramethyl-chroman-2-one",ENSMUSG00000094595,False,False,False,1.0,,,
"4,4,5,8-Tetramethyl-chroman-2-one",ENSMUSG00000105382,False,False,False,1.0,,,
"Arabinonic acid, 2,3,5-tris-O-(trimethylsilyl)-, gamma-lactone",ENSMUSG00000105382,False,False,False,1.0,,,
N-Isobutyrylglycine,ENSMUSG00000105382,False,False,False,1.0,,,
"2,6,10-Trimethyltridecane",ENSMUSG00000046711,False,False,False,1.0,,,
5-Methyluridine,ENSMUSG00000102840,False,False,False,1.0,,,
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-",ENSMUSG00000102840,False,False,False,1.0,,,
"D-(+)-Xylose, tetrakis",ENSMUSG00000102840,False,False,False,1.0,,,
Tetradecanenitrile,ENSMUSG00000106032,False,False,False,1.0,,,
"1-Cyclohexanone, 3-butyl-3-methyl-",ENSMUSG00000086610,False,False,False,1.0,,,
"Gulonic acid, gamma-lactone",ENSMUSG00000086610,False,False,False,1.0,,,
10-Nonadecenoic acid,ENSMUSG00000044296,False,False,False,1.0,,,
"Methyl 2,4-dihydroxybenzoate",ENSMUSG00000044296,False,False,False,1.0,,,
Pentacosanoic acid,ENSMUSG00000044296,False,False,False,1.0,,,
"Acetohydrazide, 2-(2-isopropyl-5-methylphenoxy)-N2-benzylideno-",ENSMUSG00000024235,False,False,False,1.0,,,
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",ENSMUSG00000102142,False,False,False,1.0,,,
"Acetohydrazide, 2-(2-isopropyl-5-methylphenoxy)-N2-benzylideno-",ENSMUSG00000102142,False,False,False,1.0,,,
alpha-D-Mannopyranose,ENSMUSG00000102142,False,False,False,1.0,,,
"Arabinonic acid, 2,3,5-tris-O-(trimethylsilyl)-, gamma-lactone",ENSMUSG00000102142,False,False,False,1.0,,,
D-Ornithine,ENSMUSG00000102142,False,False,False,1.0,,,
